"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2025","50.100","54.000","56.600","49.100","4.56M","-7.05%"
"07/03/2025","53.900","58.000","58.900","50.500","4.72M","-5.44%"
"07/02/2025","57.000","58.300","71.500","55.500","13.11M","7.55%"
"07/01/2025","53.000","43.500","58.100","40.000","7.25M","30.54%"
"06/30/2025","40.600","44.300","44.300","40.000","833.63K","-8.35%"
"06/29/2025","44.300","46.600","47.700","44.300","1.43M","-4.94%"
"06/25/2025","46.600","50.000","51.800","46.000","2.52M","-2.92%"
"06/24/2025","48.000","73.800","82.800","45.600","14.59M","-28.46%"
"06/23/2025","67.100","39.400","78.700","38.000","14.01M","82.83%"
"06/22/2025","36.700","35.000","44.400","35.000","4.38M","4.86%"
"06/19/2025","35.000","33.800","35.000","32.700","181.13K","3.55%"
"06/18/2025","33.800","32.600","33.900","32.100","37.78K","-1.46%"
"06/17/2025","34.300","32.500","34.300","32.300","11.59K","1.18%"
"06/16/2025","33.900","33.000","34.500","30.400","294.03K","5.94%"
"06/15/2025","32.000","34.800","34.800","31.800","141.71K","-8.31%"
"06/12/2025","34.900","34.100","35.100","34.100","484.51K","-0.57%"
"06/11/2025","35.100","34.000","35.300","34.000","70.00K","-1.40%"
"06/10/2025","35.600","34.000","35.800","34.000","16.32K","2.01%"
"06/04/2025","34.900","33.400","35.000","33.400","59.35K","-0.29%"
"06/03/2025","35.000","35.000","35.000","35.000","0.01K","2.34%"
"06/02/2025","34.200","34.000","34.200","34.000","205.19K","-1.44%"
"06/01/2025","34.700","35.000","35.500","33.700","509.59K","-1.98%"
"05/29/2025","35.400","35.500","35.500","35.000","32.50K","2.31%"
"05/28/2025","34.600","34.800","35.000","34.500","47.06K","-1.14%"
"05/27/2025","35.000","34.000","35.300","34.000","37.04K","1.45%"
"05/26/2025","34.500","34.500","35.600","34.500","102.26K","-2.54%"
"05/25/2025","35.400","34.900","35.600","34.500","61.26K","-0.56%"
"05/22/2025","35.600","35.700","35.700","34.700","149.22K","0.28%"
"05/21/2025","35.500","35.000","36.000","34.700","1.06M","4.11%"
"05/20/2025","34.100","34.900","36.100","33.300","1.61M","-2.01%"
"05/19/2025","34.800","36.000","36.000","33.000","2.02M","-1.97%"
"05/18/2025","35.500","34.500","36.000","34.500","204.90K","1.43%"
