"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2025","7.1775","7.1632","7.1787","7.1633","","0.17%"
"07/06/2025","7.1651","7.1632","7.1652","7.1644","","0.03%"
"07/04/2025","7.1627","7.1705","7.1712","7.1595","","-0.11%"
"07/03/2025","7.1706","7.1612","7.1745","7.1563","","0.13%"
"07/02/2025","7.1614","7.1608","7.1704","7.1584","","0.01%"
"07/01/2025","7.1607","7.1570","7.1653","7.1495","","0.05%"
"06/30/2025","7.1573","7.1711","7.1714","7.1558","","-0.14%"
"06/29/2025","7.1673","7.1710","7.1693","7.1673","","-0.08%"
"06/27/2025","7.1727","7.1635","7.1757","7.1595","","0.13%"
"06/26/2025","7.1637","7.1719","7.1746","7.1522","","-0.11%"
"06/25/2025","7.1716","7.1648","7.1800","7.1598","","0.10%"
"06/24/2025","7.1647","7.1755","7.1798","7.1611","","-0.15%"
"06/23/2025","7.1755","7.1850","7.1931","7.1741","","-0.03%"
"06/20/2025","7.1780","7.1861","7.1884","7.1735","","-0.11%"
"06/19/2025","7.1861","7.1945","7.1977","7.1844","","-0.12%"
"06/18/2025","7.1949","7.1907","7.1961","7.1850","","0.06%"
"06/17/2025","7.1908","7.1836","7.1947","7.1783","","0.10%"
"06/16/2025","7.1836","7.1881","7.1911","7.1775","","-0.07%"
"06/13/2025","7.1887","7.1731","7.1906","7.1697","","0.22%"
"06/12/2025","7.1732","7.1985","7.1993","7.1695","","-0.35%"
"06/11/2025","7.1983","7.1888","7.2004","7.1819","","0.13%"
"06/10/2025","7.1889","7.1823","7.1949","7.1774","","0.09%"
"06/09/2025","7.1822","7.1911","7.1913","7.1785","","-0.09%"
"06/06/2025","7.1884","7.1761","7.1943","7.1712","","0.19%"
"06/05/2025","7.1751","7.1715","7.1825","7.1639","","0.05%"
"06/04/2025","7.1715","7.1925","7.1961","7.1693","","-0.28%"
"06/03/2025","7.1916","7.2095","7.2104","7.1852","","-0.25%"
"06/02/2025","7.2095","7.2038","7.2244","7.2006","","0.07%"
"05/30/2025","7.2048","7.1892","7.2103","7.1804","","0.23%"
"05/29/2025","7.1882","7.1928","7.2093","7.1820","","-0.07%"
"05/28/2025","7.1929","7.1915","7.1996","7.1856","","0.02%"
"05/27/2025","7.1915","7.1768","7.1944","7.1711","","0.21%"
"05/26/2025","7.1767","7.1734","7.1833","7.1611","","0.06%"
"05/23/2025","7.1722","7.2048","7.2062","7.1708","","-0.45%"
"05/22/2025","7.2049","7.2036","7.2086","7.1933","","0.02%"
"05/21/2025","7.2038","7.2148","7.2202","7.1985","","-0.15%"
"05/20/2025","7.2145","7.2146","7.2265","7.2118","","0.00%"
"05/19/2025","7.2145","7.2104","7.2183","7.2039","","0.06%"
"05/16/2025","7.2102","7.2051","7.2140","7.1946","","0.07%"
"05/15/2025","7.2051","7.2113","7.2158","7.2023","","-0.09%"
"05/14/2025","7.2113","7.1966","7.2160","7.1909","","0.21%"
"05/13/2025","7.1964","7.2001","7.2047","7.1784","","-0.04%"
"05/12/2025","7.1995","7.2401","7.2401","7.1916","","-0.56%"
"05/09/2025","7.2402","7.2434","7.2530","7.2337","","-0.04%"
"05/08/2025","7.2434","7.2282","7.2471","7.2164","","0.21%"
"05/07/2025","7.2283","7.2103","7.2306","7.1882","","0.25%"
"05/06/2025","7.2103","7.2015","7.2357","7.1994","","0.12%"
"05/05/2025","7.2015","7.2114","7.2173","7.1838","","-0.13%"
"05/02/2025","7.2110","7.2781","7.2800","7.2084","","-0.92%"
"05/01/2025","7.2777","7.2689","7.2874","7.2672","","0.12%"
"04/30/2025","7.2691","7.2689","7.2765","7.2592","","0.00%"
"04/29/2025","7.2688","7.2850","7.2891","7.2562","","-0.22%"
"04/28/2025","7.2850","7.2890","7.3030","7.2819","","-0.05%"
"04/25/2025","7.2887","7.2886","7.2993","7.2810","","0.00%"
"04/24/2025","7.2884","7.2853","7.3046","7.2845","","0.04%"
"04/23/2025","7.2854","7.3108","7.3164","7.2770","","-0.35%"
"04/22/2025","7.3113","7.2935","7.3215","7.2909","","0.26%"
"04/21/2025","7.2920","7.3020","7.3034","7.2824","","-0.14%"
"04/18/2025","7.3020","7.3019","7.3100","7.2901","","0.02%"
"04/17/2025","7.3003","7.2989","7.3167","7.2949","","0.04%"
"04/16/2025","7.2976","7.3287","7.3349","7.2948","","-0.40%"
"04/15/2025","7.3272","7.3120","7.3307","7.3069","","0.21%"
"04/14/2025","7.3115","7.2803","7.3255","7.2785","","0.45%"
"04/11/2025","7.2788","7.3119","7.3375","7.2783","","-0.43%"
"04/10/2025","7.3105","7.3450","7.3719","7.2999","","-0.44%"
"04/09/2025","7.3429","7.4258","7.4279","7.3428","","-1.10%"
"04/08/2025","7.4242","7.3452","7.4299","7.3362","","1.09%"
"04/07/2025","7.3439","7.2949","7.3501","7.2924","","0.68%"
"04/04/2025","7.2940","7.2803","7.3005","7.2392","","0.21%"
"04/03/2025","7.2784","7.2958","7.3491","7.2743","","-0.22%"
"04/02/2025","7.2941","7.2812","7.2968","7.2668","","0.19%"
"04/01/2025","7.2803","7.2659","7.2845","7.2624","","0.21%"
"03/31/2025","7.2648","7.2704","7.2745","7.2525","","-0.05%"
"03/28/2025","7.2685","7.2677","7.2773","7.2647","","0.03%"
"03/27/2025","7.2660","7.2791","7.2825","7.2649","","-0.17%"
"03/26/2025","7.2781","7.2658","7.2828","7.2638","","0.19%"
"03/25/2025","7.2642","7.2637","7.2720","7.2602","","0.03%"
"03/24/2025","7.2623","7.2572","7.2683","7.2470","","0.09%"
"03/21/2025","7.2558","7.2523","7.2608","7.2459","","0.06%"
"03/20/2025","7.2515","7.2298","7.2555","7.2256","","0.33%"
"03/19/2025","7.2279","7.2276","7.2419","7.2260","","0.01%"
"03/18/2025","7.2270","7.2268","7.2379","7.2207","","0.03%"
"03/17/2025","7.2250","7.2366","7.2453","7.2244","","-0.15%"
"03/14/2025","7.2356","7.2477","7.2550","7.2302","","-0.14%"
"03/13/2025","7.2458","7.2407","7.2538","7.2298","","0.09%"
"03/12/2025","7.2396","7.2265","7.2506","7.2147","","0.20%"
"03/11/2025","7.2255","7.2634","7.2648","7.2245","","-0.50%"
"03/10/2025","7.2618","7.2448","7.2702","7.2352","","0.28%"
"03/07/2025","7.2417","7.2445","7.2540","7.2272","","-0.01%"
"03/06/2025","7.2423","7.2365","7.2541","7.2343","","0.09%"
"03/05/2025","7.2355","7.2530","7.2775","7.2332","","-0.22%"
"03/04/2025","7.2512","7.3025","7.3074","7.2482","","-0.69%"
"03/03/2025","7.3015","7.2933","7.3080","7.2840","","0.12%"
"02/28/2025","7.2927","7.3009","7.3026","7.2835","","-0.09%"
"02/27/2025","7.2991","7.2653","7.3031","7.2614","","0.49%"
"02/26/2025","7.2635","7.2544","7.2685","7.2471","","0.16%"
"02/25/2025","7.2521","7.2530","7.2707","7.2470","","0.01%"
"02/24/2025","7.2516","7.2513","7.2555","7.2253","","0.00%"
"02/21/2025","7.2519","7.2356","7.2606","7.2325","","0.25%"
"02/20/2025","7.2336","7.2815","7.2861","7.2309","","-0.66%"
"02/19/2025","7.2816","7.2752","7.2936","7.2716","","0.11%"
"02/18/2025","7.2737","7.2660","7.2869","7.2621","","0.13%"
"02/17/2025","7.2641","7.2593","7.2683","7.2418","","0.08%"
"02/14/2025","7.2580","7.2702","7.2915","7.2502","","-0.15%"
"02/13/2025","7.2687","7.3094","7.3137","7.2671","","-0.55%"
"02/12/2025","7.3089","7.3100","7.3246","7.3033","","0.01%"
"02/11/2025","7.3083","7.3109","7.3158","7.3052","","-0.01%"
"02/10/2025","7.3087","7.3052","7.3182","7.3035","","0.09%"
"02/07/2025","7.3019","7.2885","7.3111","7.2832","","0.19%"
"02/06/2025","7.2884","7.2821","7.3004","7.2752","","0.10%"
"02/05/2025","7.2808","7.2869","7.2956","7.2676","","-0.07%"
"02/04/2025","7.2858","7.3117","7.3367","7.2741","","-0.33%"
"02/03/2025","7.3097","7.3574","7.3636","7.3001","","-0.13%"
"01/31/2025","7.3193","7.2932","7.3303","7.2751","","0.38%"
"01/30/2025","7.2918","7.2633","7.2945","7.2579","","0.40%"
"01/29/2025","7.2628","7.2741","7.2810","7.2561","","-0.13%"
"01/28/2025","7.2719","7.2513","7.2863","7.2483","","0.30%"
"01/27/2025","7.2503","7.2428","7.2778","7.2379","","0.11%"
"01/24/2025","7.2423","7.2876","7.2891","7.2343","","-0.62%"
"01/23/2025","7.2874","7.2817","7.2983","7.2711","","0.09%"
"01/22/2025","7.2811","7.2667","7.2905","7.2631","","0.22%"
"01/21/2025","7.2652","7.2625","7.2969","7.2517","","0.06%"
"01/20/2025","7.2611","7.3398","7.3399","7.2593","","-1.06%"
"01/17/2025","7.3387","7.3462","7.3583","7.3329","","-0.10%"
