"Date","Price","Open","High","Low","Vol.","Change %"
"06/13/2025","1,366.85","1,355.27","1,374.15","1,353.29","","0.86%"
"06/12/2025","1,355.17","1,369.89","1,371.73","1,351.03","","-1.09%"
"06/11/2025","1,370.17","1,366.16","1,376.01","1,362.05","","0.29%"
"06/10/2025","1,366.22","1,354.33","1,369.44","1,350.90","","0.88%"
"06/09/2025","1,354.33","1,360.18","1,364.59","1,351.62","","-0.43%"
"06/08/2025","1,360.19","1,358.68","1,360.19","1,360.19","","0.00%"
"06/06/2025","1,360.18","1,355.54","1,362.51","1,353.11","","0.34%"
"06/05/2025","1,355.54","1,362.05","1,365.20","1,351.31","","-0.48%"
"06/04/2025","1,362.05","1,378.71","1,379.22","1,361.25","","-1.21%"
"06/03/2025","1,378.71","1,377.04","1,380.74","1,373.30","","0.12%"
"06/02/2025","1,377.05","1,382.99","1,383.74","1,371.01","","-0.43%"
"05/30/2025","1,382.99","1,371.39","1,384.13","1,368.19","","0.85%"
"05/29/2025","1,371.39","1,374.60","1,385.99","1,368.97","","-0.23%"
"05/28/2025","1,374.59","1,375.80","1,378.54","1,368.61","","-0.09%"
"05/27/2025","1,375.80","1,369.44","1,377.59","1,364.24","","0.46%"
"05/26/2025","1,369.44","1,365.72","1,372.23","1,359.86","","0.27%"
"05/23/2025","1,365.72","1,382.23","1,384.33","1,363.41","","-1.19%"
"05/22/2025","1,382.23","1,374.83","1,386.86","1,372.82","","0.54%"
"05/21/2025","1,374.83","1,393.73","1,394.46","1,367.25","","-1.36%"
"05/20/2025","1,393.72","1,389.55","1,397.30","1,388.38","","0.30%"
"05/19/2025","1,389.55","1,399.13","1,401.65","1,386.71","","-0.68%"
"05/16/2025","1,399.13","1,397.99","1,403.53","1,387.04","","0.08%"
"05/15/2025","1,397.99","1,408.31","1,412.85","1,389.43","","-0.73%"
"05/14/2025","1,408.31","1,416.99","1,422.68","1,389.07","","-0.61%"
"05/13/2025","1,416.99","1,417.03","1,429.13","1,407.50","","0.00%"
"05/12/2025","1,417.03","1,396.16","1,425.56","1,392.13","","1.49%"
"05/09/2025","1,396.16","1,404.82","1,415.75","1,394.36","","-0.62%"
"05/08/2025","1,404.82","1,398.39","1,406.96","1,391.75","","0.46%"
"05/07/2025","1,398.38","1,375.79","1,402.91","1,375.28","","1.64%"
"05/06/2025","1,375.79","1,375.37","1,390.89","1,373.12","","0.03%"
"05/05/2025","1,375.36","1,399.90","1,400.45","1,365.00","","-1.75%"
"05/02/2025","1,399.90","1,436.09","1,439.95","1,390.83","","-2.52%"
"05/01/2025","1,436.09","1,424.69","1,439.11","1,422.21","","0.80%"
"04/30/2025","1,424.69","1,432.14","1,434.26","1,419.13","","-0.52%"
"04/29/2025","1,432.14","1,436.85","1,442.02","1,430.84","","-0.33%"
"04/28/2025","1,436.84","1,438.36","1,446.79","1,434.71","","-0.11%"
"04/25/2025","1,438.36","1,431.03","1,444.25","1,430.18","","0.51%"
"04/24/2025","1,431.04","1,427.42","1,439.94","1,425.91","","0.25%"
"04/23/2025","1,427.42","1,430.19","1,431.72","1,419.91","","-0.19%"
"04/22/2025","1,430.19","1,422.63","1,430.67","1,417.61","","0.60%"
"04/21/2025","1,421.63","1,421.03","1,423.50","1,414.20","","-0.13%"
"04/18/2025","1,423.49","1,418.95","1,426.02","1,418.25","","0.43%"
"04/17/2025","1,417.42","1,415.21","1,423.73","1,414.14","","0.26%"
"04/16/2025","1,413.71","1,427.94","1,432.74","1,412.39","","-0.91%"
"04/15/2025","1,426.63","1,420.41","1,431.99","1,419.20","","0.51%"
"04/14/2025","1,419.41","1,421.05","1,432.05","1,416.55","","-0.01%"
"04/11/2025","1,419.53","1,453.88","1,457.87","1,417.92","","-2.29%"
"04/10/2025","1,452.73","1,445.96","1,466.04","1,445.96","","0.48%"
"04/09/2025","1,445.80","1,487.09","1,488.32","1,444.67","","-2.69%"
"04/08/2025","1,485.83","1,470.91","1,487.80","1,466.16","","1.08%"
"04/07/2025","1,469.91","1,459.52","1,472.30","1,456.72","","0.78%"
"04/04/2025","1,458.51","1,451.68","1,463.27","1,430.21","","0.55%"
"04/03/2025","1,450.57","1,466.14","1,473.05","1,449.82","","-0.86%"
"04/02/2025","1,463.19","1,470.94","1,474.35","1,460.23","","-0.46%"
"04/01/2025","1,469.94","1,473.05","1,477.90","1,467.10","","-0.14%"
"03/31/2025","1,472.05","1,470.40","1,477.32","1,468.30","","0.15%"
"03/28/2025","1,469.87","1,464.92","1,471.58","1,462.66","","0.36%"
"03/27/2025","1,464.66","1,468.82","1,471.89","1,463.26","","-0.22%"
"03/26/2025","1,467.87","1,463.65","1,471.01","1,461.52","","0.33%"
"03/25/2025","1,462.98","1,467.49","1,471.16","1,463.10","","-0.27%"
"03/24/2025","1,466.98","1,466.10","1,470.77","1,461.85","","0.25%"
"03/21/2025","1,463.32","1,467.07","1,469.45","1,460.79","","-0.16%"
