"Date","Price","Open","High","Low","Vol.","Change %"
"06/13/2025","4.2455","4.2175","4.2525","4.2155","","0.58%"
"06/12/2025","4.2210","4.2340","4.2340","4.2210","","-0.39%"
"06/11/2025","4.2375","4.2330","4.2415","4.2325","","0.05%"
"06/10/2025","4.2355","4.2350","4.2385","4.2285","","0.12%"
"06/09/2025","4.2305","4.2425","4.2450","4.2253","","0.07%"
"06/06/2025","4.2275","4.2295","4.2330","4.2250","","-0.06%"
"06/05/2025","4.2300","4.2450","4.2505","4.2275","","-0.40%"
"06/04/2025","4.2470","4.2500","4.2565","4.2405","","0.05%"
"06/03/2025","4.2450","4.2565","4.2565","4.2350","","-0.27%"
"06/02/2025","4.2565","4.2565","4.2565","4.2565","","0.00%"
"05/30/2025","4.2565","4.2400","4.2600","4.2200","","0.29%"
"05/29/2025","4.2440","4.2300","4.2585","4.2290","","0.45%"
"05/28/2025","4.2250","4.2425","4.2560","4.2240","","-0.33%"
"05/27/2025","4.2390","4.2150","4.2400","4.1965","","0.47%"
"05/26/2025","4.2190","4.2310","4.2330","4.2010","","-0.28%"
"05/23/2025","4.2310","4.2700","4.2775","4.2300","","-1.03%"
"05/22/2025","4.2750","4.2700","4.2785","4.2445","","0.12%"
"05/21/2025","4.2700","4.2950","4.2950","4.2625","","-0.67%"
"05/20/2025","4.2990","4.2950","4.3155","4.2835","","0.19%"
"05/19/2025","4.2910","4.2960","4.3155","4.2910","","-0.12%"
"05/16/2025","4.2960","4.2800","4.2960","4.2645","","0.30%"
"05/15/2025","4.2830","4.2950","4.3040","4.2766","","-0.16%"
"05/14/2025","4.2900","4.3160","4.3185","4.2840","","-0.75%"
"05/13/2025","4.3225","4.3350","4.3405","4.3175","","0.59%"
"05/12/2025","4.2970","4.2970","4.2970","4.2970","","0.00%"
"05/09/2025","4.2970","4.2825","4.3260","4.2825","","0.37%"
"05/08/2025","4.2810","4.2450","4.2840","4.2450","","0.99%"
"05/07/2025","4.2390","4.2175","4.2450","4.2150","","0.15%"
"05/06/2025","4.2325","4.2025","4.2430","4.2025","","0.77%"
"05/05/2025","4.2000","4.2615","4.2615","4.1865","","-1.44%"
"05/02/2025","4.2615","4.3200","4.3305","4.2550","","-1.24%"
"05/01/2025","4.3150","4.3150","4.3150","4.3150","","0.00%"
"04/30/2025","4.3150","4.3250","4.3260","4.3040","","-0.29%"
"04/29/2025","4.3275","4.3600","4.3600","4.3190","","-0.81%"
"04/28/2025","4.3630","4.3740","4.3805","4.3620","","-0.25%"
"04/25/2025","4.3740","4.3695","4.3815","4.3680","","0.02%"
"04/24/2025","4.3730","4.3950","4.4100","4.3690","","-0.41%"
"04/23/2025","4.3910","4.3925","4.4150","4.3910","","-0.01%"
"04/22/2025","4.3915","4.3785","4.3920","4.3760","","0.56%"
"04/21/2025","4.3670","4.4075","4.4075","4.3690","","-0.98%"
"04/18/2025","4.4100","4.4095","4.4175","4.4040","","0.11%"
"04/17/2025","4.4050","4.4105","4.4210","4.3925","","-0.07%"
"04/16/2025","4.4080","4.4150","4.4205","4.4075","","-0.05%"
"04/15/2025","4.4100","4.4150","4.4205","4.4000","","0.00%"
"04/14/2025","4.4100","4.4225","4.4315","4.4035","","-0.23%"
"04/11/2025","4.4200","4.4650","4.4650","4.4160","","-1.03%"
"04/10/2025","4.4660","4.4925","4.4925","4.4655","","-0.62%"
"04/09/2025","4.4940","4.5025","4.5075","4.4870","","0.11%"
