"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2025","3.6562","3.6545","3.6571","3.6545","","0.03%"
"07/06/2025","3.6550","3.6550","3.6550","3.6550","","0.00%"
"07/05/2025","3.6550","3.6550","3.6550","3.6550","","0.28%"
"07/04/2025","3.6448","3.6450","3.6482","3.6415","","0.00%"
"07/03/2025","3.6447","3.6450","3.6550","3.6409","","0.00%"
"07/02/2025","3.6447","3.6448","3.6550","3.6409","","0.00%"
"07/01/2025","3.6448","3.6450","3.6550","3.6409","","0.01%"
"06/30/2025","3.6445","3.6449","3.6545","3.6354","","-0.29%"
"06/29/2025","3.6550","3.6449","3.6550","3.6436","","0.27%"
"06/28/2025","3.6450","3.6450","3.6450","3.6450","","0.00%"
"06/27/2025","3.6450","3.6448","3.6550","3.6420","","-0.02%"
"06/26/2025","3.6458","3.6450","3.6480","3.6418","","0.02%"
"06/25/2025","3.6450","3.6452","3.6493","3.6406","","0.00%"
"06/24/2025","3.6450","3.6455","3.6499","3.6409","","-0.01%"
"06/23/2025","3.6453","3.6455","3.6578","3.6330","","0.00%"
"06/22/2025","3.6453","3.6453","3.6453","3.6453","","-0.01%"
"06/21/2025","3.6455","3.6455","3.6455","3.6455","","0.00%"
"06/20/2025","3.6455","3.6452","3.6491","3.6417","","0.01%"
"06/19/2025","3.6453","3.6452","3.6508","3.6397","","0.00%"
"06/18/2025","3.6452","3.6450","3.6506","3.6396","","-0.01%"
"06/17/2025","3.6456","3.6450","3.6511","3.6390","","-0.01%"
"06/16/2025","3.6458","3.6448","3.6648","3.6251","","0.02%"
"06/15/2025","3.6450","3.6451","3.6464","3.6438","","0.01%"
"06/14/2025","3.6447","3.6447","3.6447","3.6447","","0.00%"
"06/13/2025","3.6447","3.6449","3.6598","3.6300","","-0.01%"
"06/12/2025","3.6449","3.6451","3.6564","3.6396","","0.02%"
"06/11/2025","3.6443","3.6445","3.6550","3.6393","","0.04%"
"06/10/2025","3.6430","3.6439","3.6486","3.6388","","-0.02%"
"06/09/2025","3.6439","3.6440","3.6595","3.6335","","0.00%"
"06/08/2025","3.6439","3.6439","3.6439","3.6439","","0.00%"
"06/07/2025","3.6439","3.6439","3.6439","3.6439","","0.00%"
"06/06/2025","3.6439","3.6439","3.6550","3.6389","","0.00%"
"06/05/2025","3.6439","3.6453","3.6508","3.6378","","0.00%"
"06/04/2025","3.6439","3.6449","3.6506","3.6374","","-0.03%"
"06/03/2025","3.6450","3.6448","3.6504","3.6392","","0.02%"
"06/02/2025","3.6444","3.6443","3.6569","3.6322","","-0.02%"
"06/01/2025","3.6450","3.6448","3.6463","3.6435","","0.02%"
"05/31/2025","3.6444","3.6444","3.6444","3.6444","","0.00%"
"05/30/2025","3.6444","3.6445","3.6484","3.6408","","0.00%"
"05/29/2025","3.6445","3.6448","3.6564","3.6391","","0.01%"
"05/28/2025","3.6442","3.6448","3.6503","3.6390","","0.00%"
"05/27/2025","3.6441","3.6448","3.6510","3.6374","","-0.01%"
"05/26/2025","3.6446","3.6446","3.6598","3.6323","","-0.01%"
"05/25/2025","3.6450","3.6448","3.6550","3.6435","","0.01%"
"05/24/2025","3.6448","3.6448","3.6448","3.6448","","0.00%"
"05/23/2025","3.6448","3.6443","3.6490","3.6408","","0.01%"
"05/22/2025","3.6444","3.6448","3.6501","3.6391","","-0.01%"
"05/21/2025","3.6446","3.6452","3.6564","3.6392","","-0.02%"
"05/20/2025","3.6455","3.6450","3.6550","3.6388","","0.02%"
"05/19/2025","3.6447","3.6448","3.6547","3.6350","","-0.01%"
"05/18/2025","3.6450","3.6455","3.6550","3.6440","","0.01%"
"05/17/2025","3.6448","3.6448","3.6448","3.6448","","0.00%"
"05/16/2025","3.6448","3.6448","3.6477","3.6419","","-0.02%"
"05/15/2025","3.6455","3.6455","3.6550","3.6409","","0.02%"
"05/14/2025","3.6449","3.6454","3.6497","3.6409","","0.00%"
"05/13/2025","3.6449","3.6453","3.6550","3.6407","","-0.01%"
"05/12/2025","3.6452","3.6449","3.6600","3.6327","","0.00%"
"05/11/2025","3.6453","3.6453","3.6454","3.6452","","0.01%"
"05/10/2025","3.6450","3.6450","3.6450","3.6450","","0.00%"
"05/09/2025","3.6450","3.6438","3.6491","3.6413","","-0.01%"
"05/08/2025","3.6453","3.6453","3.6508","3.6398","","0.00%"
"05/07/2025","3.6452","3.6453","3.6507","3.6397","","0.00%"
"05/06/2025","3.6452","3.6453","3.6550","3.6397","","0.00%"
"05/05/2025","3.6452","3.6450","3.6600","3.6328","","0.01%"
"05/03/2025","3.6450","3.6450","3.6450","3.6450","","0.00%"
"05/02/2025","3.6450","3.6450","3.6486","3.6414","","0.00%"
"05/01/2025","3.6450","3.6448","3.6486","3.6413","","-0.06%"
"04/30/2025","3.6471","3.6448","3.6508","3.6393","","0.05%"
"04/29/2025","3.6454","3.6474","3.6511","3.6396","","-0.05%"
"04/28/2025","3.6472","3.6448","3.6574","3.6329","","0.06%"
"04/26/2025","3.6449","3.6449","3.6449","3.6449","","0.00%"
"04/25/2025","3.6449","3.6449","3.6501","3.6411","","0.00%"
"04/24/2025","3.6449","3.6454","3.6522","3.6397","","-0.01%"
"04/23/2025","3.6454","3.6453","3.6550","3.6398","","0.00%"
"04/22/2025","3.6454","3.6452","3.6507","3.6398","","0.21%"
"04/21/2025","3.6377","3.6450","3.6599","3.6303","","0.17%"
"04/19/2025","3.6315","3.6315","3.6315","3.6315","","0.00%"
"04/18/2025","3.6315","3.6450","3.6494","3.6407","","0.00%"
"04/17/2025","3.6315","3.6452","3.6517","3.6385","","-0.17%"
"04/16/2025","3.6377","3.6451","3.6520","3.6385","","0.16%"
"04/15/2025","3.6319","3.6451","3.6519","3.6387","","0.00%"
"04/14/2025","3.6318","3.6453","3.6600","3.6303","","-0.16%"
"04/12/2025","3.6377","3.6377","3.6377","3.6377","","0.00%"
"04/11/2025","3.6377","3.6453","3.6518","3.6388","","-0.19%"
"04/10/2025","3.6445","3.6453","3.6518","3.6388","","0.35%"
"04/09/2025","3.6319","3.6455","3.6520","3.6390","","-0.35%"
"04/08/2025","3.6445","3.6453","3.6517","3.6387","","0.34%"
"04/07/2025","3.6321","3.6453","3.6599","3.6304","","-0.15%"
"04/05/2025","3.6377","3.6377","3.6377","3.6377","","0.00%"
"04/04/2025","3.6377","3.6453","3.6518","3.6389","","-0.19%"
"04/03/2025","3.6445","3.6453","3.6520","3.6390","","0.00%"
"04/02/2025","3.6445","3.6453","3.6550","3.6390","","0.00%"
"04/01/2025","3.6445","3.6453","3.6540","3.6367","","0.09%"
"03/31/2025","3.6412","3.6453","3.6650","3.6257","","-0.09%"
"03/29/2025","3.6445","3.6445","3.6445","3.6445","","0.00%"
"03/28/2025","3.6445","3.6453","3.6506","3.6401","","0.00%"
"03/27/2025","3.6445","3.6453","3.6508","3.6401","","0.00%"
"03/26/2025","3.6445","3.6453","3.6510","3.6402","","0.00%"
"03/25/2025","3.6445","3.6453","3.6509","3.6401","","0.00%"
"03/24/2025","3.6445","3.6453","3.6602","3.6332","","0.00%"
"03/22/2025","3.6445","3.6453","3.6453","3.6453","","0.00%"
"03/21/2025","3.6445","3.6453","3.6506","3.6401","","0.00%"
"03/20/2025","3.6445","3.6453","3.6511","3.6401","","0.00%"
"03/19/2025","3.6445","3.6453","3.6509","3.6402","","0.00%"
"03/18/2025","3.6445","3.6448","3.6509","3.6399","","0.01%"
"03/17/2025","3.6440","3.6452","3.6549","3.6353","","0.00%"
"03/15/2025","3.6440","3.6440","3.6440","3.6440","","0.00%"
"03/14/2025","3.6440","3.6448","3.6491","3.6409","","0.00%"
"03/13/2025","3.6440","3.6448","3.6497","3.6409","","0.00%"
"03/12/2025","3.6440","3.6450","3.6495","3.6407","","0.22%"
"03/11/2025","3.6361","3.6448","3.6550","3.6408","","-0.22%"
"03/10/2025","3.6440","3.6448","3.6548","3.6353","","-0.01%"
"03/08/2025","3.6445","3.6448","3.6448","3.6448","","0.01%"
"03/07/2025","3.6440","3.6448","3.6491","3.6408","","0.00%"
"03/06/2025","3.6440","3.6448","3.6494","3.6407","","0.00%"
"03/05/2025","3.6440","3.6448","3.6493","3.6407","","0.00%"
"03/04/2025","3.6440","3.6445","3.6493","3.6406","","0.00%"
"03/03/2025","3.6440","3.6445","3.6548","3.6351","","0.00%"
"03/01/2025","3.6440","3.6440","3.6440","3.6440","","0.00%"
"02/28/2025","3.6440","3.6445","3.6490","3.6405","","0.00%"
"02/27/2025","3.6440","3.6453","3.6492","3.6404","","-0.01%"
"02/26/2025","3.6445","3.6453","3.6491","3.6406","","0.00%"
"02/25/2025","3.6445","3.6452","3.6493","3.6406","","0.23%"
"02/24/2025","3.6360","3.6452","3.6549","3.6352","","-0.24%"
"02/22/2025","3.6447","3.6447","3.6447","3.6447","","0.00%"
"02/21/2025","3.6447","3.6452","3.6494","3.6409","","0.00%"
"02/20/2025","3.6447","3.6452","3.6496","3.6407","","0.00%"
"02/19/2025","3.6447","3.6450","3.6495","3.6409","","0.01%"
"02/18/2025","3.6445","3.6450","3.6497","3.6409","","0.00%"
"02/17/2025","3.6445","3.6458","3.6554","3.6355","","-0.02%"
"02/15/2025","3.6453","3.6453","3.6453","3.6453","","0.00%"
"02/14/2025","3.6453","3.6458","3.6499","3.6414","","0.00%"
"02/13/2025","3.6453","3.6458","3.6498","3.6411","","0.00%"
"02/12/2025","3.6453","3.6458","3.6500","3.6408","","0.00%"
"02/11/2025","3.6453","3.6452","3.6498","3.6406","","0.25%"
"02/10/2025","3.6362","3.6458","3.6549","3.6347","","-0.25%"
"02/08/2025","3.6453","3.6453","3.6453","3.6453","","0.00%"
"02/07/2025","3.6453","3.6458","3.6550","3.6386","","0.00%"
"02/06/2025","3.6453","3.6458","3.6517","3.6383","","0.00%"
"02/05/2025","3.6453","3.6458","3.6518","3.6387","","0.00%"
"02/04/2025","3.6453","3.6458","3.6518","3.6386","","0.00%"
