"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2025","3.7506","3.7504","3.7507","3.7484","","0.00%"
"07/06/2025","3.7505","3.7504","3.7505","3.7502","","0.00%"
"07/05/2025","3.7504","3.7504","3.7504","3.7504","","0.00%"
"07/04/2025","3.7504","3.7503","3.7509","3.7498","","0.00%"
"07/03/2025","3.7503","3.7502","3.7507","3.7501","","0.00%"
"07/02/2025","3.7502","3.7503","3.7508","3.7497","","0.00%"
"07/01/2025","3.7503","3.7505","3.7511","3.7497","","0.00%"
"06/30/2025","3.7504","3.7505","3.7511","3.7498","","0.00%"
"06/29/2025","3.7505","3.7505","3.7513","3.7497","","0.00%"
"06/28/2025","3.7505","3.7507","3.7507","3.7505","","0.00%"
"06/27/2025","3.7505","3.7505","3.7520","3.7502","","0.00%"
"06/26/2025","3.7505","3.7505","3.7523","3.7499","","0.00%"
"06/25/2025","3.7505","3.7513","3.7523","3.7498","","-0.02%"
"06/24/2025","3.7513","3.7520","3.7527","3.7505","","-0.02%"
"06/23/2025","3.7520","3.7533","3.7545","3.7513","","-0.03%"
"06/22/2025","3.7533","3.7527","3.7545","3.7514","","0.03%"
"06/21/2025","3.7523","3.7523","3.7525","3.7522","","0.00%"
"06/20/2025","3.7523","3.7524","3.7547","3.7513","","0.00%"
"06/19/2025","3.7524","3.7519","3.7545","3.7506","","0.01%"
"06/18/2025","3.7519","3.7519","3.7537","3.7506","","0.00%"
"06/17/2025","3.7519","3.7519","3.7535","3.7499","","0.00%"
"06/16/2025","3.7519","3.7533","3.7549","3.7508","","-0.04%"
"06/15/2025","3.7535","3.7505","3.7535","3.7505","","0.01%"
"06/14/2025","3.7533","3.7533","3.7533","3.7533","","0.00%"
"06/13/2025","3.7533","3.7515","3.7559","3.7505","","0.05%"
"06/12/2025","3.7515","3.7506","3.7517","3.7505","","0.02%"
"06/11/2025","3.7506","3.7505","3.7509","3.7504","","0.00%"
"06/10/2025","3.7505","3.7505","3.7508","3.7504","","0.00%"
"06/09/2025","3.7505","3.7505","3.7512","3.7500","","0.00%"
"06/08/2025","3.7506","3.7506","3.7506","3.7506","","0.00%"
"06/07/2025","3.7506","3.7506","3.7506","3.7506","","0.00%"
"06/06/2025","3.7506","3.7506","3.7511","3.7501","","0.00%"
"06/05/2025","3.7506","3.7509","3.7514","3.7501","","-0.01%"
"06/04/2025","3.7509","3.7507","3.7514","3.7502","","0.01%"
"06/03/2025","3.7507","3.7511","3.7517","3.7503","","-0.01%"
"06/02/2025","3.7511","3.7509","3.7523","3.7504","","0.01%"
"06/01/2025","3.7508","3.7517","3.7522","3.7508","","-0.02%"
"05/31/2025","3.7517","3.7517","3.7517","3.7517","","0.00%"
"05/30/2025","3.7517","3.7518","3.7523","3.7508","","0.00%"
"05/29/2025","3.7518","3.7509","3.7523","3.7503","","0.02%"
"05/28/2025","3.7509","3.7509","3.7515","3.7500","","0.00%"
"05/27/2025","3.7509","3.7507","3.7514","3.7500","","0.01%"
"05/26/2025","3.7507","3.7506","3.7511","3.7501","","0.00%"
"05/25/2025","3.7506","3.7509","3.7515","3.7501","","-0.01%"
"05/24/2025","3.7510","3.7501","3.7510","3.7501","","0.00%"
"05/23/2025","3.7510","3.7510","3.7516","3.7501","","0.00%"
"05/22/2025","3.7510","3.7506","3.7516","3.7503","","0.01%"
"05/21/2025","3.7506","3.7505","3.7514","3.7500","","0.00%"
"05/20/2025","3.7505","3.7507","3.7514","3.7500","","-0.01%"
"05/19/2025","3.7507","3.7508","3.7515","3.7503","","0.00%"
"05/18/2025","3.7508","3.7508","3.7514","3.7503","","0.01%"
"05/17/2025","3.7506","3.7506","3.7506","3.7506","","-0.01%"
"05/16/2025","3.7508","3.7508","3.7514","3.7503","","0.00%"
"05/15/2025","3.7508","3.7508","3.7514","3.7503","","0.00%"
"05/14/2025","3.7508","3.7507","3.7514","3.7502","","0.00%"
"05/13/2025","3.7507","3.7508","3.7514","3.7502","","0.00%"
"05/12/2025","3.7508","3.7508","3.7514","3.7502","","0.00%"
"05/11/2025","3.7508","3.7511","3.7511","3.7508","","0.00%"
"05/10/2025","3.7508","3.7508","3.7508","3.7508","","0.00%"
"05/09/2025","3.7508","3.7509","3.7515","3.7503","","0.00%"
"05/08/2025","3.7509","3.7509","3.7515","3.7503","","0.00%"
"05/07/2025","3.7509","3.7509","3.7516","3.7501","","0.00%"
"05/06/2025","3.7509","3.7505","3.7515","3.7500","","0.01%"
"05/05/2025","3.7505","3.7501","3.7513","3.7498","","0.01%"
"05/03/2025","3.7501","3.7501","3.7501","3.7501","","0.00%"
"05/02/2025","3.7501","3.7504","3.7512","3.7496","","-0.01%"
"05/01/2025","3.7504","3.7509","3.7530","3.7497","","-0.02%"
"04/30/2025","3.7510","3.7509","3.7519","3.7507","","0.00%"
"04/29/2025","3.7509","3.7513","3.7519","3.7505","","-0.01%"
"04/28/2025","3.7513","3.7511","3.7520","3.7507","","0.00%"
"04/26/2025","3.7513","3.7515","3.7515","3.7513","","0.00%"
"04/25/2025","3.7513","3.7511","3.7519","3.7506","","0.01%"
"04/24/2025","3.7511","3.7510","3.7517","3.7506","","0.00%"
"04/23/2025","3.7510","3.7510","3.7518","3.7505","","0.00%"
"04/22/2025","3.7510","3.7518","3.7522","3.7505","","-0.02%"
"04/21/2025","3.7517","3.7522","3.7525","3.7512","","-0.01%"
"04/19/2025","3.7520","3.7522","3.7522","3.7521","","0.00%"
"04/18/2025","3.7519","3.7522","3.7540","3.7520","","0.00%"
"04/17/2025","3.7520","3.7524","3.7540","3.7517","","-0.01%"
"04/16/2025","3.7523","3.7524","3.7530","3.7508","","0.00%"
"04/15/2025","3.7523","3.7529","3.7534","3.7518","","-0.01%"
"04/14/2025","3.7526","3.7541","3.7548","3.7523","","-0.03%"
"04/12/2025","3.7538","3.7540","3.7540","3.7540","","0.00%"
"04/11/2025","3.7538","3.7538","3.7545","3.7533","","0.01%"
"04/10/2025","3.7536","3.7543","3.7560","3.7532","","-0.01%"
"04/09/2025","3.7540","3.7539","3.7564","3.7538","","0.01%"
"04/08/2025","3.7538","3.7548","3.7550","3.7526","","-0.02%"
"04/07/2025","3.7544","3.7529","3.7555","3.7506","","0.05%"
"04/05/2025","3.7524","3.7527","3.7527","3.7527","","0.00%"
