"Date","Price","Open","High","Low","Vol.","Change %"
"06/13/2025","26,075.0","26,055.0","26,099.5","26,025.0","","0.14%"
"06/12/2025","26,037.5","26,020.0","26,042.5","26,010.0","","0.03%"
"06/11/2025","26,030.0","26,005.0","26,040.0","26,000.0","","0.07%"
"06/10/2025","26,012.5","26,042.5","26,065.0","26,010.0","","-0.12%"
"06/09/2025","26,042.5","26,094.0","26,094.0","26,022.5","","-0.04%"
"06/06/2025","26,054.0","26,075.0","26,097.0","26,030.5","","-0.11%"
"06/05/2025","26,082.5","26,085.0","26,126.5","26,058.0","","-0.01%"
"06/04/2025","26,084.0","26,045.0","26,098.0","26,025.0","","0.11%"
"06/03/2025","26,055.0","26,030.0","26,083.5","25,998.5","","0.10%"
"06/02/2025","26,029.0","26,025.0","26,046.5","25,980.0","","0.03%"
"05/30/2025","26,021.5","25,985.0","26,045.0","25,935.0","","-0.01%"
"05/29/2025","26,025.0","25,995.5","26,074.5","25,994.5","","0.21%"
"05/28/2025","25,970.0","25,915.0","25,975.0","25,911.5","","0.20%"
"05/27/2025","25,917.5","25,915.0","25,960.0","25,889.5","","0.02%"
"05/26/2025","25,912.5","25,961.0","25,965.0","25,890.5","","-0.16%"
"05/23/2025","25,954.0","25,970.0","25,987.0","25,939.5","","-0.09%"
"05/22/2025","25,976.5","25,980.0","25,988.5","25,945.0","","0.01%"
"05/21/2025","25,973.0","25,970.0","25,984.5","25,930.0","","0.01%"
"05/20/2025","25,970.0","25,950.0","25,978.0","25,935.0","","0.09%"
"05/19/2025","25,947.5","25,920.0","25,961.0","25,907.5","","0.10%"
"05/16/2025","25,921.5","25,925.0","25,971.0","25,903.0","","-0.10%"
"05/15/2025","25,947.5","25,930.0","25,962.5","25,906.0","","0.07%"
"05/14/2025","25,930.0","25,945.0","25,985.0","25,914.0","","-0.12%"
"05/13/2025","25,961.5","25,975.0","25,986.5","25,913.5","","-0.04%"
"05/12/2025","25,971.0","25,970.0","25,982.5","25,918.0","","-0.03%"
"05/09/2025","25,978.5","25,967.5","25,997.0","25,948.0","","0.06%"
"05/08/2025","25,963.5","25,960.0","25,988.0","25,951.0","","0.00%"
"05/07/2025","25,962.5","25,965.0","25,980.0","25,912.5","","0.00%"
"05/06/2025","25,963.5","25,955.0","25,988.5","25,949.0","","0.02%"
"05/05/2025","25,957.5","26,000.0","26,018.5","25,934.0","","-0.18%"
"05/02/2025","26,005.0","26,005.0","26,005.0","26,005.0","","0.00%"
