"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2025","595.59","595.52","595.85","595.31","","0.03%"
"06/30/2025","595.41","600.37","600.50","594.74","","-0.77%"
"06/27/2025","600.02","601.76","604.41","597.76","","-0.32%"
"06/26/2025","601.96","605.35","605.35","599.52","","-0.52%"
"06/25/2025","605.11","598.69","606.93","598.69","","1.09%"
"06/24/2025","598.58","587.39","598.80","587.39","","1.95%"
"06/23/2025","587.13","584.18","587.20","577.17","","0.50%"
"06/20/2025","584.22","577.95","584.67","577.95","","1.07%"
"06/19/2025","578.05","589.76","589.76","576.36","","-1.99%"
"06/18/2025","589.77","595.45","595.45","587.39","","-0.95%"
"06/17/2025","595.41","596.35","599.30","593.43","","-0.13%"
"06/16/2025","596.21","591.79","597.11","587.53","","0.74%"
"06/13/2025","591.85","596.88","598.14","589.86","","-0.89%"
"06/12/2025","597.15","603.84","603.84","596.22","","-0.99%"
"06/11/2025","603.14","596.72","604.08","596.72","","1.09%"
"06/10/2025","596.64","597.19","599.94","591.82","","-0.09%"
"06/09/2025","597.15","588.26","597.49","588.26","","1.53%"
"06/06/2025","588.18","590.61","591.44","586.19","","-0.42%"
"06/05/2025","590.68","585.11","591.03","585.11","","0.98%"
"06/04/2025","584.93","579.73","585.45","579.70","","0.90%"
"06/03/2025","579.74","571.32","579.83","571.32","","1.48%"
"06/02/2025","571.31","574.03","574.03","560.71","","-0.48%"
"05/30/2025","574.08","585.23","585.23","573.15","","-1.87%"
"05/29/2025","585.03","577.19","585.59","575.65","","1.36%"
"05/28/2025","577.17","580.52","582.63","576.19","","-0.54%"
"05/27/2025","580.33","581.42","583.96","578.22","","-0.16%"
"05/26/2025","581.27","589.56","589.64","580.25","","-1.49%"
"05/23/2025","590.06","589.43","593.98","586.88","","0.11%"
"05/22/2025","589.42","595.10","595.36","586.88","","-0.88%"
"05/21/2025","594.64","590.54","597.35","590.54","","0.68%"
"05/20/2025","590.60","584.87","592.11","584.76","","0.96%"
"05/19/2025","584.96","585.65","586.72","578.34","","-0.22%"
"05/16/2025","586.23","590.13","590.13","583.55","","-0.73%"
"05/15/2025","590.55","595.85","597.55","589.03","","-0.85%"
"05/14/2025","595.63","583.05","596.16","583.05","","2.17%"
"05/13/2025","582.99","592.17","592.69","581.45","","-1.52%"
"05/12/2025","592.01","573.62","592.76","573.62","","3.22%"
"05/09/2025","573.52","573.54","575.99","570.26","","0.05%"
"05/08/2025","573.21","570.05","577.76","568.00","","0.50%"
