"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2025","212.08","213.57","214.05","211.70","","-0.61%"
"06/30/2025","213.38","214.71","215.35","212.92","","-0.49%"
"06/27/2025","214.42","211.43","214.42","211.43","","1.63%"
"06/26/2025","210.99","210.28","211.69","209.98","","0.47%"
"06/25/2025","210.01","211.46","211.94","209.81","","-0.66%"
"06/24/2025","211.41","208.12","213.03","208.12","","1.57%"
"06/23/2025","208.14","208.52","209.18","206.60","","-0.33%"
"06/20/2025","208.83","206.86","210.15","206.86","","1.08%"
"06/19/2025","206.59","208.20","208.40","206.59","","-1.15%"
"06/18/2025","209.00","210.07","210.40","208.45","","-0.60%"
"06/17/2025","210.26","211.44","211.44","209.27","","-1.11%"
"06/16/2025","212.62","211.13","212.72","210.82","","0.79%"
"06/13/2025","210.96","212.85","212.85","209.65","","-1.12%"
"06/12/2025","213.34","214.30","214.30","212.04","","-0.76%"
"06/11/2025","214.98","215.27","216.53","214.98","","-0.16%"
"06/10/2025","215.32","216.88","216.88","214.99","","-0.75%"
"06/09/2025","216.95","217.89","217.98","216.26","","-0.56%"
"06/06/2025","218.17","218.17","218.61","217.43","","-0.10%"
"06/05/2025","218.38","217.58","219.56","217.39","","0.37%"
"06/04/2025","217.58","216.14","217.98","216.14","","0.68%"
"06/03/2025","216.10","215.07","216.10","214.10","","0.52%"
"06/02/2025","214.99","214.89","215.50","213.42","","-0.28%"
"05/30/2025","215.60","215.12","217.22","215.12","","0.27%"
"05/29/2025","215.01","216.24","217.74","214.86","","-0.51%"
"05/28/2025","216.11","217.96","218.46","216.11","","-0.84%"
"05/27/2025","217.94","216.27","218.58","216.17","","0.80%"
"05/26/2025","216.22","213.87","216.38","213.87","","1.58%"
"05/23/2025","212.86","216.28","217.22","209.78","","-1.53%"
"05/22/2025","216.17","217.32","217.32","214.76","","-0.58%"
"05/21/2025","217.44","216.78","217.64","215.24","","0.30%"
"05/20/2025","216.78","215.95","217.17","215.43","","0.48%"
"05/19/2025","215.75","214.52","215.75","213.58","","0.59%"
"05/16/2025","214.48","214.69","215.65","213.54","","0.11%"
"05/15/2025","214.24","212.39","214.24","210.92","","0.67%"
"05/14/2025","212.82","214.09","214.24","212.17","","-0.52%"
"05/13/2025","213.94","213.71","214.56","213.33","","0.10%"
"05/12/2025","213.72","213.90","216.84","212.00","","0.29%"
"05/09/2025","213.10","212.96","213.46","212.47","","0.27%"
"05/08/2025","212.53","211.30","213.15","211.30","","0.69%"
"05/07/2025","211.07","212.24","212.56","210.91","","-0.51%"
"05/06/2025","212.16","213.00","213.52","208.70","","-0.38%"
"05/05/2025","212.97","211.13","213.10","210.53","","0.82%"
"05/02/2025","211.24","206.68","211.24","206.68","","2.20%"
"04/30/2025","206.70","206.57","207.79","204.35","","0.27%"
"04/29/2025","206.15","205.01","206.38","205.01","","0.69%"
"04/28/2025","204.74","204.91","206.38","204.56","","-0.06%"
"04/25/2025","204.86","203.94","205.23","203.30","","0.76%"
"04/24/2025","203.31","201.78","203.42","200.08","","0.56%"
"04/23/2025","202.18","196.26","202.72","196.26","","3.02%"
"04/22/2025","196.25","195.44","196.25","194.02","","0.42%"
"04/17/2025","195.42","196.68","197.27","194.72","","-0.38%"
"04/16/2025","196.16","194.91","196.18","192.89","","0.29%"
"04/15/2025","195.59","192.91","195.85","192.91","","1.46%"
"04/14/2025","192.77","187.58","193.60","187.58","","2.80%"
"04/11/2025","187.52","189.07","191.01","185.15","","-0.73%"
"04/10/2025","188.90","185.42","194.78","185.42","","4.20%"
"04/09/2025","181.29","186.57","186.57","178.66","","-2.87%"
"04/08/2025","186.65","182.13","188.22","182.13","","2.48%"
"04/07/2025","182.13","189.55","191.27","174.16","","-3.93%"
"04/04/2025","189.58","198.74","198.74","187.68","","-4.74%"
"04/03/2025","199.02","205.02","205.02","198.60","","-2.93%"
"04/02/2025","205.02","205.82","205.82","202.75","","-0.49%"
"04/01/2025","206.03","203.51","206.33","203.51","","1.56%"
"03/31/2025","202.87","204.89","204.89","201.20","","-1.28%"
"03/28/2025","205.49","207.28","207.28","204.78","","-0.98%"
"03/27/2025","207.53","208.38","208.38","205.68","","-0.66%"
"03/26/2025","208.90","211.43","212.17","208.83","","-1.16%"
"03/25/2025","211.36","209.47","212.11","209.17","","0.98%"
"03/24/2025","209.31","210.54","211.86","208.97","","-0.20%"
"03/21/2025","209.72","210.40","210.40","208.14","","-0.46%"
"03/20/2025","210.69","213.04","213.44","209.12","","-1.12%"
"03/19/2025","213.07","213.91","213.92","211.62","","-0.40%"
"03/18/2025","213.92","212.02","214.94","212.02","","0.98%"
"03/17/2025","211.84","210.33","211.85","209.85","","0.71%"
"03/14/2025","210.35","206.65","211.05","205.90","","1.71%"
"03/13/2025","206.82","207.23","208.52","205.37","","-0.49%"
"03/12/2025","207.84","205.05","208.83","205.05","","1.50%"
"03/11/2025","204.76","207.74","209.48","204.25","","-1.44%"
"03/10/2025","207.75","211.41","212.50","206.63","","-1.58%"
"03/07/2025","211.09","214.70","214.70","209.83","","-1.74%"
"03/06/2025","214.82","211.87","215.34","211.74","","1.45%"
"03/05/2025","211.76","204.87","212.60","204.66","","3.39%"
"03/04/2025","204.81","212.13","212.13","204.81","","-3.49%"
"03/03/2025","212.21","207.25","213.59","206.79","","2.40%"
"02/28/2025","207.24","207.08","207.24","205.20","","-0.07%"
"02/27/2025","207.38","209.42","209.42","205.85","","-1.06%"
"02/26/2025","209.60","206.29","209.92","206.29","","1.64%"
"02/25/2025","206.21","206.12","207.61","205.44","","-0.05%"
"02/24/2025","206.31","205.31","207.27","204.72","","0.51%"
"02/21/2025","205.27","205.34","206.08","204.63","","0.04%"
"02/20/2025","205.18","206.41","207.61","205.01","","-0.44%"
"02/19/2025","206.08","209.74","210.55","205.91","","-1.75%"
"02/18/2025","209.76","209.74","210.14","208.58","","0.10%"
"02/17/2025","209.54","206.91","209.62","206.87","","1.25%"
"02/14/2025","206.96","208.24","208.24","206.53","","-0.67%"
"02/13/2025","208.35","204.07","208.43","204.07","","2.19%"
"02/12/2025","203.88","203.25","204.16","202.48","","0.37%"
"02/11/2025","203.13","201.78","203.13","201.64","","0.64%"
"02/10/2025","201.83","200.76","202.09","200.63","","0.60%"
"02/07/2025","200.62","201.72","202.09","200.40","","-0.52%"
"02/06/2025","201.67","198.87","201.82","198.87","","1.48%"
"02/05/2025","198.73","197.77","198.73","196.90","","0.41%"
"02/04/2025","197.91","197.09","197.99","195.94","","0.43%"
"02/03/2025","197.07","199.91","199.97","195.56","","-1.43%"
"01/31/2025","199.93","200.10","200.64","199.60","","-0.03%"
"01/30/2025","199.99","199.02","199.99","199.02","","0.52%"
"01/29/2025","198.95","197.10","199.27","197.10","","0.96%"
"01/28/2025","197.06","195.74","197.43","195.42","","0.67%"
"01/27/2025","195.74","196.67","197.00","193.88","","-0.45%"
"01/24/2025","196.63","196.84","197.84","196.25","","-0.05%"
"01/23/2025","196.73","195.76","196.85","195.51","","0.60%"
"01/22/2025","195.56","193.67","196.31","193.67","","0.99%"
"01/21/2025","193.64","193.16","193.67","192.68","","0.24%"
"01/20/2025","193.18","192.57","193.71","192.17","","0.33%"
"01/17/2025","192.55","190.78","192.65","190.78","","1.11%"
"01/16/2025","190.44","190.04","190.77","189.71","","0.28%"
"01/15/2025","189.90","186.83","190.36","186.83","","1.65%"
"01/14/2025","186.82","185.59","187.66","185.59","","0.70%"
"01/13/2025","185.52","186.05","186.05","184.55","","-0.40%"
"01/10/2025","186.26","187.20","187.94","186.05","","-0.54%"
"01/09/2025","187.27","187.07","187.50","186.50","","0.02%"
"01/08/2025","187.24","187.38","188.67","186.41","","-0.06%"
"01/07/2025","187.36","186.03","187.78","185.51","","0.71%"
"01/06/2025","186.03","183.21","186.03","183.21","","1.58%"
"01/03/2025","183.14","184.04","184.35","182.79","","-0.59%"
"01/02/2025","184.23","183.49","184.36","182.64","","0.38%"
"12/30/2024","183.54","183.93","184.10","183.27","","-0.40%"
"12/27/2024","184.27","183.06","184.28","182.59","","0.64%"
"12/23/2024","183.09","183.25","183.51","182.66","","-0.13%"
"12/20/2024","183.32","183.75","183.75","181.11","","-0.30%"
"12/19/2024","183.88","186.39","186.39","183.78","","-1.35%"
"12/18/2024","186.40","186.52","187.23","186.40","","-0.06%"
"12/17/2024","186.52","187.26","187.41","186.46","","-0.40%"
"12/16/2024","187.27","188.02","188.02","187.18","","-0.45%"
"12/13/2024","188.12","188.39","189.35","187.78","","-0.16%"
"12/12/2024","188.42","188.54","188.90","188.19","","-0.03%"
"12/11/2024","188.48","187.93","188.60","187.49","","0.35%"
"12/10/2024","187.82","187.92","188.40","187.25","","-0.12%"
"12/09/2024","188.04","188.79","189.37","187.86","","-0.31%"
