"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2025","3,829.07","3,858.01","3,858.01","3,818.92","","-0.90%"
"06/30/2025","3,863.95","3,869.68","3,887.01","3,851.29","","0.48%"
"06/27/2025","3,845.35","3,809.65","3,852.16","3,806.46","","1.54%"
"06/26/2025","3,786.87","3,753.83","3,788.30","3,753.10","","0.86%"
"06/25/2025","3,754.67","3,763.65","3,763.65","3,735.87","","0.03%"
"06/24/2025","3,753.53","3,752.21","3,777.92","3,745.18","","0.82%"
"06/23/2025","3,722.94","3,728.08","3,728.08","3,704.28","","-0.40%"
"06/20/2025","3,737.91","3,760.20","3,773.27","3,737.91","","-0.80%"
"06/19/2025","3,767.96","3,793.38","3,793.38","3,762.01","","-0.76%"
"06/18/2025","3,796.64","3,749.55","3,797.58","3,748.77","","0.85%"
"06/17/2025","3,764.75","3,752.28","3,765.60","3,749.77","","0.35%"
"06/16/2025","3,751.78","3,743.05","3,760.64","3,735.38","","0.79%"
"06/13/2025","3,722.30","3,750.36","3,753.41","3,701.72","","-1.02%"
"06/12/2025","3,760.69","3,771.76","3,775.64","3,749.02","","-0.25%"
"06/11/2025","3,769.96","3,780.70","3,785.38","3,762.56","","-0.02%"
"06/10/2025","3,770.76","3,778.31","3,793.03","3,761.39","","0.06%"
"06/09/2025","3,768.49","3,765.20","3,776.92","3,764.19","","0.69%"
"06/06/2025","3,742.50","3,730.10","3,748.62","3,728.79","","0.54%"
"06/05/2025","3,722.24","3,743.46","3,744.22","3,718.14","","-1.16%"
"06/04/2025","3,765.85","3,757.90","3,780.61","3,756.80","","0.54%"
"06/03/2025","3,745.79","3,760.77","3,769.19","3,745.79","","-0.28%"
"06/02/2025","3,756.20","3,774.65","3,774.65","3,740.29","","-1.02%"
"05/30/2025","3,795.07","3,788.28","3,808.04","3,760.07","","-0.58%"
"05/29/2025","3,817.38","3,769.97","3,821.13","3,769.97","","1.81%"
"05/28/2025","3,749.63","3,782.84","3,792.31","3,749.63","","-0.03%"
"05/27/2025","3,750.92","3,722.66","3,755.58","3,716.54","","0.68%"
"05/26/2025","3,725.69","3,707.40","3,728.81","3,703.21","","0.65%"
"05/23/2025","3,701.71","3,684.00","3,713.82","3,684.00","","0.73%"
"05/22/2025","3,674.81","3,688.66","3,688.66","3,663.17","","-0.65%"
"05/21/2025","3,699.03","3,726.89","3,729.64","3,696.66","","-0.33%"
"05/20/2025","3,711.26","3,722.65","3,739.87","3,702.64","","0.22%"
"05/19/2025","3,703.28","3,700.77","3,714.47","3,693.13","","-0.17%"
