"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2025","482.59","480.90","482.59","480.10","","0.40%"
"06/30/2025","480.67","480.96","482.20","478.35","","0.29%"
"06/26/2025","479.28","476.53","479.28","476.31","","0.64%"
"06/25/2025","476.22","475.53","477.69","475.03","","0.37%"
"06/24/2025","474.47","474.85","475.71","473.22","","-0.16%"
"06/23/2025","475.25","467.17","475.25","465.89","","1.03%"
"06/20/2025","470.40","469.73","472.29","469.27","","0.15%"
"06/19/2025","469.71","473.78","473.78","469.71","","-0.80%"
"06/18/2025","473.48","473.29","473.77","472.43","","-0.07%"
"06/17/2025","473.79","476.31","476.97","473.79","","-0.55%"
"06/16/2025","476.43","476.04","477.01","474.13","","0.03%"
"06/13/2025","476.29","478.07","478.07","475.57","","-0.59%"
"06/12/2025","479.14","479.47","479.77","478.14","","0.18%"
"06/11/2025","478.29","477.34","480.97","477.34","","0.42%"
"06/10/2025","476.29","477.53","478.13","476.13","","-0.20%"
"06/09/2025","477.24","476.41","477.86","476.41","","0.26%"
"06/06/2025","476.01","476.52","476.65","475.11","","-0.15%"
"06/05/2025","476.72","474.35","477.28","473.99","","0.67%"
"06/04/2025","473.57","473.33","473.57","471.46","","0.30%"
"06/03/2025","472.17","474.93","475.74","470.38","","-0.33%"
"05/30/2025","473.75","477.58","478.06","473.75","","-0.70%"
"05/29/2025","477.11","479.03","479.55","476.66","","-0.21%"
"05/28/2025","478.12","480.29","481.43","478.12","","-0.24%"
"05/27/2025","479.28","482.10","482.26","477.82","","-0.53%"
"05/26/2025","481.85","482.64","482.64","480.18","","-0.03%"
"05/23/2025","482.01","480.43","482.45","480.43","","0.67%"
"05/22/2025","478.82","483.80","483.80","478.82","","-1.23%"
"05/21/2025","484.77","486.99","487.87","484.02","","-0.32%"
"05/20/2025","486.32","488.53","490.16","485.40","","-0.46%"
"05/19/2025","488.56","492.10","492.10","486.86","","-1.05%"
"05/16/2025","493.74","494.48","496.24","492.79","","-0.11%"
"05/15/2025","494.29","497.26","498.52","494.01","","-0.67%"
"05/14/2025","497.62","497.22","497.62","494.08","","0.14%"
"05/13/2025","496.91","489.42","496.91","489.42","","2.49%"
"05/09/2025","484.85","484.42","485.33","483.66","","0.24%"
"05/08/2025","483.67","485.97","486.75","483.41","","-0.47%"
