"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2025","1,902.47","1,917.24","1,928.18","1,902.02","","-0.65%"
"06/30/2025","1,914.97","1,914.94","1,919.29","1,908.01","","0.07%"
"06/27/2025","1,913.68","1,903.79","1,916.32","1,902.72","","0.83%"
"06/26/2025","1,897.99","1,887.86","1,899.39","1,884.96","","0.42%"
"06/25/2025","1,889.98","1,889.89","1,900.70","1,889.15","","0.02%"
"06/24/2025","1,889.54","1,871.50","1,894.16","1,871.50","","1.11%"
"06/23/2025","1,868.76","1,859.94","1,870.35","1,855.78","","0.01%"
"06/20/2025","1,868.48","1,878.63","1,882.40","1,868.16","","-0.61%"
"06/19/2025","1,879.98","1,885.64","1,887.35","1,878.96","","-0.45%"
"06/18/2025","1,888.56","1,894.37","1,896.31","1,887.61","","-0.49%"
"06/17/2025","1,897.85","1,895.00","1,902.24","1,893.34","","0.43%"
"06/16/2025","1,889.71","1,879.21","1,895.06","1,874.43","","0.41%"
"06/13/2025","1,882.01","1,881.37","1,888.46","1,878.12","","-0.27%"
"06/12/2025","1,887.15","1,888.18","1,894.32","1,882.25","","-0.14%"
"06/11/2025","1,889.83","1,901.78","1,901.79","1,888.48","","-0.64%"
"06/10/2025","1,902.02","1,925.57","1,926.60","1,897.49","","-1.25%"
"06/09/2025","1,926.01","1,930.39","1,934.34","1,920.58","","-0.26%"
"06/06/2025","1,931.06","1,935.48","1,944.62","1,927.81","","-0.11%"
"06/05/2025","1,933.09","1,924.40","1,938.74","1,920.87","","0.45%"
"06/04/2025","1,924.49","1,914.29","1,929.28","1,909.70","","0.48%"
"06/03/2025","1,915.34","1,911.58","1,920.67","1,904.09","","0.27%"
"06/02/2025","1,910.25","1,904.08","1,910.26","1,892.82","","0.51%"
"05/30/2025","1,900.51","1,910.00","1,912.48","1,894.55","","-0.54%"
"05/29/2025","1,910.82","1,924.98","1,925.05","1,908.47","","-0.46%"
"05/28/2025","1,919.63","1,918.58","1,926.05","1,915.81","","0.37%"
"05/27/2025","1,912.54","1,899.16","1,922.09","1,896.81","","0.74%"
"05/26/2025","1,898.49","1,901.27","1,902.50","1,892.93","","-0.25%"
"05/23/2025","1,903.17","1,900.44","1,907.16","1,889.02","","0.32%"
"05/22/2025","1,897.15","1,897.30","1,902.72","1,889.60","","-0.01%"
"05/21/2025","1,897.30","1,897.23","1,901.99","1,891.17","","-0.14%"
"05/20/2025","1,899.88","1,907.84","1,907.87","1,897.65","","0.05%"
"05/19/2025","1,898.88","1,905.45","1,907.96","1,887.77","","-0.38%"
"05/16/2025","1,906.10","1,910.07","1,914.47","1,902.37","","-0.18%"
"05/15/2025","1,909.48","1,905.98","1,909.80","1,901.45","","0.59%"
"05/14/2025","1,898.31","1,880.91","1,899.49","1,871.22","","1.02%"
"05/13/2025","1,879.11","1,873.93","1,882.46","1,852.19","","1.32%"
"05/12/2025","1,854.57","1,847.33","1,858.78","1,846.96","","0.60%"
"05/09/2025","1,843.45","1,851.73","1,862.44","1,841.36","","-0.17%"
"05/08/2025","1,846.62","1,836.65","1,850.79","1,831.61","","0.40%"
"05/07/2025","1,839.32","1,832.98","1,843.77","1,830.39","","-0.05%"
"05/06/2025","1,840.25","1,842.05","1,844.40","1,833.66","","0.17%"
"05/05/2025","1,837.14","1,842.23","1,842.53","1,830.72","","0.17%"
"05/02/2025","1,834.01","1,830.09","1,839.45","1,820.42","","0.52%"
"05/01/2025","1,824.49","1,827.43","1,829.61","1,821.11","","0.41%"
"04/30/2025","1,816.99","1,808.03","1,817.56","1,804.23","","0.70%"
"04/29/2025","1,804.44","1,795.01","1,810.47","1,794.99","","0.25%"
"04/28/2025","1,799.89","1,798.86","1,800.07","1,790.68","","-0.12%"
"04/25/2025","1,802.10","1,803.95","1,803.96","1,787.13","","-0.03%"
"04/24/2025","1,802.66","1,795.92","1,805.17","1,787.96","","0.67%"
"04/23/2025","1,790.73","1,774.15","1,802.39","1,774.15","","1.30%"
"04/22/2025","1,767.83","1,745.23","1,773.32","1,739.42","","1.23%"
"04/21/2025","1,746.30","1,744.40","1,763.48","1,741.45","","0.14%"
"04/18/2025","1,743.84","1,743.84","1,743.84","1,743.84","","0.00%"
"04/17/2025","1,743.84","1,718.05","1,750.58","1,710.97","","1.59%"
"04/16/2025","1,716.49","1,707.20","1,722.75","1,701.13","","0.74%"
"04/15/2025","1,703.86","1,682.83","1,706.00","1,677.36","","2.01%"
"04/14/2025","1,670.36","1,677.04","1,686.41","1,668.76","","0.89%"
"04/11/2025","1,655.64","1,639.81","1,657.80","1,633.20","","-1.30%"
"04/10/2025","1,677.50","1,623.39","1,720.38","1,623.39","","3.39%"
"04/09/2025","1,622.57","1,602.07","1,624.96","1,576.15","","0.78%"
"04/08/2025","1,610.07","1,641.68","1,658.61","1,604.84","","-1.90%"
"04/07/2025","1,641.19","1,730.78","1,730.78","1,617.67","","-6.07%"
"04/04/2025","1,747.19","1,814.73","1,818.60","1,746.10","","-4.56%"
"04/03/2025","1,830.63","1,858.98","1,878.00","1,820.05","","-2.46%"
"04/02/2025","1,876.77","1,864.16","1,882.30","1,860.27","","0.00%"
"04/01/2025","1,876.82","1,864.61","1,878.06","1,858.58","","0.06%"
"03/31/2025","1,875.67","1,866.13","1,875.67","1,858.48","","-0.01%"
"03/28/2025","1,875.79","1,894.35","1,897.89","1,874.49","","-0.60%"
"03/27/2025","1,887.18","1,873.12","1,892.90","1,868.79","","0.90%"
"03/26/2025","1,870.38","1,870.19","1,877.64","1,863.19","","0.30%"
"03/25/2025","1,864.77","1,864.55","1,876.52","1,860.68","","0.50%"
"03/24/2025","1,855.43","1,848.84","1,857.37","1,840.27","","0.60%"
"03/21/2025","1,844.31","1,843.27","1,848.50","1,838.51","","-0.16%"
"03/20/2025","1,847.18","1,840.21","1,849.99","1,836.01","","0.64%"
"03/19/2025","1,835.35","1,834.10","1,839.14","1,828.48","","0.56%"
"03/18/2025","1,825.20","1,833.69","1,846.09","1,822.20","","0.00%"
"03/17/2025","1,825.18","1,811.33","1,826.84","1,809.36","","1.18%"
"03/14/2025","1,803.96","1,792.69","1,809.70","1,791.70","","0.39%"
"03/13/2025","1,796.93","1,801.95","1,808.90","1,796.38","","-0.55%"
"03/12/2025","1,806.93","1,797.49","1,820.08","1,795.20","","0.19%"
"03/11/2025","1,803.55","1,813.44","1,814.29","1,788.02","","-1.66%"
"03/10/2025","1,834.06","1,864.36","1,868.90","1,826.43","","-1.75%"
"03/07/2025","1,866.81","1,872.93","1,881.70","1,852.55","","-0.42%"
"03/06/2025","1,874.68","1,894.71","1,900.78","1,872.55","","-0.63%"
"03/05/2025","1,886.62","1,852.28","1,889.22","1,851.90","","1.82%"
"03/04/2025","1,852.81","1,836.76","1,856.38","1,830.56","","0.71%"
"03/03/2025","1,839.78","1,846.82","1,861.82","1,838.70","","-0.38%"
"02/28/2025","1,846.82","1,844.57","1,849.57","1,837.22","","-0.32%"
"02/27/2025","1,852.70","1,851.44","1,862.72","1,843.58","","0.20%"
"02/26/2025","1,848.95","1,831.12","1,850.49","1,830.17","","0.57%"
"02/25/2025","1,838.44","1,849.42","1,856.16","1,829.13","","-0.76%"
"02/24/2025","1,852.61","1,852.29","1,861.40","1,844.79","","-0.15%"
"02/21/2025","1,855.31","1,862.96","1,872.08","1,855.27","","-0.47%"
"02/20/2025","1,864.01","1,879.30","1,886.84","1,859.81","","-1.11%"
"02/19/2025","1,885.02","1,891.75","1,895.00","1,879.86","","0.01%"
"02/18/2025","1,884.90","1,861.95","1,889.07","1,857.98","","1.30%"
"02/17/2025","1,860.63","1,854.54","1,860.79","1,853.41","","0.53%"
"02/14/2025","1,850.78","1,849.85","1,851.17","1,841.25","","-0.09%"
"02/13/2025","1,852.40","1,845.76","1,852.40","1,841.96","","0.23%"
"02/12/2025","1,848.07","1,843.65","1,848.12","1,836.20","","0.51%"
"02/11/2025","1,838.66","1,838.47","1,840.25","1,823.14","","0.26%"
"02/10/2025","1,833.87","1,833.67","1,845.93","1,828.03","","0.74%"
"02/07/2025","1,820.31","1,802.06","1,826.72","1,802.06","","1.00%"
