"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2025","384.04","378.29","384.04","374.72","","2.15%"
"06/30/2025","375.95","376.59","378.21","372.85","","0.87%"
"06/27/2025","372.70","380.98","380.98","370.51","","-2.48%"
"06/26/2025","382.16","382.66","386.36","381.49","","-0.42%"
"06/25/2025","383.78","380.11","385.20","378.22","","0.49%"
"06/24/2025","381.92","374.17","381.92","372.51","","3.86%"
"06/23/2025","367.74","363.94","369.79","363.18","","0.30%"
"06/20/2025","366.63","366.58","371.84","365.48","","0.14%"
"06/19/2025","366.12","372.29","372.95","365.01","","-2.61%"
"06/18/2025","375.93","383.39","385.71","375.93","","-1.94%"
"06/17/2025","383.35","384.44","385.93","382.93","","-0.13%"
"06/16/2025","383.83","386.28","387.34","381.35","","-0.54%"
"06/13/2025","385.93","386.17","388.18","384.45","","-0.58%"
"06/12/2025","388.18","391.73","393.14","387.10","","-0.91%"
"06/11/2025","391.74","389.99","393.52","389.99","","0.47%"
"06/10/2025","389.90","388.18","392.21","388.05","","0.44%"
"06/09/2025","388.20","391.44","391.82","387.12","","-0.30%"
"06/06/2025","389.37","390.69","390.97","386.20","","-0.31%"
"06/05/2025","390.59","389.35","392.79","388.79","","0.84%"
"06/04/2025","387.35","391.76","391.76","385.74","","-1.10%"
"05/30/2025","391.67","395.02","397.50","391.67","","-1.64%"
"05/29/2025","398.22","403.25","404.16","398.09","","0.09%"
"05/28/2025","397.85","401.02","403.17","397.78","","-0.27%"
"05/27/2025","398.94","402.32","403.26","397.84","","-1.38%"
"05/26/2025","404.51","404.94","405.59","400.78","","0.12%"
"05/23/2025","404.04","405.44","408.25","402.99","","-0.08%"
"05/22/2025","404.36","404.50","407.58","403.82","","-0.36%"
"05/21/2025","405.83","412.14","413.91","404.19","","-1.11%"
"05/20/2025","410.40","411.81","413.76","409.53","","0.26%"
"05/19/2025","409.34","412.42","413.70","408.45","","-1.03%"
"05/16/2025","413.60","415.81","417.12","410.96","","-0.11%"
"05/15/2025","414.05","418.83","419.19","412.63","","-1.69%"
"05/14/2025","421.16","419.73","421.81","417.15","","0.49%"
"05/13/2025","419.11","426.01","427.00","418.32","","-0.18%"
"05/09/2025","419.86","420.14","420.80","413.97","","0.46%"
"05/08/2025","417.94","422.75","424.02","417.94","","-1.35%"
"05/07/2025","423.64","416.05","423.68","414.58","","2.96%"
"05/06/2025","411.47","414.36","416.72","411.12","","-0.75%"
"05/02/2025","414.56","419.95","421.92","413.35","","0.13%"
"04/30/2025","414.02","401.70","414.02","401.23","","3.01%"
"04/29/2025","401.91","396.22","401.91","394.35","","1.50%"
"04/28/2025","395.98","396.82","398.19","394.62","","0.04%"
"04/25/2025","395.81","394.09","396.82","392.88","","1.14%"
"04/24/2025","391.35","393.74","395.54","389.91","","-1.05%"
"04/23/2025","395.51","396.17","398.14","393.18","","0.91%"
"04/22/2025","391.96","387.67","392.80","386.66","","0.62%"
"04/21/2025","389.56","394.56","395.95","387.44","","-1.44%"
"04/18/2025","395.27","392.29","396.42","391.84","","0.96%"
"04/17/2025","391.52","392.72","393.61","390.34","","-0.59%"
"04/16/2025","393.85","392.32","394.90","388.06","","0.15%"
"04/11/2025","393.27","390.60","395.67","388.15","","-0.01%"
"04/10/2025","393.30","393.68","398.45","388.81","","4.38%"
"04/09/2025","376.79","369.04","379.14","367.81","","1.97%"
"04/08/2025","369.52","372.00","372.29","362.02","","-4.05%"
"04/04/2025","385.13","395.69","395.69","384.33","","-3.27%"
"04/03/2025","398.16","396.88","399.02","396.11","","-0.67%"
"04/02/2025","400.85","398.22","402.04","398.22","","0.40%"
"04/01/2025","399.27","397.75","401.17","397.75","","1.10%"
"03/31/2025","394.94","394.20","398.78","394.06","","-1.03%"
"03/28/2025","399.06","401.70","402.09","398.16","","-1.01%"
"03/27/2025","403.12","403.59","405.56","401.82","","-0.10%"
"03/26/2025","403.54","402.62","405.62","402.62","","0.50%"
"03/25/2025","401.55","403.22","403.34","399.75","","-0.42%"
"03/24/2025","403.23","400.52","403.90","398.50","","0.78%"
"03/21/2025","400.12","400.24","400.92","397.50","","0.61%"
"03/20/2025","397.70","401.82","404.26","397.70","","-0.70%"
"03/19/2025","400.51","396.78","403.16","395.61","","1.03%"
"03/18/2025","396.41","396.20","398.36","392.67","","0.87%"
"03/17/2025","393.01","396.67","397.23","391.61","","-0.59%"
"03/14/2025","395.34","390.07","397.06","389.53","","1.51%"
"03/13/2025","389.46","390.97","392.88","389.11","","-0.03%"
"03/12/2025","389.59","397.64","398.04","388.92","","-2.25%"
"03/11/2025","398.55","390.63","399.52","388.44","","0.99%"
"03/10/2025","394.64","401.64","402.06","394.64","","-2.37%"
"03/07/2025","404.21","400.56","404.37","399.71","","0.88%"
"03/06/2025","400.69","407.14","407.29","399.05","","-1.71%"
"03/05/2025","407.65","401.72","409.12","401.27","","2.23%"
"03/04/2025","398.76","401.84","406.17","397.15","","-1.28%"
"03/03/2025","403.94","411.52","412.71","403.42","","-1.45%"
"02/28/2025","409.88","405.18","410.66","402.70","","-0.70%"
"02/27/2025","412.78","417.27","419.66","411.75","","-0.88%"
"02/26/2025","416.45","407.79","417.27","407.55","","2.72%"
"02/25/2025","405.44","413.58","413.58","405.44","","-2.66%"
"02/24/2025","416.50","418.15","418.46","413.27","","-0.78%"
"02/21/2025","419.78","417.85","422.49","416.25","","0.27%"
"02/20/2025","418.64","420.86","424.14","416.48","","-1.51%"
"02/19/2025","425.07","423.89","428.07","423.30","","0.08%"
"02/18/2025","424.74","423.72","426.60","422.26","","-0.02%"
"02/17/2025","424.83","433.06","433.06","418.67","","-1.48%"
"02/14/2025","431.21","436.85","437.20","430.61","","-1.29%"
"02/13/2025","436.85","436.66","441.63","435.21","","0.32%"
"02/11/2025","435.44","431.07","436.28","430.63","","0.95%"
"02/10/2025","431.35","430.72","433.43","427.75","","-0.95%"
"02/07/2025","435.49","428.66","435.49","424.53","","2.27%"
"02/06/2025","425.82","434.55","434.55","424.77","","-1.91%"
"02/05/2025","434.10","438.42","440.49","432.39","","-1.15%"
"02/04/2025","439.15","442.13","443.83","438.59","","-0.40%"
"02/03/2025","440.93","428.51","440.93","428.33","","-0.79%"
"01/31/2025","444.44","452.25","452.84","442.65","","-1.72%"
"01/30/2025","452.23","453.19","455.04","451.49","","-0.36%"
"01/29/2025","453.88","456.21","456.53","452.75","","-0.09%"
"01/28/2025","454.28","451.73","454.90","450.29","","0.53%"
"01/27/2025","451.88","455.11","456.67","451.59","","-1.09%"
"01/24/2025","456.84","454.62","456.84","453.23","","0.81%"
"01/23/2025","453.17","460.03","460.03","453.17","","-1.63%"
"01/22/2025","460.70","459.12","461.78","458.30","","0.60%"
"01/21/2025","457.95","456.55","460.51","455.21","","0.77%"
"01/20/2025","454.47","456.13","458.31","453.47","","-0.12%"
"01/17/2025","455.00","456.04","460.44","454.71","","-0.76%"
"01/16/2025","458.49","460.86","461.64","456.10","","0.10%"
"01/15/2025","458.01","452.41","458.01","449.36","","1.49%"
"01/14/2025","451.27","455.91","456.31","451.25","","-0.72%"
"01/13/2025","454.52","456.86","458.04","452.90","","-1.03%"
"01/10/2025","459.26","457.07","460.63","452.69","","0.51%"
"01/09/2025","456.94","462.03","462.46","456.49","","-1.51%"
"01/08/2025","463.96","464.90","465.51","460.57","","-0.21%"
"01/07/2025","464.95","459.50","466.34","459.22","","1.51%"
"01/06/2025","458.03","464.12","465.05","457.21","","-0.93%"
"01/03/2025","462.34","460.93","463.80","459.55","","0.49%"
"01/02/2025","460.08","464.20","466.02","459.20","","-1.15%"
"12/30/2024","465.45","467.63","470.80","465.45","","-0.40%"
"12/27/2024","467.30","466.84","471.34","465.15","","0.23%"
"12/26/2024","466.22","467.18","468.08","465.05","","-0.10%"
"12/25/2024","466.71","467.31","468.91","465.59","","0.20%"
"12/24/2024","465.79","463.87","467.18","463.63","","0.80%"
"12/23/2024","462.08","456.08","462.45","453.65","","2.20%"
"12/20/2024","452.13","455.70","456.62","450.39","","-0.93%"
"12/19/2024","456.38","459.13","463.53","455.37","","-1.89%"
"12/18/2024","465.15","464.95","466.72","460.84","","0.47%"
"12/17/2024","462.97","471.58","472.70","462.23","","-2.21%"
"12/16/2024","473.45","474.04","475.41","470.86","","-1.09%"
"12/13/2024","478.69","481.16","481.66","477.71","","-0.73%"
"12/12/2024","482.21","485.49","488.28","482.04","","-0.29%"
"12/11/2024","483.62","483.79","487.87","482.93","","-0.34%"
"12/09/2024","485.29","485.70","486.86","483.56","","-0.46%"
"12/06/2024","487.54","485.94","488.93","485.94","","-0.02%"
"12/04/2024","487.65","489.25","490.77","485.98","","-0.50%"
"12/03/2024","490.11","484.58","490.44","484.06","","1.74%"
"12/02/2024","481.74","478.68","482.27","476.01","","0.76%"
"11/29/2024","478.13","479.69","482.11","477.91","","-0.44%"
"11/28/2024","480.22","480.27","482.35","477.73","","-0.24%"
"11/27/2024","481.39","482.73","482.85","479.46","","-0.65%"
"11/26/2024","484.55","487.08","488.44","483.57","","-0.57%"
"11/25/2024","487.34","490.25","492.17","486.82","","-0.30%"
"11/22/2024","488.80","488.79","490.74","484.93","","0.34%"
"11/21/2024","487.12","498.12","498.31","485.19","","-1.44%"
"11/20/2024","494.25","494.77","495.10","491.36","","0.04%"
"11/19/2024","494.05","494.14","498.81","493.43","","0.62%"
"11/18/2024","491.02","490.52","493.52","488.06","","0.60%"
"11/15/2024","488.10","491.18","492.61","485.50","","-0.43%"
"11/14/2024","490.22","490.20","495.28","487.22","","-0.13%"
"11/13/2024","490.87","489.57","495.46","489.26","","0.58%"
"11/12/2024","488.02","491.52","493.11","487.41","","-0.76%"
"11/11/2024","491.76","493.97","494.88","490.40","","-0.36%"
"11/08/2024","493.53","498.00","498.25","492.07","","-0.72%"
"11/07/2024","497.12","496.80","501.34","495.56","","0.11%"
"11/06/2024","496.59","501.94","503.63","495.59","","-0.92%"
"11/05/2024","501.22","493.99","502.96","493.99","","1.39%"
"11/04/2024","494.35","494.73","497.20","493.09","","0.26%"
"11/01/2024","493.08","492.42","494.38","490.97","","0.06%"
"10/31/2024","492.78","487.91","494.96","487.62","","1.03%"
"10/30/2024","487.75","488.24","490.85","485.87","","-0.31%"
"10/29/2024","489.29","490.07","493.41","488.39","","-0.07%"
"10/28/2024","489.63","493.93","494.95","488.97","","-1.02%"
"10/25/2024","494.69","494.71","496.72","492.49","","0.24%"
"10/24/2024","493.52","496.84","499.55","493.21","","-0.99%"
"10/22/2024","498.46","504.16","504.41","496.87","","-1.31%"
"10/21/2024","505.08","505.65","507.00","502.30","","-0.10%"
"10/18/2024","505.58","505.71","511.45","504.79","","-0.03%"
"10/17/2024","505.75","502.86","507.50","502.86","","0.87%"
