"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2025","5,913.09","5,917.65","5,931.48","5,911.63","","-0.35%"
"06/30/2025","5,933.76","5,917.63","5,943.06","5,906.37","","0.56%"
"06/27/2025","5,900.70","5,880.06","5,914.75","5,862.71","","0.52%"
"06/26/2025","5,870.13","5,843.62","5,874.95","5,837.10","","0.81%"
"06/25/2025","5,822.95","5,836.87","5,840.45","5,813.67","","-0.02%"
"06/24/2025","5,824.04","5,795.48","5,832.60","5,792.37","","1.14%"
"06/23/2025","5,758.20","5,702.40","5,761.40","5,681.49","","0.95%"
"06/20/2025","5,704.06","5,738.18","5,752.18","5,690.20","","-0.24%"
"06/18/2025","5,717.84","5,720.86","5,752.86","5,711.49","","-0.01%"
"06/17/2025","5,718.41","5,746.38","5,756.40","5,712.34","","-0.82%"
"06/16/2025","5,765.40","5,742.34","5,781.73","5,742.34","","0.95%"
"06/13/2025","5,710.96","5,729.78","5,757.93","5,698.60","","-1.13%"
"06/12/2025","5,776.42","5,746.85","5,776.49","5,738.85","","0.36%"
"06/11/2025","5,755.61","5,782.97","5,791.03","5,737.97","","-0.27%"
"06/10/2025","5,771.37","5,748.00","5,774.84","5,736.78","","0.52%"
"06/09/2025","5,741.73","5,743.19","5,756.40","5,730.51","","0.07%"
"06/06/2025","5,737.81","5,732.34","5,752.73","5,718.49","","1.01%"
"06/05/2025","5,680.27","5,724.84","5,738.02","5,663.59","","-0.51%"
"06/04/2025","5,709.48","5,717.02","5,727.57","5,704.05","","0.03%"
"06/03/2025","5,708.04","5,678.17","5,718.53","5,669.24","","0.60%"
"06/02/2025","5,673.90","5,631.78","5,674.51","5,602.47","","0.42%"
"05/30/2025","5,650.09","5,639.83","5,658.74","5,586.45","","0.01%"
"05/29/2025","5,649.26","5,675.91","5,675.91","5,614.24","","0.39%"
"05/28/2025","5,627.36","5,665.21","5,674.76","5,621.96","","-0.55%"
"05/27/2025","5,658.51","5,605.43","5,661.08","5,597.13","","2.05%"
"05/23/2025","5,544.62","5,518.40","5,569.72","5,516.38","","-0.69%"
"05/22/2025","5,583.11","5,581.31","5,617.02","5,567.66","","-0.02%"
"05/21/2025","5,584.02","5,643.15","5,674.50","5,571.36","","-1.63%"
"05/20/2025","5,676.75","5,678.85","5,688.39","5,648.69","","-0.39%"
