"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2025","130.51","130.32","130.76","130.31","521.31K","0.14%"
"07/03/2025","130.33","129.93","130.42","129.84","1.02M","0.29%"
"07/02/2025","129.95","130.48","130.50","129.77","1.14M","-0.41%"
"07/01/2025","130.49","130.21","130.73","130.18","940.85K","0.26%"
"06/30/2025","130.15","130.20","130.52","130.00","900.51K","0.02%"
"06/27/2025","130.12","130.52","130.66","130.05","905.10K","-0.28%"
"06/26/2025","130.49","130.52","130.80","130.38","759.73K","0.02%"
"06/25/2025","130.46","130.62","131.12","130.31","899.47K","-0.29%"
"06/24/2025","130.84","130.77","131.18","130.35","1.21M","-0.18%"
"06/23/2025","131.07","130.84","131.20","130.47","852.27K","0.11%"
"06/20/2025","130.93","131.00","131.33","130.73","666.67K","-0.02%"
"06/19/2025","130.96","131.05","131.17","130.73","604.83K","-0.15%"
"06/18/2025","131.16","130.86","131.27","130.58","798.54K","0.31%"
"06/17/2025","130.76","130.80","131.14","130.49","790.58K","-0.07%"
"06/16/2025","130.85","130.64","130.96","130.17","822.52K","0.05%"
"06/13/2025","130.78","131.47","131.95","130.63","898.97K","-0.41%"
"06/12/2025","131.32","130.82","131.49","130.73","1.01M","0.40%"
"06/11/2025","130.80","130.89","130.97","130.53","954.75K","-0.02%"
"06/10/2025","130.83","130.48","130.96","130.37","783.81K","0.41%"
"06/09/2025","130.30","130.26","130.99","130.13","731.76K","-0.37%"
"06/06/2025","130.78","130.50","130.92","130.44","8.98K","0.34%"
"06/05/2025","130.34","131.25","131.64","130.28","140.81K","-0.56%"
"06/04/2025","131.07","131.27","131.39","130.94","974.69K","-0.18%"
"06/03/2025","131.30","131.17","131.49","131.05","1.72M","0.28%"
"06/02/2025","130.93","131.08","131.09","130.52","944.36K","-0.07%"
"05/30/2025","131.02","131.08","131.23","130.75","260.62K","0.00%"
"05/29/2025","131.02","130.45","131.13","130.19","85.10K","0.30%"
"05/28/2025","130.63","130.75","130.82","130.50","43.61K","-0.08%"
"05/27/2025","130.74","130.60","131.02","130.53","32.79K","0.18%"
"05/26/2025","130.51","130.00","130.55","129.92","11.03K","-0.11%"
"05/23/2025","130.65","129.99","130.94","129.85","1.24M","0.62%"
"05/22/2025","129.85","129.61","130.04","129.49","1.07M","-0.03%"
"05/21/2025","129.89","130.26","130.27","129.59","1.08M","-0.27%"
"05/20/2025","130.24","130.61","130.75","129.99","1.13M","-0.23%"
"05/19/2025","130.54","130.20","130.60","129.72","996.24K","0.09%"
"05/16/2025","130.42","130.16","130.65","130.11","819.43K","0.38%"
"05/15/2025","129.93","129.15","130.15","129.13","1.01M","0.42%"
"05/14/2025","129.39","129.45","129.68","129.15","1.00M","-0.13%"
"05/13/2025","129.56","129.67","129.71","129.37","1.10M","-0.17%"
"05/12/2025","129.78","130.49","130.50","129.59","1.16M","-0.75%"
"05/09/2025","130.76","130.86","130.86","130.38","811.26K","-0.31%"
"05/08/2025","131.17","131.61","131.65","130.77","779.85K","-0.26%"
"05/07/2025","131.51","130.93","131.72","130.79","910.02K","0.46%"
"05/06/2025","130.91","130.95","131.08","130.66","1.03M","-0.11%"
