"Date","Price","Open","High","Low","Change %"
"07/03/2025","4.077","4.021","4.110","3.976","2.01%"
"07/02/2025","3.997","4.007","4.047","3.961","-0.04%"
"07/01/2025","3.999","3.980","4.017","3.961","0.80%"
"06/30/2025","3.967","3.997","4.020","3.970","-0.14%"
"06/27/2025","3.972","3.981","4.034","3.973","0.25%"
"06/26/2025","3.963","4.011","4.046","3.965","-0.55%"
"06/25/2025","3.984","4.033","4.043","3.990","-0.81%"
"06/24/2025","4.017","4.033","4.076","4.001","-0.04%"
"06/23/2025","4.019","4.085","4.103","4.007","-1.20%"
"06/20/2025","4.067","4.107","4.120","4.069","-1.36%"
"06/19/2025","4.123","4.363","4.363","4.123","0.92%"
"06/18/2025","4.086","4.122","4.153","4.078","-0.38%"
"06/17/2025","4.101","4.111","4.135","4.087","0.06%"
"06/16/2025","4.099","4.106","4.128","4.098","0.62%"
"06/13/2025","4.074","4.104","4.118","4.055","0.31%"
"06/12/2025","4.061","4.086","4.099","4.032","-0.27%"
"06/11/2025","4.072","4.223","4.223","4.078","-1.18%"
"06/10/2025","4.121","4.160","4.179","4.117","-0.43%"
"06/09/2025","4.139","4.155","4.203","4.141","-0.14%"
"06/06/2025","4.145","4.108","4.161","4.083","1.86%"
"06/05/2025","4.069","4.084","4.103","4.057","0.02%"
"06/04/2025","4.068","4.149","4.154","4.073","-1.28%"
"06/03/2025","4.121","4.168","4.168","4.114","-0.04%"
"06/02/2025","4.122","4.139","4.141","4.122","0.32%"
"05/30/2025","4.109","4.169","4.182","4.109","-0.54%"
"05/29/2025","4.132","4.181","4.226","4.135","-0.65%"
"05/28/2025","4.159","4.197","4.200","4.146","0.45%"
"05/27/2025","4.141","4.157","4.219","4.141","-0.33%"
"05/26/2025","4.154","4.154","4.154","4.154","0.46%"
"05/23/2025","4.136","4.156","4.160","4.084","0.20%"
"05/22/2025","4.128","4.156","4.259","4.113","0.09%"
"05/21/2025","4.124","4.132","4.175","4.129","0.25%"
"05/20/2025","4.113","4.165","4.165","4.111","-0.07%"
"05/19/2025","4.116","4.144","4.187","4.119","-0.20%"
"05/16/2025","4.125","4.123","4.133","4.087","0.76%"
"05/15/2025","4.094","4.140","4.164","4.096","-1.02%"
"05/14/2025","4.136","4.150","4.150","4.105","0.45%"
"05/13/2025","4.117","4.150","4.150","4.114","0.00%"
"05/12/2025","4.117","4.069","4.166","4.069","1.45%"
"05/09/2025","4.059","4.068","4.104","4.048","-0.09%"
"05/08/2025","4.062","4.023","4.089","4.020","1.60%"
"05/07/2025","3.998","4.025","4.047","3.985","0.09%"
"05/06/2025","3.995","4.042","4.071","3.988","-0.71%"
"05/05/2025","4.023","4.002","4.047","3.994","0.53%"
"05/02/2025","4.002","3.941","4.031","3.927","1.92%"
"05/01/2025","3.927","3.861","3.952","3.829","1.55%"
"04/30/2025","3.866","3.926","3.960","3.856","-0.83%"
"04/29/2025","3.899","3.931","3.998","3.894","-0.59%"
"04/28/2025","3.922","3.951","4.036","3.921","-0.72%"
"04/25/2025","3.951","3.992","4.045","3.956","-0.50%"
"04/24/2025","3.970","4.035","4.059","3.976","-1.05%"
"04/23/2025","4.012","3.992","4.032","3.987","0.94%"
"04/22/2025","3.975","3.993","4.025","3.966","0.60%"
"04/21/2025","3.951","3.998","4.038","3.934","-0.58%"
"04/17/2025","3.974","3.970","4.006","3.957","0.68%"
"04/16/2025","3.947","3.986","4.021","3.957","-1.56%"
"04/15/2025","4.010","4.018","4.077","4.004","0.33%"
"04/14/2025","3.997","4.107","4.134","3.994","-0.81%"
"04/11/2025","4.029","4.009","4.085","3.946","1.46%"
"04/10/2025","3.971","4.057","4.114","3.961","-1.41%"
"04/09/2025","4.028","3.825","4.100","3.825","4.66%"
"04/08/2025","3.849","3.916","4.012","3.846","-1.65%"
"04/07/2025","3.913","3.881","3.943","3.726","2.16%"
"04/04/2025","3.831","3.925","3.928","3.694","-2.04%"
"04/03/2025","3.910","4.035","4.038","3.904","-2.52%"
"04/02/2025","4.011","4.025","4.078","4.006","0.00%"
"04/01/2025","4.012","4.047","4.063","3.998","-0.37%"
"03/31/2025","4.027","4.058","4.058","3.985","-0.21%"
"03/28/2025","4.035","4.121","4.126","4.031","-1.53%"
"03/27/2025","4.098","4.108","4.140","4.091","-0.11%"
"03/26/2025","4.102","4.116","4.122","4.097","0.26%"
"03/25/2025","4.092","4.130","4.146","4.089","-0.27%"
"03/24/2025","4.103","4.047","4.111","4.047","1.73%"
"03/21/2025","4.033","4.069","4.090","4.033","-0.66%"
"03/20/2025","4.060","4.096","4.126","4.050","-0.70%"
"03/19/2025","4.089","4.121","4.164","4.089","-0.92%"
"03/18/2025","4.126","4.101","4.179","4.101","0.41%"
"03/17/2025","4.109","4.085","4.139","4.082","0.78%"
