Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
2017-11-09,1.99,1.99,2.2,1.9,283.35K,0.00%,,,
2017-11-10,1.71,1.99,2.02,1.6,483.23K,-14.07%,,,
2017-11-11,1.66,1.71,1.93,1.58,256.71K,-2.92%,,,
2017-11-12,1.49,1.66,1.7,1.34,456.48K,-10.24%,,,
2017-11-13,1.68,1.49,1.74,1.49,166.01K,12.75%,,,
2017-11-14,1.59,1.68,1.74,1.53,173.13K,-5.36%,1.634332271936964,,
2017-11-15,1.55,1.59,1.68,1.49,291.61K,-2.52%,1.368636982126306,,
2017-11-16,1.56,1.55,1.67,1.51,193.73K,0.65%,1.3712779580381316,,
2017-11-17,1.5,1.56,1.58,1.49,419.40K,-3.85%,1.1564425036174961,,
2017-11-18,1.67,1.5,1.67,1.49,168.62K,11.33%,1.0609468009968095,,
2017-11-19,1.6,1.67,1.69,1.58,172.57K,-4.19%,1.0261674264623384,1.3348271653833652,
2017-11-20,1.64,1.6,1.65,1.56,158.70K,2.50%,1.0014054375168984,1.1571256649396695,
2017-11-21,1.59,1.64,1.64,1.54,404.20K,-3.05%,1.0495291791581964,1.157969625096477,
2017-11-22,1.62,1.59,1.62,1.56,179.15K,1.89%,0.9744995140649385,1.01459485703068,
2017-11-23,1.57,1.62,1.62,1.54,178.86K,-3.09%,0.49659502586042054,0.7878037043149538,
2017-11-24,1.73,1.57,1.82,1.54,631.81K,10.19%,0.8630589461895252,0.9015829081553576,
2017-11-25,1.87,1.73,1.96,1.68,462.64K,8.09%,0.9796332948965188,0.9425331793005715,
2017-11-26,1.84,1.87,1.91,1.76,192.60K,-1.60%,0.9293103494692772,0.9585333153232632,
2017-11-27,1.95,1.84,1.95,1.74,472.12K,5.98%,0.9410917593590771,0.9220279844944995,
2017-11-28,1.92,1.95,1.95,1.8,357.69K,-1.54%,0.872460832805859,0.8080367950425887,
2017-11-29,1.76,1.92,2.05,1.55,901.09K,-8.33%,1.0477971165730757,0.9102612540687023,1.1375431421213755
2017-11-30,1.95,1.76,2.04,1.71,736.32K,10.80%,1.1801003210956782,1.0328848533162702,1.0813551218575896
2017-12-01,2.05,1.95,2.14,1.88,308.39K,5.13%,1.1811488711916003,1.0035995096203945,1.081616216480376
2017-12-02,2.08,2.05,2.12,1.98,240.59K,1.46%,1.1378194910667636,1.0048445630216774,0.9924222560117782
2017-12-03,2.26,2.08,2.4,2.04,341.64K,8.65%,1.1948234906670068,0.9879548434588424,0.9421735929144873
2017-12-04,2.55,2.26,2.59,2.26,369.61K,12.83%,0.7201017151701109,1.0425543128573347,0.982909454762052
2017-12-05,2.61,2.55,2.75,2.5,418.31K,2.35%,0.7459407183147335,1.0213287705655065,0.9645407355228042
2017-12-06,2.51,2.61,2.8,2.33,369.57K,-3.83%,1.0339948741917915,1.058385725578649,0.9906048758898957
2017-12-07,2.66,2.51,2.84,2.4,520.77K,5.98%,1.005399248139708,1.0583706761388636,0.9670887128742532
