Date,Price,Open,High,Low,Vol.,Change %
2017-11-09,1.99,1.99,2.2,1.9,283.35K,0.00%
2017-11-10,1.71,1.99,2.02,1.6,483.23K,-14.07%
2017-11-11,1.66,1.71,1.93,1.58,256.71K,-2.92%
2017-11-12,1.49,1.66,1.7,1.34,456.48K,-10.24%
2017-11-13,1.68,1.49,1.74,1.49,166.01K,12.75%
2017-11-14,1.59,1.68,1.74,1.53,173.13K,-5.36%
2017-11-15,1.55,1.59,1.68,1.49,291.61K,-2.52%
2017-11-16,1.56,1.55,1.67,1.51,193.73K,0.65%
2017-11-17,1.5,1.56,1.58,1.49,419.40K,-3.85%
2017-11-18,1.67,1.5,1.67,1.49,168.62K,11.33%
2017-11-19,1.6,1.67,1.69,1.58,172.57K,-4.19%
2017-11-20,1.64,1.6,1.65,1.56,158.70K,2.50%
2017-11-21,1.59,1.64,1.64,1.54,404.20K,-3.05%
2017-11-22,1.62,1.59,1.62,1.56,179.15K,1.89%
2017-11-23,1.57,1.62,1.62,1.54,178.86K,-3.09%
2017-11-24,1.73,1.57,1.82,1.54,631.81K,10.19%
2017-11-25,1.87,1.73,1.96,1.68,462.64K,8.09%
2017-11-26,1.84,1.87,1.91,1.76,192.60K,-1.60%
2017-11-27,1.95,1.84,1.95,1.74,472.12K,5.98%
2017-11-28,1.92,1.95,1.95,1.8,357.69K,-1.54%
2017-11-29,1.76,1.92,2.05,1.55,901.09K,-8.33%
2017-11-30,1.95,1.76,2.04,1.71,736.32K,10.80%
2017-12-01,2.05,1.95,2.14,1.88,308.39K,5.13%
2017-12-02,2.08,2.05,2.12,1.98,240.59K,1.46%
2017-12-03,2.26,2.08,2.4,2.04,341.64K,8.65%
2017-12-04,2.55,2.26,2.59,2.26,369.61K,12.83%
2017-12-05,2.61,2.55,2.75,2.5,418.31K,2.35%
2017-12-06,2.51,2.61,2.8,2.33,369.57K,-3.83%
2017-12-07,2.66,2.51,2.84,2.4,520.77K,5.98%
2017-12-08,2.79,2.66,2.8,2.21,641.80K,4.89%
2017-12-09,2.65,2.79,2.81,2.18,470.09K,-5.02%
2017-12-10,2.46,2.65,2.66,2.13,548.97K,-7.17%
2017-12-11,2.69,2.46,2.78,2.45,378.45K,9.35%
2017-12-12,2.55,2.69,2.74,2.45,534.10K,-5.20%
2017-12-13,2.72,2.55,2.74,2.27,669.43K,6.67%
2017-12-14,3.15,2.72,3.15,2.63,871.68K,15.81%
2017-12-15,4.12,3.15,4.4,2.99,896.22K,30.79%
2017-12-16,4.64,4.12,4.72,3.82,767.29K,12.62%
2017-12-17,6.0,4.64,6.7,4.6,1.52M,29.31%
2017-12-18,6.0,6.0,6.1,4.75,1.41M,0.00%
2017-12-19,5.7,6.0,6.46,5.27,1.74M,-5.00%
2017-12-20,5.15,5.7,5.7,4.68,1.38M,-9.65%
2017-12-21,5.16,5.15,5.69,4.42,984.45K,0.19%
2017-12-22,4.29,5.16,5.2,3.25,1.57M,-16.86%
