Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
2015-01-01,314.9,318.2,321.4,313.5,12.82K,-1.05%,,,
2015-01-02,315.2,314.9,316.4,313.1,14.73K,0.10%,,,
2015-01-03,287.1,315.2,315.8,284.9,47.37K,-8.91%,,,
2015-01-04,264.7,287.1,289.9,255.9,88.77K,-7.80%,,,
2015-01-05,274.8,264.7,278.3,262.9,54.99K,3.82%,,,
2015-01-06,282.3,274.8,285.1,271.5,21.94K,2.70%,0.946027588815555,,
2015-01-07,291.3,282.3,296.1,280.7,30.67K,3.21%,1.012635447365092,,
2015-01-08,282.7,291.3,292.7,279.0,20.18K,-2.97%,0.7998646216334997,,
2015-01-09,288.0,282.7,290.6,277.3,20.93K,1.87%,0.4305123537717086,,
2015-01-10,273.4,288.0,289.3,272.0,14.73K,-5.08%,0.5914841906749112,,
2015-01-11,264.8,273.4,278.0,263.8,15.11K,-3.14%,0.5642479949177011,0.7373484296010011,
2015-01-12,269.3,264.8,273.1,263.3,25.39K,1.72%,0.4968334564179016,0.752036547242374,
2015-01-13,221.3,269.3,269.1,217.1,95.50K,-17.84%,1.2767818968656228,1.0665919259623524,
2015-01-14,164.9,221.3,230.9,157.3,170.68K,-25.47%,1.7910550764336186,1.570255002872905,
2015-01-15,209.8,164.9,231.3,164.6,124.67K,27.20%,3.23384222385578,2.2106903895111114,
2015-01-16,206.9,209.8,222.6,198.7,62.32K,-1.36%,3.237499341195861,2.196822097247059,
2015-01-17,199.6,206.9,212.6,191.7,43.13K,-3.51%,3.2092881136504965,2.176589784318167,
2015-01-18,210.6,199.6,220.7,192.5,40.37K,5.49%,3.006275875837376,2.2166638735430264,
2015-01-19,215.9,210.6,219.5,205.5,31.58K,2.49%,1.9576066590222123,2.220046772762326,
2015-01-20,210.6,215.9,216.6,203.4,37.48K,-2.46%,0.5992634484836165,2.2136238989565102,
2015-01-21,228.2,210.6,229.3,207.1,43.18K,8.37%,0.807034663463648,2.2670616750785553,1.6431155548879999
2015-01-22,232.7,228.2,238.8,225.6,53.71K,1.99%,0.6442715575099024,2.2678554098058528,1.6462390666935578
2015-01-23,232.2,232.7,237.0,224.8,38.17K,-0.23%,0.6420111982315989,2.0535631165277755,1.6193910848394608
2015-01-24,248.2,232.2,248.9,229.6,33.24K,6.89%,0.7315295509364872,1.418065772227245,1.6160815288264339
2015-01-25,252.1,248.2,256.4,241.4,50.19K,1.58%,0.5870930789631345,0.6345480483931568,1.6113532350706445
2015-01-26,269.2,252.1,310.9,251.5,105.71K,6.78%,0.5148818752469975,0.6476812256650393,1.6265658415328552
2015-01-27,263.3,269.2,276.9,247.3,50.26K,-2.20%,0.6537699481624222,0.6140623523578371,1.6250036683027143
2015-01-28,236.2,263.3,267.7,228.1,63.77K,-10.29%,1.1369194021310065,0.8792430995645397,1.66317694958658
2015-01-29,234.0,236.2,241.5,220.4,54.49K,-0.92%,0.9880546310122995,0.8828446966535157,1.6611592808460822
2015-01-30,231.8,234.0,244.8,227.2,48.23K,-0.92%,0.9624376593362711,0.8696697069970049,1.6525368913305072
2015-01-31,218.5,231.8,235.4,216.5,42.15K,-5.75%,0.6382534313848318,0.8271493573052596,1.661011118747753
