Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
2018-01-18,991.01,"1,006.25","1,115.00",866.00,1.76K,-1.51%,,,
2018-01-19,979.57,991.01,"1,090.00",871.00,1.71K,-1.15%,,,
2018-01-20,1178.29,979.57,"1,239.89",979.57,0.97K,20.29%,,,
2018-01-21,1022.74,"1,178.29","1,185.39","1,010.84",0.67K,-13.20%,,,
2018-01-22,999.37,"1,022.74","1,152.61",944.97,1.00K,-2.29%,,,
2018-01-23,1042.47,999.37,"1,180.00",949.89,0.90K,4.31%,1.9414685304308261,,
2018-01-24,1051.95,"1,042.47","1,200.00","1,000.00",1.27K,0.91%,1.9285640044918213,,
2018-01-25,1062.72,"1,051.95","1,163.83","1,021.00",1.06K,1.02%,1.073421025826857,,
2018-01-26,1068.37,"1,063.79","1,150.46","1,000.35",1.15K,0.53%,0.3718007547651976,,
2018-01-27,1134.30,"1,064.59","1,180.00","1,054.14",0.83K,6.17%,0.39928509570784837,,
2018-01-28,1251.02,"1,134.30","1,280.00","1,122.22",0.74K,10.29%,0.685029772516057,1.3847337244220368,
2018-01-29,1203.60,"1,251.02","1,274.00","1,173.54",0.79K,-3.79%,0.8665423711016946,1.4112860529355948,
2018-01-30,1101.75,"1,203.60","1,220.00","1,080.00",0.57K,-8.46%,1.192521792025494,1.0949336721536063,
2018-01-31,1116.08,"1,101.75","1,152.50","1,050.00",0.77K,1.30%,1.192079795211599,0.8326507025590143,
2018-02-01,1059.99,"1,116.08","1,171.60","1,000.28",1.25K,-5.03%,1.156606253254126,0.8733003374714434,
2018-02-02,908.09,"1,059.99","1,059.99",731.00,1.28K,-14.33%,0.9207495468943677,1.1243072367392613,
2018-02-03,977.47,908.09,997.77,853.33,1.24K,7.64%,1.3540343992848995,1.2064044059559704,
2018-02-04,839.61,977.47,"1,000.00",785.30,1.19K,-14.10%,1.5254422222405677,1.3805664455422044,
2018-02-05,691.35,839.61,864.00,614.84,1.30K,-17.66%,1.6298526539120275,1.5761123481633115,
2018-02-06,799.96,691.35,821.97,551.00,1.15K,15.71%,2.4046295353359146,1.801631906950157,
2018-02-07,765.47,799.96,850.00,683.28,0.98K,-4.31%,2.2479557063456674,1.6459905235479622,1.586125441419148
2018-02-08,795.28,764.71,838.70,758.05,1.63K,3.90%,2.1548359061020785,1.6971060110774563,1.5947611529129921
2018-02-09,871.00,790.57,910.00,773.80,1.26K,9.52%,2.0587617043076962,1.788548453161647,1.447112156983755
2018-02-10,859.33,866.37,914.00,821.03,1.60K,-1.34%,1.2867057267334308,1.780889811615143,1.374931283347714
