Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
2020-07-13,1.279,1.009,1.279,1.009,,26.71%,,,
2020-07-14,1.115,1.279,1.279,1.114,,-12.78%,,,
2020-07-15,1.383,1.115,1.384,1.115,,24.00%,,,
2020-07-21,1.004,0.874,1.005,0.874,,-27.41%,,,
2020-07-22,1.046,1.004,1.087,1.003,,4.17%,,,
2020-07-23,1.044,1.046,1.087,1.005,,-0.14%,3.0544553012019864,,
2020-07-25,1.274,0.986,1.379,0.986,,22.02%,3.3003657917536464,,
2020-07-26,1.61,1.274,1.61,1.249,,26.34%,3.3903526632797316,,
2020-07-27,1.731,1.61,2.067,1.61,,7.49%,1.839407563134924,,
2020-07-28,1.787,1.731,1.821,1.63,,3.24%,1.86577699909781,,
2020-07-29,1.65,1.787,2.051,1.618,,-7.67%,2.211675298640295,2.730610368512681,
2020-07-30,1.67,1.649,1.785,1.649,,1.21%,1.999546480738993,2.5760501318912628,
2020-07-31,1.555,1.67,1.67,1.554,,-6.85%,1.0448029051939134,2.409738586920979,
2020-08-01,1.617,1.555,1.649,1.495,,3.97%,0.8928645410839608,1.7546659844917565,
2020-08-02,1.716,1.617,1.717,1.436,,6.13%,1.0007176539371836,1.7536647848616842,
2020-08-03,1.786,1.716,1.83,1.682,,4.08%,0.8110428536209721,1.7272643029137835,
2020-08-04,1.896,1.786,1.933,1.786,,6.14%,0.866333975998265,1.481032615495618,
2020-08-05,1.784,1.896,1.896,1.783,,-5.92%,0.7982504432315883,0.9217238178107411,
2020-08-06,2.178,1.784,2.178,1.783,,22.08%,1.5933036099638767,1.3787717578817924,
2020-08-07,2.051,2.178,2.178,1.895,,-5.83%,1.8212063676723111,1.4415382830345482,
2020-08-08,2.5,2.051,2.601,2.012,,21.93%,2.2152714599207446,1.6502936218998479,2.1967743532359445
2020-08-09,2.706,2.5,2.706,2.31,,8.22%,2.211195198873243,1.646514361687363,2.104179708202538
2020-08-10,3.184,2.706,3.313,2.5,,17.67%,1.8790459202073215,1.5942290136019563,2.0403761719069196
2020-08-11,3.445,3.184,3.445,2.772,,8.21%,1.6970171482681662,1.5796142240059199,1.641873500629109
2020-08-12,3.728,3.445,3.88,3.183,,8.21%,1.032811367984505,1.5751345712167408,1.6395058396477589
2020-08-13,3.728,3.728,4.12,3.585,,0.00%,0.9928581461035482,1.6197214395634865,1.638403116520609
2020-08-14,3.377,3.728,3.729,3.377,,-9.40%,1.6144492404327004,1.8443249044408034,1.6369264408183175
2020-08-15,3.179,3.377,3.655,3.179,,-5.87%,1.2735381790524913,1.8434966734594485,1.4835320601207411
2020-08-16,3.378,3.179,3.445,3.179,,6.26%,1.2025999393770346,1.627891981050112,1.4800845843110895
2020-08-17,3.121,3.378,3.378,3.121,,-7.63%,1.0189484266503854,1.6628693110723127,1.534510973898082
2020-08-18,3.378,3.121,3.585,2.9,,8.26%,1.3134027448893004,1.387363955317813,1.4876116689587098
2020-08-19,2.942,3.378,3.445,2.883,,-12.90%,1.4583803381743894,1.574055746122159,1.6031693721381053
2020-08-20,3.184,2.942,3.377,2.939,,8.20%,1.5837897099365188,1.3549928178702442,1.5646504946139825
2020-08-21,2.94,3.184,3.184,2.94,,-7.66%,1.5699063803970794,1.3309813634080927,1.619376283539275
2020-08-22,3.06,2.94,3.184,2.717,,4.09%,1.5420504419037484,1.2631072322026946,1.6166258520512164
2020-08-23,3.312,3.06,3.379,3.059,,8.23%,1.5420758230588358,1.357628835038027,1.6256244447189236
2020-08-24,3.31,3.312,3.585,3.246,,-0.07%,1.0589825931241648,1.2706538013169768,1.6277031750610527
2020-08-25,3.265,3.31,3.312,3.064,,-1.34%,0.9490472498963102,1.2310333974251522,1.601362600090513
2020-08-26,3.563,3.265,3.784,3.199,,9.10%,0.7506587688373614,1.2759077410830097,1.4622488144695036
2020-08-27,3.442,3.563,3.796,3.336,,-3.39%,0.9154586984270104,1.213920386413163,1.4454602062082675
2020-08-28,4.008,3.442,4.234,3.442,,16.44%,1.3303763506074522,1.4015884821583773,1.3615491149520464
2020-08-29,3.979,4.008,4.079,3.802,,-0.71%,1.3443615136111915,1.147379059859769,1.3505929394203522
2020-08-30,4.439,3.979,4.575,3.925,,11.55%,1.3315967530748651,1.1986097555431388,1.2735875277802788
2020-08-31,4.758,4.439,4.843,4.158,,7.20%,1.3154449822407832,1.0264870131749553,1.2675324309818876
2020-09-01,4.327,4.758,4.934,4.327,,-9.06%,1.6055067826827583,1.2507678888221174,1.3017489783514935
2020-09-02,4.151,4.327,4.355,3.826,,-4.08%,1.3272514805403073,1.2806108578020579,1.3141108700963662
2020-09-03,3.526,4.151,4.312,3.526,,-15.06%,1.7619772045610274,1.5579403543015786,1.3859203796372102
2020-09-04,3.544,3.526,3.782,3.194,,0.53%,1.359268767922874,1.5526087820563566,1.3649297845540393
2020-09-05,2.538,3.544,3.624,2.408,,-28.40%,1.779833093817411,2.074272657921464,1.6978548633210861
2020-09-06,3.068,2.538,3.14,2.333,,20.89%,2.915182149544621,2.380340020661466,1.8421526631062752
2020-09-07,2.921,3.068,3.15,2.417,,-4.79%,2.9138264665348443,2.199656463354244,1.828439824205289
2020-09-08,2.476,2.921,2.925,2.409,,-15.23%,2.917577876834244,2.291200853362179,1.8518448029545336
2020-09-09,3.614,2.476,3.674,2.391,,45.98%,4.7234215766330045,3.3408255574357186,2.462650243771282
2020-09-10,3.461,3.614,3.843,3.314,,-4.25%,3.9357909090743886,3.3191940385247936,2.448304272742744
2020-09-11,3.428,3.461,3.487,3.053,,-0.94%,3.806751751085592,3.291291677663869,2.4488255770807057
2020-09-12,3.336,3.428,3.449,3.16,,-2.68%,3.7784002699753,3.287866787131785,2.440416943630012
2020-09-13,3.245,3.336,3.361,3.032,,-2.72%,3.4559492938408396,3.1907822845187033,2.4439093626173594
2020-09-14,3.272,3.245,3.442,3.106,,0.82%,0.3083371798724427,3.190731722870198,2.442400143601758
2020-09-15,2.926,3.272,3.303,2.922,,-10.57%,0.6927531523935115,2.839448164669093,2.4561710609805734
2020-09-16,2.55,2.926,2.926,2.449,,-12.86%,0.9237216011201386,2.7359355792737756,2.496484726931294
2020-09-17,2.894,2.55,2.925,2.459,,13.49%,1.6631885367672945,2.8127081223812813,2.472138348688499
2020-09-18,3.1,2.894,3.136,2.763,,7.14%,1.7916238593305502,2.669350972377516,2.487016959540036
2020-09-19,3.017,3.1,3.243,2.972,,-2.70%,1.793780265138902,1.2154963117271615,2.449131796457425
2020-09-20,2.877,3.017,3.017,2.712,,-4.62%,1.6390901558527007,1.2182022749958783,2.4334906266845246
2020-09-21,2.776,2.877,3.001,2.49,,-3.51%,1.266359336307455,1.2213570459574277,2.4184277787534443
2020-09-22,2.926,2.776,2.971,2.757,,5.41%,0.8706350329799664,1.2718180087703645,2.4267803222202775
2020-09-23,2.842,2.926,3.036,2.786,,-2.90%,0.6384482915353845,1.2723777672889898,2.369070055021186
2020-09-24,3.142,2.842,3.235,2.815,,10.56%,1.0585103752541214,1.3994676230575602,2.3991298403581354
2020-09-25,3.194,3.142,3.237,2.916,,1.68%,0.9347587548342958,1.270830794921207,2.144434809637174
2020-09-26,3.129,3.194,3.202,3.053,,-2.05%,0.8818790482130707,1.029947082261424,2.026534326876487
2020-09-27,3.159,3.129,3.159,3.011,,0.96%,0.8467644945691366,0.8170990103546522,2.01588740032516
2020-09-28,2.945,3.159,3.172,2.945,,-6.78%,1.0081134382211114,0.8232241169270594,1.9464203562515952
2020-09-29,2.952,2.945,3.006,2.906,,0.24%,0.5421092988996788,0.8135287976487284,1.0133023368982448
2020-09-30,2.889,2.952,2.985,2.845,,-2.14%,0.47993762158113085,0.7835576747666179,1.0066241261670574
2020-10-01,2.859,2.889,2.976,2.688,,-1.04%,0.48401518022479884,0.7607268795062763,1.0066559946849523
2020-10-02,2.619,2.859,2.859,2.464,,-8.38%,0.5966150973748401,0.8194756680087114,1.0412963618859579
2020-10-03,2.554,2.619,2.658,2.554,,-2.50%,0.5274966149401967,0.8171975699101518,1.0407911960216059
2020-10-04,2.517,2.554,2.575,2.432,,-1.41%,0.4783736761698234,0.5077438339968269,1.0386520431761874
2020-10-05,2.659,2.517,2.667,2.475,,5.60%,0.7925641215115746,0.618629944937726,1.001301862894152
2020-10-06,2.166,2.659,2.659,2.157,,-18.51%,1.435443943954032,1.046846049518851,1.1104075527506694
2020-10-07,2.292,2.166,2.329,2.108,,5.78%,1.574364097861777,1.128667075749186,1.010407369838145
2020-10-08,2.365,2.292,2.435,2.036,,3.20%,1.6188041166478409,1.1438587690852158,0.9778315397650978
2020-10-09,2.546,2.365,2.602,2.321,,7.65%,1.730474136549126,1.2395218586085819,1.024156122023105
2020-10-10,2.405,2.546,2.596,2.405,,-5.52%,1.7133565370677344,1.2585361198345404,1.0292920016759304
2020-10-11,2.417,2.405,2.448,2.351,,0.50%,0.8190697425622907,1.262524584391542,1.024511667052049
2020-10-12,2.581,2.417,2.679,2.417,,6.78%,0.8474771968678372,1.2556776798992948,1.0361489322466522
2020-10-13,2.404,2.581,2.581,2.354,,-6.84%,1.0686433528552424,1.2998662313355518,1.058122564918123
2020-10-14,2.309,2.404,2.432,2.251,,-3.94%,0.8809139909910616,1.3121800867433255,0.9772452194297249
2020-10-15,2.275,2.309,2.333,2.226,,-1.49%,0.8176037932753224,1.2662759632263185,0.9708250371778181
2020-10-16,2.148,2.275,2.275,2.13,,-5.61%,0.8602593080814623,0.8782369803733013,0.9815514453265968
2020-10-17,2.196,2.148,2.231,2.142,,2.25%,0.5729835552808351,0.8294669941230262,0.9871157355092189
2020-10-18,2.203,2.196,2.246,2.187,,0.31%,0.5004349915051408,0.8079033715545018,0.9698382814240708
2020-10-19,2.057,2.203,2.203,2.056,,-6.60%,0.6022805243077831,0.7122542779206066,0.986313465113247
2020-10-20,1.89,2.057,2.094,1.863,,-8.16%,0.7226918973711237,0.7582466443029395,1.0131494423606147
2020-10-21,1.891,1.89,2.03,1.863,,0.08%,0.7337444386843899,0.7539924642264869,1.015113193088593
2020-10-22,1.954,1.891,2.078,1.891,,3.34%,0.7803129842404126,0.6499418156166797,0.9999346146713235
2020-10-23,1.956,1.954,1.982,1.863,,0.10%,0.7760367990937557,0.6173880965822143,0.9999369285484582
2020-10-24,1.914,1.956,1.959,1.894,,-2.16%,0.6755727943361735,0.6077501764650907,1.0005433320428323
2020-10-25,1.787,1.914,1.914,1.775,,-6.62%,0.5840319276969186,0.6537031953448191,0.9846169584396982
2020-10-26,1.692,1.787,1.857,1.635,,-5.33%,0.6412102751037009,0.6500946424863071,0.7756760116468278
2020-10-27,1.712,1.692,1.739,1.623,,1.21%,0.5351968563795766,0.6315066334917969,0.7372452430105881
2020-10-28,1.512,1.712,1.715,1.475,,-11.72%,0.7685221716704395,0.7615681484306339,0.8021089207499087
2020-10-29,1.427,1.512,1.565,1.426,,-5.57%,0.7280737464410154,0.7519348700175437,0.7227582075503628
2020-10-30,1.429,1.427,1.445,1.353,,0.12%,0.8211758761435289,0.7231865987718894,0.7218334169348708
2020-10-31,1.545,1.429,1.548,1.429,,8.12%,1.1853402094671022,0.8996600399540623,0.8087921043916518
2020-11-01,1.604,1.545,1.635,1.526,,3.78%,1.2375767270301434,0.9078167351912722,0.7716304489098191
2020-11-02,1.481,1.604,1.632,1.475,,-7.64%,1.0367453797758686,0.9451631220368487,0.77857489903235
2020-11-03,1.418,1.481,1.481,1.418,,-4.26%,0.9957744070414462,0.9483653671425943,0.7795105729496197
2020-11-04,1.397,1.418,1.418,1.298,,-1.46%,1.0012888161367746,0.9248832814113678,0.7794988435510015
2020-11-05,1.4,1.397,1.471,1.311,,0.21%,0.6926956819536015,0.9156143239959567,0.7741839019169892
2020-11-06,1.911,1.4,1.921,1.4,,36.50%,2.8647904107761817,2.1345558991972773,1.5696560793934569
2020-11-07,2.505,1.911,2.505,1.911,,31.05%,3.123271103443987,2.436038793862611,1.925075787353017
2020-11-08,2.152,2.505,2.51,1.551,,-14.08%,3.50835637095582,2.582703091686,1.9829496147194634
2020-11-09,2.025,2.152,2.175,1.988,,-5.89%,3.615427107227406,2.6334033848915848,1.9711370792607248
2020-11-10,2.261,2.025,2.306,2.019,,11.61%,3.5190511408574263,2.652420483248228,2.0065432685072477
2020-11-11,2.002,2.261,2.287,2.002,,-11.45%,3.013153685839824,2.7790629272285376,2.0573059553148774
2020-11-12,1.895,2.002,2.049,1.842,,-5.34%,1.5926482680703093,2.755356292417763,2.0689069282076527
2020-11-13,2.019,1.895,2.042,1.895,,6.58%,1.525104340939978,2.72126847671165,2.0768325796649503
2020-11-14,1.928,2.019,2.024,1.893,,-4.53%,1.4992951752931778,2.7448772828006134,2.067823285956212
2020-11-15,2.033,1.928,2.188,1.928,,5.43%,1.2173127393001977,2.7347155364627613,2.058825345231706
2020-11-16,2.255,2.033,2.345,2.008,,10.93%,1.1405916519771726,2.1480755999796903,2.0848379445958267
2020-11-17,2.203,2.255,2.313,2.142,,-2.31%,1.0212083402314795,1.437683255522234,2.0282989947448287
2020-11-18,2.124,2.203,2.204,2.031,,-3.59%,1.0657033440319958,1.2526823114860743,2.0186317236890727
2020-11-19,2.073,2.124,2.174,2.029,,-2.40%,1.0033981530274527,1.2171852644468464,2.024898620620461
2020-11-20,2.104,2.073,2.221,2.061,,1.50%,0.9459095248303484,1.0520636006491335,2.014431255055793
2020-11-21,2.393,2.104,2.495,2.05,,13.74%,1.1370574493533687,1.078567323801686,2.0551252071659305
2020-11-22,2.157,2.393,2.393,2.108,,-9.85%,1.3900767084461572,1.1834379713787229,2.071258800691971
2020-11-23,2.274,2.157,2.341,2.129,,5.44%,1.3958505380209187,1.1714812036236038,2.057099673215209
2020-11-24,2.276,2.274,2.437,2.172,,0.07%,1.3607642769501858,1.1281166973545773,2.053211873041429
2020-11-25,2.274,2.276,2.482,2.202,,-0.10%,1.3703633945900593,1.1134566363051617,2.0538200244563254
2020-11-26,1.901,2.274,2.29,1.747,,-16.39%,1.3949806524495496,1.2866861088612085,1.751262715784163
2020-11-27,1.857,1.901,1.96,1.79,,-2.30%,1.3006096338470998,1.2867032877572526,1.3284877387203242
2020-11-28,1.888,1.857,1.928,1.811,,1.66%,1.1748349508223792,1.2886462206567384,1.2396395515034864
2020-11-29,1.909,1.888,1.939,1.862,,1.09%,1.196104930139581,1.2889934460563,1.2229404478255683
2020-11-30,1.967,1.909,1.999,1.909,,3.03%,1.2659741238354723,1.29802369577731,1.1500237566582436
2020-12-01,1.978,1.967,2.131,1.943,,0.57%,0.31370453402138576,1.0403312126725395,1.0739520463052683
2020-12-02,2.116,1.978,2.168,1.972,,6.98%,0.409109422651469,1.0124472927762824,1.0792198568249138
2020-12-03,2.096,2.116,2.21,2.082,,-0.94%,0.4845883992661307,0.9664543376721887,1.058691263213988
2020-12-04,1.857,2.096,2.108,1.857,,-11.37%,1.0897584422412696,1.104771336034025,1.127183812975328
2020-12-05,1.974,1.857,1.974,1.847,,6.25%,1.175021647167623,1.1763882828341692,1.132994041392784
2020-12-06,1.85,1.974,1.977,1.82,,-6.26%,1.262535542211154,0.8814817855357391,1.0783430657855777
2020-12-07,1.827,1.85,1.892,1.818,,-1.25%,1.049321810377351,0.8756648331319434,1.0769806134021247
2020-12-08,1.682,1.827,1.827,1.675,,-7.95%,1.0915896915146213,0.9530751895558426,1.1031621293497325
2020-12-09,1.666,1.682,1.682,1.532,,-0.95%,0.8843641235956599,0.9459805066017718,1.1017867266382564
2020-12-10,1.58,1.666,1.666,1.556,,-5.17%,0.49218085411551393,0.932863148197752,1.1083028335317553
2020-12-11,1.449,1.58,1.58,1.449,,-8.25%,0.558918267404265,0.969719191533672,0.9838196744858945
2020-12-12,1.499,1.449,1.533,1.449,,3.46%,0.7930156267169258,0.8813543561818614,0.9610702718714056
2020-12-13,1.566,1.499,1.639,1.468,,4.45%,0.8686514848797877,0.9594000255216404,0.9523485135067759
2020-12-14,1.594,1.566,1.614,1.528,,1.78%,0.8968279527965904,0.8464151375341559,0.9583979509285292
2020-12-15,1.755,1.594,1.785,1.592,,10.13%,1.0628559898685879,0.9572684266738551,1.043893829980605
