Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
2017-04-14,0.9899,0.9939,0.996,0.9689,71.65K,-0.40%,,,
2017-04-15,0.9896,0.9899,0.9899,0.9676,14.92K,-0.03%,,,
2017-04-16,0.9515,0.9896,0.9896,0.9515,12.41K,-3.85%,,,
2017-04-17,0.9392,0.9515,0.9698,0.9211,38.75K,-1.29%,,,
2017-04-18,0.945,0.9392,0.9628,0.9207,39.25K,0.62%,,,
2017-04-19,0.946,0.945,0.9549,0.9372,28.87K,0.11%,0.28538188653504404,,
2017-04-20,0.949,0.946,0.9549,0.92,76.29K,0.32%,0.29294082439154245,,
2017-04-21,0.9363,0.949,0.95,0.9,61.12K,-1.34%,0.1474108168894389,,
2017-04-22,0.915,0.9363,0.95,0.915,118.03K,-2.27%,0.19660599098209638,,
2017-04-23,0.915,0.915,0.94,0.901,76.41K,0.00%,0.17823345917891287,,
2017-04-24,0.915,0.915,0.9286,0.901,79.09K,0.00%,0.17558982069005613,0.22421523405600371,
2017-04-25,0.904,0.915,0.925,0.89,100.97K,-1.20%,0.15419275203081276,0.22101794525297222,
2017-04-26,0.9201,0.904,0.9367,0.903,52.90K,1.78%,0.24097081667914744,0.18833058171306397,
2017-04-27,0.92,0.9201,0.937,0.9199,47.58K,-0.01%,0.16935817453366012,0.1808006766288429,
2017-04-28,0.94,0.92,0.9649,0.9199,75.78K,2.17%,0.22223750101937123,0.21429562221173165,
2017-04-29,0.931,0.94,0.9524,0.931,25.58K,-0.96%,0.24622164135169863,0.21880242162336486,
2017-04-30,0.935,0.931,0.9529,0.912,74.28K,0.43%,0.20491454394121783,0.21954836029318758,
2017-05-01,0.9156,0.935,0.94,0.9151,34.20K,-2.07%,0.25217159493898483,0.23347813504966042,
2017-05-02,0.9283,0.9156,0.94,0.9121,57.01K,1.39%,0.27349056593062265,0.21455410923640553,
2017-05-03,0.9347,0.9283,0.948,0.9212,76.23K,0.69%,0.22096772922610425,0.2159676202721499,
2017-05-04,0.959,0.9347,0.9639,0.9155,198.89K,2.60%,0.27277226661949544,0.2458625871283566,0.2508190454021878
2017-05-05,0.979,0.959,0.98,0.9306,196.71K,2.09%,0.29075756026108096,0.23809163273879272,0.26306462873862135
2017-05-06,0.983,0.979,0.9929,0.955,56.41K,0.41%,0.14617345400894863,0.23232311695240698,0.221409180240306
2017-05-07,0.9281,0.983,0.983,0.928,59.90K,-5.58%,0.5200815447664796,0.39194430849809425,0.2981853957044722
2017-05-08,0.9711,0.9281,0.972,0.9281,69.67K,4.63%,0.6173795058647283,0.4440786604376063,0.3409714482059326
2017-05-09,0.97,0.9711,0.978,0.9527,462.52K,-0.11%,0.5980820370096696,0.43905139060302845,0.34110490169606456
2017-05-10,0.994,0.97,0.9946,0.965,253.82K,2.47%,0.6060350238793469,0.45068083922960345,0.3509793464981738
2017-05-11,0.9725,0.994,0.9986,0.9475,309.21K,-2.16%,0.6317817779578323,0.45219191432689193,0.3571129679033655
2017-05-12,0.9811,0.9725,0.9928,0.9601,34.44K,0.88%,0.4088089660707323,0.4505727759227151,0.34532205095994367
2017-05-13,0.9778,0.9811,0.9857,0.956,29.36K,-0.34%,0.2702978641750447,0.4528843134346996,0.34600835251456713
2017-05-14,0.98,0.9778,0.9886,0.9615,82.51K,0.22%,0.2692934894634405,0.43731300687304575,0.34579413259777675
2017-05-15,0.9773,0.98,0.992,0.9722,88.55K,-0.28%,0.18004376941873676,0.42548690261802213,0.3417597343087171
