Date,Price,Open,High,Low,Vol.,Change %
2017-04-14,0.9899,0.9939,0.996,0.9689,71.65K,-0.40%
2017-04-15,0.9896,0.9899,0.9899,0.9676,14.92K,-0.03%
2017-04-16,0.9515,0.9896,0.9896,0.9515,12.41K,-3.85%
2017-04-17,0.9392,0.9515,0.9698,0.9211,38.75K,-1.29%
2017-04-18,0.945,0.9392,0.9628,0.9207,39.25K,0.62%
2017-04-19,0.946,0.945,0.9549,0.9372,28.87K,0.11%
2017-04-20,0.949,0.946,0.9549,0.92,76.29K,0.32%
2017-04-21,0.9363,0.949,0.95,0.9,61.12K,-1.34%
2017-04-22,0.915,0.9363,0.95,0.915,118.03K,-2.27%
2017-04-23,0.915,0.915,0.94,0.901,76.41K,0.00%
2017-04-24,0.915,0.915,0.9286,0.901,79.09K,0.00%
2017-04-25,0.904,0.915,0.925,0.89,100.97K,-1.20%
2017-04-26,0.9201,0.904,0.9367,0.903,52.90K,1.78%
2017-04-27,0.92,0.9201,0.937,0.9199,47.58K,-0.01%
2017-04-28,0.94,0.92,0.9649,0.9199,75.78K,2.17%
2017-04-29,0.931,0.94,0.9524,0.931,25.58K,-0.96%
2017-04-30,0.935,0.931,0.9529,0.912,74.28K,0.43%
2017-05-01,0.9156,0.935,0.94,0.9151,34.20K,-2.07%
2017-05-02,0.9283,0.9156,0.94,0.9121,57.01K,1.39%
2017-05-03,0.9347,0.9283,0.948,0.9212,76.23K,0.69%
2017-05-04,0.959,0.9347,0.9639,0.9155,198.89K,2.60%
2017-05-05,0.979,0.959,0.98,0.9306,196.71K,2.09%
2017-05-06,0.983,0.979,0.9929,0.955,56.41K,0.41%
2017-05-07,0.9281,0.983,0.983,0.928,59.90K,-5.58%
2017-05-08,0.9711,0.9281,0.972,0.9281,69.67K,4.63%
2017-05-09,0.97,0.9711,0.978,0.9527,462.52K,-0.11%
2017-05-10,0.994,0.97,0.9946,0.965,253.82K,2.47%
2017-05-11,0.9725,0.994,0.9986,0.9475,309.21K,-2.16%
2017-05-12,0.9811,0.9725,0.9928,0.9601,34.44K,0.88%
2017-05-13,0.9778,0.9811,0.9857,0.956,29.36K,-0.34%
2017-05-14,0.98,0.9778,0.9886,0.9615,82.51K,0.22%
2017-05-15,0.9773,0.98,0.992,0.9722,88.55K,-0.28%
2017-05-16,0.9897,0.9773,0.9898,0.97,53.56K,1.27%
2017-05-17,0.9766,0.9897,0.9897,0.9702,23.83K,-1.32%
2017-05-18,0.9799,0.9766,0.9868,0.9703,24.74K,0.34%
2017-05-19,0.9983,0.9799,0.9983,0.9706,234.10K,1.88%
2017-05-20,0.99,0.9983,0.999,0.9801,200.80K,-0.83%
2017-05-21,0.9956,0.99,1.0,0.977,129.30K,0.57%
2017-05-22,1.0,0.9956,1.0,0.9768,309.60K,0.44%
2017-05-23,0.999,1.0,1.02,0.9827,206.72K,-0.10%
2017-05-24,1.01,0.999,1.02,0.9801,387.87K,1.10%
2017-05-25,1.0,1.01,1.07,0.984,182.73K,-0.99%
2017-05-26,1.02,1.0,1.05,1.0,205.32K,2.00%
2017-05-27,1.0,1.02,1.05,1.0,258.25K,-1.96%
2017-05-28,1.0,1.0,1.04,1.0,293.18K,0.00%
2017-05-29,1.04,1.0,1.04,1.0,259.80K,4.00%
2017-05-30,1.02,1.04,1.04,1.01,451.24K,-1.92%
2017-05-31,1.06,1.02,1.07,1.0,311.73K,3.92%
2017-06-01,1.04,1.06,1.06,1.01,316.04K,-1.89%
2017-06-02,1.03,1.04,1.06,1.03,178.30K,-0.96%
