Date,Price,Open,High,Low,Vol.,Change %
2015-01-22,0.016,0.0152,0.0175,0.0152,,5.19%
2015-01-23,0.016,0.016,0.017,0.016,,0.00%
2015-01-24,0.0174,0.016,0.0174,0.015,,8.69%
2015-01-25,0.017,0.0174,0.0174,0.0156,,-2.24%
2015-01-26,0.0147,0.017,0.0175,0.0147,,-13.59%
2015-01-27,0.0155,0.0147,0.017,0.0147,,5.51%
2015-01-28,0.015,0.0155,0.0167,0.0131,,-3.23%
2015-01-29,0.0135,0.015,0.015,0.0131,,-10.00%
2015-01-30,0.015,0.0135,0.015,0.0135,1.02K,11.11%
2015-01-31,0.015,0.015,0.015,0.0135,1.22K,0.00%
2015-02-01,0.0135,0.015,0.015,0.0135,0.10K,-9.81%
2015-02-02,0.0133,0.015,0.015,0.0133,,-1.85%
2015-02-03,0.0148,0.0133,0.015,0.0133,,11.53%
2015-02-04,0.014,0.0148,0.0148,0.014,,-5.41%
2015-02-05,0.0157,0.014,0.0157,0.013,,12.36%
2015-02-06,0.0155,0.0157,0.017,0.014,0.34K,-1.46%
2015-02-07,0.0147,0.0155,0.0155,0.014,0.22K,-5.29%
2015-02-08,0.0143,0.0147,0.0151,0.0143,,-2.72%
2015-02-09,0.0135,0.0143,0.0147,0.0135,,-5.46%
2015-02-10,0.0146,0.0135,0.0147,0.011,,8.44%
2015-02-11,0.0146,0.0146,0.0146,0.011,,0.00%
2015-02-12,0.0143,0.0146,0.0146,0.011,,-2.19%
2015-02-13,0.0144,0.0143,0.0147,0.012,,1.05%
2015-02-14,0.012,0.0144,0.0151,0.012,,-16.96%
2015-02-15,0.012,0.012,0.012,0.012,,0.00%
2015-02-16,0.0151,0.0151,0.0151,0.012,,25.67%
2015-02-17,0.013,0.0151,0.0151,0.012,,-13.73%
2015-02-18,0.015,0.013,0.015,0.013,,15.22%
2015-02-19,0.0131,0.015,0.015,0.0131,,-12.81%
2015-02-20,0.0131,0.0131,0.015,0.0131,0.00K,0.00%
2015-02-21,0.0131,0.0131,0.0141,0.0131,0.00K,0.00%
2015-02-22,0.0131,0.0131,0.014,0.0131,,0.00%
2015-02-23,0.014,0.0131,0.014,0.0131,,7.35%
2015-02-24,0.0134,0.014,0.014,0.0131,,-4.28%
2015-02-25,0.014,0.0134,0.014,0.0131,,4.24%
2015-02-26,0.013,0.014,0.014,0.0116,0.04K,-7.14%
2015-02-27,0.0121,0.013,0.014,0.0116,,-7.23%
2015-02-28,0.0118,0.0121,0.0132,0.0116,,-2.32%
2015-03-01,0.011,0.0118,0.0135,0.011,0.00K,-6.54%
2015-03-02,0.0066,0.011,0.0121,0.0066,,-39.95%
2015-03-03,0.0085,0.0066,0.0121,0.0066,56.02K,28.65%
2015-03-04,0.012,0.0085,0.012,0.0084,0.37K,41.09%
2015-03-05,0.012,0.012,0.012,0.0093,4.58K,0.00%
2015-03-06,0.0104,0.012,0.012,0.0092,0.01K,-13.33%
2015-03-07,0.0103,0.0104,0.012,0.0103,,-0.96%
2015-03-08,0.0098,0.0103,0.011,0.0098,,-5.08%
2015-03-09,0.0098,0.0098,0.011,0.0098,,0.00%
2015-03-10,0.0095,0.0098,0.011,0.0088,,-2.75%
2015-03-11,0.0077,0.0095,0.0109,0.0077,0.18K,-19.25%
2015-03-12,0.0108,0.0077,0.0109,0.0077,,40.52%
2015-03-13,0.0107,0.0108,0.0108,0.0082,0.00K,-1.02%
2015-03-14,0.0111,0.0107,0.012,0.0102,11.18K,3.83%
2015-03-15,0.0106,0.0111,0.0117,0.0102,,-4.68%
2015-03-16,0.0105,0.0106,0.0112,0.0102,,-0.57%
2015-03-17,0.0105,0.0105,0.0112,0.0105,0.00K,0.00%
2015-03-18,0.0102,0.0105,0.015,0.0102,,-2.75%
2015-03-19,0.0109,0.0102,0.011,0.0079,,6.74%
2015-03-20,0.0075,0.0109,0.0109,0.0075,,-31.24%
2015-03-21,0.0101,0.0075,0.0102,0.0075,,34.53%
2015-03-22,0.01,0.0101,0.0102,0.0094,,-0.69%
2015-03-23,0.0097,0.01,0.0102,0.0097,,-3.11%
2015-03-24,0.0099,0.0097,0.0099,0.009,,2.20%
2015-03-25,0.0092,0.0099,0.0099,0.008,,-7.46%
2015-03-26,0.0085,0.0092,0.0093,0.0085,,-7.61%
2015-03-27,0.0088,0.0085,0.0088,0.0085,,2.94%
2015-03-28,0.0089,0.0088,0.0089,0.0087,,2.29%
