Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,3.673,3.673,3.6731,3.6726,,0.00%,,,
01/01/2016,3.6721,3.6729,3.6735,3.6716,,0.00%,,,
01/01/2018,3.673,3.673,3.673,3.673,,0.01%,,,
01/01/2019,3.6732,3.6732,3.6734,3.6726,,0.00%,,,
01/01/2020,3.6728,3.6732,3.6733,3.6729,,0.00%,,,
01/01/2021,3.6728,3.6732,3.6732,3.673,,0.00%,0.002909217955954653,,
01/01/2023,3.6721,3.6726,3.6726,3.6726,,0.00%,0.002647022632865296,,
01/01/2024,3.6723,3.6728,3.6732,3.6727,,0.00%,0.0017180275178207602,,
01/01/2025,3.6726,3.6726,3.6726,3.6726,,0.00%,0.0018184449148843577,,
01/02/2015,3.673,3.673,3.6731,3.6726,,0.00%,0.0018988710032994225,,
01/02/2017,3.6731,3.6733,3.6735,3.6725,,0.01%,0.0018988655117324323,0.0023272228013750495,
01/02/2018,3.6732,3.6732,3.6733,3.6722,,0.01%,0.000563610306876503,0.0018725351766611664,
01/02/2019,3.6732,3.6732,3.6734,3.6723,,0.00%,0.00071027778596621,0.0014378503513636724,
01/02/2020,3.6728,3.6729,3.6733,3.6728,,0.00%,0.001245162853335864,0.0015137913505811323,
01/02/2023,3.6721,3.6727,3.6732,3.6725,,0.00%,0.0015402577423487798,0.001705323121155724,
01/02/2024,3.6723,3.6728,3.6732,3.6723,,0.00%,0.001634450910759371,0.0017438463590770832,
01/02/2025,3.6729,3.673,3.6732,3.6727,,0.01%,0.002195500157081383,0.0016402112576977919,
01/03/2015,3.673,3.6729,3.6731,3.6729,,0.00%,0.0022166626085011374,0.0016306891291824725,
01/03/2017,3.6731,3.6734,3.6735,3.6725,,0.00%,0.002041170767596337,0.0015946416588801437,
01/03/2018,3.6731,3.6733,3.6735,3.6729,,0.00%,0.0010137957119829807,0.0015035223333790498,
01/03/2019,3.6732,3.6732,3.6734,3.6726,,0.00%,0.00103206787060886,0.0015035219952058132,0.0019068974423452308
01/03/2020,3.6728,3.673,3.6734,3.6727,,0.00%,0.0009369343299300426,0.001593977931531485,0.0017248387562406316
01/03/2022,3.6726,3.673,3.6733,3.6727,,0.00%,0.0009369449146545137,0.0016069521974488659,0.0014946408696764524
01/03/2023,3.6724,3.6725,3.6732,3.6723,,0.01%,0.0008424782480444669,0.001541032901945464,0.0014867329056677638
01/03/2024,3.6722,3.6727,3.6732,3.6723,,0.00%,0.000773107568107758,0.001213196584508907,0.001451270437220348
01/03/2025,3.6728,3.673,3.6733,3.6726,,0.00%,0.001685253532161915,0.0014444489246417075,0.0015741491964858536
01/04/2016,3.6729,3.6719,3.6735,3.6717,,0.02%,0.0015098712035127972,0.0011881349281104097,0.0014051719191098453
01/04/2017,3.6731,3.6734,3.6735,3.6725,,0.00%,0.0014336952610343623,0.001213199337281484,0.0014051670411518147
01/04/2018,3.6731,3.6734,3.6736,3.6729,,0.00%,0.001282356260604867,0.001205478067199267,0.001380276741102401
01/04/2019,3.6732,3.6732,3.6734,3.6728,,0.00%,0.0010138258294109686,0.001213198918158044,0.0013296592203045105
01/04/2020,3.6732,3.6732,3.6732,3.6732,,0.01%,0.000361609092416518,0.001205478067199267,0.001326514042861956
01/04/2021,3.6728,3.673,3.6735,3.6728,,0.00%,0.0009855202505641124,0.001205478067199267,0.001378306855410514
01/04/2022,3.6726,3.673,3.6732,3.6727,,0.00%,0.0008643568559463217,0.001205478067199267,0.0013889680067157351
01/04/2023,3.6726,3.673,3.6732,3.6724,,0.01%,0.0008643568559463217,0.0011669742687057385,0.0013370377922852315
01/04/2024,3.6722,3.6727,3.6732,3.6725,,0.00%,0.0008644127571876554,0.0012724943952729536,0.0012102442902629238
01/04/2025,3.6728,3.6728,3.6728,3.6728,,0.00%,0.0017926887601529863,0.0012724943952729536,0.0013295161640983779
01/05/2015,3.673,3.673,3.673,3.672,,0.00%,0.0016629575066019033,0.0012959292893587283,0.0012102461503309854
01/05/2016,3.673,3.6724,3.6732,3.672,,0.00%,0.0015705091995460337,0.001263494558769318,0.001206382032405877
