Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,2.657,2.6575,2.6575,2.6575,,0.00%,,,
01/01/2016,3.9593,3.9593,3.9593,3.9593,,0.00%,,,
01/01/2018,3.3121,3.3121,3.3121,3.3121,,0.00%,,,
01/01/2019,3.8804,3.8804,3.8804,3.8804,,0.00%,,,
01/01/2020,4.019,4.019,4.019,4.019,,0.00%,,,
01/01/2021,5.1937,5.1937,5.1937,5.1937,,0.00%,3.9412472783988965,,
01/01/2024,4.8526,4.8534,4.8534,4.8534,,0.01%,2.8897819478767564,,
01/01/2025,6.184,6.1847,6.1847,6.1847,,0.10%,2.451662141507732,,
01/02/2015,2.6931,2.6575,2.7084,2.6575,,1.36%,5.5265748704297115,,
01/02/2017,3.2851,3.2547,3.2891,3.252,,0.98%,5.762711622907485,,
01/02/2018,3.2588,3.3136,3.3136,3.2571,,-1.61%,5.27988929777361,4.682901322224029,
01/02/2019,3.7897,3.8793,3.8976,3.7833,44.05K,-2.34%,5.426661112665081,4.110534517177336,
01/02/2020,4.026,4.0197,4.0413,4.0038,31.67K,0.17%,4.983638434438055,3.9579584966800234,
01/02/2023,5.3633,5.2865,5.3671,5.2861,84.04K,1.46%,2.111963701397815,4.163640988441323,
01/02/2024,4.9235,4.8533,4.924,4.8489,,1.46%,2.5578897936403875,4.235379760073792,
01/02/2025,6.1519,6.1847,6.2284,6.1446,,-0.52%,2.5674522359175826,4.175363325999988,
01/03/2017,3.2644,3.2817,3.2926,3.2464,,-0.63%,5.03114323305668,4.933399187315179,
01/03/2018,3.2369,3.259,3.2682,3.2322,,-0.67%,5.017375832469996,4.721164231273228,
01/03/2019,3.7564,3.7965,3.8081,3.738,55.71K,-0.88%,4.4236899486194226,3.61175455990499,
01/03/2020,4.0669,4.0251,4.072,4.0251,43.89K,1.02%,4.455987378147582,3.5080204314106154,
01/03/2022,5.6818,5.5668,5.6827,5.5565,68.61K,2.00%,5.0535127303022405,3.8943287091382763,4.19516205247349
01/03/2023,5.4797,5.3638,5.4802,5.3396,188.23K,2.17%,2.7552831290349626,3.9158772549126075,3.9167631528280755
01/03/2024,4.9198,4.9174,4.9397,4.8991,,-0.08%,3.0891359051498686,4.009548940927608,3.8778553615610245
01/03/2025,6.1798,6.1522,6.2011,6.1357,,0.45%,3.2751060863020878,3.8769603068192495,3.922829703083332
01/04/2016,4.0387,3.9608,4.0706,3.959,,2.01%,4.691053120296577,4.3210824580736364,4.179711859546248
01/04/2017,3.216,3.2523,3.2523,3.2104,,-1.48%,3.5632853539514078,4.240532910304888,4.153957223930803
01/04/2018,3.2344,3.2372,3.2431,3.2218,,-0.08%,3.612089261318798,3.4495133528146926,4.143151304516403
01/04/2019,3.7154,3.7593,3.7857,3.7093,56.28K,-1.09%,3.931751698666638,3.502317657285584,4.063736793967831
01/04/2021,5.2968,5.1351,5.2973,5.1197,163.79K,1.99%,4.793135857211191,3.98522160131271,3.701648157110324
01/04/2022,5.677,5.6667,5.7113,5.6372,82.13K,-0.08%,3.6355198299313254,3.9840776621793004,3.6551393386400077
01/04/2023,5.4312,5.4799,5.4799,5.4248,175.09K,-0.89%,2.930049256367349,3.53402548949062,3.6653366045473446
01/04/2024,4.8968,4.9181,4.9366,4.8953,,-0.47%,3.263914836280952,3.5743699613595417,3.6789403128946065
01/05/2015,2.7059,2.6941,2.731,2.6941,,0.48%,4.997135757944401,4.239733380814836,4.063066483258925
01/05/2016,4.0062,4.0403,4.0585,3.9876,,-0.80%,5.309890835503079,4.770143494605197,4.246834668664553
01/05/2017,3.1988,3.2163,3.2298,3.1932,,-0.53%,5.406906733353345,4.525176293461562,4.306465084425144
01/05/2018,3.2288,3.2347,3.2497,3.2263,,-0.17%,5.431275662929572,4.36187571686863,4.217281678997892
01/05/2021,5.2854,5.2955,5.3546,5.2515,179.01K,-0.22%,7.23917452691286,5.294156770730329,4.3946439160310335
01/05/2022,5.7087,5.6774,5.7242,5.6419,84.55K,0.56%,5.508108641446111,5.28703942655786,4.387750540072689
01/05/2023,5.3509,5.4315,5.4315,5.3478,148.32K,-1.48%,5.10725221709887,4.982084711313687,4.394048071333356
01/05/2024,4.8743,4.9089,4.9407,4.8597,,-0.46%,4.749268840313199,5.020935744832073,4.420705337938302
01/06/2015,2.6996,2.7064,2.7237,2.6916,,-0.23%,6.250827654191762,5.556376136212486,4.539384924126206
01/06/2016,4.0229,4.0071,4.0565,4.0032,,0.42%,5.3684168335202616,6.067608952874469,4.854480782442691
01/06/2017,3.2239,3.198,3.2245,3.1876,,0.78%,5.45235958811531,5.613790573428258,4.900684116598959
01/06/2020,4.0616,4.0567,4.0746,4.0463,31.86K,-0.13%,5.908755032998152,5.259941147736863,4.903052350356792
01/06/2021,5.3139,5.2863,5.3598,5.2318,225.65K,0.54%,6.184721507394973,5.2055453061922305,4.797381017912754
01/06/2022,5.6834,5.6878,5.7255,5.6694,80.38K,-0.44%,4.158054571283328,5.185322526347903,4.697972923936591
01/06/2023,5.2254,5.3514,5.3697,5.2186,154.80K,-2.35%,3.438340788718235,4.298909842394754,4.723548741091293
01/06/2025,6.1152,6.1817,6.182,6.092,,-1.05%,2.4731389055168567,4.350061017428752,4.729195984687113
01/07/2015,2.683,2.7009,2.7093,2.6736,,-0.61%,5.3164482076485955,5.302162089945776,5.0241202877326385
01/07/2016,4.0433,4.0248,4.074,4.0216,,0.51%,6.200144431686693,5.861078472365101,5.315672773000662
01/07/2019,3.7351,3.7144,3.7387,3.69,44.59K,0.53%,6.214591265563931,5.242511675333226,5.323725877719288
01/07/2020,4.0676,4.062,4.0928,4.0549,36.55K,0.15%,6.206698127243399,4.745880843290023,5.301790440092742
01/07/2021,5.4101,5.3169,5.4187,5.2989,169.63K,1.81%,6.535954851064895,4.71631678620761,5.052825858795357
