Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2016,6.5697,6.5681,6.5697,6.5681,,0.01%,,,
01/01/2018,6.514,6.514,6.5148,6.514,,0.00%,,,
01/01/2019,6.87,6.8721,6.8722,6.87,,0.00%,,,
01/01/2020,6.9651,6.9615,6.9678,6.9601,,0.09%,,,
01/01/2021,6.5028,6.503,6.507,6.497,,0.02%,,,
01/01/2024,7.124,7.1245,7.1266,7.1241,,-0.02%,0.978284416838727,,
01/01/2025,7.3317,7.3355,7.337,7.3324,,-0.03%,0.9506062507943945,,
01/02/2015,6.2284,6.217,6.2313,6.217,,0.19%,1.5057967182153276,,
01/02/2017,6.974,6.9723,6.9854,6.9717,,0.01%,1.7960862094725591,,
01/02/2018,6.5022,6.5148,6.5191,6.4886,,-0.18%,1.799327155979897,,
01/02/2019,6.8796,6.8689,6.8839,6.8592,,0.14%,1.6976459404934785,1.3169907224601667,
01/02/2020,6.9573,6.9655,6.9725,6.9564,,-0.11%,1.6814916306978458,1.313886843350024,
01/02/2023,6.9266,6.9229,6.9325,6.9125,,0.05%,1.1136521258693906,1.2906454875298967,
01/02/2024,7.1503,7.1238,7.1547,7.1098,,0.37%,0.7513503836066163,1.2979435183863823,
01/02/2025,7.3395,7.332,7.3451,7.315,,0.11%,0.3722673320359541,1.2357551867569398,
01/03/2017,6.9591,6.9736,6.9882,6.9572,,-0.21%,0.53470988035308,1.1873154653960314,
01/03/2018,6.4977,6.5022,6.511,6.4906,,-0.07%,0.7113061082128493,1.2185520577096305,
01/03/2019,6.883,6.8794,6.8955,6.8759,,0.05%,0.8817708647266231,0.9670270866446502,
01/03/2020,6.9638,6.9593,6.9749,6.9565,,0.09%,0.8456519769545787,0.7588095462803687,
01/03/2022,6.373,6.36,6.3769,6.3503,,0.19%,0.9542081291919005,0.805735931551143,
01/03/2023,6.9233,6.9268,6.9397,6.8787,,-0.05%,1.1957588641600518,0.8733369763531726,1.0886220512647267
01/03/2024,7.1637,7.1492,7.1731,7.1421,,0.19%,1.0413265414582074,0.8881089673588606,1.092375083173457
01/03/2025,7.3565,7.3401,7.3629,7.3236,,0.23%,0.9913619322661722,0.8933632808651176,1.0807221587419191
01/04/2016,6.6291,6.5687,6.635,6.568,,0.90%,1.2824342715014978,1.0244133469918133,1.1417656626236066
01/04/2017,6.8665,6.9585,6.9695,6.8655,,-1.33%,1.094171360430725,1.0336512120415886,1.1203496750271087
01/04/2018,6.4919,6.4949,6.5105,6.4818,,-0.09%,0.9830299797577644,1.0372151443816422,1.0858974066258216
01/04/2019,6.866,6.8822,6.8855,6.8648,,-0.25%,1.0607994118295212,1.0184430513355056,1.1014471158291639
01/04/2021,6.4541,6.505,6.5054,6.4397,,-0.75%,1.0671388412380614,1.024332624517219,0.9784598414514089
01/04/2022,6.3727,6.3747,6.3844,6.3689,,0.00%,0.8366189378097064,1.0208045606720422,0.877734107299542
01/04/2023,6.8989,6.924,6.9251,6.88,,-0.35%,1.029976542239007,1.0089848046957615,0.8928806663855839
01/04/2024,7.1765,7.1646,7.1787,7.1522,,0.18%,0.9115856332806116,0.9348562596199328,0.8808727509397466
01/05/2015,6.2281,6.2275,6.2337,6.221,,0.00%,1.3356438783964004,1.1400357191527537,1.0029525661364733
01/05/2016,6.6448,6.6274,6.6563,6.6255,,0.24%,1.3778186916485868,1.1941629091100405,1.0336452041273363
01/05/2017,6.7883,6.8663,6.8976,6.782,,-1.14%,1.3653761560303654,1.0841187527271483,1.0299005825820644
01/05/2018,6.4805,6.4905,6.4919,6.4726,,-0.18%,1.270136073465089,1.0950705759529968,1.0364447708511662
01/05/2021,6.4357,6.4551,6.4587,6.4114,,-0.29%,1.195117849869049,1.0584693987361167,1.02118262862778
01/05/2022,6.3746,6.3739,6.3786,6.3648,,0.03%,0.6637745992147683,1.0108259588634005,0.9931841866949117
01/05/2023,6.891,6.8991,6.9032,6.8704,,-0.11%,0.7483318302819238,1.0453049555653542,1.012895741471818
01/05/2024,7.1657,7.1774,7.1807,7.1407,,-0.15%,0.7795639347366776,1.0487030767742695,1.021353865923377
01/06/2015,6.2125,6.227,6.2285,6.2059,,-0.25%,1.2754403877636298,1.2004747505099789,1.0886924977932493
01/06/2016,6.696,6.6419,6.7344,6.6353,,0.77%,1.405643493411549,1.2560729120194443,1.0802224982328656
01/06/2017,6.8502,6.8007,6.8627,6.7918,,0.91%,1.3943429103630591,1.0347236678788438,1.0761134634195826
01/06/2020,6.9686,6.9673,6.9781,6.9623,,0.07%,1.2809608132144266,0.9893766168614434,1.0734614419161599
01/06/2021,6.4487,6.4368,6.4585,6.4242,,0.20%,1.3410324749785454,1.0635843908866076,1.0470793562688594
01/06/2022,6.3923,6.3755,6.3996,6.3703,,0.28%,0.8798051560646186,1.038392858149377,1.0392083284765097
01/06/2023,6.8303,6.8917,6.8917,6.8235,,-0.88%,0.8338556849162169,1.0907871801671947,1.0476250903923519
01/06/2025,7.3458,7.3561,7.3648,7.3128,,-0.15%,0.9759252670148053,1.1347744823775254,1.061412708562971
01/07/2015,6.2157,6.2115,6.2205,6.2075,,0.05%,1.5465219916200765,1.353281599139622,1.1835545933585176
01/07/2016,6.683,6.6953,6.7541,6.6624,,-0.19%,1.5704337326730184,1.3982616649651158,1.2109904950972177
01/07/2019,6.8464,6.8654,6.8667,6.8452,,-0.29%,1.5613728569757361,1.19833115976126,1.1789325546858933
01/07/2020,6.9408,6.9694,6.9707,6.9289,,-0.40%,1.4967173598158632,1.1423280069485284,1.171376402140432
01/07/2021,6.4699,6.4497,6.4788,6.4356,,0.33%,1.4279612335645355,1.194415294153603,1.0940842257885057
01/07/2022,6.3792,6.3948,6.3981,6.377,,-0.20%,0.8339934884260611,1.1898331271853044,1.070068776622837
01/07/2025,7.3405,7.3461,7.3507,7.3302,,-0.07%,1.2799196459092423,1.3532696671427196,1.1951052214309903
01/08/2015,6.2183,6.2146,6.2243,6.2131,,0.04%,1.7762837841815353,1.5992264258379685,1.3123760896111967
01/08/2016,6.6836,6.6808,6.6926,6.6524,,0.01%,1.886023069640873,1.6068731222831465,1.3374367607374402
01/08/2018,6.4965,6.4776,6.5019,6.4658,,0.25%,1.8181629503054213,1.5586797128401726,1.3417696973431827
01/08/2019,6.8547,6.8472,6.8707,6.8442,,0.12%,1.836089179493591,1.3492546251082251,1.3252314804709964
01/08/2020,6.936,6.9411,6.966,6.9324,,-0.07%,1.4337751759544777,1.3044207770897749,1.3186553504125307
01/08/2021,6.4632,6.4714,6.4778,6.452,,-0.10%,0.9321854001570996,1.3513480528086357,1.248991127121287
01/08/2024,7.1611,7.1654,7.1752,7.154,,-0.06%,1.0948925916193615,1.4613090371229427,1.2765923478639833
01/08/2025,7.3523,7.3409,7.362,7.3384,,0.16%,1.0237212064050578,1.4016507123309192,1.2772888519287058
01/09/2015,6.2059,6.2175,6.2189,6.204,,-0.20%,1.5927892419175753,1.6473982365386264,1.4002871023452375
01/09/2017,6.88,6.8468,6.8915,6.8467,,0.44%,1.8282685218170835,1.5520108855347066,1.4250556834697945
01/09/2018,6.535,6.4966,6.5396,6.4962,,0.59%,1.787576367671522,1.3440976823058288,1.4387078860411286
01/09/2019,6.8126,6.8534,6.8547,6.8069,,-0.61%,1.6068422662269837,1.3086001552692232,1.4264047923292287
01/09/2020,6.9244,6.9371,6.9401,6.9169,,-0.17%,1.5954102981993383,1.2961256093678846,1.4022567411523863
01/09/2023,6.7817,6.8308,6.8316,6.7657,,-0.71%,0.970146242541488,1.2770757315741517,1.281880209458591
01/09/2024,7.1834,7.1621,7.1885,7.1595,,0.31%,0.7131528062849312,1.3091383443034594,1.2719284366225705
01/09/2025,7.3541,7.3533,7.3594,7.3432,,0.02%,0.4782191758452706,1.24161584040245,1.2718038308071085
01/10/2017,6.9109,6.8798,6.9142,6.8684,,0.45%,0.7244457751054103,1.1776743253104283,1.2933100699179814
01/10/2018,6.5228,6.532,6.5453,6.5084,,-0.19%,0.8210204665261813,1.196461075861067,1.2854611110388687
