Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,12385.0,"12,385.0","12,385.0","12,385.0",,0.00%,,,
01/01/2016,13787.5,"13,787.5","13,787.5","13,787.5",,0.00%,,,
01/01/2018,13567.5,"13,567.5","13,567.5","13,567.5",,0.00%,,,
01/01/2019,14380.0,"14,380.0","14,380.0","14,380.0",,0.00%,,,
01/01/2020,13882.5,"13,882.5","13,882.5","13,882.5",,0.00%,,,
01/01/2021,14213.7,"14,213.5","14,214.2","13,919.0",,1.24%,0.9439084461749693,,
01/01/2024,15390.0,"15,390.1","15,390.1","15,390.0",,-0.03%,0.7844295284329974,,
01/01/2025,16090.0,"16,090.0","16,090.0","16,090.0",,0.00%,0.7088982386550956,,
01/02/2015,12542.5,"12,407.5","12,542.5","12,407.5",,1.27%,1.8978806114427653,,
01/02/2017,13472.5,"13,472.5","13,472.5","13,472.5",,0.00%,2.0015252538773853,,
01/02/2018,13517.5,"13,537.5","13,555.5","13,514.5",,-0.37%,1.992141290748376,1.494175041352619,
01/02/2019,14450.0,"14,425.0","14,485.0","14,425.0",0.09K,0.49%,1.956896864993501,1.4261472449186587,
01/02/2020,13889.0,"13,870.0","13,905.0","13,870.0",0.06K,0.05%,1.9089040462336886,1.4417703226542742,
01/02/2023,15570.0,"15,490.0","15,583.5","15,490.0",0.12K,0.03%,1.0028870513051222,1.534884028355048,
01/02/2024,15465.0,"15,430.0","15,482.5","15,430.0",,0.49%,1.0227361070910392,1.517184630890526,
01/02/2025,16190.0,"16,200.0","16,262.5","16,174.5",,0.62%,0.9988509752212179,1.5251777567427331,
01/03/2017,13479.5,"13,461.5","13,486.5","13,461.5",,0.05%,1.7027490106930983,1.7295504426960768,
01/03/2018,13478.0,"13,500.0","13,509.0","13,476.0",,-0.29%,1.682107773705718,1.7055222119242555,
01/03/2019,14410.0,"14,445.0","14,490.0","14,410.0",0.08K,-0.28%,1.4716125908831823,1.2806377691916997,
01/03/2020,13925.0,"13,880.0","13,935.0","13,880.0",0.10K,0.26%,1.4783493857005714,1.2602233423315823,
01/03/2022,14264.0,"14,255.0","14,276.5","14,249.0",0.11K,0.10%,1.424653855956253,1.2632666668357064,1.3472135600014652
01/03/2023,15595.0,"15,595.0","15,612.5","15,550.0",0.17K,0.16%,0.8144934525538308,1.301284635947819,1.328839092365717
01/03/2024,15475.0,"15,505.0","15,527.5","15,470.0",,0.06%,0.8340566708473633,1.277208914521751,1.3270401050891614
01/03/2025,16185.0,"16,225.0","16,245.0","16,190.0",,-0.03%,0.7781326014349034,1.1501162853995872,1.3210002754872727
01/04/2016,13915.0,"13,805.0","13,920.0","13,805.0",,0.92%,1.3994434333333912,1.3675447529051372,1.4174762865909758
01/04/2017,13440.0,"13,470.0","13,485.0","13,435.0",,-0.29%,1.4051323562175408,1.3384053457692315,1.4217506252218202
01/04/2018,13423.5,"13,466.5","13,481.5","13,411.5",,-0.40%,1.100520143706257,1.0341048918931115,1.3888033260514092
01/04/2019,14270.0,"14,380.0","14,380.0","14,255.0",0.12K,-0.97%,1.2805904575547704,1.0788998554927165,1.3982940988359807
01/04/2021,13885.0,"13,910.0","13,940.0","13,862.5",0.07K,-2.31%,1.167837555045623,1.0329827061830346,1.1426677957155107
01/04/2022,14300.0,"14,287.5","14,327.5","14,270.0",0.14K,0.25%,0.6437170163749821,1.0272367031936662,1.11906462539925
01/04/2023,15585.0,"15,612.5","15,633.0","15,580.0",0.19K,-0.06%,0.7485422712323202,1.1116427293164157,1.1583622957326136
01/04/2024,15485.0,"15,535.0","15,552.5","15,490.0",,0.06%,0.7633415509899608,1.0137275124133729,1.1379793393251478
01/05/2015,12627.5,"12,522.5","12,672.5","12,522.5",,0.68%,1.623976768709896,1.3797690466610404,1.3174791436078608
01/05/2016,13862.5,"13,947.5","13,962.5","13,787.5",,-0.38%,1.8184056774404438,1.467322921014909,1.291193425035435
01/05/2017,13375.0,"13,405.0","13,405.0","13,315.0",,-0.48%,1.8216797008030448,1.2932191214437159,1.2963785015332843
01/05/2018,13415.5,"13,413.5","13,435.5","13,392.5",,-0.06%,1.622107770866403,1.2797700396152112,1.2828842446299218
01/05/2021,13900.0,"13,900.0","13,932.5","13,900.0",0.03K,0.11%,1.67996972979082,1.2900597676662542,1.1386853822314398
01/05/2022,14355.0,"14,347.5","14,371.5","14,335.0",0.17K,0.38%,0.7764022577671579,1.2616078280637322,1.1430295746875105
01/05/2023,15605.0,"15,580.0","15,622.5","15,565.0",0.18K,0.13%,0.71609297748557,1.312993747150414,1.1578921767188823
01/05/2024,15510.0,"15,507.5","15,532.0","15,499.5",,0.16%,0.5795227663544,1.3140212253955712,1.149266100273137
01/06/2015,12657.5,"12,602.5","12,672.5","12,602.5",,0.24%,1.6571071545149476,1.553440701871369,1.3331047020666995
01/06/2016,13947.5,"13,817.5","13,947.5","13,802.5",,0.61%,1.822128575652505,1.6633323587137472,1.3416189989534908
01/06/2017,13365.0,"13,340.0","13,365.0","13,334.0",,-0.07%,1.8308918519632131,1.3585894723981944,1.3489832806838746
01/06/2020,13940.0,"13,925.0","13,970.0","13,925.0",0.14K,0.11%,1.7085485248574852,1.2843302714555525,1.3476289611415482
01/06/2021,13880.0,"13,920.0","13,930.0","13,895.0",0.04K,-0.14%,1.7093369709054067,1.2674147647226877,1.2477548919742074
01/06/2022,14390.0,"14,394.0","14,404.0","14,377.0",0.16K,0.24%,0.857531388908603,1.2758908315559578,1.245140092141348
01/06/2023,15630.0,"15,635.0","15,643.0","15,603.5",0.16K,0.16%,0.7742581086702846,1.3280854256383172,1.2761678943599837
01/06/2025,16190.0,"16,200.0","16,212.5","16,165.0",,0.03%,0.5101172569345162,1.3293223636609697,1.2650209251091704
01/07/2015,12738.5,"12,641.5","12,751.5","12,641.5",,0.64%,1.858677412980404,1.6837506547201464,1.4891609975327162
01/07/2016,13927.5,"13,922.5","13,977.5","13,862.5",,-0.14%,2.006690808839352,1.7695463946149106,1.5225729568336124
01/07/2019,14090.0,"14,190.0","14,190.0","13,995.0",0.22K,-1.26%,1.9917289576610377,1.4599542014582594,1.4886104274044962
01/07/2020,13875.0,"13,935.0","13,935.0","13,875.0",0.19K,-0.47%,1.8492007078873147,1.3808567335321433,1.4894075462945433
01/07/2021,13890.0,"13,900.0","13,945.0","13,900.0",0.03K,0.07%,1.801892450234251,1.3583373794622964,1.3223006249118259
01/07/2022,14355.0,"14,375.0","14,377.5","14,352.5",0.12K,-0.24%,0.6694008856409666,1.3521809934664066,1.2837318738914087
01/07/2025,16125.0,"16,175.0","16,195.0","16,127.5",,-0.40%,0.8671053457975065,1.4700778417137548,1.339779418458556
01/08/2015,12680.0,"12,685.0","12,745.0","12,675.0",,-0.46%,1.9634435253689584,1.8699332769126886,1.5633722009748006
01/08/2016,13922.5,"13,907.5","13,922.5","13,852.5",,-0.04%,2.1181369926496845,1.8870574331263252,1.5962483195181214
01/08/2018,13426.5,"13,405.5","13,426.5","13,390.5",,0.08%,2.142067681328854,1.8783278515485986,1.5991121519265863
01/08/2019,14145.0,"14,050.0","14,162.0","13,995.0",0.19K,0.39%,2.165739207396923,1.5202316264608347,1.5797184085221552
01/08/2020,13892.5,"13,907.5","13,942.5","13,892.5",0.24K,0.13%,1.8953825594191374,1.4610848836194112,1.580892102368594
01/08/2021,13980.0,"13,915.0","14,061.5","13,915.0",0.06K,0.65%,0.8664466417294177,1.460530559439829,1.4244394933845501
01/08/2024,15520.0,"15,500.0","15,533.5","15,500.0",,0.06%,0.9361841154005877,1.5488650615506434,1.4318404176344417
01/08/2025,16190.0,"16,167.5","16,215.0","16,157.5",,0.40%,0.7773972749799604,1.5520204512791793,1.4231852373601028
01/09/2015,12651.5,"12,651.5","12,652.5","12,626.5",,-0.22%,1.9594932830944563,1.9545955926966512,1.6385399908520881
01/09/2017,13365.0,"13,390.0","13,398.0","13,365.0",,0.00%,2.0233940521409597,1.8579744888034209,1.6501989566091848
01/09/2018,13437.5,"13,429.5","13,440.5","13,407.5",,0.08%,2.0232183949332008,1.4783275235681796,1.6456323216544644
01/09/2019,14125.0,"14,105.0","14,180.0","14,085.0",0.24K,-0.14%,1.8560483059720578,1.4178211459348027,1.6265161894358662
01/09/2020,13850.0,"13,855.0","13,870.0","13,835.0",0.19K,-0.31%,1.7898147555061499,1.4070067578411558,1.622394947549272
01/09/2023,15565.0,"15,580.0","15,590.0","15,555.0",0.16K,-0.42%,0.8728181588974344,1.512385068024801,1.475890481065582
