Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,63.355,63.175,63.455,63.175,,0.51%,,,
01/01/2016,66.235,66.209,66.267,66.13,,0.04%,,,
01/01/2018,63.68,63.855,63.865,63.635,,-0.25%,,,
01/01/2019,69.453,69.635,69.745,69.435,,-0.17%,,,
01/01/2020,71.227,71.365,71.377,71.225,,-0.18%,,,
01/01/2021,73.125,73.1,73.13,73.025,,0.10%,0.7382819262613842,,
01/01/2024,83.238,83.24,83.243,83.15,,0.06%,1.0774614193417171,,
01/01/2025,85.645,85.625,85.716,85.625,,0.11%,0.80616639105824,,
01/02/2015,63.285,63.445,63.502,63.255,,-0.11%,2.3697601712340752,,
01/02/2017,68.145,67.951,68.231,67.906,,0.28%,2.4427304493681006,,
01/02/2018,63.46,63.7,63.77,63.44,,-0.35%,2.475547431855595,1.7667215302058437,
01/02/2019,70.0,69.469,70.255,69.469,,0.79%,2.3453430320607884,1.8250812372912064,
01/02/2020,71.35,71.235,71.408,71.235,,0.17%,2.332559673966367,1.8030324305689696,
01/02/2023,82.745,82.67,82.8,82.56,,0.03%,1.3814453255109052,1.9110894099738154,
01/02/2024,83.27,83.179,83.359,83.179,,0.04%,1.4113341178342231,1.9133209736713213,
01/02/2025,85.76,85.652,85.798,85.628,,0.13%,1.0400699216080302,1.9135682188204797,
01/03/2017,68.26,68.147,68.438,68.045,,0.17%,2.07626893819242,2.099915004918596,
01/03/2018,63.505,63.555,63.575,63.45,,0.07%,2.125687798532438,2.105762467232522,
01/03/2019,70.11,70.3,70.531,70.034,,0.16%,1.8560563034027733,1.6975218320232277,
01/03/2020,71.77,71.61,71.844,71.52,,0.59%,1.8794240661362323,1.6645832920248262,
01/03/2022,74.4,74.484,74.502,74.266,,-0.12%,1.891998700392158,1.607449683544757,1.6481520168771582
01/03/2023,82.774,82.698,83.038,82.654,,0.04%,1.1679803042815127,1.6216857249876562,1.68218794859021
01/03/2024,83.282,83.279,83.348,83.244,,0.01%,0.7698286206450029,1.6236078131168545,1.6700409219563908
01/03/2025,85.761,85.836,85.836,85.705,,0.00%,0.6534508451048967,1.4313722689146833,1.6493596965355883
01/04/2016,66.579,66.165,66.66,66.165,,0.52%,2.0183868093272745,1.843188377624931,1.8550134740032582
01/04/2017,67.886,68.28,68.3,67.85,,-0.55%,1.9983447327354003,1.8368186846571828,1.8540305468546594
01/04/2018,63.4,63.595,63.615,63.365,,-0.17%,1.6787224605905164,1.5506204852128238,1.7978519980460566
01/04/2019,69.55,70.115,70.145,69.55,,-0.80%,1.9598008349986984,1.5746236145350068,1.8317390539598721
01/04/2021,73.08,73.089,73.125,72.827,,-0.06%,2.004384934069148,1.5107576750001683,1.5650430734923277
01/04/2022,74.53,74.389,74.732,74.389,,0.17%,0.9457016446190177,1.509811208509,1.5467933912249516
01/04/2023,82.641,82.779,82.919,82.667,,-0.16%,1.1151949793828126,1.5892077973139822,1.5563489116358047
01/04/2024,83.243,83.294,83.335,83.195,,-0.05%,0.7177635886085595,1.4941756950951643,1.523868043122076
01/05/2015,63.345,63.435,63.495,63.285,,0.09%,2.1217373975122236,1.931583803734028,1.7670888451437052
01/05/2016,66.481,66.599,66.663,66.428,,-0.15%,2.1194857796653275,1.948171568932009,1.6763555734893272
01/05/2017,67.743,67.895,68.013,67.73,,-0.21%,2.1187147524705354,1.5744522566926846,1.67809239980658
01/05/2018,63.34,63.36,63.425,63.323,,-0.09%,1.8411404347604594,1.6118183999499196,1.6861548045209704
01/05/2021,73.13,73.065,73.291,72.987,,0.07%,2.337808915536922,1.7408085107762201,1.6153620394952544
01/05/2022,74.285,74.535,74.6,74.254,,-0.33%,1.2582480085703873,1.687501545977029,1.588578612887895
01/05/2023,82.568,82.74,82.808,82.426,,-0.09%,1.3755065118312202,1.7527062781830003,1.5944819557929986
01/05/2024,83.103,83.235,83.286,83.067,,-0.17%,1.394382665964249,1.7536449846067899,1.5941852851858571
01/06/2015,63.575,63.375,63.625,63.315,,0.36%,2.3978237056363563,2.0697797687691506,1.8159457861342048
01/06/2016,66.698,66.499,66.905,66.479,,0.33%,2.097193356344618,2.0943128879670723,1.7768735291499949
01/06/2017,68.115,67.755,68.198,67.755,,0.55%,2.1018374807905205,1.6742727073774244,1.778844977083392
01/06/2020,71.867,72.011,72.123,71.834,,0.14%,1.9285194647121446,1.6779334007354663,1.7873595705849017
01/06/2021,73.136,73.184,73.234,73.055,,0.01%,1.9400103346428044,1.6778204506586385,1.5844417831608597
01/06/2022,74.385,74.432,74.52,74.326,,0.13%,0.2937940982585702,1.6203946936054883,1.584259926174205
01/06/2023,82.27,82.604,82.785,82.275,,-0.36%,0.6097728905833076,1.524093017194191,1.592704147538333
01/06/2025,85.7,85.816,85.855,85.601,,-0.07%,0.5794667326204958,1.5292940365591514,1.5684088623145713
01/07/2015,63.28,63.52,63.565,63.17,,-0.46%,2.255692059000527,1.978880139233913,1.8434181941467025
01/07/2016,66.891,66.712,66.981,66.507,,0.29%,2.3092666923846195,2.0125666408061336,1.8534392768998067
01/07/2019,69.803,69.532,69.953,69.255,,0.36%,2.3348302169341655,1.5954661598728122,1.8176050068274645
01/07/2020,71.845,71.765,71.923,71.67,,-0.03%,2.167364042266298,1.5865510975933161,1.8206678302129113
01/07/2021,73.43,73.169,73.475,73.065,,0.40%,2.137571122132458,1.5866794990799662,1.5875614023664895
01/07/2022,74.278,74.434,74.434,74.246,,-0.14%,0.28434960238074836,1.5691345695640444,1.5816122121510097
01/07/2025,85.803,85.705,85.813,85.649,,0.12%,0.9311754155919354,1.7348512076835123,1.6626847431180685
01/08/2015,62.675,63.205,63.205,62.595,,-0.96%,2.4806375689325146,2.2719732695953843,1.9339669205059142
01/08/2016,66.847,66.891,66.93,66.6,,-0.07%,2.5317394374261193,2.225450943551554,1.869321995002602
01/08/2018,63.475,63.335,63.53,63.245,,0.21%,2.5391227280092945,2.213060394958371,1.8780916529323912
01/08/2019,70.14,69.806,70.24,69.765,,0.48%,2.6884049293687844,1.8212473594772185,1.8730949096124534
01/08/2020,71.51,71.954,72.114,71.466,,-0.47%,2.350765142391738,1.8078373264800192,1.874322057603489
01/08/2021,73.34,73.44,73.495,73.204,,-0.12%,0.922557585767291,1.80165945726191,1.6565090304923764
01/08/2024,83.045,83.124,83.178,83.026,,-0.07%,1.1598044036168353,1.9016707685596048,1.7061089322966476
01/08/2025,85.917,85.775,85.943,85.77,,0.13%,0.8197380727501721,1.9027613299567683,1.7071808896220435
01/09/2015,62.355,62.5,62.52,62.3,,-0.51%,2.435816524336472,2.421263897152989,1.989027753485407
01/09/2017,68.1,68.116,68.305,68.07,,-0.02%,2.5478118026499383,2.3228016776210345,2.014486974015004
01/09/2018,63.67,63.485,63.73,63.425,,0.31%,2.576219498820583,1.8703299971306189,2.029086733734692
01/09/2019,70.56,70.11,70.648,70.05,,0.60%,2.493065633186666,1.9175611419807788,2.0306184908250584
01/09/2020,71.21,71.51,71.544,71.134,,-0.42%,2.463845948682084,1.8856194842658203,2.025287592378326
01/09/2023,82.17,82.234,82.454,82.095,,-0.12%,1.383753420563606,1.9626845917089566,1.8435744377079732
01/09/2024,83.109,83.053,83.149,83.029,,0.08%,1.3831383792467595,1.9635788860742276,1.838621314166454
01/09/2025,85.89,85.922,85.947,85.83,,-0.03%,1.0267685534543904,1.9642883472847243,1.837116021522336
01/10/2017,68.327,68.11,68.351,67.988,,0.33%,2.0519657101013125,2.1601723048606307,1.9976759890352493
01/10/2018,63.63,63.69,63.855,63.56,,-0.06%,2.1055389594766356,2.162622141007415,2.013839468542022
01/10/2019,70.42,70.53,70.655,70.318,,-0.20%,1.8819429695577403,1.7085457845128014,2.0482926304713667
01/10/2020,70.96,71.24,71.26,70.848,,-0.35%,1.8776279792276023,1.6573298264675544,1.9713658111709509
01/10/2022,74.025,74.215,74.235,73.996,,-0.34%,1.8979031952350696,1.609881721315314,1.7009916751380547
01/10/2023,81.602,82.185,82.317,81.604,,-0.69%,1.155784680841696,1.6011462346091265,1.7202060054945485
01/10/2024,83.023,83.113,83.185,82.959,,-0.10%,0.7406790269551079,1.600203796997972,1.7021501725584205
01/10/2025,86.165,85.922,86.195,85.855,,0.32%,0.5856585131034249,1.425358092088827,1.6738716484591258
01/11/2016,66.76,66.874,66.965,66.708,,-0.13%,2.018584382337706,1.8456457652550797,1.8800582045901437
01/11/2017,68.312,68.37,68.546,68.223,,-0.02%,1.9934687963223272,1.8388389902367102,1.8797182593959714
01/11/2018,63.69,63.66,63.828,63.648,,0.09%,1.7458720473852507,1.5520686751500046,1.8317857022278394
01/11/2019,70.399,70.43,70.601,70.357,,-0.03%,2.0262223441503004,1.5890353315552195,1.8695087988848451
01/11/2021,73.474,73.439,73.6,73.367,,0.18%,2.0380641777746007,1.5171538899200554,1.574259801087128
01/11/2022,73.817,74.047,74.056,73.767,,-0.28%,0.9963092897205889,1.5172905965041963,1.5464886568051521
01/11/2023,81.637,81.625,81.83,81.496,,0.04%,1.1626528453444074,1.588497541257439,1.5571688913055328
01/11/2024,83.063,83.004,83.121,82.93,,0.05%,0.7612249970211126,1.5127820342919482,1.5198529508729828
01/12/2015,62.075,62.355,62.355,62.065,,-0.45%,2.188047854643097,1.989548378144426,1.7887297314625763
01/12/2016,66.946,66.766,66.98,66.74,,0.28%,2.2607457635029715,2.033018018025328,1.7212836901648938
01/12/2017,68.141,68.195,68.196,67.95,,-0.25%,2.2677758247560824,1.6683823309196741,1.7221976330520687
01/12/2018,63.61,63.6,63.73,63.49,,-0.13%,2.0485392711448616,1.7052788413659192,1.7301423060436687
01/12/2021,73.225,73.497,73.497,73.195,,-0.34%,2.466463430031692,1.817117685974186,1.6552276077987633
01/12/2022,73.797,73.797,74.072,73.762,,-0.03%,1.2964262426820954,1.7545591353362027,1.6295775465400426
01/12/2023,81.1,81.657,81.754,81.11,,-0.66%,1.3442448341775024,1.8048035458197569,1.6238849185763908
01/12/2024,82.857,83.068,83.104,82.779,,-0.25%,1.340219985056526,1.8037489173604804,1.6240866982839157
01/13/2015,61.98,62.1,62.195,61.97,,-0.15%,2.4657265151138494,2.172389666636322,1.87107281308748
01/13/2016,66.917,66.947,66.953,66.73,,-0.04%,2.241757528201653,2.222490628326175,1.8560331396885068
01/13/2017,68.18,68.15,68.29,68.097,,0.06%,2.2482802120590235,1.7694773948640046,1.856249657410856
01/13/2020,70.71,70.805,70.945,70.71,,-0.35%,2.1036147853437446,1.740268855585668,1.856038592266605
