Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,1091.45,"1,093.90","1,094.28","1,092.45",,-0.13%,,,
01/01/2016,1174.45,"1,175.94","1,176.50","1,175.19",,-0.04%,,,
01/01/2018,1065.59,"1,067.38","1,067.79","1,065.60",,-0.07%,,,
01/01/2019,1111.83,"1,114.30","1,115.18","1,112.69",,-0.13%,,,
01/01/2020,1154.02,"1,155.07","1,155.32","1,154.09",,0.00%,,,
01/01/2021,1084.73,"1,085.70","1,086.11","1,085.25",,0.02%,1.1583526814489478,,
01/01/2024,1293.54,"1,294.80","1,294.80","1,294.54",,-0.07%,1.7684617202110404,,
01/01/2025,1476.78,"1,476.78","1,476.78","1,476.78",,0.00%,1.5630815603976616,,
01/02/2015,1105.92,"1,092.45","1,107.27","1,091.65",,1.33%,2.800517015126363,,
01/02/2017,1202.93,"1,206.85","1,210.30","1,203.24",,-0.28%,2.8511923649035595,,
01/02/2018,1062.21,"1,066.59","1,068.30","1,059.66",,-0.32%,2.980319425652916,2.1332585112948186,
01/02/2019,1119.12,"1,114.00","1,122.96","1,113.70",,0.66%,2.583345083236746,2.1154622790213824,
01/02/2020,1157.35,"1,155.02","1,161.15","1,153.49",,0.29%,2.259799766025158,2.0485847971917033,
01/02/2023,1269.03,"1,261.95","1,274.86","1,260.65",,0.64%,1.3730506137014136,2.0852791084813567,
01/02/2024,1311.32,"1,293.30","1,314.93","1,290.95",,1.37%,1.2828161791895272,2.084392964793333,
01/02/2025,1469.77,"1,476.31","1,477.48","1,463.23",,-0.47%,0.6228739422990225,2.084934567666794,
01/03/2017,1205.81,"1,203.93","1,212.45","1,200.99",,0.24%,1.882129344311518,2.1545213050968033,
01/03/2018,1064.13,"1,063.22","1,068.19","1,062.31",,0.18%,2.1097356057114416,2.0755042870988305,
01/03/2019,1124.89,"1,120.12","1,130.63","1,119.19",,0.52%,2.0010220091919586,1.6672907338045178,
01/03/2020,1164.95,"1,157.95","1,168.83","1,155.70",,0.66%,2.0047212099979776,1.6163205641726346,
