Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,14.753,14.758,14.758,14.7535,,0.06%,,,
01/01/2016,17.17,17.18,17.18,17.18,,0.00%,,,
01/01/2018,19.655,19.66,19.6613,19.6587,,0.04%,,,
01/01/2019,19.643,19.6513,19.6538,19.6425,,0.01%,,,
01/01/2020,18.925,18.9325,18.9338,18.9313,,0.00%,,,
01/01/2021,19.875,19.8885,19.9054,19.8639,,0.02%,1.3965675809089377,,
01/01/2024,16.9642,16.9734,16.9742,16.9734,,0.06%,1.706536072611934,,
01/01/2025,20.836,20.8235,20.8422,20.8123,,0.08%,2.1823569776994036,,
01/02/2015,14.8305,14.745,14.8743,14.745,,0.53%,3.1050383258101735,,
01/02/2017,20.7277,20.687,20.7697,20.6796,,0.06%,4.387788814538592,,
01/02/2018,19.5327,19.67,19.6713,19.438,,-0.62%,4.45116101257118,3.1259513548310545,
01/02/2019,19.5625,19.6513,19.724,19.5301,,-0.41%,4.205684431059638,3.0594142016703376,
01/02/2020,18.832,18.9325,18.9412,18.8288,,-0.49%,3.9356465298942664,3.0030490888559873,
01/02/2023,19.461,19.4865,19.5235,19.4585,,-0.07%,2.982155487104263,3.0041964133261496,
01/02/2024,17.014,16.9565,17.0743,16.9083,,0.29%,0.9636991126332131,3.07904266252535,
01/02/2025,20.58,20.817,20.8687,20.5755,,-1.23%,1.9591512108726234,3.243332253854088,
01/03/2017,21.109,20.7403,21.1318,20.6758,,1.84%,1.955189373810172,3.105942752588779,
01/03/2018,19.347,19.5415,19.546,19.3303,,-0.95%,2.0663575010085466,2.9643130394241695,
01/03/2019,19.622,19.5708,19.6782,19.5496,,0.30%,2.0582523541239373,2.466341164410279,
01/03/2020,18.917,18.8415,19.0365,18.8293,,0.45%,1.7688552953648276,1.4431949958318675,
01/03/2022,20.494,20.4944,20.6605,20.4105,,0.03%,1.0061146434198942,1.4739868536261524,2.397598462953143
01/03/2023,19.4,19.466,19.5369,19.3739,,-0.31%,1.0387944572063907,1.5067027468843381,2.356839741294928
01/03/2024,17.003,17.027,17.103,17.0059,,-0.06%,1.227071047965531,1.6286300649113172,2.3551311064938583
01/03/2025,20.619,20.6095,20.709,20.521,,0.19%,2.1030107105116236,1.963062494648561,2.469977755408331
01/04/2016,17.3044,17.2139,17.3944,17.1938,,0.78%,2.4565537147272325,2.03845119368309,2.541608422321382
01/04/2017,21.425,21.111,21.6283,21.0164,,1.50%,3.004967591974373,2.1205079535827753,2.6681633684865464
01/04/2018,19.2885,19.351,19.3903,19.2053,,-0.30%,3.0954478910656484,2.1896587854937852,2.635237481152578
01/04/2019,19.42,19.6295,19.6754,19.3702,,-1.03%,2.8617203942623606,2.14062138328831,2.516526677779487
01/04/2021,19.953,19.8948,19.9989,19.7086,,0.39%,2.4239278129707365,2.142694486209071,2.260338343991037
01/04/2022,20.501,20.5115,20.6424,20.415,,0.03%,1.9473104409295676,2.128640219709873,1.7785746478144173
01/04/2023,19.365,19.4067,19.427,19.2564,,-0.18%,0.8988306077484034,2.1193691715053435,1.7775430773233158
01/04/2024,17.008,17.015,17.0906,16.9764,,0.03%,1.028037965150973,2.195723880855071,1.8339050176306544
01/05/2015,14.938,14.8197,14.986,14.8176,,0.72%,1.1854295289572434,2.192942726360568,1.8800045778170174
01/05/2016,17.3367,17.31,17.3838,17.2538,,0.19%,1.8913643827227324,2.059939812349625,1.966771417751564
01/05/2017,21.4227,21.4423,21.6206,21.1221,,-0.01%,2.6578726095475123,2.2033064186280438,2.072876800709349
01/05/2018,19.172,19.2895,19.4046,19.1639,,-0.60%,2.7671418213808923,1.9539754623940384,1.9889738865328273
01/05/2021,19.878,19.9755,20.1174,19.8023,,-0.38%,2.510302104601805,1.886859399447598,1.9910059930346973
01/05/2022,20.565,20.515,20.612,20.3425,,0.31%,2.079304477678716,1.8910581742469832,1.9660583931754048
01/05/2023,19.31,19.3825,19.434,19.2955,,-0.28%,2.0832042526910364,1.9225400499738572,1.9820078954715894
