Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,3.4965,3.4965,3.4965,3.4965,,0.00%,,,
01/01/2016,4.2935,4.2935,4.2935,4.2935,,0.00%,,,
01/01/2018,4.047,4.047,4.047,4.047,,0.00%,,,
01/01/2019,4.1325,4.1325,4.1325,4.1325,0.00K,0.00%,,,
01/01/2020,4.0905,4.0905,4.0905,4.0905,,0.00%,,,
01/01/2021,4.0225,4.0225,4.0225,4.0225,,0.06%,1.786207402794442,,
01/01/2024,4.595,4.595,4.595,4.595,,0.11%,1.206938893425853,,
01/01/2025,4.468,4.468,4.468,4.468,,0.00%,1.1074909584170383,,
01/02/2015,3.516,3.497,3.516,3.4965,,0.56%,2.0027266747177097,,
01/02/2017,4.486,4.486,4.486,4.486,,0.00%,2.944607000588578,,
01/02/2018,4.0195,4.0435,4.0465,4.0165,,-0.68%,3.0971903169305435,2.38846412995091,
01/02/2019,4.137,4.132,4.142,4.132,0.00K,0.11%,2.9014852267217073,2.104417384507491,
01/02/2020,4.0875,4.0905,4.091,4.0825,0.03K,-0.07%,2.896903548917519,2.0795215056804337,
01/02/2024,4.6,4.589,4.606,4.587,,0.11%,2.2984602397958276,2.161473237365204,
01/02/2025,4.476,4.4725,4.485,4.4725,,0.18%,1.3336391021299647,2.1694330153223635,
01/03/2017,4.4925,4.4825,4.4925,4.4825,,0.14%,0.9593369984684952,2.1629375681507597,
01/03/2018,4.0135,4.0175,4.0275,4.0135,,-0.15%,1.3262131529441563,2.1271600851377754,
01/03/2019,4.1435,4.1425,4.1495,4.1405,0.00K,0.16%,1.3451930965819463,2.131091966232527,
01/03/2020,4.102,4.0895,4.102,4.0895,0.02K,0.35%,0.8304203645642684,1.7757323643765308,
01/03/2022,4.171,4.1665,4.174,4.1665,0.03K,0.17%,0.8695455802223536,1.0688643556234365,
01/03/2023,4.402,4.4,4.406,4.389,0.04K,0.05%,0.9989248110226427,0.94914979009916,1.7721110998376268
01/03/2024,4.628,4.619,4.6435,4.618,,0.61%,0.4257357155348336,0.9675248377045671,1.5957781019669364
01/03/2025,4.497,4.4825,4.5025,4.481,,0.47%,0.5851519340254111,0.9826634920686489,1.5831382228654898
01/04/2016,4.346,4.289,4.349,4.289,,1.22%,0.6713576482139255,0.7661247128871754,1.5898923889892447
01/04/2017,4.4975,4.4925,4.4995,4.4925,,0.11%,0.6908862726455015,0.7783323542579954,1.5914116779771668
01/04/2018,4.0065,4.0195,4.0255,4.0045,,-0.17%,1.0120575041907112,0.9558036070228251,1.6445256269844533
01/04/2019,4.1355,4.1415,4.1425,4.1355,0.03K,-0.19%,0.9369972205224127,0.8035210343036753,1.5670130589165945
01/04/2021,4.004,4.015,4.015,3.9955,0.04K,-0.46%,0.9390851565596566,0.8050544272627079,1.5680303407796468
01/04/2022,4.184,4.1795,4.1865,4.1785,0.05K,0.31%,1.035947369150781,0.8368300612098297,1.358491358450559
01/04/2023,4.398,4.41,4.41,4.3985,0.04K,-0.09%,1.081657508573884,0.8694973157483515,0.9532519133332993
01/04/2024,4.633,4.635,4.643,4.633,,0.11%,0.5637006678886335,0.8664918736503504,0.8851922037555151
01/05/2015,3.5335,3.5175,3.5445,3.5175,,0.50%,1.9757816132354604,1.4580362163992764,1.2381659955774744
01/05/2016,4.3425,4.3325,4.3565,4.331,,-0.08%,2.6592245406426036,1.925604147165459,1.4892897445875901
01/05/2017,4.485,4.494,4.494,4.482,,-0.28%,2.655809744435686,1.9187676894079444,1.426919141467871
01/05/2018,3.9975,3.9975,4.0065,3.9885,,-0.22%,2.798329365996119,2.000300473735652,1.478041932637146
01/05/2021,4.014,4.015,4.017,4.0045,0.03K,0.25%,2.753711789759182,1.9130103941663275,1.4780628081633844
01/05/2022,4.192,4.1875,4.195,4.1875,0.04K,0.19%,1.9307263028680497,1.9184577432238346,1.4318802027093522
01/05/2023,4.385,4.404,4.407,4.388,0.05K,-0.30%,1.0326162386952187,1.9128066907037424,1.436006027710862
01/05/2024,4.652,4.64,4.6565,4.64,,0.41%,1.0995075344657692,1.9212191268335699,1.4469583106746475
01/06/2015,3.5565,3.536,3.5565,3.536,,0.65%,1.9760968339619545,2.2853058653926626,1.6890786847479344
01/06/2016,4.3925,4.3485,4.3985,4.3395,,1.15%,2.6793696073250612,2.590412185671813,1.8799467073688096
