Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,3.6417,3.6412,3.6419,3.6412,,0.01%,,,
01/01/2016,3.6423,3.6412,3.6425,3.6412,,0.01%,,,
01/01/2017,3.6414,3.6414,3.6414,3.6414,,0.00%,,,
01/01/2018,3.642,3.642,3.642,3.6405,,0.01%,,,
01/01/2019,3.6405,3.6412,3.6416,3.641,0.29K,0.00%,,,
01/01/2020,3.6598,3.6624,3.6624,3.641,0.09K,0.54%,0.03843329688971602,,
01/01/2021,3.6412,3.6412,3.6412,3.6412,,0.03%,0.058422453398024404,,
01/01/2022,3.6415,3.6418,3.6418,3.6418,,0.00%,0.058401021330492714,,
01/01/2024,3.641,3.641,3.641,3.641,,0.00%,0.058390255159728385,,
01/01/2025,3.6445,3.6453,3.6541,3.6368,,0.00%,0.05866650660768955,,
01/02/2015,3.642,3.6412,3.6425,3.641,,0.01%,0.037668046013627214,0.03947006915479712,
01/02/2016,3.6423,3.6416,3.6423,3.6416,,0.00%,0.009420585922609971,0.03946325011531734,
01/02/2017,3.6414,3.6416,3.6416,3.641,,0.00%,0.009659832719712358,0.03946325011531734,
01/02/2018,3.6411,3.6425,3.6693,3.641,,-0.02%,0.00962035435399013,0.039454345830171815,
01/02/2019,3.6405,3.6416,3.667,3.6407,0.29K,0.00%,0.004568385459652045,0.03940543942269501,
01/02/2020,3.6415,3.6603,3.6705,3.6407,0.60K,-0.50%,0.003305860337790719,0.02641919005518513,
01/02/2023,3.64,3.6674,3.6674,3.6539,0.44K,-0.71%,0.004050101089823649,0.007012677817725292,
01/02/2024,3.6394,3.6455,3.6465,3.6422,,-0.04%,0.00393602843289495,0.007008716231084995,
01/02/2025,3.645,3.6453,3.6585,3.6367,,0.01%,0.012391577590695037,0.010603240671255235,
01/03/2015,3.6418,3.6415,3.6418,3.6415,,-0.01%,0.014603126702012416,0.010487833637739604,
01/03/2017,3.6408,3.6414,3.6416,3.6408,,-0.02%,0.014642812354624335,0.010007965429108511,0.0280270810383779
01/03/2018,3.642,3.642,3.6605,3.6405,,0.02%,0.014394400907975962,0.010163354824600018,0.028046882632107063
01/03/2019,3.6408,3.6412,3.667,3.6407,0.14K,0.01%,0.014638000405487257,0.010225839816047322,0.028057930213263894
01/03/2020,3.6415,3.6418,3.6655,3.6407,0.51K,0.00%,0.00759627933287788,0.010268990285138231,0.028060329079689174
01/03/2022,3.64,3.6418,3.676,3.641,0.97K,-0.04%,0.005326875062852018,0.010460707986972047,0.028060339945537617
01/03/2023,3.6665,3.663,3.6695,3.653,0.29K,0.73%,0.05232258771168205,0.038200175594772165,0.03339563676627069
01/03/2024,3.6413,3.644,3.6471,3.643,,0.05%,0.07959108825234157,0.05393397243621722,0.03743718743150886
01/03/2025,3.645,3.6455,3.6545,3.637,,0.00%,0.07984327689426973,0.05413328606598683,0.03760943499361332
01/04/2016,3.641,3.6418,3.6422,3.64,,-0.04%,0.08041548650399026,0.05386884344461626,0.03782686813694175
01/04/2017,3.6406,3.6414,3.6414,3.6406,,-0.01%,0.08035064590321728,0.053697835014779885,0.03765756196064843
01/04/2018,3.641,3.641,3.651,3.641,,-0.03%,0.05009100904948415,0.05368304351053809,0.03758543352530996
01/04/2019,3.6408,3.6412,3.6559,3.6407,4.13K,0.00%,0.011932897188635029,0.05365376894422818,0.037584066083610056
01/04/2020,3.6415,3.6418,3.6418,3.6418,,0.00%,0.008264124368077216,0.05363555422055854,0.037580892780269555
01/04/2021,3.64,3.663,3.6891,3.641,1.89K,-0.03%,0.003712082584054803,0.05366833960644516,0.037609136886213895
01/04/2022,3.64,3.641,3.6804,3.641,0.91K,0.00%,0.0036915126822854474,0.053627384857028185,0.03760483222587417
01/04/2023,3.6604,3.663,3.6707,3.6528,0.38K,-0.17%,0.04042356140199095,0.0475807618421813,0.04256131117047235
01/04/2024,3.645,3.644,3.6467,3.6439,,0.10%,0.055582894478154087,0.03796328928644693,0.04539638332592524
01/04/2025,3.645,3.6455,3.6455,3.6455,,0.00%,0.05560907187963458,0.03762095071599007,0.04538872268185549
01/05/2015,3.6403,3.6412,3.6423,3.64,,-0.04%,0.05655538684252117,0.0377901356183655,0.045293930447642274
01/05/2016,3.6416,3.6407,3.6422,3.64,,0.02%,0.05660361706475965,0.03783058116509818,0.04521044733057799
01/05/2017,3.6408,3.6406,3.6414,3.6406,,0.01%,0.02947991702098535,0.037847272465804487,0.045206426517905414
01/05/2018,3.641,3.6425,3.651,3.641,,0.00%,0.010042251781504473,0.037847064953500736,0.04519068708601267
01/05/2019,3.6405,3.6412,3.6416,3.641,1.18K,-0.01%,0.009899532661507778,0.03783830968502506,0.045177807826523995
01/05/2021,3.64,3.641,3.6788,3.641,2.04K,0.00%,0.0036818518569213077,0.03778474365811392,0.045174326393143664
01/05/2022,3.64,3.641,3.6753,3.641,0.90K,0.00%,0.001781592799632206,0.03778474365811392,0.0451501925011775
01/05/2023,3.67,3.6696,3.6705,3.6532,0.37K,0.26%,0.05891600103692565,0.0492982768787572,0.047284047697339265
