Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,3.7525,3.7525,3.7525,3.7525,,0.00%,,,
01/01/2016,3.7525,3.7535,3.7535,3.7525,,0.00%,,,
01/01/2017,3.7508,3.7517,3.7517,3.7508,,-0.03%,,,
01/01/2018,3.75,3.7503,3.7503,3.75,,-0.01%,,,
01/01/2019,3.7511,3.7513,3.7515,3.7512,,0.01%,,,
01/01/2020,3.7508,3.7513,3.7515,3.7511,,0.00%,0.004362853572145749,,
01/01/2021,3.7515,3.7516,3.7516,3.7506,,0.00%,0.0047875027600305774,,
01/01/2022,3.7538,3.7544,3.7544,3.7544,,0.00%,0.005148263012368723,,
01/01/2023,3.7585,3.758,3.7597,3.758,,0.04%,0.008112496671567439,,
01/01/2024,3.7495,3.75,3.7505,3.7499,,-0.01%,0.022000656615838516,,
01/01/2025,3.757,3.7574,3.7575,3.7562,,0.00%,0.026520373656171416,0.0182625851911752,
01/02/2015,3.7538,3.7525,3.7548,3.7525,,0.03%,0.027868008361853484,0.01890896657968339,
01/02/2016,3.7525,3.7525,3.7525,3.7525,,0.00%,0.02763823130624963,0.01883926313265202,
01/02/2017,3.7508,3.7517,3.7527,3.7506,,0.00%,0.02503565558485322,0.018969624794309806,
01/02/2018,3.7502,3.7504,3.7504,3.7502,,0.01%,0.01787228252569207,0.018924491418679946,
01/02/2019,3.751,3.7513,3.7524,3.751,,0.00%,0.006205202319030761,0.01895716757446423,
01/02/2020,3.7506,3.7513,3.7516,3.7503,,-0.01%,0.004064646728313217,0.0189360682051495,
01/02/2021,3.7515,3.7516,3.7516,3.7516,,0.00%,0.004567179853188957,0.018675776493480057,
01/02/2023,3.7585,3.7597,3.7611,3.758,,0.00%,0.013231842800821758,0.02008498835359181,
01/02/2024,3.7501,3.75,3.7508,3.7497,,0.02%,0.023264345403525635,0.019561075557528024,
01/02/2025,3.756,3.7574,3.7574,3.7545,,-0.03%,0.025918449808593445,0.018433696120784375,0.017898747188164622
01/03/2015,3.7545,3.754,3.7545,3.754,,0.02%,0.026265657394174937,0.01800110460080639,0.017968720940672554
01/03/2016,3.753,3.7541,3.7541,3.7516,,0.01%,0.026608241548572806,0.018033308615627137,0.017950745891195895
01/03/2017,3.7508,3.7521,3.7527,3.7498,,0.00%,0.021438074480811302,0.018141917945572267,0.01806619255169482
01/03/2018,3.7503,3.7504,3.7504,3.75,,0.00%,0.014098731860900215,0.018135804093918143,0.018041306508728764
01/03/2019,3.7504,3.7513,3.7517,3.7503,,-0.02%,0.003857287773892371,0.018099435906752854,0.01803979564165356
01/03/2020,3.7517,3.7511,3.7521,3.751,,0.03%,0.005781980031387344,0.01817832134388533,0.01807121812645842
01/03/2021,3.7515,3.7516,3.7516,3.7516,,0.00%,0.005343252428870971,0.01814301879500988,0.017927208468300947
01/03/2022,3.754,3.7557,3.7557,3.7531,,0.01%,0.005265069068075373,0.01549606068621824,0.01748680925820728
01/03/2023,3.7593,3.759,3.761,3.7575,,0.02%,0.009427526563024325,0.011967480039664809,0.01589201609789492
01/03/2024,3.7502,3.7502,3.7506,3.7501,,0.00%,0.02303099047991086,0.015753887223126165,0.016721466686552895
01/03/2025,3.7548,3.7564,3.7565,3.7544,,-0.03%,0.024677438387124457,0.017101873427410184,0.017089191967562582
01/04/2015,3.7535,3.7535,3.7535,3.7535,,-0.03%,0.02492790872620104,0.017068328165346494,0.017089166187534196
01/04/2016,3.7515,3.7527,3.7545,3.7515,,-0.04%,0.024686954321792513,0.017017829177673853,0.017120404492549104
01/04/2017,3.7511,3.7515,3.7517,3.7492,,0.01%,0.02074200120602392,0.01701166126498538,0.017114431668192716
01/04/2018,3.7504,3.7504,3.7504,3.75,,0.00%,0.011094959254826025,0.01704363064851863,0.017111083070256456
01/04/2019,3.7505,3.7508,3.7517,3.7507,,0.00%,0.003443288489663612,0.01693704914797681,0.017107376048929826
01/04/2020,3.7521,3.7521,3.7521,3.7521,,0.01%,0.005527760658248935,0.01709037795081918,0.01715497618318048
01/04/2021,3.7513,3.7517,3.7522,3.7506,,-0.01%,0.004153195702425269,0.016720241037545477,0.015694689410417517
01/04/2022,3.7548,3.7548,3.7578,3.7541,,0.02%,0.007690862322305004,0.015670729859270816,0.013891808316263209
01/04/2023,3.759,3.7598,3.761,3.7575,,-0.01%,0.009048290675143381,0.010252486063867814,0.013318042187859735
01/04/2024,3.7502,3.7503,3.7508,3.7501,,0.00%,0.022208015846369753,0.015088761210274937,0.015732670573691057
01/04/2025,3.7548,3.755,3.7553,3.755,,0.00%,0.02387439477488616,0.016440065024434434,0.01631112324849217
01/05/2015,3.7538,3.7538,3.7541,3.7527,,0.01%,0.023927487306743624,0.01623543210796651,0.016191366779697618
01/05/2016,3.7528,3.7517,3.7535,3.7495,,0.03%,0.02289765663009384,0.016301507527766764,0.016217183825357872
01/05/2017,3.7511,3.7512,3.752,3.7503,,0.00%,0.02015815628581415,0.016461899053786918,0.01630910696838753
01/05/2018,3.7503,3.7504,3.7505,3.7503,,0.00%,0.010932061804723317,0.016502843855707848,0.016276817604894377
01/05/2019,3.751,3.751,3.751,3.751,,0.01%,0.0037436535037675862,0.016370617398978417,0.016292224905097994
01/05/2021,3.7511,3.7515,3.7516,3.7506,,-0.01%,0.003997985718496404,0.016339230418908553,0.016099067873900638
01/05/2022,3.7558,3.7567,3.758,3.7548,,0.03%,0.010434269102161185,0.016922010376666213,0.01591815775083005
01/05/2023,3.758,3.7595,3.7606,3.7574,,-0.03%,0.009111815679996076,0.01615373492482055,0.013338048598878223
01/05/2024,3.7476,3.7503,3.7518,3.749,,-0.07%,0.024470564644147746,0.017910846633217032,0.01612421236130454
01/06/2015,3.7534,3.7538,3.7539,3.7527,,-0.01%,0.027362576179016534,0.01861949936949614,0.017105164184483223
01/06/2016,3.7533,3.7527,3.754,3.7495,,0.01%,0.027377763168327397,0.01857554787093948,0.016990321097145815
01/06/2017,3.7508,3.7512,3.7518,3.7505,,-0.01%,0.02570659833696181,0.018834936476271828,0.01716278137736767
01/06/2018,3.7503,3.7503,3.7503,3.7503,,0.00%,0.024693653210059063,0.018712655594374482,0.017156277618450934
01/06/2019,3.7504,3.7509,3.7512,3.7503,,-0.02%,0.013153129681591123,0.018682259180091875,0.017156277633534302
01/06/2020,3.751,3.7513,3.7522,3.7511,,-0.03%,0.0050617489246031575,0.018675408674483123,0.01709417562041494
01/06/2021,3.7512,3.7515,3.7517,3.7506,,0.00%,0.005192638809216514,0.018676928816325405,0.017079175766948076
01/06/2022,3.7543,3.7561,3.7564,3.7527,,-0.04%,0.005917049180647801,0.017987808378656718,0.017005903863886094
01/06/2023,3.758,3.7587,3.76,3.7578,,0.00%,0.007280276326362311,0.01848198447693457,0.016895411626470225
01/06/2025,3.755,3.7555,3.7562,3.7538,,0.01%,0.011277774386499167,0.011578454758942036,0.014837871621593302
01/07/2015,3.754,3.7538,3.7544,3.7534,,0.02%,0.011871590042767222,0.008934830057924583,0.014220380248522716
01/07/2016,3.7536,3.7535,3.7563,3.7505,,0.01%,0.012015590394494402,0.008954523999575501,0.01419350764055069
01/07/2017,3.7508,3.7508,3.7508,3.7508,,0.00%,0.01142995280359022,0.009130160946630718,0.014412252711220508
01/07/2018,3.7503,3.7504,3.7504,3.7502,,0.00%,0.005341741774129763,0.009130160946630718,0.014331154374924129
01/07/2019,3.7507,3.7508,3.7518,3.7503,,0.01%,0.0050540254129034365,0.009145483799387753,0.014316037885532252
01/07/2020,3.751,3.752,3.7521,3.7513,,0.00%,0.005473866138389711,0.009117068818588491,0.014303158983436932
01/07/2021,3.7512,3.7516,3.7518,3.7506,,0.00%,0.0056854776513033745,0.009117068818588491,0.01430412151623807
01/07/2022,3.7528,3.7545,3.7545,3.7529,,-0.04%,0.0032090159649600792,0.008285420931951542,0.013630239857631949
01/07/2023,3.758,3.7585,3.7585,3.7585,,0.00%,0.00898095164894945,0.009780389352610655,0.014391441423215332
01/07/2025,3.7547,3.7552,3.7557,3.7534,,-0.01%,0.012931655954354387,0.009969259268881214,0.010647821410679631
01/08/2015,3.7548,3.7537,3.7551,3.7532,,0.02%,0.012971834881791627,0.009864484352247783,0.009160238143958973
01/08/2016,3.7532,3.7535,3.7572,3.753,,-0.01%,0.013743489932429272,0.010108059602251017,0.009295283800318868
01/08/2017,3.7503,3.7503,3.7512,3.7503,,-0.01%,0.014596872630391836,0.010163243283988177,0.009403484558459489
01/08/2018,3.7502,3.7505,3.7505,3.75,,0.00%,0.006585454487298075,0.010142017839483444,0.009392023517854519
01/08/2019,3.7508,3.7511,3.7518,3.7502,,0.00%,0.006095616511873135,0.010161602905753082,0.009409171871453008
01/08/2020,3.751,3.7514,3.7522,3.7513,,0.00%,0.006162846314777696,0.010156816259737196,0.009393549704600442
01/08/2021,3.7513,3.7506,3.7518,3.7506,,0.00%,0.0060518975826532855,0.010161601941538175,0.009396026813689182
01/08/2023,3.758,3.76,3.76,3.7585,,0.00%,0.012252248096641338,0.013494110442684098,0.01099488559453465
01/08/2024,3.7501,3.7504,3.7506,3.7501,,0.07%,0.02194455879297713,0.015656222159239383,0.012819814731731764
01/08/2025,3.7538,3.7548,3.755,3.753,,-0.02%,0.023089924533755645,0.01621647611461063,0.01310193287985792
01/09/2015,3.7548,3.7548,3.755,3.7537,,0.00%,0.02307700909965166,0.016281766579740224,0.01310321755425393
01/09/2016,3.7532,3.7532,3.7532,3.7532,,0.00%,0.023522894137228908,0.016281766579740224,0.013190048381915814
01/09/2017,3.7508,3.7521,3.7521,3.7502,,0.01%,0.01830883087556553,0.016117544689277685,0.013115911328188025
01/09/2018,3.7505,3.7505,3.7506,3.7503,,0.01%,0.010161528085059003,0.016123513679138703,0.013110070361545892
01/09/2019,3.7511,3.7513,3.7522,3.7508,,0.01%,0.0060966890844306905,0.016123510311672484,0.013117026914847202
01/09/2020,3.751,3.7518,3.7522,3.7513,,0.00%,0.005133242838715892,0.016122278514576083,0.013114473981001079
01/09/2023,3.7558,3.7585,3.7603,3.7553,,-0.06%,0.01117696583657573,0.01736486288163164,0.013880296065559834
01/09/2024,3.75,3.7502,3.7517,3.7489,,0.00%,0.015965712239938805,0.016443816412395323,0.01491731634864446
01/09/2025,3.7541,3.7543,3.7546,3.753,,0.01%,0.01785247308088356,0.01376901698391362,0.014579886907869558
01/10/2015,3.7548,3.7548,3.7548,3.7548,,0.00%,0.017850432309015604,0.012895819820901516,0.014265696092189653
01/10/2016,3.7571,3.7553,3.7571,3.7553,,0.10%,0.017920951985250032,0.013189524571540094,0.014429931183503499
01/10/2017,3.7506,3.7517,3.7517,3.7498,,-0.01%,0.020393148925332866,0.015887723182548563,0.015667088184593055
01/10/2018,3.7502,3.7505,3.7507,3.75,,-0.01%,0.017040560741814207,0.015573960194174358,0.015427244307629574
01/10/2019,3.751,3.7515,3.7518,3.751,,0.00%,0.014471176783661546,0.015609550194228446,0.01544543397257658
01/10/2020,3.7512,3.7514,3.7522,3.7513,,0.01%,0.014297354175532974,0.015590747913134466,0.015436435498481732
01/10/2021,3.7514,3.7507,3.7515,3.7507,,0.00%,0.012787504022222377,0.015591642685716892,0.015436435266241683
01/10/2022,3.7535,3.7534,3.7541,3.7515,,0.02%,0.0040190697984540955,0.014318491961580714,0.015560484164668204
01/10/2023,3.7518,3.7563,3.7587,3.7533,,-0.11%,0.005796085445862848,0.01201560816290304,0.014176886076798055
01/10/2024,3.7502,3.7501,3.7517,3.7489,,0.01%,0.006626443188891359,0.010659996221457125,0.012106805961782699
01/10/2025,3.7538,3.7543,3.7546,3.7532,,-0.01%,0.009812926833922304,0.011886212132394994,0.012078340011380955
01/11/2015,3.7538,3.7533,3.7548,3.7533,,-0.03%,0.009849398103113098,0.011349905090593339,0.012037438654654571
01/11/2016,3.755,3.7565,3.7575,3.753,,-0.06%,0.009319606885891882,0.006794893044264857,0.01198900429839039
01/11/2017,3.7506,3.7517,3.7517,3.7498,,0.00%,0.012695411966903308,0.009387200152447189,0.012517119220662329
01/11/2018,3.7504,3.7507,3.7507,3.75,,0.01%,0.01229375469905917,0.009321346468708617,0.01251528445540138
01/11/2019,3.7511,3.7515,3.7517,3.751,,0.00%,0.009423608580903544,0.009372931266720575,0.012520192091846571
01/11/2020,3.7512,3.7518,3.7518,3.7516,,0.00%,0.00945108943198566,0.00936944028985848,0.012520100110478764
01/11/2021,3.7517,3.7517,3.7522,3.7506,,0.01%,0.008961903423122277,0.008881255763472658,0.011596910434258555
01/11/2022,3.7535,3.7537,3.7548,3.7515,,0.00%,0.0032419227658870213,0.008924160023731649,0.010301121922473799
01/11/2023,3.7556,3.7545,3.7568,3.7533,,0.10%,0.003658041593736345,0.008836389420254422,0.009740872564616128
01/11/2024,3.7501,3.7503,3.7518,3.7488,,0.00%,0.013023655081608666,0.010743797801594812,0.011042827414167056
01/11/2025,3.7538,3.7538,3.7538,3.7538,,0.00%,0.015023458967563812,0.012058083697333646,0.011419499465691742
01/12/2015,3.7532,3.7548,3.7548,3.7527,,-0.02%,0.015173781678178306,0.011942131072532489,0.009551467844119421
01/12/2016,3.751,3.7546,3.7561,3.7508,,-0.11%,0.015292429980415924,0.010695489987343163,0.009794244544063484
01/12/2017,3.7506,3.7515,3.7517,3.7498,,0.00%,0.014075225608281807,0.010707790896982646,0.009772341418764536
01/12/2018,3.7503,3.7506,3.7506,3.7503,,0.00%,0.00925561666711899,0.010665088486395354,0.00977321873211756
01/12/2019,3.7511,3.7515,3.7515,3.7515,,0.00%,0.004552209875763975,0.010729473009040237,0.009803815867722684
01/12/2021,3.7516,3.7518,3.7522,3.7506,,0.00%,0.004946035717219847,0.01072947426787436,0.009593248564703432
01/12/2022,3.7531,3.7531,3.7548,3.7515,,-0.01%,0.003350855857075327,0.010635954590291926,0.009566428923244278
01/12/2023,3.7557,3.7561,3.7585,3.7552,,0.00%,0.004627887489627621,0.010854726087277083,0.009701520735981486
01/12/2024,3.7487,3.7502,3.7518,3.7475,,-0.04%,0.016151610144137896,0.012436224465193086,0.011321941932740363
01/13/2015,3.7532,3.7532,3.7542,3.7517,,0.00%,0.018629986574415502,0.012964047203663676,0.012186047770212942
01/13/2016,3.7538,3.7506,3.7553,3.7504,,0.07%,0.018632810161915456,0.012963848602885216,0.012142227443535785
01/13/2017,3.7507,3.7508,3.7508,3.7493,,0.00%,0.019476678096716077,0.013326455568781256,0.01176150023979132
01/13/2018,3.7503,3.7502,3.7503,3.7502,,0.00%,0.018136864630059382,0.013326457342277139,0.01176632447439133
01/13/2019,3.751,3.7514,3.7517,3.751,,0.00%,0.011554776179418021,0.013353143560605267,0.011766325527501925
01/13/2020,3.7514,3.7521,3.7524,3.7513,,0.01%,0.006731171642502134,0.013320370792342195,0.011772249029859884
01/13/2021,3.7513,3.7517,3.752,3.7506,,-0.01%,0.0064071887673885514,0.01330253834173726,0.01176244390119286
01/13/2022,3.7529,3.7532,3.7548,3.7515,,-0.01%,0.0032862080730330172,0.01332608510245618,0.011734811016096443
01/13/2023,3.7557,3.7562,3.7585,3.7548,,0.00%,0.004835904566828874,0.01340671691689206,0.011872335021287725
01/13/2025,3.7541,3.7543,3.7548,3.7533,,0.01%,0.007079295523606217,0.00904096196600271,0.010684327263488199
01/14/2015,3.753,3.7532,3.7535,3.7517,,-0.01%,0.00781799570449437,0.007042845592769325,0.010154468013095858
01/14/2016,3.7511,3.7534,3.7553,3.7492,,-0.07%,0.008915422136882623,0.007390846761245344,0.010295533060101109
