Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,1.324,1.3255,1.3255,1.3235,,-0.11%,,,
01/01/2016,1.4177,1.4177,1.4179,1.417,,0.01%,,,
01/01/2018,1.3368,1.3375,1.3378,1.3371,,-0.04%,,,
01/01/2019,1.3631,1.363,1.3654,1.362,,0.03%,,,
01/01/2020,1.3445,1.3463,1.3465,1.3445,,0.01%,,,
01/01/2021,1.3218,1.3213,1.3222,1.3213,,0.07%,0.7580582304429773,,
01/01/2024,1.3195,1.3196,1.32,1.3196,,0.03%,0.445277999990354,,
01/01/2025,1.3641,1.3655,1.3658,1.3649,,-0.08%,0.34723934101349385,,
01/02/2015,1.3308,1.3236,1.3315,1.3222,,0.51%,0.36442263787834067,,
01/02/2017,1.4505,1.4483,1.4512,1.447,,0.19%,0.7451684427441596,,
01/02/2018,1.3289,1.3371,1.3377,1.3275,,-0.59%,1.0294539282872879,0.8524937635189207,
01/02/2019,1.3663,1.3634,1.3668,1.3625,,0.23%,1.043009502739823,0.7794643382256962,
01/02/2020,1.347,1.3447,1.3485,1.3444,,0.19%,1.0257845567677863,0.7232339102493329,
01/02/2023,1.3413,1.34,1.3431,1.3374,,0.11%,1.006411628809759,0.7165169535616941,
01/02/2024,1.3261,1.3199,1.3273,1.3191,,0.50%,0.6500800390109163,0.7154399235972057,
01/02/2025,1.3698,1.3652,1.3719,1.3599,,0.42%,0.35731640615915256,0.7270678137914102,
01/03/2017,1.4497,1.4507,1.4549,1.4459,,-0.06%,0.5067057318413781,0.7736347283899576,
01/03/2018,1.3292,1.3293,1.3312,1.328,,0.02%,0.8523855795998833,0.8891585183001676,
01/03/2019,1.3636,1.3666,1.3681,1.363,,-0.20%,0.8728235596838988,0.8881885828783704,
01/03/2020,1.3496,1.3476,1.351,1.3466,,0.19%,0.8716348314493239,0.7475634889567062,
01/03/2022,1.3534,1.3493,1.3544,1.3478,,0.33%,0.8357300014461732,0.6092278995555378,0.721184490106452
01/03/2023,1.3447,1.3415,1.3474,1.3363,,0.25%,0.6507521405790586,0.5929926321613644,0.6741961918779875
01/03/2024,1.3287,1.3263,1.3308,1.3253,,0.20%,0.2466967475101565,0.5917113188932093,0.643432386641045
01/03/2025,1.3696,1.37,1.3731,1.3671,,-0.01%,0.2793595476323487,0.6116781971971788,0.649010932782531
01/04/2016,1.4237,1.4178,1.4282,1.4152,,0.42%,0.36361555696204456,0.6317580442513576,0.6603828756771144
01/04/2017,1.4395,1.4503,1.4509,1.4385,,-0.70%,0.3566235145690697,0.6167951858531325,0.6562752932751035
01/04/2018,1.3276,1.3294,1.3318,1.3268,,-0.12%,0.7446531944319787,0.6676278216728042,0.7191943237072154
01/04/2019,1.359,1.3642,1.365,1.3584,,-0.34%,0.7565060294581675,0.5324241492628514,0.7139935691029752
01/04/2021,1.3204,1.3226,1.323,1.3162,,-0.11%,0.7483366386777661,0.5360862450440486,0.7159996503305076
01/04/2022,1.3556,1.3539,1.3586,1.3526,,0.16%,0.7029113002247389,0.5532427285086458,0.642733980259675
01/04/2023,1.3408,1.3453,1.3459,1.3376,,-0.29%,0.6803758942472152,0.5562707411355265,0.5682738389385378
01/04/2024,1.329,1.3286,1.3304,1.3269,,0.02%,0.3783762661300503,0.5571211406814822,0.5599985433657483
01/05/2015,1.335,1.331,1.338,1.331,,0.32%,0.32504051153727065,0.5538895963147566,0.5580118727020429
01/05/2016,1.4249,1.4243,1.4289,1.4223,,0.08%,0.5156616548444511,0.6335423567287956,0.6062992366491532
01/05/2017,1.4281,1.4396,1.4411,1.4275,,-0.79%,0.5122672626810654,0.6030993147359012,0.6037352726412712
