Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,32.95,32.92,32.95,32.86,,0.12%,,,
01/01/2016,36.045,36.0,36.055,35.98,,0.04%,,,
01/01/2018,32.56,32.55,32.59,32.5,,0.00%,,,
01/01/2019,32.05,32.33,32.37,32.0,,-0.90%,,,
01/01/2020,29.77,29.77,29.77,29.77,,0.03%,,,
01/01/2021,29.99,30.01,30.02,29.99,,-0.17%,1.1821240712152712,,
01/01/2024,34.38,34.39,34.39,34.39,,0.09%,1.5051459939676,,
01/01/2025,34.29,34.33,34.345,34.255,,0.09%,1.2790320414915464,,
01/02/2015,32.97,32.95,33.01,32.86,,0.06%,1.320712787896197,,
01/02/2017,35.82,35.82,35.88,35.76,,-0.08%,1.1909864630430134,,
01/02/2018,32.43,32.58,32.59,32.4,,-0.40%,1.536239994181565,1.326624224800489,
01/02/2019,32.27,32.05,32.44,32.05,,0.69%,1.045597144165963,1.2224799101767667,
01/02/2020,30.15,30.145,30.175,30.065,,1.28%,1.1083261915700724,1.168521364951182,
01/02/2023,34.54,34.59,34.63,34.505,,-0.20%,1.6087046667278027,1.388241438596627,
01/02/2024,34.26,34.39,34.39,34.105,,-0.35%,1.4723413707572084,1.3183329753768005,
01/02/2025,34.36,34.305,34.475,34.13,,0.20%,1.2459549042254379,1.3194487934473413,
01/03/2017,35.93,35.8,36.01,35.77,,0.31%,1.249429410788209,1.124778183823489,
01/03/2018,32.325,32.445,32.475,32.245,,-0.32%,1.418934920842823,1.2475098831084983,
01/03/2019,32.22,32.27,32.34,32.02,,-0.15%,0.8490920388409217,1.2320031535530942,
01/03/2020,30.16,30.155,30.185,30.115,,0.03%,0.9199617835682782,1.1674178089293823,
01/03/2022,33.24,33.24,33.37,33.13,,0.03%,1.294631190493454,1.2071874062772776,1.2348171396440122
01/03/2023,34.35,34.54,34.54,34.285,,-0.55%,1.2675872710619698,1.2136640241892567,1.1938726937733328
01/03/2024,34.48,34.26,34.55,34.19,,0.64%,0.9596035833801736,1.1421988316861982,1.1376517522228433
01/03/2025,34.44,34.405,34.59,34.33,,0.23%,0.9572926732516408,0.8834523752099799,1.1352786330240268
01/04/2016,36.13,36.05,36.21,36.02,,0.24%,0.6620863602063445,0.9128821401945302,1.106819579788428
01/04/2017,35.82,35.91,35.96,35.78,,-0.31%,0.3922035798680998,0.9160812016132084,1.1091475807014002
01/04/2018,32.27,32.34,32.4,32.19,,-0.17%,0.8582647049950236,1.0213327571318784,1.0531575819066301
01/04/2019,31.99,32.25,32.25,31.94,,-0.71%,0.8490698643460635,0.8860009444335443,1.0534936258635337
01/04/2021,29.91,29.99,30.025,29.84,,-0.27%,0.9086431051760188,0.9453355626212102,1.0699620519148076
01/04/2022,33.25,33.24,33.365,33.225,,0.03%,1.2723504833117854,1.0484071421031609,1.1011360378917596
01/04/2023,33.93,34.41,34.435,33.84,,-1.22%,1.2965226644874872,0.9240779436257309,1.0463861566339523
01/04/2024,34.51,34.48,34.625,34.405,,0.09%,1.0146858212329075,0.9129098174707023,1.0467306349879257
01/05/2015,32.96,32.96,33.11,32.89,,-0.03%,1.0974287701409602,0.9424289553558105,1.0304837654694547
01/05/2016,36.12,36.13,36.19,36.06,,-0.03%,1.0157062458118327,1.0653609279445408,0.953660317498595
01/05/2017,35.68,35.81,35.85,35.64,,-0.39%,0.8287842016513952,1.0413923035838635,0.9544529542196286
01/05/2018,32.17,32.26,32.28,32.14,,-0.31%,1.149283871448301,1.1550556061773953,1.0210200890604983
01/05/2021,29.9,29.9,29.98,29.815,,-0.03%,1.1939120546234228,1.0998018557030058,1.03334349979175
01/05/2022,33.19,33.26,33.29,33.12,,-0.18%,1.505595923026567,1.2423082024657772,1.051337954526648
01/05/2023,34.0,33.94,34.17,33.77,,0.21%,1.3059655174820115,1.177776555852169,1.0536032627293759
01/05/2024,34.66,34.525,34.95,34.43,,0.43%,1.3208045980629022,1.0507244450278959,1.0225997598910708
01/06/2015,32.86,32.95,33.01,32.82,,-0.30%,1.1380839009643382,1.0853477034551704,0.9818054867946754
01/06/2016,36.25,36.12,36.27,36.09,,0.36%,1.065133860285943,1.20516908394094,1.041537322119888
01/06/2017,35.74,35.7,35.76,35.64,,0.17%,0.9118817483330686,1.1772357947869054,1.0436763683577448
01/06/2020,30.16,30.165,30.185,30.13,,0.00%,1.5124263607823494,1.3350973592854154,1.1884275477609103
01/06/2021,29.93,29.92,29.975,29.875,,0.10%,1.4799716981287145,1.3355264381445662,1.1718229831271143
01/06/2022,33.55,33.21,33.595,33.21,,1.08%,1.7654810922542818,1.4005656059987759,1.2563012492165748
01/06/2023,33.79,34.05,34.095,33.64,,-0.62%,1.5638062368341308,1.3315024568659952,1.2008298057493907
01/06/2025,34.6,34.49,34.695,34.35,,0.46%,1.580712407633717,1.2264257290490446,1.2014770004077517
01/07/2015,32.87,32.85,32.97,32.82,,0.03%,1.0048862262078975,1.2533224814779205,1.1907251913387067
01/07/2016,36.27,36.23,36.36,36.17,,0.06%,1.122688034340523,1.3573805478082401,1.1814904761747085
01/07/2019,31.95,31.96,32.05,31.89,,-0.13%,1.3227603563355983,1.476901353713594,1.2615687881983315
01/07/2020,30.3,30.165,30.335,30.115,,0.46%,1.34898171971957,1.3787641580466186,1.2727822552804928
01/07/2021,30.07,29.94,30.09,29.89,,0.47%,1.3039890072938014,1.3791788107288359,1.2634999642471776
01/07/2022,33.62,33.56,33.74,33.47,,0.21%,1.6106096256514815,1.268496012815146,1.2883934804085968
01/07/2025,34.48,34.605,34.685,34.39,,-0.35%,1.4033950428426505,1.2637642366181676,1.2907961897839788
01/08/2015,32.87,32.87,32.93,32.82,,0.00%,1.1001769439411802,1.153347652176883,1.2501799410374246
01/08/2016,36.38,36.24,36.42,36.14,,0.30%,1.1375170442525624,1.2722022500212788,1.2681812633086633
01/08/2018,32.22,32.16,32.28,32.08,,0.16%,1.5805507100002045,1.4122961024629728,1.2901805286412047
01/08/2019,32.04,31.96,32.12,31.92,,0.28%,1.3068663030179464,1.3888002436040503,1.2875664152825552
01/08/2020,30.33,30.305,30.38,30.245,,0.10%,1.3036172750385602,1.2837047542234485,1.2990232081692086
01/08/2021,30.14,30.05,30.16,30.03,,0.23%,1.2881311831888713,1.1443757319100096,1.2864705968969279
01/08/2024,34.93,34.67,35.1,34.58,,0.78%,1.6104294721728287,1.3635730554317163,1.3595954662105363
