Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,11.5438,11.576,11.576,11.5395,,-0.19%,,,
01/01/2016,15.4685,15.471,15.4954,15.461,,0.05%,,,
01/01/2018,12.3654,12.3724,12.3734,12.3714,,0.06%,,,
01/01/2019,14.38,14.3615,14.4062,14.3221,,0.23%,,,
01/01/2020,14.0064,14.0095,14.0095,14.0095,,0.09%,,,
01/01/2021,14.6538,14.695,14.6993,14.6613,,-0.23%,3.218073943713237,,
01/01/2024,18.2822,18.2822,18.2822,18.2822,,0.00%,2.753131972781587,,
01/01/2025,18.7597,18.8703,18.8815,18.7695,,-0.48%,1.7676638454012337,,
01/02/2015,11.699,11.5526,11.7393,11.5476,,1.34%,3.5946562090613785,,
01/02/2017,13.74,13.7275,13.785,13.6825,,0.06%,3.8349098090277187,,
01/02/2018,12.4508,12.3724,12.475,12.2609,,0.69%,3.9110101221908224,3.4253911931754115,
01/02/2019,14.4569,14.3893,14.5455,14.3068,,0.53%,3.595379318844616,3.071667985942392,
01/02/2020,14.0823,14.0089,14.136,13.9308,,0.54%,3.5706721378188355,2.8500272254880836,
01/02/2023,16.9743,17.0119,17.0381,16.949,,-0.18%,2.138101149863243,2.9128742707944633,
01/02/2024,18.5529,18.352,18.6007,18.26,,1.48%,1.994974184238722,2.9056379129944028,
01/02/2025,18.707,18.7749,18.8775,18.6599,,-0.28%,1.5568445200812644,2.9117033900354934,
01/03/2017,13.8238,13.7344,13.8573,13.6875,,0.61%,2.7452541737227354,3.023372486332437,
01/03/2018,12.3569,12.4613,12.5183,12.3107,,-0.75%,2.8569784820923965,3.053238223172861,
01/03/2019,14.2902,14.4623,14.6863,14.24,,-1.15%,2.6349154023971386,2.4301719190350846,
01/03/2020,14.3114,14.0866,14.3753,14.0827,,1.63%,2.457689245497517,2.2960520551558083,
01/03/2022,15.8728,16.0038,16.0091,15.7614,,-0.75%,2.6773288637710393,2.255117499539458,2.8227569332263167
01/03/2023,17.0179,16.9749,17.1505,16.9249,,0.26%,1.6263454384653098,2.1569706647878317,2.5854416467563492
01/03/2024,18.7021,18.5773,18.8459,18.4879,,0.80%,0.904552051573601,2.1650680171636405,2.464216334456347
01/03/2025,18.7372,18.7383,18.8242,18.6784,,0.16%,0.8258293867399567,1.9547783033038952,2.4180831295849186
01/04/2016,15.5722,15.4937,15.6953,15.4458,,0.67%,1.8251609677965055,2.1074376436138835,2.5100405032334536
01/04/2017,13.6075,13.8325,13.8401,13.5773,,-1.56%,1.8861856788576405,2.183659717823652,2.5589044871599245
01/04/2018,12.3052,12.356,12.4074,12.2312,,-0.42%,1.7133124063988143,1.801697227471211,2.422426734316816
01/04/2019,13.9548,14.3018,14.3824,13.9173,,-2.35%,1.921319141136297,1.8300297204152802,2.4719599913622017
01/04/2021,14.7149,14.6775,14.7501,14.5063,,0.42%,2.0447657083837765,1.6799559762445537,2.041946556480013
01/04/2022,16.0047,15.9092,16.0803,15.8076,,0.83%,1.8291679356438255,1.7254819732693087,1.9768744810749328
01/04/2023,16.8804,17.0201,17.0445,16.7787,,-0.81%,1.368145889277067,1.664496693656398,1.9380380801709811
01/04/2024,18.6952,18.7199,18.7768,18.6016,,-0.04%,0.546098687135637,1.7095476549952315,1.896157232988915
01/05/2015,11.703,11.735,11.7572,11.6731,,0.03%,3.215469710278135,2.51632622850166,2.3551442228696366
01/05/2016,15.6287,15.5642,15.689,15.4956,,0.36%,4.091429033840266,3.1268315836187996,2.5415255373589787
01/05/2017,13.58,13.6276,13.7463,13.4875,,-0.20%,4.230868050271562,3.074635307557951,2.5678211090924483
01/05/2018,12.2894,12.3127,12.4102,12.2825,,-0.13%,4.239110746578686,3.0413293414567586,2.588416688640153
01/05/2021,14.9676,14.7183,15.0664,14.6269,,1.72%,4.529641563523224,3.148106955405281,2.5229986338774495
01/05/2022,15.8962,16.0184,16.0644,15.7076,,-0.68%,3.1726218060143014,3.107825267939567,2.484716001959665
01/05/2023,17.1591,16.8894,17.2993,16.8643,,1.65%,2.2494151850662463,3.11541024890123,2.445465971322866
01/05/2024,18.6752,18.719,18.9655,18.5867,,-0.11%,1.7678486228033679,3.115748215458162,2.4555524375183433
01/06/2015,11.711,11.708,11.7853,11.6615,,0.07%,3.579713025894322,3.7192358380559645,2.808919324193733
01/06/2016,15.844,15.6363,15.8765,15.6199,,1.38%,4.145444639497971,4.115942248948811,3.067439354126777
01/06/2017,13.73,13.5803,13.786,13.56,,1.10%,4.314628948670186,3.6250400688416895,3.09444804457571
01/06/2020,14.1967,14.3148,14.3765,14.1954,,-0.80%,4.275700001145658,3.232589853335475,3.096260801932767
01/06/2021,15.0525,14.9816,15.1479,14.8845,,0.57%,4.241085775003974,3.1397716339483916,3.0311611308109048
01/06/2022,15.7275,15.8868,15.992,15.6642,,-1.06%,2.7885950014895085,3.062158748478928,2.9844376724719184
01/06/2023,17.1363,17.156,17.4417,17.0837,,-0.13%,1.3932385418235744,2.9218363475420994,2.9569159288769233
01/06/2025,18.5622,18.7599,18.7935,18.4249,,-0.93%,0.37993911809878994,2.9301529674280022,2.9397451290520276
01/07/2015,11.6738,11.718,11.7503,11.675,,-0.32%,3.140680588060177,3.538348095374446,3.267069546720875
01/07/2016,16.072,15.8597,16.2032,15.8392,,1.44%,4.249564843971432,4.030338473554362,3.5092148230394997
01/07/2019,13.8631,13.9623,14.0143,13.8257,,-0.66%,4.441750472396129,3.5365321875169973,3.553978198975269
01/07/2020,14.2956,14.215,14.3528,14.1333,,0.70%,4.39344436705723,3.078484082738596,3.538166693493642
01/07/2021,15.4285,15.07,15.477,14.9955,,2.50%,4.388607969056494,2.9891515330802356,3.235043797325434
01/07/2022,15.5875,15.7333,15.7958,15.5523,,-0.89%,2.9937791276936716,2.9904212817651126,3.0337744113649867
01/07/2025,18.6744,18.5812,18.7267,18.5026,,0.60%,1.9261528440908926,3.11126598667436,3.0435321632389383
01/08/2015,11.5805,11.6788,11.7128,11.5518,,-0.80%,3.46100330730911,3.757857190100068,3.3566633487170203
01/08/2016,16.3082,16.0705,16.3203,15.9316,,1.47%,4.605024715189432,4.279595642509842,3.5664307236337116
01/08/2018,12.37,12.3328,12.4776,12.2852,,0.66%,5.073665561084289,4.472319319662216,3.6910383466795835
01/08/2019,13.9596,13.8768,14.0556,13.86,,0.70%,5.158866935890918,3.997769825804876,3.7064730191311774
01/08/2020,14.1508,14.3115,14.4564,14.1315,,-1.01%,4.924805613683113,3.5505669285411536,3.696995348228493
01/08/2021,15.2838,15.4208,15.4964,15.205,,-0.94%,3.704442814930781,3.462678979813316,3.4069555086580596
01/08/2024,18.5979,18.6725,18.8144,18.556,,-0.41%,2.756808858552456,3.5835726007835924,3.2707901433660176
01/08/2025,18.8896,18.6888,18.9758,18.6713,,1.15%,1.351884771923197,3.583927075854987,3.2145752721429344
01/09/2015,11.491,11.5815,11.6304,11.4678,,-0.77%,3.6061472980123748,4.20685468207622,3.5567997693951243
01/09/2017,13.66,13.7063,13.8043,13.6255,,-0.51%,3.890943336110098,4.19516057630743,3.6070171671515787
01/09/2018,12.34,12.3848,12.4673,12.2786,,-0.24%,3.926676475236437,3.6788895885843376,3.630107070954681
01/09/2019,13.8434,13.9588,14.0255,13.8154,,-0.83%,3.621811413837825,3.0935364610166367,3.6406749046312425
01/09/2020,14.2026,14.1655,14.2596,14.1099,,0.37%,3.6311175241946367,2.7753269827835125,3.6324671311064063
01/09/2023,16.9115,17.1438,17.1586,16.8837,,-1.31%,1.940534021730807,2.8534608021340118,3.3815854687863065
01/09/2024,18.6962,18.606,18.7285,18.5627,,0.53%,1.7431457843729106,2.870081784525352,3.1548547375249343
01/09/2025,18.9194,18.9004,18.9969,18.828,,0.16%,1.1662839838733166,2.867621118625624,3.094710820897078
01/10/2017,13.7264,13.6625,13.7701,13.5837,,0.49%,2.783238054525462,3.0676519314041903,3.2851554846550224
01/10/2018,12.4296,12.3398,12.5573,12.3293,,0.73%,2.874832604431878,3.091340669693304,3.301827672427099
01/10/2019,13.8484,13.8605,13.9615,13.8148,,0.04%,2.569531803405258,2.347623689769483,3.3216877904080255
01/10/2020,14.3578,14.2117,14.375,14.1695,,1.09%,2.3850844659419494,2.176362282573453,3.253790323888838
01/10/2022,15.6589,15.6267,15.7429,15.5635,,0.46%,2.5549205077572186,2.1115527249443833,2.9194132161826944
01/10/2023,17.0204,16.9422,17.1444,16.9007,,0.64%,1.3311532668457944,2.0773805173157505,2.5732298089689727
01/10/2024,18.6774,18.6338,18.7598,18.5916,,-0.10%,0.46023507025221033,2.104832047050925,2.3978431625120646
01/10/2025,19.0945,18.935,19.2169,18.8964,,0.93%,0.5490610464371756,1.9210859871865422,2.371466639930675
01/11/2016,16.7667,16.3039,17.8409,16.3039,,2.81%,1.4734483111862395,1.9749827764040118,2.4305053112022903
01/11/2017,13.7293,13.7421,13.9825,13.6414,,0.02%,1.9978573921630272,2.162826957526141,2.5219152661456934
01/11/2018,12.3765,12.4323,12.5061,12.3574,,-0.43%,1.8007229856973783,1.7245390659271667,2.4224617835641413
01/11/2019,13.8229,13.8603,13.8984,13.7717,,-0.18%,1.9078190653942344,1.743030944755415,2.4616212438368748
01/11/2021,15.5472,15.3013,15.6658,15.2925,,1.72%,2.265771035041208,1.7604021911712642,2.0218849934209993
01/11/2022,15.525,15.6312,15.6939,15.5079,,-0.86%,2.1214149671087874,1.7590742465093556,1.9259780130769892
01/11/2023,16.9007,17.0294,17.0751,16.8762,,-0.70%,1.5096985150683482,1.7566394054804082,1.8970590164856826
01/11/2024,18.6367,18.6887,18.7428,18.5637,,-0.22%,0.8087901353421553,1.7767996385611118,1.8850431519164677
01/12/2015,11.5213,11.4861,11.547,11.4709,,0.26%,3.356541397039709,2.5945512784702283,2.367967713536486
01/12/2016,16.659,16.782,16.9535,16.4471,,-0.64%,4.696544975750271,3.5447109231515586,2.7761455170995655
01/12/2017,13.4915,13.7457,13.7857,13.4063,,-1.73%,5.009427596429983,3.6309783468736594,2.845137638630047
01/12/2018,12.3458,12.3922,12.4698,12.3552,,-0.25%,4.996023821750573,3.525220651337323,2.8603688817325534
01/12/2021,15.251,15.5204,15.6088,15.2052,,-1.91%,5.284334782144339,3.6284375377430393,2.795243989067983
01/12/2022,15.294,15.576,15.5773,15.2899,,-1.49%,4.079336499266561,3.6108330845335144,2.7633647621804234
01/12/2023,16.7688,16.9251,16.9757,16.6913,,-0.78%,2.600429598537892,3.5937083359818556,2.756513877509468
01/12/2024,18.6056,18.6432,18.7052,18.5345,,-0.17%,1.913003874770032,3.608506445126827,2.772904385192947
01/13/2015,11.527,11.5263,11.5385,11.4717,,0.05%,3.7281103849618744,4.16573986682378,3.1149340038013436
01/13/2016,16.5589,16.672,16.6956,16.3569,,-0.60%,4.645705916984291,4.707963330838717,3.465189248583142
01/13/2017,13.5,13.5105,13.6023,13.4377,,0.06%,4.953840179626184,4.3140423056001085,3.527868034928316
01/13/2020,14.397,14.3222,14.4802,14.2872,,0.27%,4.927468002728841,3.714422934143028,3.5337417301548424
01/13/2021,15.2476,15.2725,15.3327,15.1559,,-0.02%,4.875659999606349,3.543923777343643,3.502365660838102
01/13/2022,15.3996,15.3117,15.4463,15.2609,,0.69%,3.5734340695968294,3.4850890135210535,3.4222198559216412
01/13/2023,16.7875,16.7763,16.9326,16.6945,,0.11%,1.773362760008423,3.3362269963755042,3.3946382112118716
01/13/2025,19.0445,19.1089,19.2393,19.0138,,-0.26%,0.7219660052477488,3.3708187024403817,3.4006173789483456
01/14/2015,11.4395,11.529,11.6237,11.4231,,-0.76%,3.4324948325064586,4.011622371956413,3.7191794566964553
01/14/2016,16.4329,16.57,16.6873,16.3777,,-0.76%,4.772468156672801,4.571622917949155,4.010485068978403
01/14/2019,13.7675,13.887,13.968,13.753,,-0.40%,5.02324805728986,4.137851762172875,4.0641885483923215
01/14/2020,14.3951,14.4065,14.5024,14.3568,,-0.01%,4.993891307438184,3.53302019786911,4.0542079118767775
01/14/2021,15.0691,15.2588,15.302,15.0285,,-1.17%,4.895204647107025,3.363576899248831,3.7671679552405006
01/14/2022,15.3846,15.4104,15.4518,15.2664,,-0.10%,3.4733930048875568,3.358564733415428,3.449472779752549
01/14/2025,18.9033,19.0456,19.0714,18.8912,,-0.74%,2.200467902859754,3.506924451992715,3.4323246212476635
01/15/2015,11.56,11.4445,11.5701,11.4178,,1.05%,3.6155484632751564,4.133302240005866,3.735070184423333
01/15/2016,16.8083,16.4413,16.8535,16.4237,,2.28%,4.9297812664548415,4.706283105157143,3.971421551863031
01/15/2018,12.2907,12.313,12.4,12.2608,,-0.45%,5.508154843095147,4.9144752369092375,4.116021451601523
01/15/2019,13.731,13.7725,13.8438,13.717,,-0.27%,5.563092002957634,4.3914336863899255,4.1216177708620645
01/15/2020,14.3797,14.4082,14.4375,14.3301,,-0.11%,5.294384912436332,3.839780065907609,4.110306439598842
