Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2015,52.68,53.64,53.64,52.64,517.44K,-2.30%,,,
01/02/2018,33.26,33.28,33.29,33.03,956.52K,0.88%,,,
01/02/2019,29.7,29.49,29.83,29.46,1.01M,-0.24%,,,
01/02/2020,28.91,28.73,28.92,28.7,341.80K,1.40%,,,
01/02/2024,21.07,21.08,21.11,21.03,388.70K,-0.85%,,,
01/02/2025,24.33,24.45,24.5,24.28,581.23K,-0.82%,3.262718395978453,,
01/03/2017,28.09,28.08,28.3,27.96,859.31K,0.07%,2.880491875096908,,
01/03/2018,33.58,33.39,33.63,33.34,1.26M,0.96%,3.091522273840577,,
01/03/2019,29.64,29.75,29.84,29.46,1.15M,-0.20%,3.2786627968590745,,
01/03/2020,28.58,28.68,28.82,28.54,362.25K,-1.14%,2.1930324594540993,,
01/03/2022,24.96,24.84,24.98,24.82,396.60K,-0.28%,2.4098911543289296,2.939642843074037,
01/03/2023,22.58,22.71,22.71,22.5,281.17K,-1.14%,2.128652167969437,2.3919272658663915,
01/03/2024,21.16,21.12,21.22,21.09,329.12K,0.43%,0.6028005559409869,2.360900789417284,
01/03/2025,24.34,24.32,24.35,24.21,234.67K,0.04%,1.7234696922841315,2.515494103282282,
01/04/2016,29.96,30.08,30.12,29.76,497.73K,-3.23%,2.5490117710583555,2.2820643639496727,
01/04/2017,28.3,28.3,28.38,28.23,597.83K,0.75%,2.333086450220284,2.242074002075819,
01/04/2018,33.87,33.74,33.92,33.74,844.76K,0.86%,2.2364918289121993,2.3198138486781965,
01/04/2019,30.06,29.64,30.16,29.55,1.12M,1.42%,2.4685092349244813,2.209909103585816,
01/04/2021,28.41,28.51,29.05,28.33,635.93K,-1.35%,2.5397761105311276,2.140427134141674,
01/04/2022,24.78,24.79,24.93,24.67,237.60K,-0.72%,2.086052284668439,2.2353597070294846,
01/04/2023,22.7,22.58,22.73,22.53,409.45K,0.53%,2.116906225711982,2.180261017858999,2.5561613402744157
01/04/2024,21.28,21.28,21.35,21.27,224.35K,0.57%,0.4982906732578138,2.1466769157849743,2.2248550834789347
01/05/2015,51.44,52.28,52.36,51.3,880.44K,-2.35%,10.655475772054986,7.379521391760713,5.515344048648801
01/05/2016,30.2,30.36,30.48,30.12,155.79K,0.80%,11.50185319714295,7.901639381874016,5.763783728735567
01/05/2017,28.71,28.55,28.79,28.55,772.83K,1.45%,11.39722952375973,7.890424352416179,5.655640098092145
01/05/2018,34.35,34.21,34.4,34.1,1.28M,1.42%,11.188415711841966,7.883670018318814,5.667311955433597
01/05/2021,28.49,28.34,28.54,28.33,297.96K,0.28%,11.38355599356525,7.960527371865423,5.7106106696704435
01/05/2022,24.73,24.75,24.9,24.72,279.07K,-0.20%,3.490863799977631,7.97252600123503,5.711405700922183
01/05/2023,22.78,22.77,22.8,22.71,250.92K,0.35%,2.2837172222406115,7.982420509279588,5.700345934731918
01/05/2024,21.46,21.36,21.56,21.36,681.09K,0.85%,2.28512204945983,7.946597309886975,5.704103077637722
01/06/2015,50.96,51.16,51.48,50.76,505.82K,-0.93%,10.56224660033007,10.260830575419583,7.408125831386521
01/06/2016,29.52,29.72,29.84,29.44,337.33K,-2.25%,11.224345261189695,10.6692141706774,7.609492985348257
01/06/2017,28.82,28.86,28.92,28.66,591.95K,0.38%,11.086346830365484,8.076753819789001,7.600714874302883
01/06/2020,28.58,28.45,28.59,28.45,288.54K,0.00%,11.002136694454078,7.7132280377871245,7.603819946520564
01/06/2021,28.26,28.08,28.36,28.0,563.32K,-0.81%,10.945229615146145,7.700044380234323,7.587896988590556
01/06/2022,24.58,24.5,24.61,24.46,330.61K,-0.61%,2.796253041338517,7.72060228909405,7.608409105641908
01/06/2023,23.0,22.81,23.0,22.75,261.98K,0.97%,0.8149631370677395,7.6598804783707966,7.603669982292653
01/06/2025,24.24,24.27,24.28,24.2,304.65K,-0.41%,1.0958946171306618,7.596377518696496,7.579603995077776
01/07/2015,51.48,51.36,51.6,51.28,488.38K,1.02%,8.317143978753778,9.196507291408501,8.451974501817277
01/07/2016,29.4,29.64,29.82,29.28,600.86K,-0.41%,9.42280445630241,9.64682137401274,8.633097295614796
01/07/2019,29.88,29.99,30.0,29.77,1.09M,-0.60%,9.242307318905896,6.792298550105679,8.611838026589114
01/07/2020,28.61,28.68,28.68,28.53,359.72K,0.10%,9.213207036854074,6.372071910979255,8.60690869938814
01/07/2021,28.08,28.07,28.14,27.93,395.91K,-0.64%,9.27225014462556,6.370479100600785,7.083106045777091
01/07/2022,24.66,24.72,24.75,24.6,332.29K,0.33%,2.865214210711678,6.42430913032601,6.911841622108509
01/07/2025,24.27,24.25,24.45,24.25,184.64K,0.12%,0.8268796797007851,6.4253342864641265,6.90645377861807
01/08/2015,52.24,52.12,52.52,52.12,247.18K,1.48%,8.561300753552883,8.409501453692613,7.92957901626608
01/08/2016,29.12,29.6,29.64,29.08,892.49K,-0.95%,9.649938605058752,8.899041511636002,8.109312151598818
01/08/2018,34.58,34.38,34.69,34.38,2.22M,0.67%,9.586697626949123,8.893320548437885,8.074535684446113
01/08/2019,29.99,29.85,30.05,29.84,844.46K,0.37%,9.606673643437711,7.051601210338056,8.0928018128649
01/08/2020,28.48,28.36,28.56,28.31,459.86K,-0.45%,9.647217171360253,6.627119377357517,8.090887010947101
01/08/2021,28.88,28.7,28.88,28.64,380.27K,2.85%,3.683805756473755,6.627484701287043,6.540501381808094
01/08/2024,21.67,21.5,21.69,21.48,1.09M,0.98%,2.598092591454283,6.790614744576513,6.4104096144634575
