Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2018,5.75,5.8,5.8,5.75,1.45K,1.59%,,,
01/02/2019,8.15,8.15,8.15,8.15,0.61K,-4.34%,,,
01/02/2020,6.85,6.89,6.89,6.84,1.08K,-0.72%,,,
01/02/2024,8.52,8.58,8.58,8.52,4.72K,0.95%,,,
01/02/2025,8.29,8.22,8.34,8.22,6.41K,0.85%,,,
01/03/2017,6.99,7.17,7.17,6.94,5.72K,-6.17%,4.079832965862404,,
01/03/2018,5.7,5.75,5.75,5.69,1.60K,-0.87%,2.841029281508146,,
01/03/2019,7.95,7.95,7.95,7.95,1.53K,-2.45%,4.047479285431728,,
01/03/2023,15.02,14.95,15.02,14.9,11.26K,-2.47%,7.267546339874657,,
01/03/2024,8.61,8.61,8.63,8.56,6.95K,1.06%,8.45319291195053,,
01/03/2025,7.99,8.14,8.16,7.99,7.35K,-3.62%,8.309074357393172,6.1892307107761795,
01/04/2017,6.84,6.94,6.94,6.83,7.30K,-2.15%,8.219758859002308,6.0011539864704675,
01/04/2018,5.63,5.72,5.72,5.63,1.74K,-1.23%,8.052382471665652,6.017608735207083,
01/04/2021,7.05,7.12,7.12,7.04,6.40K,2.92%,3.8767040136043485,6.025975977340128,
01/04/2022,10.69,10.8,10.8,10.59,5.70K,0.85%,4.756787706511733,6.470698882643266,
01/04/2023,15.17,15.27,15.27,15.09,1.75K,1.00%,5.067240981809976,6.5034562382025465,
01/04/2024,8.78,8.75,8.78,8.65,16.07K,1.97%,6.37480484382711,6.935240483721382,
01/05/2015,9.55,9.81,10.7,9.44,20.45K,-1.24%,5.859892637081726,6.767745041890863,
01/05/2017,6.94,6.84,6.97,6.78,16.05K,1.46%,6.547305461417975,5.2895395194046,
01/05/2018,5.55,5.55,5.55,5.53,1.05K,-1.42%,5.297469110616101,4.915500371798287,
01/05/2021,7.11,7.15,7.15,7.11,4.82K,0.85%,4.515136484077899,5.089641432672474,5.53508576712125
01/05/2022,10.81,10.75,10.82,10.74,3.35K,1.12%,5.2516331964709,5.513954436874174,5.633758913995663
01/05/2023,14.6,14.79,14.79,14.47,8.21K,-3.76%,5.587033715904662,5.405657466732878,5.65135617071128
01/05/2024,8.83,8.75,8.83,8.68,4.67K,0.57%,6.184355947374174,6.016311243228425,5.876836456441717
01/06/2015,9.34,9.42,9.42,9.34,2.00K,-2.20%,5.609886937869208,5.523535560882376,5.867569463757119
01/06/2016,6.34,6.34,6.34,6.34,0.51K,-1.09%,6.3864313525215035,5.3585967779666,5.978297670075948
01/06/2017,6.99,7.0,7.0,6.97,6.60K,0.72%,4.942027217639129,4.918612286473531,5.910478973946633
01/06/2020,7.11,6.91,7.11,6.9,5.68K,3.80%,3.6838036737415885,4.904557914502871,5.787751764215994
01/06/2021,7.19,7.19,7.19,7.19,0.15K,1.13%,2.679056323541111,4.638728213831006,4.872101612425844
01/06/2022,10.76,10.8,10.8,10.76,0.75K,-0.46%,4.640928755387085,4.927797374561725,4.878465573159166
01/06/2023,14.4,14.5,14.5,14.35,10.99K,-1.37%,3.4173610662920124,4.990697430082621,4.9531392127931495
01/06/2025,8.13,8.15,8.19,8.09,5.92K,1.75%,5.69261562691813,5.136212968010711,5.225343287654014
01/07/2015,9.3,9.52,9.52,9.3,1.30K,-0.43%,5.667736661784525,4.863790768796462,5.154934372402683
01/07/2016,6.44,6.38,6.48,6.38,15.15K,1.58%,6.422447934681592,4.67996428972652,5.284462087440572
01/07/2019,8.15,8.15,8.15,8.15,0.21K,2.52%,5.555009349768198,4.851985152913872,5.0608355125947035
01/07/2020,6.9,6.95,6.95,6.9,0.75K,-2.95%,4.705724636614936,4.576078854418248,4.892584352201998
01/07/2021,7.1,7.19,7.19,7.1,3.25K,-1.25%,3.6377496982962776,4.566374660622624,4.62192247357206
01/07/2022,10.84,10.89,10.89,10.84,3.50K,0.74%,5.270627408579886,5.170012470853681,4.945115183607687
01/07/2025,8.14,8.15,8.15,8.1,3.12K,0.12%,5.01558317791003,5.4412003772906585,4.924641060946758
