Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2015,26.11,26.05,26.15,26.05,2.36K,0.42%,,,
01/02/2018,26.05,26.09,26.13,26.0,436.91K,-0.15%,,,
01/02/2019,23.14,23.33,23.35,23.03,205.17K,-1.20%,,,
01/02/2020,27.32,27.68,27.68,27.25,1.90M,-1.09%,,,
01/02/2024,24.32,24.04,24.36,24.03,620.81K,0.58%,,,
01/02/2025,23.8,24.09,24.09,23.7,846.32K,-0.71%,1.8916070555288649,,
01/03/2017,25.24,25.34,25.34,25.09,59.50K,0.00%,1.9649292055030014,,
01/03/2018,26.09,26.12,26.12,26.0,950.90K,0.15%,1.6989246668845692,,
01/03/2019,23.28,23.11,23.5,23.11,379.70K,0.61%,1.2479910858897534,,
01/03/2020,27.52,27.26,27.54,27.17,1.51M,0.73%,1.69658103839182,,
01/03/2022,30.43,30.64,30.66,30.13,509.64K,-0.59%,1.6966867859314458,1.7864336273404937,
01/03/2023,22.66,22.84,23.07,22.5,1.33M,-0.22%,2.7716961538590885,2.265999481514886,
01/03/2024,23.86,24.12,24.13,23.8,624.80K,-1.89%,2.793386042763044,2.197233519833951,
01/03/2025,24.1,23.88,24.1,23.83,1.00M,1.26%,2.640030045240778,1.9878421479919859,
01/04/2016,24.83,24.77,24.83,24.65,7.21K,-1.66%,2.238940559210631,1.9034690384630368,
01/04/2017,25.55,25.32,25.56,25.26,81.57K,1.23%,2.0440971767704053,1.897676596068478,
01/04/2018,25.73,26.03,26.03,25.71,199.66K,-1.38%,0.2935056625896297,1.8799913600238207,
01/04/2019,23.64,23.37,23.73,23.36,266.56K,1.55%,0.7318857825796502,1.9253357715264379,
01/04/2021,23.26,23.99,24.02,23.23,482.28K,-2.80%,0.7305961509939863,1.838401578656391,
01/04/2022,30.48,30.51,30.67,30.47,604.68K,0.16%,2.403337968575734,2.2486168711352614,
01/04/2023,23.1,22.86,23.27,22.83,587.47K,1.94%,3.192563692855671,2.5340787601002943,2.1544686151322683
01/04/2024,23.75,23.82,23.92,23.69,784.14K,-0.46%,3.200827261549319,2.153889954476351,2.1562330458686803
01/05/2015,26.23,26.06,26.24,26.06,4.89K,0.46%,3.175914819847867,2.1958106944550564,2.138468672120751
01/05/2016,25.11,24.87,25.14,24.87,17.13K,1.13%,3.2093696207398317,2.217017493331566,2.0544167483907985
01/05/2017,25.69,25.54,25.71,25.35,119.33K,0.55%,2.0900832827378917,2.2157148225879513,2.01054990539262
01/05/2018,25.78,25.76,25.8,25.71,246.99K,0.19%,0.8456763288733771,2.213933400783058,2.007246468444617
01/05/2021,23.36,23.34,23.53,23.34,726.26K,0.43%,1.1793818106325538,2.2741419408304075,2.0321988853948554
01/05/2022,29.93,30.5,30.5,29.88,732.94K,-1.80%,2.306109590340697,2.616674862273055,2.25755298167921
01/05/2023,22.6,22.94,22.95,22.53,480.48K,-2.16%,3.0560619410120946,2.9713266720595475,2.405322581913335
01/05/2024,23.82,23.71,24.0,23.6,639.27K,0.29%,3.0824566558060487,2.4922129163683078,2.325075207865381
01/06/2015,26.4,26.44,26.44,26.32,4.20K,0.65%,3.1782936984216072,2.192672719395792,2.326596791743786
01/06/2016,24.96,24.88,25.04,24.85,18.41K,-0.60%,3.1000858542806946,2.2253637041184837,2.131525909627698
01/06/2017,25.68,25.66,25.79,25.61,60.50K,-0.04%,2.1893749678998313,2.1709169813672036,2.1272979399789693
01/06/2020,27.45,27.42,27.56,27.38,1.53M,-0.25%,0.964169110578094,2.1726937353180666,2.136773563109951
01/06/2021,23.55,23.42,23.67,23.34,356.72K,0.81%,1.5965009645789687,2.314295976297463,2.2069534253100764
01/06/2022,29.9,29.92,30.04,29.76,856.07K,-0.10%,2.4543345979071254,2.679367127622439,2.3966831504489363
01/06/2023,23.06,22.7,23.14,22.55,981.53K,2.04%,3.0823096648966497,2.9248568665741606,2.552720170939973
01/06/2025,23.87,24.21,24.21,23.83,572.07K,-0.95%,3.086419742319039,2.5295758486639843,2.532891861704366
01/07/2015,26.8,26.61,26.8,26.61,4.92K,1.52%,3.183638537323154,2.2315669453974074,2.559889257927177
01/07/2016,24.57,24.63,24.72,24.48,9.65K,-1.56%,3.0285822687172614,2.2893006477083007,2.338268100006807
01/07/2019,23.74,23.58,23.85,23.58,432.70K,0.42%,2.0945699283435735,2.233226507740482,2.1627427529996415
01/07/2020,27.29,27.43,27.43,27.17,343.90K,-0.58%,1.5769994878167952,2.3308843004950557,2.2183084914618267
01/07/2021,23.38,23.55,23.55,23.28,674.65K,-0.72%,2.0389988499139475,2.466129009658667,2.261592466752467
01/07/2022,29.72,29.88,29.89,29.68,284.76K,-0.60%,2.7419730489082363,2.8064852313464934,2.442985634682688
01/07/2025,23.75,23.92,24.07,23.67,720.75K,-0.50%,3.150493031209625,2.9159540891843125,2.565029320439727
01/08/2015,26.96,27.0,27.0,26.83,4.44K,0.60%,3.2346337011688515,2.654642438235494,2.603980608683306
01/08/2016,24.16,24.62,24.62,24.15,16.05K,-1.67%,3.205702912296688,2.4131896427355395,2.609751645142688
01/08/2018,25.82,25.8,25.86,25.75,117.20K,0.16%,2.9895012742983726,2.426930337968141,2.4240269529238985
01/08/2019,24.18,23.86,24.2,23.84,185.38K,1.85%,2.1409359500798595,2.382038802124583,2.256900833246821
01/08/2020,27.31,27.25,27.34,27.16,384.44K,0.07%,1.7580331051898288,2.414019202572988,2.2907568460201806
01/08/2021,23.54,23.45,23.55,23.35,341.71K,0.68%,1.8282073976570137,2.5338781989585715,2.3266950261636503
01/08/2024,24.09,23.79,24.13,23.77,261.73K,1.13%,1.6843823287125448,2.4163892926603627,2.3169455763939353
01/08/2025,23.72,23.65,23.72,23.47,474.42K,-0.13%,1.5836104142338356,2.2892143858729255,2.3170505602845
01/09/2015,26.96,27.04,27.13,26.86,14.82K,0.00%,1.8021753736122206,1.932170957899609,2.3535661076543235
01/09/2017,25.51,25.69,25.69,25.5,136.96K,-0.66%,1.6060435982635641,1.6270395640763011,2.298399695252277
