Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2015,46.68,47.0,47.03,46.57,2.30M,-0.38%,,,
01/02/2018,55.31,55.07,55.31,54.93,3.19M,1.08%,,,
01/02/2019,45.53,44.98,45.55,44.93,4.93M,-0.11%,,,
01/02/2020,54.44,54.17,54.44,54.05,2.18M,1.28%,,,
01/02/2024,55.51,55.62,55.77,55.44,2.69M,-1.12%,,,
01/02/2025,57.2,57.44,57.59,57.06,5.74M,-0.37%,2.409670232287049,,
01/03/2017,44.5,44.47,44.54,44.39,3.66M,0.72%,2.697346121578862,,
01/03/2018,55.66,55.38,55.67,55.38,2.50M,0.63%,2.9348975447212293,,
01/03/2019,45.08,45.3,45.34,44.93,3.03M,-0.99%,3.0448524217163397,,
01/03/2020,53.75,53.73,54.03,53.72,2.10M,-1.27%,3.4183892625226107,,
01/03/2022,61.68,61.59,61.69,61.3,4.65M,0.65%,3.555872709922786,2.8663934499851593,
01/03/2023,50.5,50.64,50.99,50.29,3.48M,0.72%,3.3769836838251313,2.947933590629387,
01/03/2024,55.16,55.0,55.33,54.9,3.05M,-0.63%,2.921913507753923,2.784006915997764,
01/03/2025,57.57,57.43,57.58,57.25,2.12M,0.65%,2.3097214435507394,2.6367786962946096,
01/04/2016,42.67,42.63,42.68,42.18,4.05M,-1.70%,2.8300242839486147,2.9809668415186157,
01/04/2017,45.01,44.77,45.01,44.75,2.61M,1.15%,2.520557149289203,2.9926151017408875,
01/04/2018,56.1,56.03,56.2,56.0,2.77M,0.79%,2.913746317405791,2.974296339914262,
01/04/2019,46.47,45.76,46.6,45.74,3.29M,3.08%,3.1809684829344853,2.889911386758609,
01/04/2021,58.65,59.41,59.47,58.43,4.53M,0.50%,3.767775590003341,2.9586551161193917,
01/04/2022,61.81,61.97,62.05,61.68,3.72M,0.21%,2.807135795773729,2.8419980281125192,
01/04/2023,51.37,51.22,51.49,50.9,3.55M,1.72%,3.371836798197807,2.915136263950456,2.8385724434991886
01/04/2024,55.2,55.13,55.47,55.11,2.48M,0.07%,2.9126168375101447,2.7549653032329338,2.7801215296933024
01/05/2015,45.65,46.17,46.23,45.56,6.46M,-2.21%,2.9179301311852397,2.8864669926951954,2.776666688510992
01/05/2016,42.57,42.59,42.62,42.32,2.75M,-0.23%,1.8730589996419758,2.8893111820170194,2.7056524731076212
01/05/2017,45.43,45.16,45.46,45.16,1.85M,0.93%,1.9240026314309138,2.563529230616134,2.7150645822297976
01/05/2018,56.43,56.29,56.47,56.22,2.00M,0.59%,2.4982939638079005,2.800753532404319,2.8432208045844365
01/05/2021,59.55,58.96,59.63,58.96,2.85M,1.53%,2.479678305870196,2.5531487193847635,2.7039437761046052
01/05/2022,61.21,61.95,62.09,61.21,7.48M,-0.97%,1.7819239291739621,2.325778643542386,2.5736249661978023
01/05/2023,50.93,50.93,51.13,50.81,4.05M,-0.86%,2.315419411599838,2.1581086451964606,2.5510510492446428
01/05/2024,55.28,55.18,55.72,55.14,1.95M,0.14%,2.330037809885168,2.1880563817109744,2.481745260390443
01/06/2015,45.24,45.69,45.79,45.06,2.41M,-0.90%,2.035557177048111,2.2158906698018153,2.520181843213353
01/06/2016,41.84,41.76,41.99,41.64,3.01M,-1.71%,1.8701318448074427,2.195085007739927,2.4478897323042705
01/06/2017,45.26,45.27,45.31,45.19,2.03M,-0.37%,2.06289749361818,2.062255406446823,2.4430194534828007
01/06/2020,53.85,53.57,53.85,53.51,1.88M,0.19%,2.3361062486685813,2.2026246685577484,2.5299626727583893
01/06/2021,59.87,59.46,60.26,59.4,4.33M,0.54%,2.3895148044936936,2.2334766904729886,2.3452356147423212
01/06/2022,61.07,61.08,61.33,60.83,5.68M,-0.23%,1.5815905525482266,1.918151522204741,2.3430798034905393
01/06/2023,52.18,51.28,52.21,50.99,3.20M,2.45%,2.000135826048555,2.059049843716244,2.2650411130399304
01/06/2025,57.94,57.78,58.3,57.78,1.86M,0.64%,2.0373616619254356,2.136548356859459,2.191664099285104
01/07/2015,45.74,45.69,45.81,45.36,2.36M,1.11%,2.354795098840841,2.240156707519255,2.1411329508147454
01/07/2016,40.94,41.02,41.42,40.89,3.71M,-2.15%,2.058521165978965,2.237473523201892,2.158820257465571
01/07/2019,46.62,46.47,46.84,46.35,3.90M,0.32%,2.4972687293399836,2.168045934445417,2.1373081528301454
01/07/2020,53.77,53.84,53.87,53.7,1.76M,-0.15%,2.6179873610609823,2.2149193420395625,2.1895178655681926
01/07/2021,60.08,59.9,60.14,59.79,3.05M,0.35%,2.633990040148003,2.24322916928612,2.1126046210443525
01/07/2022,61.34,61.12,61.43,60.9,3.33M,0.44%,1.717189976438198,2.077408800598739,2.0858657413468245
01/07/2025,57.79,58.28,58.35,57.68,1.81M,-0.26%,1.432476622366345,2.04448225423161,2.1009460170605405
01/08/2015,46.38,46.07,46.51,46.06,1.53M,1.40%,2.2421833770095714,2.275690978759908,2.0651943206081085
01/08/2016,40.45,41.17,41.23,40.38,3.97M,-1.20%,1.9587536581554106,2.249375554220183,2.100516758408163
01/08/2018,56.44,56.36,56.45,56.33,2.22M,0.02%,3.6817559955600476,3.0196805002591494,2.5471475761982227
01/08/2019,46.91,46.98,47.02,46.71,2.67M,0.62%,3.8766158543694833,2.9395239909783304,2.5479780637366454
01/08/2020,53.9,53.71,54.08,53.67,2.05M,0.24%,4.061246635671562,2.921226385347119,2.583440958068174
01/08/2021,60.93,60.71,60.93,60.27,2.74M,1.41%,3.652483512385445,2.9138286162298184,2.5114200551320773
01/08/2024,55.73,55.23,55.73,55.21,2.11M,0.81%,3.513096959853685,2.903472460104258,2.5171458208675883
01/08/2025,57.67,57.48,57.71,57.26,2.29M,-0.21%,2.1809377622227686,2.853176858951517,2.5088671598193666
01/09/2015,46.12,46.45,46.45,45.94,2.14M,-0.56%,2.349980353340488,3.0380533238391796,2.5480882528099187
01/09/2017,45.21,45.14,45.24,45.06,2.21M,-0.11%,1.9776415038296622,3.0282292778997966,2.5169929146832044
01/09/2018,56.46,56.45,56.48,56.26,3.19M,0.04%,2.6423098903202895,3.0788951759112457,2.670403002891771
01/09/2019,47.54,47.32,47.66,47.25,2.57M,1.34%,2.826518422419025,3.1270332611390583,2.68028370574959
01/09/2020,54.14,54.1,54.14,53.97,1.59M,0.45%,3.0394239362969855,2.4953802892796015,2.6964885653129405
01/09/2023,52.45,52.63,52.9,52.43,3.26M,0.52%,2.52411301691334,2.3128156893819165,2.5744495761931807
01/09/2024,55.16,55.17,55.28,55.07,2.17M,-1.02%,2.475677790765495,2.2110330554167765,2.534313294018483
01/10/2017,45.23,45.26,45.39,45.23,1.62M,0.04%,2.1576678137384806,2.2893635155435796,2.5990621182439164
01/10/2018,56.29,56.38,56.38,56.18,2.12M,-0.30%,2.573229203508086,2.6032751812234594,2.6841807790199925
01/10/2019,47.7,47.32,47.73,47.29,3.41M,0.34%,2.729055880251445,2.7262920639726222,2.7188170054845213
01/10/2020,54.02,54.2,54.27,53.98,2.06M,-0.22%,2.9040808072169737,2.568863663004367,2.7578094781382223
01/10/2022,60.94,60.91,60.98,60.46,7.79M,-0.65%,3.0067715033318834,2.599797152250066,2.7784188848772557
01/10/2023,52.65,52.48,52.65,52.27,4.52M,0.38%,2.8194416124611434,2.457532013636187,2.7236802389085706
01/10/2024,55.38,55.3,55.45,55.24,1.60M,0.40%,2.221482445183489,2.2908943528723533,2.6686941539199753
01/10/2025,56.69,57.14,57.14,56.6,2.99M,-1.70%,1.7337609029492098,2.201533374568496,2.2908580575929514
01/11/2016,40.53,40.91,40.91,40.18,4.13M,0.20%,2.6320362670326554,2.6650571160647996,2.443324177528592
01/11/2017,45.6,45.24,45.6,45.14,2.44M,0.82%,2.619738543728709,2.7387512443385207,2.425950035885576
01/11/2018,56.64,56.38,56.64,56.32,1.76M,0.62%,3.1127754387443307,2.801621239177908,2.5336878050220077
01/11/2019,47.47,47.36,47.53,47.26,6.96M,-0.48%,3.3830143152694276,2.7014403591262286,2.5854146244495126
01/11/2021,60.12,59.93,60.33,59.89,2.86M,-1.33%,3.934940969597716,2.866729380659098,2.746765388211825
01/11/2022,61.88,61.15,61.88,61.05,5.02M,1.54%,2.7738833302043715,2.818570939363899,2.6246964001618434
01/11/2023,52.97,52.77,52.97,52.65,3.54M,0.61%,3.2403768324789244,2.879264858972551,2.6908420460720475
01/11/2024,55.42,55.52,55.62,54.96,4.19M,0.07%,2.757476456870573,2.77977481503053,2.55678844769324
01/12/2015,45.93,46.16,46.17,45.75,2.92M,-0.41%,2.7941122424250415,2.928415305463403,2.5688472125763333
01/12/2016,40.7,40.87,40.92,40.33,2.70M,0.42%,1.607474418782674,2.9744686644683833,2.5585397620900516
01/12/2017,45.62,45.69,45.69,45.46,2.44M,0.04%,2.0398765001904873,2.6266441007892523,2.5920300389065978
01/12/2018,57.17,56.79,57.18,56.74,2.23M,0.94%,2.7436267051042034,2.8352167939734696,2.734043122267659
01/12/2021,60.5,60.25,60.56,60.07,2.23M,0.63%,2.750231404210728,2.603005409231271,2.6365965412452383
01/12/2022,62.56,62.35,62.61,62.26,4.52M,1.10%,2.1206089555215324,2.4011456375254907,2.5100206463896177
01/12/2023,53.56,53.26,53.66,52.77,3.35M,1.11%,2.2889004491973513,2.1809832471036406,2.502351205187485
01/12/2024,55.63,55.82,55.98,55.55,1.86M,0.38%,2.2350979781668316,2.1853831870431986,2.4672202213196295
01/13/2015,46.18,46.5,46.61,45.81,1.97M,0.54%,1.7554849582429966,2.2356990159658183,2.5093571962676973
01/13/2016,40.06,40.97,41.06,39.97,3.81M,-1.57%,1.6239234272658325,2.3006699670652617,2.5068962970632667
01/13/2017,45.77,45.67,45.77,45.61,2.58M,0.33%,2.171866027514391,2.2722211056344315,2.5528018870384543
01/13/2020,54.44,54.17,54.45,54.06,2.82M,0.78%,2.549590188660529,2.323487816780529,2.637098380458146
01/13/2021,60.49,60.47,60.65,60.34,2.65M,-0.02%,2.644537315344187,2.314370062548288,2.41218041542826
01/13/2022,62.04,62.67,62.7,61.98,4.47M,-0.83%,2.0105418862819366,1.9799953532031545,2.3864240553856706
01/13/2023,53.91,53.4,53.92,53.37,2.79M,0.65%,2.0012812933085993,2.0900965701276055,2.3044895128792104
01/13/2025,56.51,56.1,56.52,56.08,4.05M,-0.32%,1.887366957953104,2.0984412436683386,2.218896770699454
01/14/2015,46.0,45.85,46.06,45.62,1.98M,-0.39%,2.0018347860456824,2.186870160499298,2.1258475225089715
01/14/2016,40.57,40.21,40.74,39.91,3.71M,1.27%,1.6379200805771978,2.237404607207606,2.1586426288580554
01/14/2019,47.16,47.04,47.33,47.02,9.59M,-0.65%,2.305039264314887,2.244539941180732,2.1842352159614973
01/14/2020,54.43,54.3,54.46,54.26,2.07M,-0.02%,2.513250788903432,2.1913500653250293,2.245169674038282
01/14/2021,61.0,60.78,61.2,60.76,3.05M,0.84%,2.6287968386466742,2.165290902397939,2.1730067634950654
01/14/2022,62.01,61.82,62.11,61.63,6.87M,-0.05%,1.8845550081632998,1.9930871314373435,2.11236058340584
01/14/2025,56.84,56.81,56.91,56.56,3.43M,0.58%,1.6742390060750083,1.9842479662428552,2.1198651774336827
01/15/2015,46.29,46.5,46.61,46.2,4.25M,0.63%,2.243719192187769,2.183916744185233,2.0493919741120914
01/15/2016,39.09,39.25,39.42,38.82,4.39M,-3.65%,2.0069647648632927,2.22186324136207,2.105184859110568
01/15/2019,47.45,47.32,47.55,47.22,2.42M,0.61%,2.560577929456165,2.5070839489530585,2.250375586414859
01/15/2020,54.3,54.33,54.42,54.26,7.66M,-0.24%,2.876033566268947,2.3890268260578438,2.2455660817306757
01/15/2021,60.13,60.33,60.43,59.82,2.44M,-1.43%,2.9017462379027927,2.271032074768522,2.270191620516569
01/15/2025,57.51,57.56,57.62,57.31,1.83M,1.18%,2.381119074615379,2.2190305475808167,2.177079759341088
01/16/2015,46.8,46.27,46.81,46.22,2.06M,1.10%,2.5543456209648525,2.3358253195132246,2.2345796309426094
01/16/2018,57.13,57.39,57.47,57.06,2.99M,-0.07%,2.582860990524554,2.532411120745938,2.3086853568278056
01/16/2019,47.69,47.56,47.76,47.56,4.08M,0.51%,2.786353032995432,2.6696096223250776,2.3092939029807344
01/16/2020,54.62,54.5,54.62,54.44,3.99M,0.59%,2.9006393695994697,2.747295309033379,2.333479861589146
01/16/2024,54.64,54.93,54.97,54.54,3.20M,-1.78%,2.881300333348969,2.5272063817121397,2.3322748889967766
01/16/2025,57.65,57.65,57.85,57.49,6.85M,0.24%,2.341702638158482,2.310448812740189,2.282411644601328
01/17/2017,45.69,45.7,45.72,45.59,2.44M,-0.17%,2.3623354969932007,2.434441673016554,2.4075086648291255
01/17/2018,57.56,57.36,57.74,57.23,2.48M,0.75%,2.7708953165725925,2.673901621559839,2.468777041182467
01/17/2019,47.84,47.37,48.0,47.37,2.81M,0.31%,2.9839966101480564,2.7748415736764453,2.5134170434044316
01/17/2020,54.78,54.73,54.81,54.64,3.45M,0.29%,3.192008728810444,2.8690323719205972,2.5011107752666963
01/17/2023,53.94,53.94,54.11,53.78,4.47M,0.06%,3.1778077841848518,2.6628483588461758,2.4518444220707614
01/17/2024,54.0,53.84,54.02,53.68,3.36M,-1.17%,2.601838730850121,2.4337164151048962,2.4173142558565863
01/17/2025,57.94,57.89,58.28,57.85,1.64M,0.50%,1.8593574112070745,2.2543703174658423,2.4291785936758505
01/18/2017,45.48,45.58,45.64,45.38,1.43M,-0.46%,2.14196493924455,2.450206008787049,2.537247811446069
01/18/2018,57.5,57.4,57.54,57.3,2.28M,-0.10%,2.74179768175543,2.8055589906724836,2.5998283523471537
01/18/2019,48.32,48.25,48.41,48.15,4.52M,1.00%,3.0395266686758644,2.9327759834951803,2.603624664500247
01/18/2022,61.1,61.27,61.42,60.97,6.34M,-1.47%,3.6073317429419967,2.9651742970142774,2.6583536259406513
01/18/2023,53.69,54.49,54.58,53.67,3.55M,-0.46%,3.7735919847290385,2.804538807526695,2.6686619501669764
01/18/2024,54.44,54.24,54.46,54.13,2.45M,0.81%,3.238609926436233,2.628590711244412,2.645206918988269
01/19/2016,39.44,39.79,39.83,39.16,5.51M,0.90%,3.2803629502247165,2.922468974598749,2.8271101878848452
01/19/2017,45.38,45.44,45.48,45.23,2.02M,-0.22%,3.3977520385021935,3.0414236560453904,2.7910754508192674
01/19/2018,57.75,57.76,57.77,57.57,1.84M,0.43%,3.436769781231612,3.3362513844469306,2.847697862145957
01/19/2021,60.7,60.83,60.84,60.52,2.90M,0.95%,3.240305097912515,3.3295644828045576,2.767636813799111
01/19/2022,61.15,61.48,61.56,61.1,7.28M,0.08%,3.244278822822087,3.0574831528373125,2.732298266585553
01/19/2023,53.79,53.62,53.9,53.48,2.58M,0.19%,2.3549092048174325,2.8968577796652,2.776918456764424
01/19/2024,54.73,54.41,54.73,54.22,2.75M,0.53%,2.263787942244738,2.741559624550669,2.7726980198651123
01/20/2015,46.85,46.88,47.04,46.69,1.92M,0.11%,1.3995206874231596,2.5032978907394514,2.714647827992021
01/20/2016,38.58,38.61,38.81,37.8,6.97M,-2.18%,1.4227427881850545,2.58317806669918,2.6334844186141364
01/20/2017,45.6,45.5,45.6,45.44,1.38M,0.48%,2.356357019682343,2.776076406043616,2.6415137958486583
01/20/2021,61.33,61.12,61.35,60.97,2.45M,1.04%,3.4984629850861424,2.8208625551726243,2.862367311156754
01/20/2022,60.98,61.55,61.87,60.92,7.16M,-0.28%,3.5136987895547143,2.786919916547881,2.8609608382995186
01/20/2023,54.35,53.82,54.35,53.7,3.09M,1.04%,3.4045299911139355,2.554633799259377,2.8975422545487044
01/21/2015,47.31,47.04,47.31,46.86,2.70M,0.98%,3.2214221818457465,2.6229148153424156,2.9334418500296504
01/21/2016,38.88,38.4,39.09,38.13,7.53M,0.78%,3.3504724102296812,2.7445307668389223,2.8993818791289647
01/21/2020,54.16,54.32,54.41,54.14,2.02M,-1.13%,3.67748066621738,3.4102117985745974,3.0809122801182243
01/21/2021,61.41,61.43,61.46,61.06,2.60M,0.13%,3.808908375357391,3.458015734944384,3.037472643182378
01/21/2022,60.11,60.87,60.87,60.1,8.49M,-1.43%,3.667569367642563,3.3367301938032448,2.9097812411327273
01/21/2025,58.91,58.59,58.92,58.51,2.43M,1.67%,3.42362932981035,3.1342274795721785,2.8691130351232514
01/22/2015,47.65,47.35,47.74,47.17,2.57M,0.72%,3.4815059527421623,3.280743229233546,2.965000179833632
01/22/2016,40.04,39.84,40.08,39.74,4.60M,2.98%,2.061874632937097,2.8367027651502394,2.8435407617559307
01/22/2018,58.08,57.81,58.1,57.77,3.64M,0.57%,4.087458798266072,3.725708994786269,3.209210768401394
01/22/2019,47.54,47.81,47.86,47.4,7.38M,-1.61%,4.320494332693443,3.811307920159053,3.1581125369031224
01/22/2020,54.33,54.45,54.48,54.27,2.27M,0.31%,4.473272720651432,3.777958204515416,3.191636526272044
01/22/2021,61.0,60.78,61.08,60.75,2.15M,-0.67%,4.115032024003897,3.5959894783793835,3.215719058616331
01/22/2024,54.69,54.69,54.87,54.6,3.11M,-0.07%,3.9280023922342386,3.174499451587837,3.206644568355828
01/22/2025,58.85,58.98,58.99,58.79,2.23M,-0.10%,2.303810004896836,3.1280012084304305,3.213159811722817
01/23/2015,47.37,47.51,47.65,47.36,2.25M,-0.59%,2.3763926473737746,3.2962031428304943,3.252894359436784
01/23/2017,45.73,45.62,45.78,45.53,2.02M,0.29%,2.05761235162376,3.2987795971066904,3.178041516622279
01/23/2018,58.3,58.16,58.34,58.09,2.24M,0.38%,2.8753301417820407,3.399651394133344,3.254758774756383
01/23/2019,47.78,47.92,47.96,47.55,2.23M,0.50%,3.0991228191844042,3.4350507201408957,3.1127481929219285
01/23/2020,54.13,53.97,54.18,53.73,2.45M,-0.37%,3.2244198972178224,2.643771298081016,3.145585336656926
01/23/2023,54.58,54.21,54.67,54.18,4.72M,0.42%,2.737662817610044,2.4311922642742165,3.113692728837606
01/23/2024,54.71,54.55,54.73,54.46,2.11M,0.04%,2.6860646121500547,2.3401864353779267,3.066191055116369
01/23/2025,59.19,58.9,59.2,58.82,1.81M,0.58%,1.8882970317344436,2.2937462182200443,2.976839428671262
01/24/2017,45.97,45.77,46.01,45.75,2.13M,0.52%,2.163923578948938,2.521976906886453,2.7966889126506738
01/24/2018,58.55,58.63,58.72,58.29,3.08M,0.43%,2.833824631731519,2.872116323804046,2.9227690670645496
01/24/2019,47.93,47.85,48.05,47.78,7.50M,0.31%,3.2138076099279456,2.8449015889560854,3.0017220227778294
01/24/2020,53.84,54.24,54.27,53.68,2.55M,-0.54%,3.3532745813091496,2.877394575364522,3.029013137534089
01/24/2022,59.44,59.08,59.47,57.93,13.54M,-1.11%,3.3846836510069345,2.5852803429338147,2.9466185308610413
01/24/2023,54.59,54.38,54.65,54.2,2.14M,0.02%,2.8523347596402453,2.419260827933005,2.893648000676306
01/24/2024,55.13,55.46,55.5,55.12,3.87M,0.77%,2.032080570091407,2.341805866670537,2.4312854544613045
01/24/2025,59.53,59.46,59.66,59.36,2.92M,0.57%,1.3296495680128444,2.3662773320358426,2.335408876623654
01/25/2016,39.41,39.71,39.86,39.41,3.99M,-1.57%,2.8394116327304513,2.971989222972346,2.61176535442986
01/25/2017,46.4,46.23,46.41,46.18,2.00M,0.94%,3.1164574060288173,3.0953876478915987,2.653329685278537
01/25/2018,58.34,58.7,58.74,58.23,2.28M,-0.36%,3.649624952353197,3.0892168244091422,2.772549576879021
01/25/2019,48.52,48.4,48.6,48.4,4.07M,1.23%,3.9415202392703423,2.9568905084141703,2.839988933974448
01/25/2021,61.05,60.85,61.06,60.38,2.77M,0.08%,4.347150088645135,3.0317343699293575,2.8696949703823944
01/25/2022,59.19,58.88,59.59,58.43,13.87M,-0.42%,3.020236926215599,3.0147843859058217,2.868514664488572
01/25/2023,54.82,54.36,54.85,54.25,2.17M,0.42%,3.1330982180946045,3.0194809447748154,2.736123024401814
01/25/2024,55.27,55.32,55.33,55.03,2.27M,0.25%,2.5282576345694094,2.9773595305852716,2.6407994600351032
01/26/2015,47.83,47.65,47.95,47.51,2.16M,0.97%,2.395750566774456,3.0751736937873897,2.661125289569096
01/26/2016,40.12,39.67,40.16,39.63,4.07M,1.80%,1.117842525371027,3.1450752639661217,2.7277491269950094
01/26/2017,46.25,46.35,46.37,46.2,1.80M,-0.32%,2.0120914807162342,2.6900602579880273,2.7818141520209934
01/26/2018,58.89,58.66,58.9,58.6,1.64M,0.94%,2.9525376410849207,2.8753766611659106,2.9294954521487684
01/26/2021,60.97,61.02,61.06,60.73,2.12M,-0.13%,2.947532503090525,2.604774539867285,2.789431993770377
