Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2015,39.56,39.95,39.96,39.47,17.84M,-1.15%,,,
01/02/2018,46.7,46.53,46.74,46.45,17.80M,1.72%,,,
01/02/2019,38.27,37.77,38.29,37.69,17.86M,0.45%,,,
01/02/2020,45.53,45.07,45.53,45.02,13.43M,2.38%,,,
01/02/2024,40.62,40.73,40.83,40.53,11.73M,-1.17%,,,
01/02/2025,43.92,43.99,44.15,43.84,9.02M,-0.27%,2.680620004730751,,
01/03/2017,36.17,36.18,36.39,36.03,18.71M,1.09%,2.6375482803275143,,
01/03/2018,47.15,46.96,47.2,46.95,17.90M,0.96%,3.181468513997178,,
01/03/2019,37.67,37.9,37.93,37.52,15.62M,-1.57%,3.366768345209185,,
01/03/2020,44.72,44.83,45.03,44.72,12.50M,-1.78%,3.5298866319954656,,
01/03/2022,49.81,49.67,49.86,49.38,13.98M,0.71%,3.5619440019365034,2.973880980715612,
01/03/2023,39.4,39.48,39.78,39.29,12.10M,1.08%,3.694638890073623,3.0953121126223047,
01/03/2024,40.5,40.36,40.61,40.29,9.68M,-0.30%,2.878787721227962,2.927119962471591,
01/03/2025,44.14,44.05,44.18,43.95,7.09M,0.50%,2.403763076884863,2.806334099367595,
01/04/2016,31.78,31.84,31.88,31.52,27.12M,-2.84%,2.868964265293748,3.125326877494574,
01/04/2017,36.5,36.39,36.58,36.36,19.17M,0.91%,3.0023998064076465,3.1955516227466823,
01/04/2018,47.44,47.38,47.57,47.37,13.00M,0.62%,3.393578682673145,3.3479364048037277,
01/04/2019,38.86,38.18,39.01,38.14,21.47M,3.16%,3.805738412206243,3.1922931475859255,
01/04/2021,50.34,50.9,51.09,50.21,24.11M,0.46%,4.305867004814317,3.2898602025158796,
01/04/2022,49.61,49.84,49.88,49.52,9.32M,-0.40%,3.2914232546983606,3.2079146620495473,
01/04/2023,40.42,39.95,40.46,39.74,13.97M,2.59%,3.848866467768324,3.335504420965134,3.092643592922537
01/04/2024,40.43,40.48,40.62,40.4,9.93M,-0.17%,3.105344384550671,3.1288271892897193,3.0335060029783945
01/05/2015,38.93,39.42,39.42,38.87,17.34M,-1.59%,2.777848766621988,3.1412826549461137,2.9557108671135657
01/05/2016,31.85,31.9,31.97,31.77,17.66M,0.22%,1.4625836970048904,3.2508259603814733,2.962450133737338
01/05/2017,36.88,36.75,36.93,36.73,11.92M,1.04%,2.267354583987212,2.9776591835932975,2.985824522945877
01/05/2018,47.86,47.56,47.9,47.53,12.10M,0.89%,2.935752657010066,3.22735362350888,3.1469743301555217
01/05/2021,51.51,50.76,51.51,50.76,15.24M,2.32%,2.9083295502045767,2.913487901982286,3.0614507029081035
01/05/2022,48.87,49.44,49.76,48.85,18.23M,-1.49%,2.940446394953556,2.7264532557613936,2.9043114086664334
01/05/2023,40.3,40.08,40.38,40.05,9.45M,-0.30%,2.9069596011544037,2.4845942674581374,2.8799716575140057
01/05/2024,40.49,40.5,40.72,40.44,8.94M,0.15%,2.786304730470108,2.4857768979933925,2.8106422068343413
01/06/2015,38.74,38.93,39.11,38.55,13.78M,-0.49%,1.462525789261644,2.299738163762585,2.78878683853157
01/06/2016,31.28,31.32,31.47,31.15,19.74M,-1.79%,1.385167489567451,2.5049733691227054,2.772866138984649
