Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2019,1063.16,"1,063.16","1,063.16","1,063.16",,0.00%,,,
01/02/2015,1148.53,"1,148.53","1,148.53","1,148.53",,-0.31%,,,
01/02/2018,1137.04,"1,137.04","1,137.04","1,137.04",,-0.01%,,,
01/02/2019,1063.16,"1,063.16","1,063.16","1,063.16",,0.00%,,,
01/02/2020,1174.05,"1,174.05","1,174.05","1,174.05",,0.09%,,,
01/02/2024,2969.10,"2,969.10","2,969.10","2,969.10",,0.71%,10.714780785440022,,
01/02/2025,3627.20,"3,627.20","3,627.20","3,627.20",,-0.37%,10.554952854752532,,
01/03/2017,673.55,673.55,673.55,673.55,,0.56%,13.457363352186555,,
01/03/2018,1158.54,"1,158.54","1,158.54","1,158.54",,1.89%,13.654059578598225,,
01/03/2019,1088.59,"1,088.59","1,088.59","1,088.59",,2.39%,13.890372516241037,,
01/03/2020,1206.82,"1,206.82","1,206.82","1,206.82",,2.79%,8.83843652095321,9.577928266743534,
01/03/2023,2111.98,"2,111.98","2,111.98","2,111.98",,3.83%,10.22778247922048,9.962310464405313,
01/03/2024,2987.40,"2,987.40","2,987.40","2,987.40",,0.62%,5.729811307333489,9.88160510152781,
01/03/2025,3703.40,"3,703.40","3,703.40","3,703.40",,2.10%,4.9270730501416065,9.69095291424734,
01/04/2016,652.87,652.87,652.87,652.87,,3.16%,9.348223757167437,11.264746354586968,
01/04/2017,682.63,682.63,682.63,682.63,,1.35%,9.371311244368995,8.62084800906074,
01/04/2018,1165.65,"1,165.65","1,165.65","1,165.65",,0.61%,9.19621039177339,9.171674077174819,
01/04/2019,1065.59,"1,065.59","1,065.59","1,065.59",,-2.11%,8.855217384735438,7.6824870155390785,
01/04/2021,1485.32,"1,485.32","1,485.32","1,485.32",,0.22%,9.162270003129251,7.227182739576206,
01/04/2022,2748.41,"2,748.41","2,748.41","2,748.41",,7.03%,6.436426560138182,7.8381461761486335,
01/04/2023,2100.06,"2,100.06","2,100.06","2,100.06",,-0.56%,7.57390110650923,8.206675654240328,8.688279989955504
01/04/2024,3054.26,"3,054.26","3,054.26","3,054.26",,2.24%,6.958566907687047,7.801890945918919,8.719324320965152
01/05/2015,1108.20,"1,108.20","1,108.20","1,108.20",,-3.51%,9.425170778627114,8.71065717484118,9.211184740205237
01/05/2016,633.96,633.96,633.96,633.96,,-2.90%,9.959127874397288,9.030213078799076,9.432343579928745
01/05/2017,684.69,684.69,684.69,684.69,,0.30%,6.828208130760276,7.695336575508249,9.435072869201004
01/05/2018,1169.78,"1,169.78","1,169.78","1,169.78",,0.35%,9.04145230497449,8.23004278583058,8.243753355352137
01/05/2021,1484.67,"1,484.67","1,484.67","1,484.67",,-0.04%,8.585108415993274,7.722941282977606,8.252448607646897
