Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2015,17832.99,"17,823.07","17,951.78","17,731.30",76.27M,0.06%,,,
01/02/2018,24824.01,"24,809.35","24,864.19","24,741.70",341.13M,0.42%,,,
01/02/2019,23346.24,"23,058.61","23,413.47","22,928.59",321.57M,0.08%,,,
01/02/2020,28868.80,"28,638.97","28,872.80","28,627.77",254.29M,1.16%,,,
01/02/2024,37715.04,"37,566.22","37,790.08","37,495.91",350.29M,0.07%,,,
01/02/2025,42392.27,"42,660.09","42,905.09","42,174.80",459.86M,-0.36%,2.7799318866139946,,
01/03/2017,19881.76,"19,872.86","19,938.53","19,775.93",339.18M,0.60%,5.321959932448049,,
01/03/2018,24922.68,"24,850.45","24,941.92","24,825.55",456.79M,0.40%,5.5056089959628665,,
01/03/2019,22686.22,"23,176.39","23,176.39","22,638.41",424.24M,-2.83%,5.399563973632513,,
01/03/2020,28634.88,"28,553.33","28,716.31","28,500.36",239.59M,-0.81%,5.255203985823501,,
01/03/2022,36585.06,"36,321.59","36,595.82","36,246.45",347.93M,0.68%,5.5797378348250435,4.3801833289111745,
01/03/2023,33136.37,"33,148.90","33,387.52","32,850.57",358.61M,-0.03%,3.102547899545342,4.202560706127081,
01/03/2024,37430.19,"37,629.23","37,629.23","37,401.85",329.14M,-0.76%,2.888556774837646,4.148007819515733,
01/03/2025,42732.13,"42,495.76","42,782.76","42,436.92",455.82M,0.80%,2.3654604016251275,4.079311823559718,
01/04/2016,17148.94,"17,405.48","17,405.48","16,957.63",148.06M,-1.58%,5.482452463125267,5.0702653731490175,
01/04/2017,19942.16,"19,890.94","19,956.14","19,878.83",280.01M,0.30%,5.1273548474712145,5.103213042622701,
01/04/2018,25075.13,"24,964.86","25,105.96","24,963.27",403.28M,0.61%,5.535289628552247,4.317738411323973,
01/04/2019,23433.16,"22,894.92","23,518.64","22,894.92",396.02M,3.29%,5.4615517562206595,4.234678858062122,
01/04/2021,30223.89,"30,627.47","30,674.28","29,881.82",476.73M,-1.25%,5.827552108649624,4.340590758081196,
01/04/2022,36799.65,"36,636.00","36,934.84","36,636.00",435.08M,0.59%,2.241107223179073,4.292559154616834,
01/04/2023,33269.77,"33,165.14","33,409.10","33,033.48",383.35M,0.40%,2.9512176214007533,4.199614826659367,4.2304403075004435
01/04/2024,37440.34,"37,425.28","37,716.41","37,425.28",380.22M,0.03%,2.704391427462995,4.155623020881032,4.068901216392718
01/05/2015,17501.65,"17,821.30","17,821.30","17,475.93",116.16M,-1.86%,5.263969939129787,5.060056150768468,4.572337954851848
01/05/2016,17158.66,"17,147.50","17,195.84","17,038.61",105.75M,0.06%,4.611932976542817,4.989171017114212,4.515491721152516
01/05/2017,19899.29,"19,924.56","19,948.60","19,811.12",269.92M,-0.21%,4.405452557681371,3.880814225132507,4.423765410659534
01/05/2018,25295.87,"25,114.92","25,299.79","25,112.01",358.02M,0.88%,5.012157957933511,4.005191635571763,4.5004200784285056
01/05/2021,30391.60,"30,204.25","30,504.89","30,141.78",350.91M,0.55%,5.1582377148260985,3.9375546664861036,4.023685772237988
01/05/2022,36407.11,"36,722.60","36,952.65","36,400.39",468.46M,-1.07%,1.734491612727192,3.933622299098828,3.9934279328069224
01/05/2023,32930.08,"33,191.72","33,191.72","32,812.33",342.66M,-1.02%,2.2443334291054513,3.8366738299249934,3.9963461573744863
01/05/2024,37466.11,"37,455.46","37,623.62","37,323.82",299.49M,0.07%,2.241880478703282,3.7550170982264746,3.9366329092839916
01/06/2015,17371.64,"17,504.18","17,581.05","17,262.37",101.87M,-0.74%,4.980375607761879,4.713452281668406,4.3592962147935275
01/06/2016,16906.51,"17,154.83","17,154.83","16,817.62",120.25M,-1.47%,4.592577527990096,4.6534646815695515,4.343888513287665
01/06/2017,19963.80,"19,906.96","19,999.63","19,834.08",277.70M,0.32%,4.532210766612306,3.7648528847079175,4.365409063222483
01/06/2020,28703.38,"28,465.50","28,708.02","28,418.63",261.81M,0.24%,5.7468433202553895,4.21167083840106,4.596516572614545
