Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2015,3139.44,"3,169.75","3,177.04","3,114.76",41.97M,-0.22%,,,
01/02/2017,3308.67,"3,278.84","3,314.06","3,272.76",20.23M,0.55%,,,
01/02/2018,3490.19,"3,506.50","3,508.37","3,469.23",35.38M,-0.39%,,,
01/02/2019,2993.18,"2,982.80","3,002.52","2,936.76",33.66M,-0.27%,,,
01/02/2020,3793.24,"3,754.24","3,801.13","3,754.24",29.92M,1.28%,,,
01/02/2023,3856.09,"3,802.51","3,860.74","3,802.51",19.04M,1.65%,2.31941518003832,,
01/02/2024,4512.81,"4,528.45","4,568.80","4,484.82",26.47M,-0.20%,2.4736985965255003,,
01/02/2025,4917.88,"4,890.54","4,917.88","4,845.89",19.06M,0.45%,2.469691458291157,,
01/03/2017,3315.02,"3,316.53","3,334.44","3,310.46",40.09M,0.19%,3.5981596630159025,,
01/03/2018,3509.88,"3,492.90","3,519.73","3,488.91",34.35M,0.56%,3.0431914563660643,,
01/03/2019,2954.66,"2,978.28","2,984.52","2,950.82",36.17M,-1.29%,3.236848802582557,2.7442440704262894,
01/03/2020,3773.37,"3,787.57","3,787.57","3,745.54",30.34M,-0.52%,3.7132269747436943,3.0583780534834686,
01/03/2022,4331.82,"4,303.94","4,348.66","4,303.94",25.84M,0.78%,3.8345106462037184,3.114110980603834,
01/03/2023,3882.29,"3,852.07","3,921.37","3,852.07",33.16M,0.68%,2.8406249435385873,3.056213996045423,
01/03/2024,4448.13,"4,514.20","4,515.70","4,433.14",26.38M,-1.43%,2.9339624140699594,2.862308584611953,
01/03/2025,4871.45,"4,915.54","4,917.34","4,861.12",17.72M,-0.94%,2.1957751287336644,2.8777229238946,
01/04/2016,3164.76,"3,266.01","3,266.01","3,147.88",57.98M,-3.14%,3.412683637708697,3.36219167956914,
01/04/2017,3317.52,"3,316.78","3,325.50","3,302.99",40.42M,0.08%,3.181838815275486,3.3332295997596355,
01/04/2018,3568.88,"3,520.84","3,580.47","3,520.84",44.99M,1.68%,3.185495569522088,2.8664545136595616,
01/04/2019,3041.85,"2,964.15","3,050.66","2,964.15",44.43M,2.95%,3.034165085784146,2.980692651406893,
01/04/2021,3564.39,"3,565.68","3,609.91","3,548.31",31.52M,0.33%,3.310441638158088,2.9410419302748627,2.7775300149498996
01/04/2022,4367.62,"4,346.45","4,390.59","4,342.25",32.59M,0.83%,2.2766230034350894,2.8317173386577736,2.8686205642002833
01/04/2023,3973.97,"3,891.04","3,975.50","3,891.04",39.91M,2.36%,2.570849479720655,2.8080452096337396,2.8985180671464894
01/04/2024,4474.01,"4,451.72","4,476.72","4,443.42",28.08M,0.58%,2.6300023107678,2.7908928408291094,2.8507914103838754
01/05/2015,3023.14,"3,126.81","3,150.09","3,020.79",77.46M,-3.70%,3.6117072481376944,3.2108065806902717,2.9870535467810813
01/05/2016,3178.01,"3,173.15","3,195.79","3,136.32",41.43M,0.42%,3.3907649611505746,3.175194728402268,2.9909948370672415
01/05/2017,3316.47,"3,306.31","3,323.16","3,300.77",36.25M,-0.03%,2.8189054197689583,2.5954382470758213,2.9337011608955144
01/05/2018,3607.63,"3,570.51","3,608.70","3,570.51",36.51M,1.09%,2.8965596327900576,2.6158601098703933,2.9329357191348495
01/05/2021,3547.85,"3,554.24","3,574.98","3,524.63",31.90M,-0.46%,2.6641008856542947,2.6036817657747537,2.6666844635057196
01/05/2022,4392.15,"4,368.78","4,395.78","4,367.03",29.74M,0.56%,1.5162982706116073,2.657778573329339,2.776479159949672
01/05/2023,3959.48,"3,967.01","3,974.61","3,950.42",26.93M,-0.36%,1.9967744516617807,2.660914982704871,2.731363491701847
01/05/2024,4463.51,"4,458.74","4,474.88","4,418.08",28.78M,-0.23%,2.064849980235911,2.493670795961857,2.60032844466819
01/06/2015,3007.91,"3,033.44","3,061.19","2,998.53",67.02M,-0.50%,3.4416132069637384,3.0005536888836617,2.8314627911234838
01/06/2016,3139.32,"3,170.64","3,172.55","3,110.79",52.91M,-1.22%,3.4665805765380995,2.9244365888087676,2.8088208183185537
01/06/2017,3321.17,"3,311.35","3,322.60","3,299.66",28.74M,0.14%,2.860285782493655,2.380116287803109,2.7679911335257192
01/06/2020,3752.52,"3,764.34","3,764.34","3,710.94",28.34M,-0.55%,3.016908795567754,2.440232222380698,2.786185926882118
01/06/2021,3611.08,"3,559.81","3,620.57","3,547.45",50.98M,1.78%,2.821921299703278,2.46037517742165,2.4614524036178262
01/06/2022,4324.81,"4,372.45","4,372.45","4,304.54",32.68M,-1.53%,1.419238118900035,2.602142877603195,2.5406351309378503
01/06/2023,4017.83,"3,959.96","4,017.85","3,951.93",28.23M,1.47%,1.7823839772544798,2.644311946372731,2.556425718715156
01/06/2025,4986.64,"4,893.32","4,986.64","4,893.19",27.33M,2.36%,2.2198595453734318,2.651422097546221,2.5916975184014706
01/07/2015,3026.79,"3,019.47","3,055.87","3,002.78",67.36M,0.63%,4.026466952372788,3.3580250142184176,2.9571206619682044
01/07/2016,3084.68,"3,130.46","3,130.46","3,027.57",77.27M,-1.74%,4.024349040069758,3.2835604109533336,2.8470458226831843
01/07/2019,3033.64,"3,050.00","3,054.72","3,016.32",33.79M,-0.27%,3.6249830847461206,2.789855088183096,2.8279684863526473
01/07/2020,3759.25,"3,760.09","3,784.42","3,748.13",29.85M,0.18%,4.11546671920856,3.0062191350825316,2.9198893057640483
01/07/2021,3622.42,"3,621.16","3,635.64","3,604.13",36.86M,0.31%,3.607720121419131,3.024774099825592,2.649524238508028
01/07/2022,4305.83,"4,331.07","4,335.72","4,279.71",31.69M,-0.44%,2.003528651535783,3.094224106488656,2.7124003625611017
01/07/2025,5011.82,"4,987.38","5,030.83","4,969.30",23.98M,0.50%,1.995561038751158,3.130399872186147,2.7532155549443997
01/08/2015,3135.08,"3,051.26","3,139.92","3,051.26",76.46M,3.58%,4.005647401792609,3.663634547660084,3.1062509585561004
01/08/2016,3033.47,"3,087.42","3,114.45","3,033.47",59.48M,-1.66%,3.579961820804195,3.6489574324190612,3.108813534948479
01/08/2018,3616.45,"3,610.97","3,624.74","3,608.82",29.13M,0.24%,3.8630730062544,3.5656885183180385,3.068857333504093
01/08/2019,3054.94,"3,032.07","3,079.11","3,032.07",40.11M,0.70%,3.728912206323454,2.9953375262316073,3.102085079040546
01/08/2020,3772.56,"3,752.87","3,775.43","3,732.90",34.99M,0.35%,3.9990434206387153,3.185791465049399,3.1795711332482637
01/08/2021,3645.05,"3,632.14","3,657.83","3,630.71",33.36M,0.62%,2.6320031082325217,3.1955860749137774,2.924849798033667
01/08/2024,4485.48,"4,461.80","4,487.26","4,438.49",21.90M,0.49%,2.8242598606953266,3.180697652145992,3.0121623951062726
01/08/2025,4996.39,"5,013.34","5,036.24","4,966.44",25.78M,-0.31%,2.704459590637079,3.172010474788034,3.0237946701530394
01/09/2015,3042.90,"3,128.42","3,128.42","3,021.23",123.51M,-2.94%,4.128467415539418,3.7575518669069727,3.3645549023527592
