Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2015,4726.81,"4,760.24","4,777.01","4,698.11",367.74M,-0.20%,,,
01/02/2018,7006.90,"6,937.65","7,006.91","6,924.08",462.20M,1.50%,,,
01/02/2019,6665.94,"6,506.91","6,693.71","6,506.88",581.37M,0.46%,,,
01/02/2020,9092.19,"9,039.46","9,093.43","9,010.89",654.95M,1.33%,,,
01/02/2024,14765.94,"14,873.70","14,887.80","14,682.38",1.08B,-1.63%,,,
01/02/2025,19280.79,"19,403.90","19,517.87","19,117.59",1.30B,-0.16%,3.997048400977668,,
01/03/2017,5429.08,"5,425.62","5,452.56","5,397.99",450.68M,0.85%,8.242495719851938,,
01/03/2018,7065.53,"7,017.07","7,069.15","7,016.70",483.92M,0.84%,8.205047030957312,,
01/03/2019,6463.50,"6,584.77","6,600.21","6,457.13",667.44M,-3.04%,8.174119089182085,,
01/03/2020,9020.77,"8,976.43","9,065.76","8,976.43",618.55M,-0.79%,7.3450022025682005,,
01/03/2022,15832.80,"15,732.50","15,832.80","15,644.09",871.65M,1.20%,8.898567869648096,6.749288968821199,
01/03/2023,10386.99,"10,562.06","10,613.06","10,309.16",983.36M,-0.76%,6.799600177439992,7.171720373352901,
01/03/2024,14592.21,"14,641.47","14,694.58","14,577.44",1.06B,-1.18%,6.930759829473428,7.172512461742857,
01/03/2025,19621.68,"19,395.51","19,638.66","19,379.57",1.31B,1.77%,6.366376294647221,7.1608220852668225,
01/04/2016,4903.09,"4,897.65","4,903.09","4,846.98",569.79M,-2.08%,9.721827708894,8.130723996741194,
01/04/2017,5477.01,"5,440.91","5,482.35","5,440.24",455.34M,0.88%,7.805344831414375,8.026163573725569,
01/04/2018,7077.91,"7,089.50","7,098.05","7,072.38",493.87M,0.18%,7.57624662483086,6.864126125359292,
01/04/2019,6738.86,"6,567.14","6,760.69","6,554.24",688.19M,4.26%,7.021303265715471,6.8626357528463044,
01/04/2021,12698.45,"12,958.52","12,958.73","12,543.24",1.27B,-1.47%,9.381634899099264,7.764120250353171,
01/04/2022,15622.72,"15,852.14","15,852.14","15,512.41",970.70M,-1.33%,5.616916543892873,7.694614594934328,
01/04/2023,10458.76,"10,467.82","10,515.22","10,337.64",1.04B,0.69%,7.189917641469473,7.380357590504349,7.001736584508073
01/04/2024,14510.30,"14,532.23","14,632.77","14,504.78",1.04B,-0.56%,7.293018543407783,7.112019808137638,6.951461055313795
01/05/2015,4652.57,"4,700.34","4,702.77","4,641.46",476.45M,-1.57%,9.74552396535711,8.057703039549889,7.531743047864837
01/05/2016,4891.43,"4,917.84","4,926.73","4,872.74",428.07M,-0.24%,6.888875364227069,7.8847493666825414,7.480419521731906
01/05/2017,5487.94,"5,474.39","5,495.85","5,464.36",423.64M,0.20%,6.631289639492048,6.629128293944345,7.228153166141321
01/05/2018,7136.56,"7,105.74","7,137.04","7,097.08",476.41M,0.83%,6.700962364632719,6.703734586530514,7.22597819024711
01/05/2021,12818.96,"12,665.65","12,828.27","12,665.65",1.21B,0.95%,8.450558616249138,7.494884083025046,6.998534213649006
