"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2025","17.7745","17.5855","17.8041","17.5870","","1.00%"
"07/06/2025","17.5981","17.6050","17.6181","17.5726","","0.13%"
"07/04/2025","17.5750","17.5101","17.6452","17.4794","","0.35%"
"07/03/2025","17.5137","17.5726","17.6551","17.4832","","-0.32%"
"07/02/2025","17.5693","17.6037","17.7202","17.5526","","-0.19%"
"07/01/2025","17.6031","17.7375","17.7675","17.5682","","-0.83%"
"06/30/2025","17.7500","17.7932","17.8250","17.6857","","-0.20%"
"06/29/2025","17.7850","17.7714","17.8310","17.7548","","-0.27%"
"06/27/2025","17.8328","17.8537","17.9436","17.7137","","-0.10%"
"06/26/2025","17.8507","17.7625","17.8811","17.5761","","0.55%"
"06/25/2025","17.7537","17.7631","17.8466","17.6819","","-0.08%"
"06/24/2025","17.7679","17.8850","17.8850","17.6606","","-0.57%"
"06/23/2025","17.8695","18.0150","18.1533","17.8535","","-0.81%"
"06/20/2025","18.0150","18.0271","18.1122","17.9501","","-0.07%"
"06/19/2025","18.0284","17.9813","18.1575","17.9813","","0.26%"
"06/18/2025","17.9813","18.0263","18.1484","17.9102","","-0.24%"
"06/17/2025","18.0254","17.8158","18.0430","17.7625","","1.21%"
"06/16/2025","17.8106","17.9313","17.9843","17.7255","","-0.67%"
"06/13/2025","17.9313","17.7932","18.0782","17.7488","","0.70%"
"06/12/2025","17.8063","17.7324","17.9213","17.6776","","0.40%"
"06/11/2025","17.7356","17.7043","17.8041","17.6635","","0.20%"
"06/10/2025","17.7010","17.7201","17.8049","17.6585","","-0.15%"
"06/09/2025","17.7284","17.7794","17.8018","17.6938","","-0.31%"
"06/06/2025","17.7838","17.7451","17.8083","17.7028","","0.16%"
"06/05/2025","17.7550","17.8400","17.8663","17.6854","","-0.48%"
"06/04/2025","17.8400","17.8631","17.8926","17.7629","","-0.12%"
"06/03/2025","17.8623","17.8750","17.9400","17.8116","","-0.18%"
"06/02/2025","17.8938","17.9737","17.9955","17.8402","","-0.57%"
"05/30/2025","17.9972","17.8066","18.0743","17.7728","","1.07%"
"05/29/2025","17.8066","17.9513","18.0187","17.7551","","-0.69%"
"05/28/2025","17.9310","17.9493","18.0220","17.8602","","-0.10%"
"05/27/2025","17.9491","17.8640","17.9632","17.8317","","0.48%"
"05/26/2025","17.8640","17.8455","17.8918","17.7960","","0.00%"
"05/23/2025","17.8634","18.0294","18.0314","17.8066","","-0.87%"
"05/22/2025","18.0202","17.9679","18.0706","17.9158","","0.31%"
"05/21/2025","17.9641","17.9249","17.9797","17.8530","","0.18%"
"05/20/2025","17.9310","18.0921","18.1193","17.9042","","-0.86%"
"05/19/2025","18.0861","18.0472","18.0972","17.9803","","0.28%"
"05/16/2025","18.0362","18.0345","18.1429","17.9894","","0.07%"
"05/15/2025","18.0230","18.2743","18.2933","17.9969","","-1.38%"
"05/14/2025","18.2745","18.3102","18.3778","18.1846","","-0.20%"
"05/13/2025","18.3105","18.2509","18.4766","18.2160","","0.25%"
"05/12/2025","18.2640","18.2209","18.3467","18.0887","","0.39%"
"05/09/2025","18.1938","18.2080","18.3066","18.1523","","-0.05%"
"05/08/2025","18.2022","18.2676","18.3453","18.0836","","-0.38%"
"05/07/2025","18.2711","18.2138","18.3476","18.1681","","0.36%"
"05/06/2025","18.2052","18.2692","18.3190","18.1399","","-0.37%"
"05/05/2025","18.2732","18.3926","18.4361","18.2324","","-0.70%"
"05/02/2025","18.4022","18.5604","18.6577","18.3481","","-0.86%"
