"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2025","0.6063","0.6068","0.6083","0.6050","","-0.13%"
"07/03/2025","0.6071","0.6083","0.6094","0.6029","","-0.33%"
"07/02/2025","0.6091","0.6093","0.6108","0.6050","","-0.13%"
"07/01/2025","0.6099","0.6085","0.6122","0.6075","","0.05%"
"06/30/2025","0.6096","0.6045","0.6100","0.6035","","0.54%"
"06/29/2025","0.6063","0.6054","0.6068","0.6053","","0.10%"
"06/27/2025","0.6057","0.6052","0.6080","0.6037","","-0.02%"
"06/26/2025","0.6058","0.6037","0.6076","0.6029","","0.30%"
"06/25/2025","0.6040","0.6006","0.6043","0.6003","","0.55%"
"06/24/2025","0.6007","0.5979","0.6042","0.5966","","0.50%"
"06/23/2025","0.5977","0.5961","0.5981","0.5882","","0.25%"
"06/20/2025","0.5962","0.5992","0.6011","0.5961","","-0.53%"
"06/19/2025","0.5994","0.6028","0.6036","0.5959","","-0.58%"
"06/18/2025","0.6029","0.6024","0.6059","0.6009","","0.23%"
"06/17/2025","0.6015","0.6061","0.6081","0.6010","","-0.78%"
"06/16/2025","0.6062","0.6026","0.6089","0.6002","","0.85%"
"06/13/2025","0.6011","0.6070","0.6071","0.5995","","-0.97%"
"06/12/2025","0.6070","0.6030","0.6073","0.6006","","0.66%"
"06/11/2025","0.6030","0.6051","0.6067","0.6022","","-0.38%"
"06/10/2025","0.6053","0.6048","0.6060","0.6027","","0.10%"
"06/09/2025","0.6047","0.6018","0.6067","0.6008","","0.53%"
"06/06/2025","0.6015","0.6035","0.6052","0.6006","","-0.33%"
"06/05/2025","0.6035","0.6027","0.6082","0.6024","","0.12%"
"06/04/2025","0.6028","0.6002","0.6041","0.5991","","0.50%"
"06/03/2025","0.5998","0.6035","0.6056","0.5987","","-0.61%"
"06/02/2025","0.6035","0.5978","0.6044","0.5955","","1.24%"
"05/30/2025","0.5961","0.5962","0.6002","0.5947","","-0.10%"
"05/29/2025","0.5967","0.5968","0.5994","0.5924","","-0.02%"
"05/28/2025","0.5968","0.5957","0.5981","0.5923","","0.34%"
"05/27/2025","0.5948","0.6000","0.6007","0.5940","","-0.87%"
"05/26/2025","0.6000","0.5982","0.6033","0.5966","","0.17%"
"05/23/2025","0.5990","0.5906","0.5991","0.5895","","1.54%"
"05/22/2025","0.5899","0.5943","0.5955","0.5894","","-0.69%"
"05/21/2025","0.5940","0.5926","0.5969","0.5917","","0.24%"
"05/20/2025","0.5926","0.5931","0.5934","0.5894","","-0.08%"
"05/19/2025","0.5931","0.5881","0.5934","0.5870","","0.83%"
"05/16/2025","0.5882","0.5872","0.5920","0.5865","","0.07%"
"05/15/2025","0.5878","0.5900","0.5917","0.5860","","-0.37%"
"05/14/2025","0.5900","0.5938","0.5970","0.5893","","-0.66%"
"05/13/2025","0.5939","0.5857","0.5943","0.5847","","1.42%"
"05/12/2025","0.5856","0.5913","0.5942","0.5846","","-0.90%"
"05/09/2025","0.5909","0.5905","0.5921","0.5870","","0.07%"
"05/08/2025","0.5905","0.5954","0.5976","0.5901","","-0.61%"
"05/07/2025","0.5941","0.6010","0.6024","0.5935","","-1.13%"
"05/06/2025","0.6009","0.5973","0.6015","0.5943","","0.69%"
"05/05/2025","0.5968","0.5940","0.5997","0.5934","","0.34%"
"05/02/2025","0.5948","0.5911","0.5979","0.5903","","0.69%"
"05/01/2025","0.5907","0.5938","0.5953","0.5893","","-0.47%"
"04/30/2025","0.5935","0.5931","0.5951","0.5898","","0.05%"
"04/29/2025","0.5932","0.5979","0.5988","0.5927","","-0.79%"
"04/28/2025","0.5979","0.5950","0.5986","0.5928","","0.29%"
"04/25/2025","0.5962","0.5997","0.6002","0.5948","","-0.58%"
"04/24/2025","0.5997","0.5946","0.6002","0.5941","","0.86%"
"04/23/2025","0.5946","0.5970","0.6015","0.5936","","-0.35%"
"04/22/2025","0.5967","0.5991","0.6030","0.5964","","-0.53%"
"04/21/2025","0.5999","0.5938","0.6021","0.5920","","1.04%"
"04/18/2025","0.5937","0.5972","0.5976","0.5925","","-0.60%"
"04/17/2025","0.5973","0.5934","0.5979","0.5900","","0.66%"
"04/16/2025","0.5934","0.5899","0.5938","0.5886","","0.61%"
"04/15/2025","0.5898","0.5868","0.5945","0.5861","","0.39%"
"04/14/2025","0.5875","0.5825","0.5893","0.5813","","0.88%"
"04/11/2025","0.5824","0.5739","0.5841","0.5735","","1.53%"
"04/10/2025","0.5736","0.5644","0.5767","0.5627","","1.63%"
"04/09/2025","0.5644","0.5525","0.5669","0.5485","","2.01%"
"04/08/2025","0.5533","0.5530","0.5627","0.5520","","-0.02%"
"04/07/2025","0.5534","0.5599","0.5652","0.5506","","-1.09%"
"04/04/2025","0.5595","0.5796","0.5808","0.5551","","-3.42%"
"04/03/2025","0.5793","0.5737","0.5854","0.5680","","0.80%"
"04/02/2025","0.5747","0.5705","0.5780","0.5697","","0.82%"
"04/01/2025","0.5700","0.5678","0.5706","0.5663","","0.39%"
"03/31/2025","0.5678","0.5730","0.5739","0.5648","","-0.61%"
"03/28/2025","0.5713","0.5740","0.5746","0.5711","","-0.47%"
"03/27/2025","0.5740","0.5730","0.5757","0.5712","","0.19%"
"03/26/2025","0.5729","0.5733","0.5764","0.5713","","-0.03%"
"03/25/2025","0.5731","0.5729","0.5752","0.5710","","0.07%"
"03/24/2025","0.5727","0.5739","0.5757","0.5709","","-0.07%"
"03/21/2025","0.5731","0.5757","0.5769","0.5724","","-0.43%"
"03/20/2025","0.5756","0.5817","0.5827","0.5722","","-0.98%"
"03/19/2025","0.5813","0.5820","0.5821","0.5775","","-0.09%"
"03/18/2025","0.5818","0.5821","0.5833","0.5798","","-0.03%"
"03/17/2025","0.5820","0.5743","0.5827","0.5729","","1.32%"
"03/14/2025","0.5744","0.5698","0.5757","0.5693","","0.84%"
"03/13/2025","0.5696","0.5720","0.5743","0.5681","","-0.56%"
"03/12/2025","0.5728","0.5716","0.5740","0.5698","","0.25%"
"03/11/2025","0.5714","0.5699","0.5728","0.5677","","0.30%"
"03/10/2025","0.5697","0.5716","0.5744","0.5689","","-0.14%"
"03/07/2025","0.5705","0.5740","0.5742","0.5692","","-0.52%"
"03/06/2025","0.5735","0.5727","0.5760","0.5720","","0.16%"
"03/05/2025","0.5726","0.5665","0.5733","0.5637","","1.08%"
"03/04/2025","0.5665","0.5617","0.5667","0.5595","","0.89%"
"03/03/2025","0.5615","0.5604","0.5640","0.5593","","0.32%"
"02/28/2025","0.5597","0.5636","0.5638","0.5585","","-0.57%"
"02/27/2025","0.5629","0.5696","0.5703","0.5629","","-1.14%"
"02/26/2025","0.5694","0.5719","0.5734","0.5688","","-0.54%"
"02/25/2025","0.5725","0.5733","0.5740","0.5706","","-0.14%"
"02/24/2025","0.5733","0.5746","0.5774","0.5729","","-0.12%"
"02/21/2025","0.5740","0.5765","0.5774","0.5735","","-0.38%"
"02/20/2025","0.5762","0.5705","0.5769","0.5693","","1.02%"
"02/19/2025","0.5704","0.5705","0.5733","0.5677","","0.09%"
"02/18/2025","0.5699","0.5736","0.5740","0.5693","","-0.65%"
"02/17/2025","0.5736","0.5721","0.5752","0.5706","","0.12%"
"02/14/2025","0.5729","0.5678","0.5739","0.5665","","0.92%"
"02/13/2025","0.5677","0.5643","0.5680","0.5623","","0.66%"
"02/12/2025","0.5640","0.5656","0.5673","0.5599","","-0.25%"
"02/11/2025","0.5654","0.5640","0.5662","0.5628","","0.23%"
"02/10/2025","0.5641","0.5659","0.5669","0.5634","","-0.34%"
