Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2015,91.383,90.81,91.49,90.8,44.83K,0.81%,,,
01/02/2018,91.573,91.895,91.93,91.47,19.62K,-0.28%,,,
01/02/2019,96.423,95.69,96.56,95.375,32.14K,0.72%,,,
01/02/2020,96.525,96.14,96.56,96.1,17.44K,0.49%,,,
01/02/2024,101.891,101.065,101.94,101.03,14.74K,0.85%,,,
01/02/2025,109.209,108.33,109.365,108.085,26.89K,0.84%,0.5219251775377601,,
01/03/2017,103.146,102.795,103.75,102.6,0.27K,0.87%,0.8311861350123871,,
01/03/2018,91.896,91.56,91.99,91.535,17.21K,0.35%,1.202887026888572,,
01/03/2019,95.878,96.35,96.37,95.775,31.52K,-0.57%,1.2574231347997253,,
01/03/2020,96.521,96.44,96.795,96.395,12.64K,0.00%,1.169069889927929,,
01/03/2022,96.211,95.6,96.33,95.6,16.79K,0.65%,0.943752747198492,0.8781039852158219,
01/03/2023,104.312,103.445,104.65,103.235,32.36K,1.01%,1.1453368970069282,0.9593411067360862,
01/03/2024,102.195,101.845,102.42,101.77,11.86K,0.30%,0.6632332216977459,0.9481368355005049,
01/03/2025,108.798,108.995,109.05,108.74,17.96K,-0.38%,0.7207674972766906,0.98891724057338,
01/04/2016,99.066,98.92,99.36,98.24,0.18K,0.23%,1.1064085132088655,1.0811037739515388,
01/04/2017,102.649,103.37,103.37,102.32,0.23K,-0.48%,1.1183827161995488,1.0276412917706388,
01/04/2018,91.581,91.965,92.0,91.52,15.73K,-0.34%,1.198341965997892,1.1292278546151164,
01/04/2019,95.75,95.795,96.2,95.615,29.01K,-0.13%,1.2960532598491907,1.0076077333970361,
01/04/2021,89.845,89.87,89.925,89.39,28.26K,-0.05%,1.1371950299131026,1.0360795304147612,
01/04/2022,96.274,96.195,96.475,96.04,12.98K,0.07%,1.2264850570365036,1.1046383542899376,
01/04/2023,104.021,104.375,104.385,103.595,22.70K,-0.28%,1.3502589199113224,1.1715144815456369,1.0081083229923427
01/04/2024,102.135,102.165,102.245,101.865,10.80K,-0.06%,0.9729867154865435,1.1013663182415214,1.012346464790003
