Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,1.5544,1.5578,1.5581,1.5545,,-0.19%,,,
01/01/2016,1.4743,1.4736,1.4751,1.4735,,0.03%,,,
01/01/2018,1.3501,1.3514,1.3523,1.3493,,-0.08%,,,
01/01/2019,1.2751,1.2761,1.2765,1.2725,,-0.05%,,,
01/01/2020,1.3254,1.3261,1.3276,1.3237,,-0.04%,,,
01/01/2021,1.3671,1.3672,1.3683,1.3672,,-0.01%,0.8868571926340896,,
01/01/2024,1.2723,1.2731,1.2752,1.2713,,-0.05%,0.9295760231577318,,
01/01/2025,1.2517,1.2519,1.2534,1.2511,,0.05%,0.7824437238716918,,
01/02/2015,1.5325,1.5584,1.5587,1.5326,,-1.41%,1.7596236005977057,,
01/02/2017,1.2275,1.2345,1.2357,1.2272,,-0.49%,2.4570995891716585,,
01/02/2018,1.3586,1.3508,1.3602,1.3501,,0.63%,2.5839280926218096,1.8425699958054917,
01/02/2019,1.2607,1.2742,1.2776,1.2581,,-1.13%,2.5892027546118026,1.8591490949256588,
01/02/2020,1.3144,1.3255,1.3268,1.3115,,-0.83%,2.5871283829318954,1.8249664023089829,
01/02/2023,1.2045,1.2098,1.21,1.2034,,-0.43%,1.8880812527466058,1.8554628431253017,
01/02/2024,1.2614,1.273,1.2761,1.261,,-0.86%,1.311465157833622,1.8604547725927554,
01/02/2025,1.238,1.2516,1.2542,1.2352,,-1.09%,0.9769401869371723,1.8546229728471304,
01/03/2017,1.2237,1.2276,1.231,1.2199,,-0.31%,0.8474842149232084,1.8197818180625993,
01/03/2018,1.3514,1.3589,1.3614,1.3496,,-0.53%,1.1309750604918014,1.8854728905341724,
01/03/2019,1.2631,1.2605,1.2649,1.2439,,0.19%,1.0421057530335511,1.5028085148413672,
01/03/2020,1.3086,1.3138,1.3162,1.3054,,-0.44%,1.020506236552942,1.107845394859634,
01/03/2022,1.3471,1.3531,1.3543,1.343,,-0.43%,0.9954721754325345,0.9760260548599174,1.4366385809460918
01/03/2023,1.1966,1.2046,1.2087,1.19,,-0.66%,1.3700378585309478,1.0743417175785865,1.4787293868679923
01/03/2024,1.2662,1.2619,1.2678,1.2614,,0.38%,1.169926875941435,1.0955237676103984,1.4654828603311258
01/03/2025,1.242,1.2374,1.2436,1.2374,,0.32%,1.0761602233934113,1.0043045400180848,1.4525349120142315
01/04/2016,1.4715,1.4753,1.4816,1.4663,,-0.19%,1.7250322559418991,1.3459329983698611,1.5867558347897321
01/04/2017,1.2317,1.2237,1.2354,1.2219,,0.65%,2.1941091202465413,1.6241616214439518,1.6979572139881651
01/04/2018,1.3551,1.3515,1.3562,1.3505,,0.27%,2.089463868764861,1.6893594554843683,1.7124232798459593
01/04/2019,1.2726,1.2629,1.2746,1.2616,,0.75%,2.1658334949924534,1.6488353256503436,1.7283092110605767
01/04/2021,1.3569,1.3665,1.3705,1.3541,,-0.75%,2.1822249207235433,1.6376613744620123,1.545400361296179
01/04/2022,1.3532,1.3474,1.3559,1.3458,,0.45%,1.6644195261452648,1.6333020884397238,1.3583122352328318
01/04/2023,1.2053,1.1968,1.2089,1.1954,,0.73%,1.3765292297125717,1.7283714340030434,1.3671653485082806
01/04/2024,1.2679,1.2664,1.2731,1.2656,,0.13%,1.181191251706766,1.6403815735462168,1.3542076749733294
01/05/2015,1.5248,1.5333,1.5338,1.52,,-0.50%,1.7990719964779662,1.8976821847751624,1.52360839808379
01/05/2016,1.4671,1.4716,1.4727,1.4637,,-0.30%,1.860516327853016,1.9121676026069094,1.493982291914752
01/05/2017,1.2413,1.2323,1.2434,1.2269,,0.78%,2.2503917382989447,1.8661581854828737,1.6014664632280162
01/05/2018,1.3568,1.3552,1.3583,1.3523,,0.13%,2.139697185942381,1.7177692806067157,1.6293816903376055
01/05/2021,1.3624,1.3572,1.3643,1.3554,,0.41%,2.13738359530256,1.6506605128360567,1.6276354668586102
01/05/2022,1.3554,1.3534,1.36,1.3522,,0.16%,1.4161426086485345,1.6113015156562998,1.5897287963028763
01/05/2023,1.1906,1.2053,1.2079,1.1873,,-1.22%,1.5961848856030096,1.703907080817372,1.6345871762275306
01/05/2024,1.2716,1.2682,1.2772,1.261,,0.29%,1.3238133132819996,1.7463909748154416,1.6473059469437041
01/06/2015,1.515,1.525,1.5275,1.5141,,-0.64%,1.8160321412069094,1.8712506335846353,1.7762073803309102
01/06/2016,1.4626,1.4676,1.4684,1.4602,,-0.31%,1.8673216981337928,1.8921965862290746,1.7254585563743352
01/06/2017,1.228,1.2419,1.2433,1.2259,,-1.07%,2.277345107547984,1.789249999589254,1.8255087789219642
01/06/2020,1.3167,1.3075,1.3176,1.3064,,0.62%,2.0950733422681087,1.8357998030148346,1.8384562707074492
01/06/2021,1.3607,1.3626,1.3672,1.3539,,-0.12%,2.0669371388912436,1.6398085730593095,1.7215897555280204
01/06/2022,1.3528,1.3556,1.3561,1.3489,,-0.19%,1.4083087150327147,1.580488283577647,1.6089250258591945
01/06/2023,1.2092,1.1914,1.2101,1.184,,1.56%,1.5432865754323115,1.6747145645535642,1.6214248529240185
01/06/2025,1.2517,1.2422,1.2553,1.2414,,0.78%,1.0855367288830602,1.6880299311606652,1.6099909000644206
01/07/2015,1.5109,1.5152,1.5158,1.5055,,-0.27%,1.7955814404417938,1.8400527229241763,1.7533891725829525
