Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,0.7797,0.7803,0.7817,0.7783,,0.00%,,,
01/01/2016,0.6846,0.6838,0.6849,0.6838,,0.31%,,,
01/01/2018,0.7104,0.7087,0.7106,0.7085,,0.25%,,,
01/01/2019,0.6715,0.6719,0.6725,0.6707,,-0.03%,,,
01/01/2020,0.6722,0.6739,0.6741,0.6714,,-0.21%,,,
01/01/2021,0.7197,0.7189,0.7199,0.718,,0.17%,1.2137240441517214,,
01/01/2024,0.6324,0.6325,0.6326,0.6308,,0.02%,1.2099571885930847,,
01/01/2025,0.5595,0.5594,0.561,0.5593,,0.04%,1.288374565485834,,
01/02/2015,0.7702,0.78,0.7803,0.7689,,-1.22%,3.232412103062976,,
01/02/2017,0.6917,0.6941,0.696,0.691,,-0.35%,3.39390975033014,,
01/02/2018,0.7103,0.7106,0.7132,0.7082,,-0.01%,3.36829609013191,2.397113100822726,
01/02/2019,0.6652,0.6717,0.6727,0.6652,,-0.94%,3.2458702775226906,2.331026441666365,
01/02/2020,0.67,0.6723,0.674,0.6684,,-0.33%,3.022205417250282,2.3242958796345836,
01/02/2023,0.6314,0.635,0.6355,0.6314,,-0.54%,0.8465573672932691,2.326310027717228,
01/02/2024,0.6252,0.6324,0.6329,0.6248,,-1.14%,0.6323672468982491,2.3271106348968527,
01/02/2025,0.5594,0.5599,0.5626,0.5587,,-0.02%,0.7139893187745847,2.34752888904193,
01/03/2017,0.6915,0.6924,0.6976,0.6885,,-0.03%,2.0896249686777817,2.5750346798485273,
01/03/2018,0.709,0.7107,0.7112,0.7072,,-0.18%,2.089797123012682,2.4635368279189955,
01/03/2019,0.6691,0.6655,0.6701,0.659,,0.59%,2.086782144979184,1.5722357909638476,
01/03/2020,0.6663,0.6705,0.6706,0.6644,,-0.55%,2.082424801561746,1.4862322219051356,
01/03/2022,0.6784,0.6826,0.6858,0.6774,,-0.59%,1.7803907829754009,1.4824330897446918,1.9398118553875068
01/03/2023,0.6249,0.6317,0.6363,0.62,,-1.03%,0.733341420437501,1.5024507582488467,1.9098449490953902
01/03/2024,0.6247,0.6255,0.6278,0.6219,,-0.08%,0.6536568721601339,1.501559830913748,1.90506539015645
01/03/2025,0.5611,0.5595,0.5615,0.5591,,0.30%,0.845711216316572,1.561538568852525,1.9300440874867177
01/04/2016,0.6749,0.6833,0.6858,0.6719,,-1.42%,1.9070676342372723,1.8847915719549668,2.063518387011173
01/04/2017,0.6969,0.6918,0.6978,0.689,,0.78%,1.914654014618054,1.7646714738094214,2.052429875371562
01/04/2018,0.7153,0.7092,0.7164,0.7073,,0.89%,1.7418454757056105,1.3305335858275413,1.9976547572108183
01/04/2019,0.6729,0.6694,0.6753,0.6672,,0.57%,1.8571018733335356,1.3641740254020522,1.9595383728731717
01/04/2021,0.7173,0.7196,0.7232,0.7152,,-0.33%,1.5130918286247215,1.366218991207499,1.4428028738785208
01/04/2022,0.6812,0.6794,0.6826,0.6764,,0.41%,0.8735538933633442,1.3990183074983975,1.4055413037703508
01/04/2023,0.6293,0.6262,0.6354,0.6239,,0.70%,0.9771905601354606,1.4542624333200147,1.4294480457640637
01/04/2024,0.6234,0.6252,0.6286,0.6221,,-0.21%,0.9034248386107259,1.3945797314676305,1.4115865093711888
01/05/2015,0.7684,0.7692,0.7721,0.7619,,-0.23%,1.9697600565352984,1.8077566385236365,1.635283508196862
01/05/2016,0.67,0.6752,0.6759,0.6676,,-0.73%,2.2270820928361883,1.863793189742527,1.6928959312993026
01/05/2017,0.7023,0.6971,0.7039,0.6953,,0.77%,2.2141051613353624,1.5891666142566834,1.6973141045363669
01/05/2018,0.7167,0.7154,0.7188,0.7145,,0.20%,2.0691891035385495,1.5851345032943729,1.6409276859017303
01/05/2021,0.7252,0.7172,0.7261,0.7167,,1.10%,2.0473130611147217,1.581839971570053,1.4226295784840022
01/05/2022,0.6792,0.6811,0.6839,0.6789,,-0.29%,1.1460221399013542,1.586740722284318,1.4413940850285238
01/05/2023,0.6228,0.6294,0.6311,0.6211,,-1.03%,0.9027424912091995,1.6031019033656235,1.4586615447890245
01/05/2024,0.6239,0.6234,0.6279,0.6181,,0.08%,0.7512802698005395,1.5874114131673887,1.4585765454093862
01/06/2015,0.7758,0.7687,0.7812,0.7682,,0.96%,2.0681387434071126,1.952389445494708,1.6948616569397499
01/06/2016,0.6635,0.6705,0.6709,0.6625,,-0.97%,2.390808666793897,2.1337414993537713,1.7566116507257703
01/06/2017,0.6955,0.7025,0.7045,0.6952,,-0.97%,2.362485395478505,1.7752818042935412,1.7618309947016866
01/06/2020,0.6671,0.6666,0.6682,0.6644,,0.12%,2.271493158014228,1.6552765694918192,1.722956964283054
01/06/2021,0.7289,0.7248,0.7317,0.7235,,0.51%,2.3128057045279684,1.7027016139547166,1.6029902401698866
01/06/2022,0.6745,0.6794,0.6799,0.6733,,-0.69%,1.511215631497315,1.750450543772173,1.626581517298009
