Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,1.1615,1.1622,1.1624,1.1611,,-0.03%,,,
01/01/2016,1.3848,1.3841,1.3871,1.3836,,0.07%,,,
01/01/2018,1.2542,1.2579,1.2582,1.2543,,-0.28%,,,
01/01/2019,1.3637,1.3636,1.3647,1.3634,,0.00%,,,
01/01/2020,1.2986,1.2986,1.3001,1.2979,,0.00%,,,
01/01/2021,1.2727,1.2734,1.2739,1.2723,,-0.02%,1.8339984069869897,,
01/01/2024,1.3236,1.3247,1.3254,1.3234,,-0.07%,1.1378887902465167,,
01/01/2025,1.4385,1.4383,1.4389,1.4379,,0.03%,0.9768377303284473,,
01/02/2015,1.1783,1.1613,1.1787,1.1598,,1.45%,1.6182132642116225,,
01/02/2017,1.3437,1.3436,1.3455,1.3388,,0.05%,1.961569696407895,,
01/02/2018,1.251,1.2542,1.256,1.2498,,-0.26%,2.0430934336658044,1.8380077705928286,
01/02/2019,1.3577,1.3636,1.3664,1.3566,,-0.44%,2.118056267336053,1.6111538680900364,
01/02/2020,1.2978,1.2986,1.3009,1.2967,,-0.06%,2.030908924182168,1.5447909620931466,
01/02/2023,1.3572,1.3551,1.3586,1.3524,,0.17%,1.3922189919967205,1.4983132463748743,
01/02/2024,1.3322,1.3239,1.3335,1.3228,,0.65%,1.0169202513748865,1.4772354610120644,
01/02/2025,1.44,1.4386,1.4444,1.4368,,0.10%,0.9302730517011253,1.5128546439230155,
01/03/2017,1.3427,1.3443,1.3462,1.3398,,-0.07%,0.9879180855848994,1.5619936614630516,
01/03/2018,1.2531,1.2512,1.2555,1.2498,,0.17%,1.0608986760236667,1.5291779293577041,
01/03/2019,1.3487,1.3577,1.3656,1.3467,,-0.66%,1.1698256689514739,1.2393297491904898,
01/03/2020,1.2999,1.298,1.3009,1.2959,,0.16%,1.194834578095526,1.0462185762522191,
01/03/2022,1.2741,1.2634,1.278,1.263,,0.85%,0.9371696038883193,0.9845602931958161,1.437346726841477
01/03/2023,1.3669,1.3573,1.3686,1.3523,,0.71%,1.0392197913545,0.9572062984492438,1.2898155046862563
01/03/2024,1.3353,1.3324,1.3373,1.3317,,0.23%,0.8832680392324408,0.9342237696450933,1.2428125328132493
01/03/2025,1.4447,1.44,1.4465,1.4383,,0.33%,0.9088571246729329,0.9947385780887305,1.2382907342528098
01/04/2016,1.3951,1.3839,1.3985,1.3814,,0.74%,0.902347213874485,1.0096718449511228,1.2314944381534338
01/04/2017,1.33,1.3431,1.3459,1.3282,,-0.95%,0.9848255365266175,0.947287436078253,1.2427062348818687
01/04/2018,1.2485,1.2534,1.2557,1.2482,,-0.37%,0.9037607675746713,0.9363646624427185,1.2569760860650947
01/04/2019,1.3372,1.3488,1.3498,1.3371,,-0.85%,1.0896930440995856,0.9403853401554213,1.2437301234439688
01/04/2021,1.2777,1.2725,1.2799,1.2663,,0.39%,0.849696926704257,0.8891087632354537,1.0626905513491252
01/04/2022,1.2706,1.2746,1.2767,1.2666,,-0.27%,0.85038523777789,0.8711909702814948,0.9370207989772744
01/04/2023,1.3476,1.3671,1.3682,1.3474,,-1.41%,0.9525758664921011,0.9148356745443488,0.9254440675192664
01/04/2024,1.3347,1.3359,1.3367,1.3316,,-0.04%,0.7851440300355856,0.8394545088093369,0.8766938020120773
01/05/2015,1.1762,1.178,1.182,1.1741,,-0.18%,1.038020418364995,1.02608396747024,0.9629444660624376
01/05/2016,1.3995,1.3951,1.4021,1.3895,,0.32%,1.7963866490923657,1.3806495655956461,1.1729504419409422
01/05/2017,1.3223,1.3302,1.3315,1.3192,,-0.58%,1.8792216892551827,1.399026113446184,1.189420233127877
01/05/2018,1.2407,1.2486,1.2515,1.2353,,-0.62%,1.8862441068855516,1.4144315242368768,1.171859977292919
01/05/2021,1.267,1.2777,1.2793,1.2654,,-0.84%,1.9003794335617474,1.3802871694013286,1.1510965326026963
01/05/2022,1.2752,1.2707,1.2767,1.2691,,0.36%,1.6141917631314389,1.3306079405407927,1.1242335823958027
01/05/2023,1.3569,1.3478,1.3596,1.3469,,0.69%,0.8445157904957687,1.3444062181160752,1.1144859297229726
01/05/2024,1.3362,1.3349,1.34,1.3287,,0.11%,0.7357828118535858,1.348251556446582,1.1072878181834065
01/06/2015,1.1835,1.1763,1.1841,1.173,,0.62%,1.0530781360948265,1.4404986251449265,1.182036712386828
01/06/2016,1.4071,1.3994,1.411,1.3971,,0.54%,1.7705127334799984,1.750755127359376,1.3396844442728164
01/06/2017,1.3235,1.3225,1.327,1.3177,,0.09%,1.8749667008095299,1.6505287097775239,1.3557769037911602
01/06/2020,1.2963,1.2984,1.2992,1.2958,,-0.28%,1.824793812079941,1.3405157851881209,1.3249802428406694
01/06/2021,1.2674,1.2666,1.2724,1.2628,,0.03%,1.8281824659615802,1.3157071844866248,1.3217986106733441
01/06/2022,1.273,1.2757,1.2815,1.2706,,-0.17%,1.5574884378327967,1.2718139693559483,1.3111154646200098
01/06/2023,1.3442,1.3575,1.3666,1.3432,,-0.94%,0.6756373628388916,1.295676108723084,1.3033656566895004
01/06/2025,1.4329,1.4447,1.4454,1.4279,,-0.82%,0.6653745498540302,1.3267510873073416,1.3001772756934455
01/07/2015,1.1812,1.1836,1.1875,1.1811,,-0.19%,1.5437708589030348,1.5957607249558636,1.4438568293182348
01/07/2016,1.4113,1.4073,1.4172,1.4048,,0.30%,2.130862155983525,1.8940337252571644,1.600374481232404
01/07/2019,1.3296,1.3376,1.3391,1.3276,,-0.57%,2.2203566959635856,1.8081481160640458,1.6059253186496587
01/07/2020,1.3003,1.2962,1.3031,1.2954,,0.31%,2.202343759433418,1.537788926996824,1.6079364146263704
01/07/2021,1.2687,1.2677,1.2735,1.2661,,0.10%,2.1265767903599655,1.512038102646199,1.5465234570598865
01/07/2022,1.2644,1.2733,1.2733,1.2632,,-0.68%,1.6045528513777256,1.5080063151487335,1.3895643728462774
01/07/2025,1.4367,1.4335,1.4373,1.4297,,0.27%,1.1996629074825964,1.6419165901718509,1.4560804803086163
01/08/2015,1.1829,1.1813,1.1845,1.1794,,0.14%,1.7612858108459588,1.9115190220163232,1.5809467059945348
01/08/2016,1.4168,1.4114,1.4179,1.4057,,0.39%,2.3292181905136187,2.147158762205339,1.7264085788766745
01/08/2018,1.2419,1.2415,1.2451,1.2377,,0.10%,2.5589473182177507,2.2265794508017476,1.7914421016538682
01/08/2019,1.3272,1.3298,1.3323,1.3265,,-0.18%,2.5930339799685242,2.0330502418652308,1.7935468062021853
01/08/2020,1.3037,1.3004,1.3045,1.2974,,0.26%,2.381811346790561,1.7829535978731201,1.793932823047629
01/08/2021,1.2683,1.2691,1.2744,1.2656,,-0.03%,1.9145301938741057,1.7626689654914827,1.743196137105139
01/08/2024,1.3345,1.3347,1.3406,1.3344,,-0.13%,1.2111074121117555,1.7750868319822053,1.6192882038440344
01/08/2025,1.4372,1.4366,1.4411,1.4339,,0.03%,0.7831324932801235,1.795796811665911,1.6227323124959026
01/09/2015,1.1866,1.1828,1.1891,1.1804,,0.31%,1.556974258370126,2.041985820617224,1.7470911128527513
01/09/2017,1.3214,1.3238,1.3279,1.3196,,-0.16%,1.8161108667525288,2.002812811522588,1.7887405138053032
