Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,0.9939,0.9944,0.995,0.9935,,-0.02%,,,
01/01/2016,1.001,1.0014,1.0021,1.0013,,-0.08%,,,
01/01/2018,0.9743,0.9745,0.9745,0.9743,,0.00%,,,
01/01/2019,0.9814,0.9817,0.982,0.9816,,0.00%,,,
01/01/2020,0.9677,0.9681,0.9685,0.9675,,-0.01%,,,
01/01/2021,0.8851,0.8851,0.8851,0.8851,,0.00%,0.6048587220333056,,
01/01/2024,0.8412,0.8417,0.8417,0.8413,,-0.04%,0.563501963488721,,
01/01/2025,0.9071,0.9074,0.9074,0.9071,,-0.01%,0.9827464706157165,,
01/02/2015,1.0011,0.994,1.0016,0.9932,,0.72%,1.294479115972658,,
01/02/2017,1.0234,1.0204,1.0246,1.0169,,0.55%,1.2837194539293906,,
01/02/2018,0.9714,0.9744,0.975,0.9699,,-0.30%,1.1297008784561817,0.9272082024832686,
01/02/2019,0.99,0.9816,0.9921,0.9796,,0.88%,0.9512666854566791,0.9320234837631256,
01/02/2020,0.9712,0.968,0.9734,0.9668,,0.36%,0.9191895953111884,0.926549841609493,
01/02/2023,0.925,0.9245,0.9262,0.9231,,0.06%,0.5564291082206406,0.9568790302863427,
01/02/2024,0.8499,0.8412,0.8508,0.84,,1.03%,0.6006057268895412,1.0324354896006396,
01/02/2025,0.9122,0.9064,0.9139,0.9039,,0.56%,0.9506014109260479,1.0196734539757077,
01/03/2017,1.0269,1.0236,1.0338,1.0207,,0.34%,1.3718558327861825,1.1312866677603475,
01/03/2018,0.9769,0.9716,0.9799,0.9711,,0.57%,1.4268504398441315,1.1350867003220382,
01/03/2019,0.9864,0.9902,0.9906,0.9846,,-0.36%,1.3515762063885708,1.0082787263050401,
01/03/2020,0.9725,0.9713,0.9745,0.9687,,0.13%,1.1108005283064866,1.002590702066394,
01/03/2022,0.9191,0.9115,0.9201,0.9109,,0.76%,1.1618350180093264,1.0082200153648466,0.9430407996872859
01/03/2023,0.9358,0.9253,0.94,0.9229,,1.17%,0.5262841223133773,1.0076099971188464,0.9453089843549509
