Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,1832.34,"1,832.34","1,832.34","1,832.34",,0.00%,,,
01/01/2018,2022.89,"2,022.89","2,022.89","2,022.89",,0.00%,,,
01/01/2019,1943.96,"1,943.96","1,943.96","1,943.96",,0.00%,,,
01/01/2021,1876.38,"1,876.38","1,876.38","1,876.38",,0.00%,,,
01/01/2024,1799.86,"1,799.86","1,799.86","1,799.86",,0.00%,,,
01/02/2015,1755.11,"1,819.16","1,819.16","1,748.07",,-4.21%,0.9905867629864159,,
01/02/2017,1653.93,"1,662.51","1,662.51","1,635.29",,-1.07%,0.1891473424949057,,
01/02/2018,2094.61,"2,046.33","2,097.83","2,045.82",,3.55%,2.1803057257054372,,
01/02/2019,2045.90,"1,940.36","2,064.91","1,931.14",,5.24%,2.1629979262610854,,
01/02/2020,2428.71,"2,380.63","2,432.04","2,380.63",,2.35%,2.33163464209105,,
01/02/2023,1415.98,"1,439.27","1,439.62","1,388.47",,-2.93%,4.225040029468574,2.8931124474940204,
01/02/2024,1766.23,"1,789.93","1,790.44","1,753.01",,-1.87%,4.545856278072738,3.1284105297747753,
01/02/2025,1178.09,"1,170.72","1,189.45","1,160.61",,0.13%,4.752697262720005,3.565358712017589,
01/03/2017,1715.60,"1,649.99","1,717.07","1,649.76",,3.73%,6.071663075951994,4.2970993508204325,
01/03/2018,2104.70,"2,101.32","2,124.25","2,091.34",,0.48%,6.1432443666770045,4.389503194631379,
01/03/2019,2089.17,"2,059.16","2,090.20","2,049.06",,2.11%,4.7762261859738,4.381709517378696,
01/03/2020,2404.74,"2,407.85","2,421.59","2,385.36",,-0.99%,4.65942371632971,4.357228845400765,
01/03/2022,1403.41,"1,429.77","1,448.26","1,398.86",,-2.19%,5.157334333749295,4.840634229089058,
01/03/2023,1358.63,"1,396.97","1,400.77","1,338.16",,-4.05%,3.948762638843644,4.842350999237876,
01/03/2024,1765.80,"1,755.91","1,779.51","1,752.49",,-0.02%,4.25281761227364,4.990765443607587,
01/03/2025,1171.83,"1,178.11","1,185.78","1,166.28",,-0.53%,4.879196016378567,4.80728375143185,3.8712303040753806
01/04/2016,985.21,"1,013.98","1,014.75",984.56,,-4.92%,4.4880285327147655,4.71457005746017,3.898074476773838
01/04/2017,1725.16,"1,722.99","1,732.54","1,713.03",,0.56%,6.821797635630594,5.704395872613386,4.725833325033037
01/04/2018,2139.48,"2,121.94","2,153.43","2,121.62",,1.65%,6.751784075739187,5.415287584325527,4.772414621823629
01/04/2019,2115.71,"2,095.70","2,135.63","2,066.44",,1.27%,6.704305083985876,5.355920695802812,4.766177386154803
01/04/2021,1871.73,"1,898.45","1,916.23","1,837.32",,-0.25%,5.9449659285047245,5.41423626192512,4.795842265823933
01/04/2022,1399.84,"1,395.04","1,412.20","1,384.02",,-0.25%,6.268295709313945,5.553258156776302,4.900058046283227
01/04/2023,1356.51,"1,345.50","1,368.54","1,334.24",,-0.16%,2.860553112175743,5.065845814306465,4.827852452082963
01/04/2024,1747.10,"1,769.33","1,769.82","1,743.80",,-1.06%,3.1539390920166492,5.199559735109081,4.915362583944511
01/05/2015,1703.03,"1,746.74","1,746.74","1,696.59",,-2.97%,3.151808108762076,5.046650449320068,4.886965799172593
01/05/2016,997.58,989.43,"1,003.41",988.38,,1.26%,4.214070091383588,5.219207456520377,4.883666168569374
01/05/2017,1746.81,"1,734.40","1,762.16","1,723.94",,1.25%,6.8990570981241275,6.214705661214227,5.477200767020987
01/05/2018,2145.68,"2,127.99","2,150.63","2,113.36",,0.29%,6.801403830791154,5.194298847843712,5.314532040313065
01/05/2021,1846.81,"1,826.01","1,868.48","1,792.34",,-1.33%,6.990803995627352,5.187020216798378,5.17329139239101
01/05/2022,1372.91,"1,396.02","1,405.63","1,355.51",,-1.92%,7.391958322613453,5.381480868783656,5.238128268735655
01/05/2023,1400.92,"1,375.05","1,414.94","1,369.54",,3.27%,6.294685930516959,5.340649131289423,5.236732549061867
01/05/2024,1772.90,"1,744.88","1,781.75","1,732.80",,1.48%,3.5981677404799144,5.241741781142631,5.288198073853488
01/06/2015,1734.74,"1,706.12","1,735.03","1,703.02",,1.86%,3.106426483643878,5.2369340319260465,5.022436554861684
01/06/2016,984.07,995.18,997.14,975.39,,-1.35%,4.262309621732553,5.630571804754632,5.30534878574417
01/06/2017,1734.32,"1,749.13","1,750.38","1,720.41",,-0.72%,6.961739278302822,6.806655802584901,5.841585378867648
01/06/2020,2383.07,"2,397.81","2,397.81","2,366.39",,-0.90%,7.098193033563466,6.350930850724432,5.752966663423756
01/06/2021,1839.85,"1,851.18","1,894.99","1,827.73",,-0.38%,7.61140278008198,5.640764989831279,5.797614779381981
01/06/2022,1371.64,"1,363.99","1,380.74","1,363.81",,-0.09%,7.997949384963476,5.750408233999969,5.353340747055499
01/06/2023,1457.24,"1,415.32","1,466.12","1,414.86",,4.02%,6.823880797426545,5.693650402081207,5.300980281640109
01/06/2025,1192.28,"1,179.80","1,201.09","1,179.57",,1.75%,4.224119212752546,5.600170081390675,5.3522982786099975
01/07/2015,1786.75,"1,742.28","1,802.23","1,742.28",,3.00%,5.020876252794866,6.057220291467958,5.58501714782993
01/07/2016,956.34,977.62,977.78,950.69,,-2.82%,5.84987370111997,6.536373907914004,5.785343118618535
01/07/2019,2115.77,"2,121.33","2,149.11","2,097.89",,0.00%,10.401890374730469,8.877734850385641,7.113768602056868
01/07/2020,2356.39,"2,362.47","2,376.98","2,340.32",,-1.12%,10.35752767674558,8.304924934971105,7.0802464289895815
01/07/2021,1883.16,"1,842.91","1,883.16","1,842.14",,2.35%,10.406546948428606,7.838851585022007,7.146434394322269
