Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2018,603.73,603.73,603.73,603.73,,0.00%,,,
01/01/2019,489.77,489.77,489.77,489.77,,0.00%,,,
01/01/2021,782.99,782.99,782.99,782.99,,0.00%,,,
01/01/2024,424.93,424.93,424.93,424.93,,0.00%,,,
01/02/2017,391.86,391.86,391.86,391.86,,0.00%,,,
01/02/2018,624.0,603.62,624.32,603.62,,3.36%,7.5987517810696,,
01/02/2019,478.79,489.58,489.58,475.72,,-2.24%,7.707209034544872,,
01/02/2020,619.18,604.58,619.23,604.58,,2.40%,6.6572591079866745,,
01/02/2024,419.36,424.85,428.17,418.85,,-1.31%,6.089166624362122,,
01/02/2025,496.61,507.26,507.26,495.83,,-2.14%,6.025158694728058,,
01/03/2017,393.58,391.67,393.94,389.17,,0.44%,4.383160934363372,5.982278097022355,
01/03/2018,627.38,623.85,629.89,623.85,,0.54%,5.947006203584629,6.492925958981418,
01/03/2019,472.25,478.76,481.34,471.95,,-1.37%,6.12321485698585,6.0332080481886985,
01/03/2020,616.02,619.73,623.59,615.62,,-0.51%,5.639422089173172,5.568549725199865,
01/03/2022,609.01,613.07,616.32,607.24,,-0.64%,5.6821203272250775,5.522939684863742,
01/03/2023,488.43,478.27,489.7,469.78,,2.07%,5.651563005306395,4.920917037498713,
01/03/2024,418.57,419.39,419.39,415.47,,-0.19%,3.5155673394238005,4.813616108165284,
01/03/2025,497.6,497.88,502.45,494.98,,0.20%,3.4061039042927925,4.677077515529792,
01/04/2016,374.8,388.35,388.35,374.4,,-3.49%,2.7798307996721348,4.537384544572347,
01/04/2017,395.43,393.56,395.59,392.81,,0.47%,2.9225824959314974,4.453450803114763,
01/04/2018,632.89,627.29,634.5,627.24,,0.88%,5.260963743269817,5.147552724679792,5.462789761227205
01/04/2019,485.65,472.43,486.71,469.33,,2.84%,5.5429333461107575,4.513139837322455,5.490796325094902
01/04/2021,785.1,782.84,789.7,780.63,,0.27%,6.796351361718795,5.184123854666819,5.514771477708415
01/04/2022,603.07,611.39,612.51,602.27,,-0.98%,6.740859945932402,5.271020651270856,5.291859224503943
01/04/2023,505.19,488.52,505.43,488.26,,3.43%,7.122937557833165,5.3655938739697815,5.330219448577837
01/04/2024,418.33,418.9,420.47,416.2,,-0.06%,5.818290963066417,5.33683779596374,4.997078169437181
01/05/2016,372.76,374.87,377.33,369.67,,-0.54%,5.618295964544951,5.309050715095813,4.93248270427992
01/05/2017,403.57,396.17,403.79,396.13,,2.06%,1.9144733126240363,5.246883378593662,4.837827815978172
01/05/2018,637.46,632.76,637.47,630.47,,0.72%,5.025528479642886,5.691235119855716,5.05262257560682
01/05/2021,802.9,785.16,803.17,780.33,,2.27%,4.82382933870866,5.7357234469130045,5.0837215322543035
01/05/2022,587.59,602.96,603.3,587.32,,-2.57%,5.232099238467256,5.356413073869879,5.131366827543139
01/05/2023,514.64,505.41,520.79,505.41,,1.87%,5.2729760969182315,5.230109661357234,4.7657292536458655
01/05/2024,413.55,417.35,419.36,412.21,,-1.14%,5.7049674388452365,4.252365543436077,4.730204448119599
01/06/2016,369.81,372.77,372.88,369.13,,-0.79%,3.239828956184085,4.1337193623251896,4.637261482464193
01/06/2017,403.49,403.55,405.9,402.65,,-0.02%,2.138112668170023,4.0876580325340335,4.645523333034263
01/06/2020,612.34,615.68,615.68,609.64,,-0.60%,4.592293023779362,4.680501995354263,4.899538161161309
01/06/2021,797.75,803.0,809.79,797.18,,-0.64%,4.651407513748395,4.689470208419483,4.922132991307608
01/06/2022,592.07,587.24,592.97,582.09,,0.76%,4.928266391956325,5.050509819640768,5.03587548972087
01/06/2023,514.79,514.85,521.49,511.69,,0.03%,4.999046534974365,4.282788639553213,4.961381285956592
01/06/2025,495.85,498.14,499.36,493.87,,-0.35%,5.102234701720924,4.049026718227108,4.97224982478712
01/07/2016,354.18,369.67,369.67,353.61,,-4.23%,3.7639103064773387,4.079879035848208,4.658827606035184
01/07/2019,492.58,486.25,493.13,486.25,,1.43%,4.337970817176831,4.516392241122364,4.7582785369272695
01/07/2020,616.44,612.17,617.51,612.17,,0.67%,4.410613316167966,4.449813423778102,4.326316345720834
01/07/2021,795.22,798.13,798.13,789.04,,-0.32%,4.409748017403746,4.446401813202409,4.320366692973514
01/07/2022,602.46,592.12,604.02,592.12,,1.75%,5.068414059464482,4.794539273903511,4.380484003320044
01/07/2025,488.29,495.91,495.95,483.84,,-1.52%,4.659635481689269,4.27279983390186,4.392285292301593
01/08/2016,356.15,354.25,359.58,353.82,,0.56%,4.419673019461005,4.137140839257236,4.501604556705255
01/08/2018,642.25,637.55,642.79,637.55,,0.75%,7.389667866230273,5.747146707089239,5.268756571703235
01/08/2019,494.02,492.49,494.51,489.84,,0.29%,7.3739741054524375,5.8601784503112135,5.005721909477349
01/08/2020,612.7,615.8,615.8,610.58,,-0.61%,7.277079984814059,5.912751682199107,4.994359898938982
01/08/2021,813.03,795.43,813.03,795.41,,2.24%,7.034063241731236,5.658699025591636,4.973917977288603
01/08/2024,405.65,413.51,413.8,404.26,,-1.91%,8.0659348687465,6.275942482766463,5.323802374169146
01/08/2025,483.47,488.43,489.19,479.19,,-0.99%,5.643852479990071,6.228726315475352,5.274884232273748
01/09/2017,404.62,403.48,405.39,402.97,,0.28%,5.483503823912521,6.137785607885164,5.302306926335447
01/09/2018,644.55,642.18,645.04,641.14,,0.36%,6.795135905183355,6.639498691471163,5.636511411703661
01/09/2019,506.76,494.05,507.41,494.05,,2.58%,6.68830270752686,6.66814239361985,5.479043791723191
01/09/2020,624.21,612.84,625.06,612.84,,1.88%,5.2204680330854005,6.405296383549437,5.440112003065142
01/09/2023,526.98,515.07,527.81,515.07,,2.37%,5.526706850684836,5.284768846661734,5.377745222900751
01/09/2024,403.74,405.51,409.2,403.07,,-0.47%,5.724693837743565,5.289052986320444,5.434678098353484
01/09/2025,483.29,483.49,487.52,482.05,,-0.04%,3.6467736708576775,5.245610961717222,5.454317035959923
01/10/2017,408.76,404.62,409.43,404.5,,1.02%,3.483598041786125,5.027562986797592,5.365747522503662
01/10/2018,643.07,644.51,648.72,640.93,,-0.23%,5.382649367592272,5.046554118728877,5.551664171658543
01/10/2019,508.93,506.63,509.77,503.95,,0.43%,5.518316662670797,5.2104513447782255,5.589186898732905
01/10/2020,626.45,624.32,627.8,623.24,,0.36%,5.060697437411505,5.141482743580753,5.558560923335773
