Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,806.74,806.74,806.74,806.74,,0.00%,,,
01/01/2019,549.31,549.31,549.31,549.31,,0.00%,,,
01/01/2021,533.25,533.25,533.25,533.25,,0.00%,,,
01/01/2024,403.06,403.06,403.06,403.06,,0.00%,,,
01/02/2015,792.03,800.72,801.15,788.98,,-1.82%,,,
01/02/2017,557.95,556.94,558.69,555.25,,-0.50%,8.621160450845666,,
01/02/2018,651.43,646.12,652.56,642.79,,2.07%,8.1086057007503,,
01/02/2019,554.31,546.84,556.36,543.1,,0.91%,8.283558074341384,,
01/02/2020,697.8,695.12,698.07,690.61,,0.87%,7.763383847755939,,
01/02/2023,389.35,389.99,394.43,388.12,,-1.21%,4.746969807293515,,
01/02/2024,412.0,402.07,412.64,398.92,,2.22%,4.446374487494509,6.47411686939939,
01/02/2025,407.26,402.41,410.34,402.4,,0.79%,4.138298815923331,6.2331975829956425,
01/03/2017,566.53,563.88,567.37,562.51,,1.54%,5.056834614192989,6.477808464281528,
01/03/2018,659.49,658.45,660.44,653.55,,1.24%,4.8519109920842585,6.243693237370574,
01/03/2019,566.16,560.42,566.74,550.41,,2.14%,3.1851223222532212,4.110566308776453,
01/03/2020,704.67,695.6,705.76,689.98,,0.98%,3.331861248790054,3.9127615620768497,
01/03/2022,449.9,452.98,453.17,449.18,,-0.30%,4.846593943151995,4.358971225076454,
01/03/2023,387.55,392.02,394.34,382.7,,-0.46%,3.9357558011943303,4.349147117046873,
01/03/2024,408.32,409.47,412.04,407.41,,-0.89%,3.6293961028299857,4.126275647431383,
01/03/2025,408.01,411.44,411.48,406.18,,0.18%,3.5887730586604714,3.38580546477173,
01/04/2016,434.65,447.28,447.85,433.62,,-3.99%,2.838291234330546,3.387901218246334,5.034721248945439
01/04/2017,577.15,567.34,577.15,566.04,,1.87%,2.6908341740354094,3.69568967382881,4.994404764309356
01/04/2018,674.8,666.6,674.8,660.95,,2.32%,2.0630931523258846,3.284833173647546,5.00540971566408
01/04/2019,579.2,572.36,579.2,566.71,,2.30%,2.8082909532853977,3.315264127303114,4.937198020839684
01/04/2021,520.28,534.62,535.64,515.84,,-2.43%,3.0786930616547235,3.270853014550232,3.6166816950915153
01/04/2022,455.06,451.86,455.06,451.86,,1.15%,3.3576886478961585,3.052903554319223,3.476326329717716
01/04/2023,390.61,380.66,391.12,379.82,,0.79%,2.1229212814819003,2.529603914939558,3.468817518780903
01/04/2024,428.33,409.28,428.82,409.18,,4.90%,1.6124247232955122,2.4519187620627423,3.439321548750405
01/05/2015,741.08,785.62,785.62,737.29,,-6.43%,5.8683429920620345,4.3375926823478235,4.210050642371513
01/05/2016,440.1,435.73,440.49,433.71,,1.25%,6.820784884103155,4.996606204004543,4.157741985793712
01/05/2017,582.26,579.06,585.96,578.17,,0.89%,6.916493611502498,5.186545022252016,4.280514244701555
01/05/2018,680.64,671.6,680.64,667.16,,0.87%,6.515027229453473,5.026836832629443,4.294172406608411
01/05/2021,529.27,515.51,529.27,513.53,,1.73%,7.143332830433478,5.164883348728801,4.215958521649745
01/05/2022,448.37,455.65,459.14,448.37,,-1.47%,4.721883597647772,5.174855384911293,4.230452623295219
01/05/2023,397.65,388.12,400.31,387.81,,1.80%,3.7102307759760182,5.1824771023006955,4.217944401270298
01/05/2024,444.01,430.27,445.99,430.27,,3.66%,2.744180667005802,5.140208544062466,4.14886398291695
01/06/2015,733.06,728.3,739.34,728.3,,-1.08%,5.653966767933942,5.847699770080272,4.497229758114658
01/06/2016,429.46,431.76,431.76,425.95,,-2.42%,6.367368491982871,6.435477854546827,4.755855698670382
01/06/2017,583.9,586.72,588.89,581.9,,0.28%,6.540666759914235,5.580090752871122,4.886208345400514
01/06/2020,706.79,706.79,706.79,706.79,,0.30%,6.209143195230513,5.061856074357054,4.909174097037273
01/06/2021,528.9,529.29,536.59,528.4,,-0.07%,6.967761198461822,5.151073367194525,5.0403800320593986
01/06/2022,445.08,448.4,450.87,433.76,,-0.73%,5.148065982620888,5.1752735209381955,4.985424871336182
01/06/2023,401.68,406.4,408.18,401.68,,1.01%,4.13049626416259,5.060010362026813,4.976411812257316
01/06/2025,409.71,409.71,409.71,409.71,,0.42%,2.8318866672889076,4.973128844971196,4.941230443974857
01/07/2015,739.6,736.36,745.98,736.36,,0.89%,6.765425881702863,6.205307760261095,5.633896254761755
01/07/2016,413.53,424.77,426.81,413.53,,-3.71%,7.422136152041528,6.824338595158386,5.884677135621189
01/07/2019,579.47,579.47,579.47,579.47,,0.05%,7.608709399690819,6.32417120628682,5.960199147849562
01/07/2020,698.39,702.65,703.11,694.17,,-1.19%,7.317298534199672,5.813162601705648,5.976352367689699
01/07/2021,536.27,529.28,536.27,526.87,,1.39%,7.899786864126815,5.84724286265125,5.564152067802294
01/07/2022,442.45,447.63,448.02,440.43,,-0.59%,5.443483976543276,5.864044341779874,5.376417361009576
