Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2015,6349.08,"6,341.30","6,367.33","6,311.23",,1.17%,,,
01/02/2017,7407.20,"7,271.81","7,414.78","7,271.81",,1.80%,,,
01/02/2018,8478.18,"8,494.83","8,504.05","8,416.11",,0.16%,,,
01/02/2019,7485.46,"7,368.33","7,499.99","7,361.67",,1.06%,,,
01/02/2020,9527.16,"9,517.28","9,593.49","9,513.50",,0.03%,,,
01/02/2023,15822.93,"15,718.86","15,882.95","15,714.67",,1.13%,4.483794762514738,,
01/02/2024,19642.18,"19,719.54","19,737.86","19,439.48",,-0.02%,4.453243605164757,,
01/02/2025,18423.57,"18,099.75","18,448.82","18,099.75",,2.04%,4.947729742005401,,
01/03/2017,7382.02,"7,410.03","7,458.46","7,382.02",,-0.34%,7.4441869349823095,,
01/03/2018,8519.18,"8,499.79","8,530.03","8,494.68",,0.48%,7.320030120756053,,
01/03/2019,7486.43,"7,482.63","7,515.41","7,434.47",,0.01%,5.203214867510511,5.233897527928795,
01/03/2020,9403.41,"9,507.85","9,521.28","9,398.72",,-1.30%,5.260632845569603,5.2970481667431235,
01/03/2022,15530.55,"15,740.14","15,765.35","15,483.17",,-0.84%,7.379776933586825,6.023704698111555,
01/03/2023,16072.99,"15,872.00","16,088.68","15,872.00",,1.58%,4.624769442510618,5.893421053048678,
01/03/2024,19690.09,"19,708.56","19,724.52","19,514.02",,0.24%,4.612533289222133,5.870165512806747,
01/03/2025,18396.78,"18,298.09","18,396.78","18,171.10",,-0.15%,4.372405927065818,5.170905149525999,
01/04/2016,8428.14,"8,451.90","8,487.53","8,409.09",,-1.62%,6.900764816839118,5.894550196218672,
01/04/2017,7341.38,"7,356.61","7,378.91","7,337.50",,-0.55%,4.49707572352725,5.921596664580028,
01/04/2018,8518.03,"8,549.70","8,551.05","8,493.40",,-0.01%,4.8033829948433615,4.968686734603953,
01/04/2019,7636.14,"7,530.46","7,636.14","7,497.09",,2.00%,4.035978617785808,5.003814892318183,
01/04/2021,12562.42,"12,451.56","12,595.72","12,434.30",,1.61%,6.931598389549743,5.749963030401506,5.36088265586807
01/04/2022,15302.04,"15,602.26","15,602.26","15,238.27",,-1.47%,4.967246245116955,5.726673440528807,5.373260730087643
01/04/2023,15932.89,"16,095.05","16,194.42","15,931.44",,-0.87%,4.469472323520803,4.863558333214991,5.373454286549653
01/04/2024,20262.68,"19,808.52","20,290.34","19,808.52",,2.91%,4.489275485649144,4.988789482105902,5.350879201511576
01/05/2015,6320.74,"6,368.82","6,380.09","6,300.62",,-0.45%,7.7973969298899295,6.170947533010591,6.010741197298536
01/05/2016,8563.70,"8,568.81","8,613.48","8,433.22",,1.61%,6.709813718091306,6.437526498149109,5.696695078857641
01/05/2017,7418.12,"7,341.74","7,428.60","7,341.74",,1.05%,6.58385862966065,5.721182191525093,5.682706766326609
01/05/2018,8587.81,"8,546.80","8,587.81","8,546.25",,0.82%,6.714725308978589,5.631167777020644,5.689830422921753
01/05/2021,12389.24,"12,548.68","12,554.46","12,387.57",,-1.38%,7.250731776266478,5.898588335801136,5.329143768376212
01/05/2022,15236.38,"15,304.37","15,377.85","15,210.34",,-0.43%,3.5177341903992416,5.780099107953093,5.347688384662652
01/05/2023,15857.87,"15,951.54","15,951.54","15,804.26",,-0.47%,3.4092782975631,5.098022551698123,5.291308812252059
