Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,120.12,120.12,120.12,120.12,,0.00%,,,
01/01/2019,151.81,151.81,151.81,151.81,,0.00%,,,
01/01/2021,162.81,162.81,162.81,162.81,,0.00%,,,
01/01/2024,44.79,44.79,44.79,44.79,,0.00%,,,
01/02/2015,120.55,119.87,121.45,118.64,,0.36%,,,
01/02/2017,146.85,146.14,146.85,145.45,,0.08%,13.853249501376327,,
01/02/2018,166.17,165.73,166.93,165.73,,0.35%,13.909242432223557,,
01/02/2019,152.93,151.43,153.08,150.7,,0.74%,14.091444049325753,,
01/02/2020,194.92,193.62,194.93,193.56,,0.99%,11.246390103671702,,
01/02/2023,31.48,31.57,31.77,31.42,,-0.10%,7.241841789944788,,
01/02/2024,43.9,44.65,44.95,43.6,,-1.99%,7.756699059732229,10.933994526173851,
01/02/2025,42.15,42.27,42.65,41.94,,0.05%,7.635322194828129,10.944245079045995,
01/03/2017,150.24,146.82,150.74,146.71,,2.31%,20.08387905279042,16.46293177967596,
01/03/2018,169.13,166.58,169.45,166.58,,1.78%,20.20304558580917,15.414998722468775,
01/03/2019,152.89,152.5,153.41,151.52,,-0.03%,17.782653084890296,13.903014206887432,
01/03/2020,195.48,195.39,195.93,194.23,,0.29%,17.881644888908298,13.900563443660463,
01/03/2022,186.59,184.84,188.23,184.05,,1.50%,17.893680857429167,13.97866985995288,
01/03/2023,31.78,31.41,31.96,31.18,,0.95%,6.775990159685562,14.952778609367222,
01/03/2024,43.58,43.82,43.91,43.14,,-0.73%,7.506788167371899,14.977984789550039,
01/03/2025,42.5,42.21,42.67,42.1,,0.83%,7.504836866206736,13.93654969688707,
01/04/2016,107.78,110.35,110.63,107.48,,-2.33%,13.713905197889744,15.330695926055093,13.110972915329095
01/04/2017,150.0,149.41,150.4,148.21,,-0.16%,13.568384677126202,15.148578035006663,13.119042997926801
01/04/2018,173.8,169.52,174.08,169.34,,2.76%,9.697060864651005,9.348538784978233,13.10551207377143
01/04/2019,156.8,153.35,157.07,153.35,,2.56%,10.580101145826056,9.456030141533505,12.65353203051837
01/04/2021,165.91,163.77,167.42,163.75,,1.90%,10.388664286392011,9.368498658734078,11.559561173206363
01/04/2022,187.08,187.76,188.38,186.0,,0.26%,2.8215586920270166,9.354514263630321,11.56448871596592
01/04/2023,32.49,31.91,32.58,31.91,,2.23%,6.496892621324451,10.585689911051814,12.144801249659276
01/04/2024,43.81,43.68,43.94,43.43,,0.53%,7.112663743705109,9.305379299481242,12.123048539895949
01/05/2015,119.67,120.27,122.47,118.25,,-0.73%,14.652469589727968,12.080584379248092,13.301295128245116
01/05/2016,107.88,107.94,108.06,106.83,,0.09%,14.848080996023471,12.148463465799644,12.73479483597371
01/05/2017,149.75,151.28,151.55,149.29,,-0.17%,14.820709060667705,10.171291762454073,12.734192532893005
01/05/2018,174.02,173.77,174.16,173.05,,0.13%,11.293459034882485,10.126796601316151,12.682552610377517
01/05/2021,166.48,164.79,166.97,162.62,,0.34%,11.961244145544452,10.197711841673732,9.521904225259453
01/05/2022,184.19,186.06,186.36,182.13,,-1.54%,3.0412707914979316,10.09577185078171,9.523636212337832
01/05/2023,32.19,32.32,32.94,32.09,,-0.92%,7.369768529005393,11.330480617274914,10.135855717263356
01/05/2024,43.97,43.54,44.02,42.8,,0.37%,7.289440762654406,11.40550006679901,10.156041743860944
01/06/2015,119.42,119.42,119.56,116.37,,-0.21%,14.687693395414824,12.517080806915617,11.54167404192494
01/06/2016,106.2,107.89,108.01,106.12,,-1.56%,14.78396241625597,12.76453246468136,10.92715635244702
