Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2017,2925.92,"2,966.33","2,971.42","2,898.66",,-1.51%,,,
01/02/2018,3026.42,"3,037.89","3,045.24","3,018.79",,-0.63%,,,
01/02/2019,2619.32,"2,570.25","2,639.34","2,570.25",,2.00%,,,
01/02/2020,3186.98,"3,177.82","3,200.10","3,175.39",,-0.24%,,,
01/02/2023,2989.55,"2,911.49","2,995.54","2,907.61",,2.60%,,,
01/02/2024,5195.03,"4,999.57","5,195.03","4,988.92",,3.62%,5.54907797264149,,
01/02/2025,5577.50,"5,568.92","5,602.55","5,568.05",,0.15%,5.500527273061161,,
01/03/2017,2971.58,"2,926.19","2,990.45","2,922.63",,1.56%,6.960317812695285,,
01/03/2018,2970.43,"3,015.06","3,015.06","2,956.87",,-1.85%,6.900921083469342,,
01/03/2019,2629.11,"2,620.43","2,645.64","2,615.13",,0.37%,6.96803246087104,,
01/03/2022,2469.94,"2,473.96","2,478.49","2,460.92",,-0.26%,3.32733851080771,4.878351803779211,
01/03/2023,2986.78,"3,002.47","3,044.61","2,984.67",,-0.09%,3.899065682631409,4.968633821769897,
01/03/2024,5137.20,"5,211.67","5,217.75","5,122.69",,-1.11%,5.415418363917488,5.89466095377475,
01/04/2016,1486.71,"1,513.50","1,513.50","1,462.01",,1.00%,8.262385997850663,7.187904231365526,
01/04/2017,3008.61,"2,996.55","3,037.85","2,983.97",,1.25%,10.764746010314846,8.69620626241369,
01/04/2018,2968.72,"2,974.84","2,994.58","2,946.39",,-0.06%,10.687546585576868,8.046317916525277,
01/04/2021,2335.15,"2,358.05","2,358.65","2,325.23",,-0.54%,11.18813451402766,8.166781920456417,
01/04/2022,2465.53,"2,470.78","2,476.67","2,455.16",,-0.18%,10.032526304857576,7.669029952342416,
01/04/2023,3091.18,"2,992.33","3,146.63","2,895.59",,3.50%,7.597510664548198,7.6916520435420725,
01/04/2024,5182.82,"5,137.61","5,201.97","5,124.49",,0.89%,5.358068138314605,8.047404346416403,
01/05/2015,1803.69,"1,797.57","1,817.50","1,784.93",,0.84%,7.909725540550867,9.055987746368459,7.138797348415211
01/05/2016,1495.27,"1,467.06","1,514.79","1,464.08",,0.58%,7.834829666177916,9.169141062265664,7.192702062351158
01/05/2017,3037.44,"2,994.27","3,057.71","2,991.39",,0.96%,10.59234523217779,9.868155422807085,7.911211454384156
01/05/2021,2340.15,"2,333.76","2,345.75","2,326.61",,0.21%,11.062907148898544,8.97879465997979,8.00192021059184
01/05/2022,2474.12,"2,467.71","2,477.74","2,460.10",,0.35%,9.957245974980195,7.6348142159475225,7.98022098832618
01/05/2023,3208.70,"3,125.39","3,208.70","3,123.72",,3.80%,8.106321603479568,7.687810417591584,7.66783919679706
01/05/2024,5182.82,"5,182.82","5,182.82","5,182.82",,0.00%,7.772591992682974,7.834002936661837,7.891863500759336
01/06/2015,1757.86,"1,782.37","1,782.37","1,735.62",,-2.54%,7.769180207041431,8.935170014301692,8.108375451451188
01/06/2016,1465.29,"1,492.32","1,492.32","1,441.93",,-2.00%,7.655671535906793,9.010053025726398,8.158450115650211
01/06/2020,3100.62,"3,080.09","3,118.70","3,056.97",,-2.71%,10.906669782742698,10.036613417095603,8.87248732856588
01/06/2021,2354.94,"2,342.76","2,375.82","2,334.51",,0.63%,11.38728246246581,9.334132520804483,8.954140406987598
01/06/2025,5512.54,"5,568.99","5,590.05","5,497.74",,-1.16%,14.153505858385646,10.783826508109572,9.904133379396306
01/08/2015,1793.51,"1,763.07","1,803.25","1,763.07",,2.03%,14.211467542325739,11.013377559232156,10.178545913929673
