Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2015,119.93,121.16,121.31,119.17,,-0.36%,,,
01/02/2017,138.61,137.56,138.96,137.53,,0.45%,,,
01/02/2018,152.15,152.76,152.88,151.39,,-0.36%,,,
01/02/2019,135.76,134.54,136.0,133.46,,-0.86%,,,
01/02/2020,173.36,172.47,173.88,172.47,,1.07%,,,
01/02/2023,187.58,184.49,187.77,184.49,,1.79%,2.21527908766122,,
01/02/2024,211.06,211.56,213.25,209.76,,-0.18%,2.1779262924786202,,
01/02/2025,209.18,208.81,209.35,206.22,,0.16%,2.2972989114913798,,
01/03/2017,139.15,139.24,139.92,139.06,,0.39%,3.6139889168734274,,
01/03/2018,153.27,152.34,153.74,152.27,,0.74%,3.0183221129162328,,
01/03/2019,133.55,134.5,135.25,133.46,,-1.63%,2.9973409869821683,2.7840134094200506,
01/03/2020,173.35,172.37,173.35,171.96,,-0.01%,3.779679370263107,3.048806206220926,
01/03/2022,205.9,204.26,206.77,204.26,,0.81%,4.046721166324672,3.1289141485791903,
01/03/2023,188.39,187.4,190.39,187.21,,0.43%,2.8645124923875382,3.0990054852510904,
01/03/2024,207.84,211.04,211.09,206.99,,-1.53%,2.8655816725755265,2.8583319718554168,
01/03/2025,206.07,209.08,209.08,205.78,,-1.49%,2.419708332622243,2.8518933552018386,
01/04/2016,127.91,129.51,129.51,127.08,,-2.43%,3.4640332973344727,3.422819502657736,
01/04/2017,139.02,139.51,139.51,138.49,,-0.09%,3.1085161359155826,3.4692396003385593,
01/04/2018,155.46,153.67,155.89,153.67,,1.43%,3.319044463620165,3.0195160872905187,
01/04/2019,137.12,134.56,137.42,134.26,,2.67%,3.1877645996040207,3.0733447749934846,
01/04/2021,162.33,161.45,164.32,161.45,,0.69%,3.6439072520112084,3.0861412271429582,2.8624796658495946
01/04/2022,208.51,206.17,208.99,206.17,,1.27%,2.3608169170290787,3.0548924077513764,2.970538564832693
01/04/2023,192.53,188.66,192.65,188.66,,2.20%,2.7239715200561423,2.977769240623563,2.989055381571283
01/04/2024,208.96,208.02,209.09,207.79,,0.54%,2.7035726879450444,2.946695957151034,2.949344352174723
01/05/2015,116.2,119.21,120.64,116.04,,-3.11%,4.523032569161468,3.731044669207108,3.2724709869634445
01/05/2016,128.39,129.35,129.38,126.86,,0.38%,4.359928194066278,3.7895538773243973,3.280737138043769
01/05/2017,139.04,138.53,139.19,138.43,,0.01%,3.687733352315463,3.2134076186283522,3.263565399215415
01/05/2018,157.04,155.73,157.04,155.73,,1.02%,3.877460570604659,3.2412081513092734,3.2938719683152935
01/05/2021,161.65,162.11,162.72,160.7,,-0.42%,3.8121515977121674,3.2078756327767315,3.0321490410936964
01/05/2022,209.94,208.51,210.17,208.41,,0.69%,1.6157567142802798,3.3618967428214614,3.1732826784030834
01/05/2023,191.99,192.37,192.87,191.33,,-0.28%,2.2400629097504297,3.373560313500194,3.1468671558559507
01/05/2024,207.99,208.95,208.95,206.02,,-0.46%,2.239976925651617,3.1075612448402086,3.002186569088917
01/06/2015,115.35,116.74,117.12,115.2,,-0.73%,4.346611146171415,3.885372895896554,3.376291015725806
01/06/2016,126.74,128.18,128.23,125.73,,-1.29%,4.4273305573177595,3.8957389939007316,3.3797774129139393
01/06/2017,139.19,138.58,139.21,138.28,,0.11%,3.7185205199456877,3.090901111406918,3.3779236598472986
01/06/2020,172.45,172.1,172.53,170.73,,-0.52%,4.205541914738584,3.2400019169193537,3.476252918270396
01/06/2021,163.41,161.94,163.94,161.31,,1.09%,4.176436666705563,3.2758966441976396,3.1590239096894597
01/06/2022,206.46,209.32,209.32,206.17,,-1.66%,2.022692105196849,3.4438416399347345,3.2580501996739626
01/06/2023,194.71,192.01,194.73,191.88,,1.42%,2.4317655469228234,3.4872038219486283,3.264360804626578
01/06/2025,210.62,206.21,210.8,206.21,,2.21%,2.4346043374834743,3.202051068255232,3.216734564139731
01/07/2015,116.15,116.03,117.02,115.37,,0.69%,4.1562822946930185,3.970929257788139,3.6137655855331583
01/07/2016,124.7,123.16,125.24,122.53,,-1.61%,4.23300814522677,3.964556781659976,3.4790656237368256
01/07/2019,136.7,137.3,137.74,135.92,,-0.31%,3.6622013372698707,3.1703916066424047,3.4807138223644922
01/07/2020,172.51,172.97,173.91,172.16,,0.03%,4.276672839177576,3.3564817314007844,3.585223924988063
