Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2015,130.61,131.68,132.05,129.71,,-0.43%,,,
01/02/2017,147.0,145.44,147.24,144.73,,1.06%,,,
01/02/2018,159.41,159.92,160.0,158.01,,-0.33%,,,
01/02/2019,128.22,127.93,128.56,126.03,,0.24%,,,
01/02/2020,155.2,153.45,155.63,153.33,,1.13%,,,
01/02/2023,139.67,137.98,139.9,137.98,,1.29%,2.660350382183938,,
01/02/2024,159.64,159.9,161.61,158.6,,-0.07%,2.70453888637545,,
01/02/2025,184.23,183.49,184.36,182.64,,0.38%,2.837246270371106,,
01/03/2017,146.81,147.29,147.54,146.52,,-0.13%,2.876869924137776,,
01/03/2018,160.77,159.56,161.31,159.56,,0.85%,2.546103005290368,,
01/03/2019,126.54,127.78,127.87,126.26,,-1.31%,2.966505657160382,2.6680503477130006,
01/03/2020,153.65,155.06,155.06,152.51,,-1.00%,3.2222430749631203,2.809029486155156,
01/03/2022,172.53,170.93,172.93,170.93,,0.92%,3.1407374412787714,2.840584118563834,
01/03/2023,141.11,139.65,142.06,139.65,,1.03%,3.0562060064996905,2.8120874799510207,
01/03/2024,157.61,159.72,159.9,157.07,,-1.27%,3.0992994978770128,2.674482774401427,
01/03/2025,183.14,184.04,184.35,182.79,,-0.59%,2.4646052620496377,2.682870385453595,
01/04/2016,134.91,140.63,140.63,134.46,,-4.08%,3.146465125496299,3.006310018061853,
01/04/2017,146.68,146.94,147.14,146.11,,-0.09%,3.0615890683739617,2.928404932400476,
01/04/2018,163.08,161.08,163.51,161.08,,1.44%,2.7514347999866597,2.7575454750696817,
01/04/2019,130.85,126.74,130.95,126.74,,3.41%,3.10228784968568,2.9355340143234248,
01/04/2021,153.86,153.56,155.5,153.08,,0.20%,3.154656501646744,2.8071055903939524,2.6730101443744605
01/04/2022,173.89,172.6,174.63,172.6,,0.79%,2.3564011237963918,2.6857314851014964,2.675462017907873
01/04/2023,144.58,141.12,144.6,141.12,,2.46%,2.8320313013892138,2.78900859930326,2.747728127034891
01/04/2024,158.15,157.62,158.26,157.1,,0.34%,2.7941241374965102,2.6317472794510657,2.6507790774040854
01/05/2015,126.92,130.4,130.95,126.86,,-2.83%,2.7933763470690316,2.7920485257023633,2.66668252563773
01/05/2016,135.11,134.93,136.2,133.44,,0.15%,2.46088870795481,2.6673582189931,2.645332634456351
01/05/2017,146.76,146.47,146.93,146.13,,0.05%,2.312255217436827,2.3149635074989865,2.6156583780281033
01/05/2018,164.97,163.16,165.03,163.16,,1.16%,2.0839698105367455,2.3526250606973274,2.595788875478177
01/05/2021,153.21,153.85,154.26,152.45,,-0.42%,2.1158959112626343,2.3370402008586058,2.4937677890575043
01/05/2022,174.89,173.98,175.13,173.89,,0.58%,1.3349605829832714,2.128656563046132,2.51895857269576
01/05/2023,144.65,144.55,145.29,144.19,,0.05%,2.181189891491229,2.2140308816987013,2.4741560133505573
01/05/2024,157.9,157.81,158.37,156.46,,-0.16%,2.1915428091061284,2.159787939505461,2.3823263279885207
01/06/2015,126.85,126.9,128.82,125.77,,-0.06%,2.4261460614818358,2.2244935907640633,2.455321335875784
01/06/2016,133.8,134.99,134.99,132.31,,-0.97%,2.492963128515185,2.1848341528741355,2.3688570640405855
01/06/2017,146.87,146.62,146.93,146.27,,0.07%,2.3324118881387323,1.9569930092574943,2.3581480576461438
01/06/2020,152.58,153.55,153.55,150.62,,-0.70%,1.9381341799259193,1.9455721032158138,2.2908337577244584
01/06/2021,155.14,153.23,155.43,152.89,,1.26%,1.8269327360124963,1.909677762706293,2.0660295118235914
01/06/2022,172.76,174.82,174.82,171.96,,-1.22%,0.6417653745607963,1.893139517992952,2.0802180727149118
01/06/2023,146.16,144.63,146.16,143.98,,1.04%,1.691026604512941,2.034482003136608,2.132564244868265
01/06/2025,186.03,183.21,186.03,183.21,,1.58%,2.4620355230777,2.364465721677084,2.196728436819617
01/07/2015,127.48,127.06,128.42,126.75,,0.50%,3.6329411802780136,2.756805191995118,2.4335190822934014
01/07/2016,130.73,133.78,133.79,128.55,,-2.29%,3.637982774446689,2.7163720077095976,2.3886513161195144
01/07/2019,130.66,130.96,131.48,129.92,,-0.15%,3.4777483061329098,2.497619424231976,2.30696952099871
01/07/2020,153.6,152.6,154.4,152.6,,0.67%,3.548884982676698,2.6218971594425575,2.3658606208130477
01/07/2021,155.82,155.16,156.28,155.16,,0.44%,2.848042558806725,2.5923299293089648,2.2356242063356926
01/07/2022,171.95,172.71,172.83,171.08,,-0.47%,1.180263343449199,2.626411483476216,2.2500697345804745
01/07/2025,187.36,186.03,187.78,185.51,,0.71%,1.136474959493101,2.6451862885898545,2.2513792829332884
01/08/2015,131.66,127.62,131.89,127.62,,3.28%,2.934497228195826,3.0638811565725304,2.484069181871414
01/08/2016,129.12,130.71,132.51,129.12,,-1.23%,2.576040635461256,2.9575973136027933,2.4706989202275254
01/08/2018,165.57,165.0,165.95,165.0,,0.36%,3.3874885454336017,2.9820008466060837,2.6205878039467954
01/08/2019,131.57,130.66,132.77,130.56,,0.70%,3.673012185481155,2.688819431887616,2.6531268250224063
01/08/2020,154.62,153.54,154.79,152.29,,0.66%,3.892283990212149,2.8048078986582357,2.7035640910510357
01/08/2021,156.93,155.82,157.67,155.82,,0.71%,2.9790418703863963,2.800882784903277,2.5871035610532025
01/08/2024,158.94,157.8,158.94,156.94,,0.66%,2.9407745212210217,2.686332065044883,2.584815077874032
01/08/2025,187.24,187.38,188.67,186.41,,-0.06%,2.4946461968527194,2.8047669626264615,2.6313030462781684
01/09/2015,129.41,131.54,132.0,128.81,,-1.71%,3.1463323873800038,3.2456024709522575,2.886143115728901
01/09/2017,146.52,146.88,147.16,146.0,,-0.24%,3.020257023004546,3.2881626287621635,2.9192981935293982
01/09/2018,165.89,165.66,166.3,165.58,,0.19%,3.154284629974037,2.8974262556325807,2.928414339140132
01/09/2019,132.75,131.81,133.54,131.81,,0.90%,3.559270368864286,3.1319815986262327,2.9678070462154604
01/09/2020,156.48,154.69,156.8,154.69,,1.20%,3.56165142663631,2.926873468606255,2.876064076595482
01/09/2023,148.09,146.24,148.49,146.24,,1.32%,2.5410558739510942,2.7033778788575753,2.6253023396172788
01/09/2024,158.68,159.12,159.12,157.93,,-0.16%,2.433460009156608,2.5911452034434372,2.631300755006804
01/09/2025,187.27,187.07,187.5,186.5,,0.02%,2.5847203944687465,2.7191666706981783,2.68671792433772
01/10/2017,146.68,146.55,146.94,146.24,,0.11%,2.682968274608793,2.995490683103443,2.769939632646065
01/10/2018,164.47,165.83,165.83,163.85,,-0.86%,2.5104103592871128,2.9185580243099767,2.796391248173245
01/10/2019,132.88,132.59,132.94,131.42,,0.10%,2.9260332705744045,2.611033949959393,2.873105775447803
01/10/2020,156.31,156.59,157.04,156.31,,-0.11%,3.186606086078066,2.67490000805897,2.9234973043938806
01/10/2022,169.89,172.07,172.64,169.45,,-1.20%,2.938928262457555,2.6308914401222925,2.7007287604188415
01/10/2023,148.12,147.98,148.27,147.07,,0.02%,2.5821543776942852,2.4876284375307747,2.752796262176551
01/10/2024,158.69,158.69,159.24,158.33,,0.01%,2.4720590594130196,2.353466147614166,2.5848658499450297
01/10/2025,186.26,187.2,187.94,186.05,,-0.54%,1.9672678259210679,2.451493597190332,2.512580702168447
01/11/2016,128.72,129.0,130.67,128.64,,-0.31%,3.099282496210866,2.9777598610554317,2.721317394238497
01/11/2017,147.57,146.84,148.11,146.08,,0.61%,3.2548611774385496,2.923791396848204,2.7666355951862567
01/11/2018,163.54,164.63,164.85,162.98,,-0.57%,3.1408150281827143,2.7189173274941574,2.787345860580366
01/11/2019,132.42,133.05,133.23,131.69,,-0.35%,3.4958288126002297,2.8579395653487185,2.8124032291228507
01/11/2021,155.54,156.53,156.61,154.41,,-0.89%,3.4987485515479433,2.7799098666514777,2.6279495103094574
01/11/2022,171.9,170.4,172.18,170.4,,1.18%,2.3441945630679384,2.6975086490342646,2.6147957752109963
01/11/2023,149.92,148.16,150.25,148.16,,1.22%,2.5700359378269093,2.771526663464022,2.6321324551074294
01/11/2024,157.35,159.1,160.19,157.34,,-0.84%,2.4661476935385944,2.679132095095637,2.516270025688679
01/12/2015,131.05,129.63,131.5,129.03,,1.27%,2.3552899699140633,2.815659392896013,2.5287539411912707
01/12/2016,130.91,128.75,132.24,128.49,,1.70%,1.8412341247530106,2.6384746006968416,2.519730765973352
01/12/2017,146.06,147.37,147.37,145.74,,-1.02%,1.8902598617344395,2.1591560995325905,2.539636776573362
01/12/2018,164.11,163.62,164.32,163.2,,0.35%,1.8807697952524955,2.1248420692326655,2.496583768968239
01/12/2021,155.63,155.54,156.41,155.09,,0.06%,1.9311772255236364,2.088248361459823,2.36659529766484
01/12/2022,172.57,172.04,173.17,172.01,,0.39%,1.273181468562601,1.8376101431406,2.3595388907781727
01/12/2023,151.16,150.01,151.57,150.0,,0.83%,1.820896068278456,1.8044366033658006,2.2922828451247415
01/12/2024,158.58,157.58,159.08,157.58,,0.78%,1.6903534105012155,1.736272205916074,2.2183374109844354
01/13/2015,133.13,130.8,133.6,130.72,,1.59%,1.8050629485414684,1.8084456280673267,2.278632327451493
01/13/2016,130.64,131.17,133.19,130.25,,-0.21%,1.801807050506669,1.7822508473774614,2.230675590511191
01/13/2017,147.4,146.35,147.45,146.35,,0.92%,1.8982708264147075,1.6789667837861073,2.2624698225045026
01/13/2020,155.89,156.34,156.8,155.46,,-0.27%,1.7329632237969301,1.6871437134446348,2.1849457673139088
01/13/2021,155.87,155.64,156.34,155.19,,0.15%,1.7000089695126848,1.6068363997467918,1.8542053590450143
01/13/2022,172.94,172.56,173.61,171.89,,0.21%,1.029430033099811,1.5806394908949826,1.8242161122176084
01/13/2023,151.29,151.18,151.82,150.84,,0.09%,1.6199722978098359,1.69935419909046,1.8529876705950825
01/13/2025,185.52,186.05,186.05,184.55,,-0.40%,2.0667934027190347,1.9835654725144822,1.867243818663078
01/14/2015,131.52,132.77,133.41,130.94,,-1.21%,3.197446197061351,2.4353004550358306,2.0865422768780935
01/14/2016,128.44,130.41,130.41,126.18,,-1.68%,3.1943793703907897,2.4194573057475623,2.0504383125983803
01/14/2019,132.04,132.23,132.37,131.23,,-0.29%,3.033303474595806,2.2710914478444653,2.0017624430478427
01/14/2020,155.97,155.9,156.33,155.0,,0.05%,3.2452107496039253,2.419446137765525,2.0958899155539172
01/14/2021,156.57,156.09,156.89,156.08,,0.45%,2.7133616599162136,2.356438158093763,1.9913718637169275
01/14/2022,171.77,172.77,172.77,171.21,,-0.68%,1.3083577158975956,2.383817594078846,2.0100731925478676
01/14/2025,186.82,185.59,187.66,185.59,,0.70%,1.0968714787237164,2.40305652000381,1.9950560789456542
01/15/2015,134.37,131.94,134.71,129.31,,2.17%,2.830807745627843,2.8038739923699803,2.2209360987334494
01/15/2016,125.17,128.4,128.93,124.03,,-2.55%,2.4523717551973476,2.7524088155165476,2.2269204102488067
01/15/2018,163.61,164.09,164.16,163.29,,-0.30%,3.4675600879840514,2.9635769927414355,2.455759669619194
01/15/2019,132.47,132.32,133.62,131.6,,0.33%,3.7019309008218984,2.7153600636168402,2.514016237494128
01/15/2020,155.69,155.97,156.11,155.2,,-0.18%,3.9216634258862055,2.8195076854426113,2.581794974838351
01/15/2021,154.37,156.4,156.4,153.13,,-1.41%,3.1426676725410356,2.8276401375156937,2.502126384077588
01/15/2024,157.72,158.71,158.83,157.6,,-0.54%,3.0032428532428392,2.6999097605127016,2.4979943327795
01/15/2025,189.9,186.83,190.36,186.83,,1.65%,2.5218107737724074,2.8601400261598227,2.5546509771509878
01/16/2015,136.15,134.04,136.65,133.24,,1.32%,3.080357480972811,3.2386823081738902,2.7746939690009236
01/16/2017,146.58,147.38,147.38,146.32,,-0.56%,2.8411708904661084,3.2304668203161264,2.7848649448275604
01/16/2018,164.35,163.65,165.37,163.65,,0.45%,2.957410743078475,2.8796360291933913,2.7905898676397034
01/16/2019,132.97,132.5,133.06,132.23,,0.38%,3.3461370648780213,3.0632846377772744,2.843025113906952
01/16/2020,155.65,155.78,156.32,155.1,,-0.03%,3.214324330134181,2.771940316494248,2.793193771039182
01/16/2023,152.09,151.39,152.26,151.23,,0.53%,2.270897009017606,2.5524184319852927,2.5667938954338423
01/16/2024,157.22,157.41,157.41,156.32,,-0.32%,2.2366950283263356,2.4165354247312423,2.5618947606479505
01/16/2025,190.44,190.04,190.77,189.71,,0.28%,2.556136198199142,2.60800064669349,2.6476733353992206
01/17/2017,146.31,146.23,146.76,144.91,,-0.18%,2.7940120251819,2.9322310362642106,2.743667774021724
01/17/2018,163.68,164.25,164.43,163.16,,-0.41%,2.652943500536406,2.801623362961127,2.7694999021826847
01/17/2019,132.82,132.89,132.95,131.72,,-0.11%,3.0585064666246335,2.5640438865039044,2.8450762790290587
01/17/2020,156.69,155.81,157.14,155.81,,0.67%,3.3551394163302586,2.688484444901151,2.8996080770224775
01/17/2022,172.28,171.86,172.62,171.84,,0.30%,3.026961032918434,2.6677301988950104,2.7054808784309046
01/17/2023,152.54,152.11,153.32,151.44,,0.30%,2.5494505915033847,2.523999769215325,2.7318303478273145
01/17/2024,155.81,157.02,157.02,154.95,,-0.90%,2.3987256667198453,2.3916970690126647,2.5197752946597296
01/17/2025,192.55,190.78,192.65,190.78,,1.11%,2.1851665352153993,2.6306903544003597,2.5240687038256993
01/18/2016,124.76,125.14,126.61,123.99,,-0.33%,3.5551684748134553,3.2759477708205362,2.8041406146907426
01/18/2017,147.09,146.47,147.09,146.28,,0.53%,3.7648808683264003,3.2205750799518826,2.8702699649646424
01/18/2018,164.88,163.82,165.0,163.82,,0.73%,3.7081528878296903,3.0056781147197498,2.8950943058549066
01/18/2019,136.17,133.23,136.3,133.23,,2.52%,4.020013767959165,3.1209189563297604,2.8864767397611346
01/18/2021,155.01,154.34,155.01,153.56,,0.41%,3.7104405213493905,2.9947729113476425,2.7201776789295864
01/18/2022,170.6,172.03,172.03,169.46,,-0.98%,2.2398636644160668,2.9117031712163857,2.727924986206755
01/18/2023,152.62,152.54,153.21,152.37,,0.05%,2.3007351355551795,2.947317287993175,2.738060630703627
01/18/2024,157.01,155.83,157.11,155.63,,0.77%,2.1221552031354465,2.871345174776044,2.6316499219063294
01/19/2015,137.15,136.26,137.77,136.26,,0.73%,1.8939220817559317,2.9628665334521935,2.6211339874487503
01/19/2016,126.67,124.86,127.73,124.86,,1.53%,1.5367032446237172,2.681712119376016,2.6362364088248813
01/19/2017,147.03,147.24,147.61,146.81,,-0.04%,1.8914282452181388,2.1152825865543377,2.692585986275598
01/19/2018,166.64,164.97,166.76,164.86,,1.07%,1.9987194085378643,2.0328575189326314,2.629274154661475
01/19/2021,154.86,155.33,156.0,154.74,,-0.10%,2.1056180190773124,1.9937411344954175,2.4936824021824493
01/19/2022,170.73,170.46,171.84,169.05,,0.08%,1.818888540995323,1.786731272890889,2.4854128170847742
01/19/2023,149.8,152.38,152.38,149.68,,-1.85%,2.0373415941215867,1.8175427837485905,2.424187355351233
01/19/2024,156.93,157.07,157.83,156.58,,-0.05%,1.75619723089877,1.755857326792214,2.3515033425333196
01/20/2015,137.39,137.46,137.89,136.8,,0.17%,1.6395984013796614,1.7894237661046792,2.37441050603582
01/20/2016,123.04,126.59,126.62,122.14,,-2.87%,1.7040269935485854,1.8436433352282862,2.368182703120678
01/20/2017,147.45,146.97,147.47,146.45,,0.29%,2.2567100747645994,2.021579730117755,2.469931537902077
01/20/2020,157.14,156.69,157.16,156.43,,0.29%,2.114749994599984,1.9680218674372216,2.333216847294777
01/20/2021,156.18,154.88,156.49,154.88,,0.85%,2.0993896307661064,1.8275920199347022,1.9267231940203806
01/20/2022,171.79,170.71,171.79,170.03,,0.62%,1.8058161203421723,1.7722607337697494,1.8584952186798083
01/20/2023,150.84,150.15,150.84,150.01,,0.69%,1.9022598050447599,1.8532862784465145,1.873576241599117
01/20/2025,193.18,192.57,193.71,192.17,,0.33%,2.351148966932071,2.2854623742899345,1.9974728953371743
01/21/2015,137.95,137.48,138.03,136.0,,0.41%,3.415833692951588,2.685346831366832,2.231813864903065
01/21/2016,125.38,123.05,126.43,122.56,,1.90%,3.4678837867108117,2.7137892307805633,2.2251616857364556
01/21/2019,135.51,136.21,136.25,135.37,,-0.48%,3.4272981039655646,2.6641991474243563,2.2128558524241213
01/21/2020,157.23,156.83,157.25,155.87,,0.06%,3.521659659372732,2.6727537457845774,2.28103455105971
01/21/2021,156.55,156.57,157.48,156.19,,0.24%,2.730501331335324,2.521756334916144,2.2246114061989166
01/21/2022,168.51,171.63,171.63,166.95,,-1.91%,1.5167656492569996,2.5280004081902976,2.206383493555069
01/21/2025,193.64,193.16,193.67,192.68,,0.24%,1.0521870289689803,2.6040206763487874,2.197194339140685
01/22/2015,139.79,137.94,139.98,137.27,,1.33%,2.850610928934423,2.999102348705094,2.399569576883039
01/22/2016,128.08,125.44,128.99,125.44,,2.15%,2.6143740871643644,2.96274928543981,2.405308212018606
01/22/2018,166.91,166.65,167.0,166.34,,0.16%,3.5387578266303086,3.023802503318723,2.61309621736472
01/22/2019,134.85,135.49,135.49,134.2,,-0.49%,3.834058393894049,2.801633558831173,2.6715419580533837
01/22/2020,156.78,157.37,158.15,156.6,,-0.29%,3.872636596624621,2.829458023299684,2.7245507417699564
01/22/2021,156.32,156.23,156.57,155.05,,-0.15%,3.127766387268762,2.824728628031824,2.676177713272531
01/22/2024,158.2,157.34,158.4,157.34,,0.81%,2.9635908930001227,2.728252608193205,2.635787053636406
01/22/2025,195.56,193.67,196.31,193.67,,0.99%,2.6319061752265673,2.9412648859282586,2.6716846770971503
01/23/2015,142.72,139.89,143.33,139.89,,2.10%,3.09029863636646,3.3072826687523325,2.8677320927647396
01/23/2017,146.49,147.2,147.2,146.04,,-0.65%,2.857717689819473,3.2120921767707276,2.867446646945212
01/23/2018,167.81,167.02,168.42,167.02,,0.54%,3.0359849232287006,2.9066044405496116,2.8902861993538704
01/23/2019,134.93,134.64,135.53,133.96,,0.06%,3.444933538203663,3.08273208520375,2.9481819250405388
01/23/2020,155.3,156.53,156.53,155.25,,-0.94%,3.0941703088031525,2.773910614462066,2.824408005510202
01/23/2023,151.65,151.24,152.11,150.9,,0.54%,2.2655537233140706,2.555172984769915,2.611576560804224
01/23/2024,157.85,158.51,158.8,157.79,,-0.22%,2.270178260544847,2.440923540903335,2.5802178868098293
01/23/2025,196.73,195.76,196.85,195.51,,0.60%,2.6858719470081915,2.7048037997075123,2.692412920758433
01/24/2017,147.13,146.48,147.14,146.41,,0.44%,3.0116152653650374,3.072737776594052,2.8282742185423677
01/24/2018,166.02,167.85,168.02,166.02,,-1.07%,2.959481192154847,2.893486123782152,2.8569946086513913
01/24/2019,135.71,134.9,135.91,134.6,,0.58%,3.3265307764882266,2.690990649135959,2.934776844054577
01/24/2020,157.3,155.58,157.73,155.58,,1.29%,3.526451154432173,2.7961724820299003,2.9414230335578915
01/24/2022,162.32,168.24,168.26,161.49,,-3.67%,2.9383913755903484,2.712189585815122,2.742703646167882
01/24/2023,151.46,151.81,152.24,150.92,,-0.13%,2.2399591728740296,2.5069931842520123,2.734718388934388
01/24/2024,160.79,157.98,161.01,157.98,,1.86%,2.068686268736736,2.418074546233842,2.533331666671514
01/24/2025,196.63,196.84,197.84,196.25,,-0.05%,1.7905935860417277,2.6182692814101984,2.520812483682469
01/25/2016,127.79,128.17,128.59,127.11,,-0.23%,3.362991546991915,3.2657676794300596,2.8078303795563673
01/25/2017,149.63,147.58,149.86,147.58,,1.70%,3.6324379739629467,3.125349905112287,2.867745810826504
01/25/2018,164.55,165.93,166.36,163.75,,-0.89%,3.609425763626206,2.8409980977163474,2.8835545980442814
01/25/2019,137.56,135.76,138.03,135.76,,1.36%,3.8740264839864405,2.928108461409521,2.8332358095221477
01/25/2021,154.2,156.64,157.29,153.7,,-1.36%,3.55189886019688,2.796782221198828,2.6762435751793827
01/25/2022,163.47,162.58,164.18,161.96,,0.71%,2.06597231855951,2.710284131789475,2.6802326839743347
01/25/2023,151.37,151.46,151.57,150.23,,-0.06%,1.9475601802654159,2.7477437648662986,2.6572726691140427
01/25/2024,160.79,160.56,160.89,159.68,,0.00%,1.8529086590724064,2.725402279294088,2.5487012381292833
01/26/2015,144.66,142.56,144.74,141.91,,1.36%,1.520772766541459,2.778599785843132,2.5362876705931123
01/26/2016,128.85,127.77,129.39,125.57,,0.83%,1.3695274644577835,2.5386826121352843,2.569193309663383
01/26/2017,150.15,150.02,150.61,149.82,,0.35%,1.9124900763266937,1.9630312845176945,2.6293194579665986
01/26/2018,165.09,164.57,165.16,164.12,,0.33%,1.9498836738237284,1.8415179027773343,2.50409367382281
01/26/2021,156.12,154.21,156.74,154.1,,1.25%,1.9793431049698107,1.8075387575265076,2.3278247447187033
01/26/2022,166.84,164.17,167.57,164.17,,2.06%,1.793697139468018,1.5768045601381528,2.298384824816649
01/26/2023,152.0,151.65,152.2,151.28,,0.42%,1.6944009360813153,1.5670006461763164,2.2163328730460914
01/26/2024,161.31,160.7,161.42,160.16,,0.32%,1.3221386333458633,1.5681693424999792,2.1588726500383326
01/27/2015,142.42,144.68,144.8,141.96,,-1.55%,1.3664782970106022,1.6406612053563436,2.2039267628248282
01/27/2016,129.21,128.85,129.21,127.3,,0.28%,1.4416533609279718,1.6570004143309605,2.2167369093706246
01/27/2017,149.79,150.08,150.11,149.6,,-0.24%,1.91356893334139,1.7971549505925968,2.277775421019713
01/27/2020,153.26,157.1,157.1,153.04,,-2.57%,1.8055209444639146,1.6713166201135885,2.132375683564512
01/27/2021,153.75,156.15,156.15,151.98,,-1.52%,1.741044038006387,1.4690896851980115,1.693147075902421
01/27/2022,167.53,166.59,168.25,164.18,,0.41%,1.5036781881657204,1.4522687323343582,1.6165234374164041
01/27/2023,152.62,152.01,152.71,151.83,,0.41%,1.4834440933828608,1.5016470822576644,1.6173541431862366
01/27/2025,195.74,196.67,197.0,193.88,,-0.45%,2.2048425526051747,2.0516153272212767,1.780887823322406
01/28/2015,143.17,142.27,143.32,141.12,,0.53%,3.2519012410633295,2.4798198977419394,2.0190080392558007
01/28/2016,126.18,129.18,129.48,125.61,,-2.35%,3.3658447174422106,2.5298508419803314,2.0525931574728635
01/28/2019,136.74,137.38,137.56,136.57,,-0.60%,3.353816045022339,2.4987321308342803,2.058500442424565
01/28/2020,154.44,153.43,154.49,152.6,,0.77%,3.4364297706567,2.4986956405383545,2.097616007859644
01/28/2021,154.05,153.21,154.39,150.19,,0.20%,2.556469714183216,2.393124596319862,2.0600563649562385
01/28/2022,165.52,167.23,167.23,163.43,,-1.20%,1.5442963480967373,2.412821739773213,2.0203579456031653
01/28/2025,197.06,195.74,197.43,195.42,,0.67%,1.133037145028935,2.5586270181536857,2.0461908967471754
01/29/2015,143.49,143.03,143.53,141.79,,0.22%,2.8577616437134434,2.96261398465452,2.271073244372434
01/29/2016,128.32,126.25,128.32,126.25,,1.70%,2.7982422736339294,2.9779885374658486,2.2955049614698497
01/29/2018,164.83,165.15,165.48,164.45,,-0.16%,3.5670867476047134,2.9833028136436184,2.4993077143814424
01/29/2019,136.73,136.72,137.38,135.99,,-0.01%,3.8093728023130113,2.7694474342889785,2.5587428008419573
01/29/2020,154.62,154.44,155.01,154.13,,0.12%,3.6259652307714814,2.729472989920822,2.589955171287597
