Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,1015.91,"1,014.96","1,017.20","1,011.92",,-0.04%,,,
01/01/2016,987.16,984.76,988.60,982.22,,0.11%,,,
01/01/2018,1254.30,"1,265.33","1,265.85","1,252.47",,-0.86%,,,
01/01/2019,1266.29,"1,263.10","1,267.46","1,256.30",,0.28%,,,
01/01/2020,1371.34,"1,373.01","1,375.40","1,369.50",,0.13%,,,
01/01/2021,1606.62,"1,601.87","1,609.31","1,601.87",,0.40%,1.9304689952621723,,
01/01/2024,2490.37,"2,489.69","2,500.06","2,484.88",,0.12%,3.3380979320813524,,
01/01/2025,2855.91,"2,843.80","2,860.70","2,834.40",,0.42%,3.3284378029871564,,
01/02/2015,1028.60,"1,016.57","1,030.04","1,016.57",,1.25%,6.875761161109381,,
01/02/2017,985.06,986.06,986.97,979.07,,0.19%,6.90950328961678,,
01/02/2018,1253.19,"1,259.75","1,261.48","1,248.19",,-0.09%,7.067857200993277,4.898294855698344,
01/02/2019,1252.15,"1,261.74","1,265.29","1,246.23",,-1.12%,5.572357434155775,4.883312653293192,
01/02/2020,1382.07,"1,372.09","1,382.84","1,372.09",,0.78%,5.48292906260443,4.773534572488527,
01/02/2023,2077.50,"2,072.90","2,079.15","2,067.47",,0.43%,3.5502548679673005,5.232933448828241,
01/02/2024,2482.62,"2,490.43","2,493.25","2,465.07",,-0.31%,3.029452160620307,5.2440889657417795,
01/02/2025,2906.02,"2,861.24","2,907.72","2,856.81",,1.75%,2.99356802798146,5.243842142267414,
01/03/2017,986.31,987.47,989.52,982.17,,0.13%,6.864702683388037,5.972708652570055,
01/03/2018,1254.46,"1,257.22","1,262.01","1,252.77",,0.10%,7.030298173878919,6.087877091623403,
01/03/2019,1237.95,"1,253.24","1,257.01","1,236.86",,-1.13%,6.030876584132963,4.888518729239319,
01/03/2020,1378.99,"1,379.71","1,383.11","1,374.94",,-0.22%,5.885278073249058,4.841776005744514,
01/03/2022,2062.80,"2,040.39","2,064.94","2,040.39",,1.29%,6.922746755168188,5.188046766364789,4.9207525219623385
