Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2015,6221.75,"6,211.84","6,228.81","6,208.81",,0.35%,,,
01/02/2018,7504.43,"7,539.06","7,638.61","7,486.88",,-0.18%,,,
01/02/2019,7056.53,"7,067.10","7,090.98","7,030.21",,-0.26%,,,
01/02/2020,7273.79,"7,304.27","7,315.07","7,245.28",,-0.20%,,,
01/02/2023,7371.37,"7,380.48","7,380.65","7,328.75",,-0.29%,,,
01/02/2024,7590.61,"7,534.21","7,590.61","7,509.62",,0.49%,1.5545638593660345,,
01/02/2025,6735.59,"6,632.49","6,735.59","6,632.49",,1.63%,1.0142055319063121,,
01/03/2017,6117.75,"6,107.29","6,117.75","6,042.28",,-0.06%,1.1144021503364863,,
01/03/2018,7392.28,"7,507.67","7,507.67","7,345.12",,-1.49%,2.0255604320916816,,
01/03/2019,7088.32,"7,030.50","7,093.27","7,028.27",,0.45%,2.055567551301458,,
01/03/2020,7350.06,"7,312.59","7,350.06","7,287.98",,1.05%,2.0630609627972527,1.761264326404832,
01/03/2022,6781.60,"6,707.43","6,805.65","6,705.40",,1.27%,1.9540238839930837,1.4845907785169186,
01/03/2023,7404.03,"7,352.56","7,441.04","7,341.81",,0.44%,1.7978701214677835,1.5263023375624414,
01/03/2024,7519.72,"7,569.15","7,569.15","7,519.22",,-0.93%,1.0521000090788453,1.5220824427386306,
01/03/2025,6720.04,"6,739.03","6,765.65","6,699.10",,-0.23%,1.3045289019295125,1.6239294484717108,
01/04/2016,5397.08,"5,428.03","5,489.70","5,397.08",,-1.05%,1.771165855622171,1.8693425847617278,
01/04/2017,6166.77,"6,102.07","6,166.77","6,076.04",,0.80%,2.22394129681409,1.9791361372223288,
01/04/2018,7464.05,"7,400.06","7,464.05","7,362.87",,0.97%,2.680480534056613,2.1669390440988012,
01/04/2019,7161.14,"7,070.90","7,161.14","7,058.53",,1.03%,2.706689370530809,1.936186015460187,
01/04/2021,6739.23,"6,621.84","6,747.92","6,547.46",,2.16%,2.6063493838894165,1.9496859869032,
01/04/2022,6806.88,"6,797.52","6,841.61","6,797.52",,0.37%,1.8770015379063862,1.9407456171052606,1.813435384483963
01/04/2023,7304.14,"7,405.81","7,415.16","7,304.14",,-1.35%,1.725975124405001,1.9217734755662803,1.6795950668338513
01/04/2024,7635.90,"7,539.98","7,652.91","7,528.25",,1.55%,0.8856444334698877,1.8829857600773654,1.6682420525712147
01/05/2015,6181.71,"6,198.69","6,207.30","6,170.72",,-0.64%,1.670952216084475,2.1317460399924917,1.809031769818992
01/05/2016,5451.57,"5,400.88","5,514.51","5,400.88",,1.01%,1.7966259849154744,2.147220882424753,1.853920425615654
01/05/2017,6196.33,"6,171.64","6,203.35","6,168.90",,0.48%,2.183969014237872,1.9917467937899758,1.9207742242562114
01/05/2018,7534.02,"7,443.05","7,534.02","7,440.89",,0.94%,2.70279185504303,2.145071268775014,2.0236722121928086
01/05/2021,6779.73,"6,745.09","6,779.73","6,699.50",,0.60%,2.8048997385141337,1.966106809974357,2.0296557272488793
01/05/2022,6763.56,"6,817.34","6,852.43","6,722.60",,-0.64%,2.3245547501326316,1.9548262235266607,1.8937393681744656
01/05/2023,7178.67,"7,291.67","7,291.67","7,125.37",,-1.72%,1.9389533619479047,1.9446526786860432,1.8975120839408781
01/05/2024,7642.78,"7,661.45","7,717.41","7,642.78",,0.09%,1.8293389247602176,1.9614716844087914,1.905762640916802
01/06/2015,6110.07,"6,122.76","6,148.94","6,110.07",,-1.16%,1.8086897029465572,2.2134435610724323,2.0260193344682738
01/06/2016,5523.51,"5,450.39","5,595.46","5,450.39",,1.32%,1.7996187847354495,2.2302894901283925,2.026104531156628
01/06/2017,6214.51,"6,189.35","6,223.34","6,182.56",,0.29%,2.1389096956588944,2.1267111573744093,2.07871153329314
01/06/2020,7268.34,"7,284.27","7,306.10","7,236.63",,-1.11%,2.4749879166469464,2.136914286409892,2.1239524907206646
01/06/2021,6669.98,"6,776.51","6,791.90","6,575.44",,-1.62%,2.4999140913750733,2.1349736584992214,2.0100326529896635
01/06/2022,6778.26,"6,792.38","6,794.90","6,711.61",,0.22%,1.8974355139352395,1.8227602144714745,1.9556612176420864
01/06/2023,7199.10,"7,105.43","7,200.66","7,091.36",,0.28%,1.55545174147246,1.7653381685198613,1.822413461910576
01/06/2025,6613.91,"6,731.00","6,735.18","6,603.48",,-1.58%,1.6807157792380347,1.826438014585319,1.8414061342343864
01/07/2015,6165.07,"6,119.31","6,168.37","6,115.75",,0.90%,1.047515803536556,1.8277639065229718,1.8456324318447237
01/07/2016,5406.92,"5,454.36","5,468.76","5,406.92",,-2.11%,1.2022272676162926,1.8583885314466582,1.8976545462914225
01/07/2019,7171.48,"7,233.47","7,266.75","7,171.48",,0.14%,2.9054085540216716,2.3135666455585735,2.220651024363024
01/07/2020,7298.85,"7,290.58","7,308.54","7,257.02",,0.42%,2.8850632745290796,2.2155318291295565,2.2166461773107478
01/07/2021,6719.73,"6,714.14","6,747.41","6,701.90",,0.75%,2.8810346366151127,2.223694786498966,2.1185190177728397
