Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/04/2016,1679.49,"1,705.98","1,718.68","1,675.10",,-2.44%,,,
01/04/2017,1749.48,"1,721.09","1,749.72","1,720.36",,2.38%,,,
01/04/2018,2102.08,"2,064.12","2,102.08","2,063.49",,2.73%,,,
01/04/2019,1708.61,"1,732.51","1,732.51","1,681.02",,-1.59%,,,
01/04/2021,2226.76,"2,245.33","2,245.62","2,204.43",,-0.47%,,,
01/04/2022,2591.17,"2,561.26","2,592.59","2,557.17",,2.09%,2.9851519469452565,,
01/04/2023,2396.49,"2,409.32","2,409.32","2,386.35",,-1.14%,3.2441838440037567,,
01/04/2024,3128.60,"3,102.57","3,129.95","3,073.12",,0.39%,3.5560000619269077,,
01/05/2015,1557.39,"1,556.34","1,568.21","1,542.67",,-0.54%,5.396873679416315,,
01/05/2016,1672.93,"1,674.20","1,686.04","1,666.90",,-0.39%,4.913654437171313,,
01/05/2017,1750.89,"1,752.88","1,754.04","1,745.12",,0.08%,4.7244724426033615,3.892657213860773,
01/05/2018,2122.21,"2,112.35","2,122.25","2,109.71",,0.96%,4.9852232955637525,3.9909021732384087,
01/05/2021,2222.62,"2,222.53","2,229.49","2,215.14",,-0.19%,4.377200751531652,3.9056846038849553,
01/05/2022,2603.67,"2,596.93","2,607.27","2,596.04",,0.48%,1.2148241073648878,3.735891450734652,
01/05/2023,2399.37,"2,399.51","2,407.06","2,393.27",,0.12%,1.829026569306487,3.5696487417329803,
01/05/2024,3151.85,"3,142.29","3,161.10","3,133.97",,0.74%,2.4128795252838198,3.791699229608422,
01/06/2015,1512.06,"1,544.38","1,544.38","1,512.06",,-2.91%,5.057066319669217,4.746213680082503,
01/06/2016,1654.24,"1,677.15","1,683.47","1,643.36",,-1.12%,5.102993258266824,4.48535760549461,
01/06/2017,1747.02,"1,740.50","1,748.66","1,734.79",,-0.22%,4.9155101527836,3.565770653194019,
01/06/2020,2029.64,"2,038.88","2,042.47","2,021.43",,-1.33%,5.051054577273253,3.6149081244273513,
01/06/2021,2225.53,"2,222.54","2,235.67","2,220.41",,0.13%,4.459322001211073,3.6221079994620675,3.662544822862308
01/06/2022,2548.06,"2,598.90","2,602.86","2,548.06",,-2.14%,0.6754302605706602,3.5558640772489887,3.679114485081766
01/06/2023,2409.46,"2,394.95","2,415.19","2,392.50",,0.42%,1.3702597559924168,3.593428674461547,3.6527135930917805
01/06/2025,3723.27,"3,763.80","3,769.38","3,709.19",,-1.04%,3.521936461595679,4.383710223996323,3.964089747909596
01/07/2015,1511.24,"1,505.63","1,520.47","1,505.08",,-0.05%,6.543992414952427,5.511355320320109,4.520380142532681
01/07/2016,1618.26,"1,648.91","1,654.29","1,616.83",,-2.18%,6.5294798564664775,5.284644427619742,4.496036016133864
01/07/2019,1757.78,"1,712.88","1,768.76","1,712.49",,2.88%,6.473194911260742,4.418671509726827,4.4844692224824865
01/07/2020,2061.84,"2,039.22","2,062.84","2,038.61",,1.59%,6.530027840894081,4.45298002637253,4.401914992313805
01/07/2021,2264.12,"2,240.91","2,277.08","2,240.91",,1.73%,5.016510187622069,4.454667492018451,3.935342132372186
01/07/2022,2546.07,"2,560.83","2,572.91","2,528.02",,-0.08%,0.6359046462073484,4.437732969930008,3.942269255669677
01/07/2025,3773.41,"3,735.11","3,787.78","3,730.33",,1.35%,2.621070926524621,4.90218272798653,4.21648644376698
01/08/2015,1531.61,"1,527.52","1,538.96","1,525.30",,1.35%,6.271474343900164,6.020934939213521,4.814148299627303
01/08/2016,1607.65,"1,605.23","1,636.52","1,599.28",,-0.66%,6.187992144621991,6.000913287943506,4.814194617152554
01/08/2019,1765.15,"1,766.50","1,778.36","1,761.54",,0.42%,6.1878997705845995,5.338554414247057,4.7948838678247805
01/08/2020,2034.82,"2,043.57","2,043.57","2,014.17",,-1.31%,6.217680008625859,4.211099690875571,4.790861102876786
01/08/2021,2301.92,"2,269.79","2,301.92","2,267.24",,1.67%,5.021939607000342,4.220702576644095,4.700257860768408
01/08/2025,3750.72,"3,759.84","3,760.13","3,735.91",,-0.60%,3.753235107130745,5.043206622824407,4.6536921977434895
01/09/2015,1536.13,"1,541.88","1,542.27","1,529.83",,0.30%,6.91717535580132,6.202752271187209,5.255909613699116
01/09/2018,2132.89,"2,137.93","2,139.34","2,126.16",,0.50%,7.252954467511879,6.422554682645387,5.380758951765182
